Date,Open,High,Low,Close,Volume,Name
2017-07-03,117.42,117.77,116.33,116.35,800700,KMB
2017-07-05,116.63,117.04,116.03,116.56,1161100,KMB
2017-07-06,116.18,116.43,114.43,114.49,1654700,KMB
2017-07-07,114.53,115.4,113.95,114.87,1694100,KMB
2017-07-10,115.05,115.9,114.72,115.06,1105000,KMB
2017-07-11,115.17,115.23,113.92,113.97,1375200,KMB
2017-07-12,112.74,113.8,112.08,112.97,2487300,KMB
2017-07-13,112.9,113.23,111.75,112.24,1793600,KMB
2017-07-14,112.51,113.15,112.3,112.8,1205900,KMB
2017-07-17,112.66,113.43,112.1,112.96,1186000,KMB
2017-07-18,113.07,113.56,112.47,112.85,1053200,KMB
2017-07-19,112.63,113.16,112.11,112.29,1745100,KMB
2017-07-20,112.61,112.93,112.02,112.07,1521000,KMB
2017-07-21,111.77,113.52,111.43,113.49,1879000,KMB
2017-07-24,113.5,113.59,112.11,112.16,1728100,KMB
2017-07-25,111.84,113.15,110.61,112.95,2192400,KMB
2017-07-26,112.87,112.91,110.38,110.74,2400200,KMB
2017-07-27,110.87,112.52,109.58,112.52,2733000,KMB
2017-07-28,112.41,112.47,109.91,110.93,2226800,KMB
2017-07-31,110.96,112.35,110.96,111.57,2298500,KMB
2017-08-01,111.57,112.09,110.1,110.24,1664600,KMB
2017-08-02,110.03,110.5,109.43,109.94,1511900,KMB
2017-08-03,109.93,110.83,109.72,110.23,1441500,KMB
2017-08-04,109.88,110.44,109.55,109.91,1046800,KMB
2017-08-07,109.91,110.34,109.42,110.0,1063900,KMB
2017-08-08,109.82,110.33,109.55,110.01,1612300,KMB
2017-08-09,110.01,110.39,109.58,110.17,1461900,KMB
2017-08-10,110.02,110.18,109.68,109.68,1362000,KMB
2017-08-11,110.16,110.16,109.2,109.29,1074100,KMB
2017-08-14,109.65,110.3,109.29,110.24,923400,KMB
2017-08-15,110.25,111.06,110.02,110.73,1114100,KMB
2017-08-16,110.68,111.23,110.43,110.82,1005400,KMB
2017-08-17,110.72,112.18,110.63,110.78,1358800,KMB
2017-08-18,110.69,110.77,109.92,109.97,1085900,KMB
