Date,Open,High,Low,Close,Volume,Name
2017-07-03,63.4,64.5,62.94,63.74,1320900,KMX
2017-07-05,63.53,64.04,62.22,63.37,2196400,KMX
2017-07-06,63.34,64.23,62.96,63.51,2096600,KMX
2017-07-07,63.62,64.47,63.13,63.95,2068300,KMX
2017-07-10,63.51,64.32,63.25,64.2,1777300,KMX
2017-07-11,64.35,64.5,63.16,63.67,1617500,KMX
2017-07-12,64.15,65.3,63.72,64.2,1708700,KMX
2017-07-13,64.43,65.7,64.21,65.03,1660100,KMX
2017-07-14,65.02,65.29,64.08,64.42,1367900,KMX
2017-07-17,64.5,65.46,64.35,65.03,1156000,KMX
2017-07-18,64.77,65.19,64.09,64.74,1622800,KMX
2017-07-19,64.9,65.37,64.65,64.83,1201800,KMX
2017-07-20,64.83,65.18,63.85,64.38,1157500,KMX
2017-07-21,64.59,66.19,64.44,66.09,2720300,KMX
2017-07-24,65.78,66.22,65.19,65.7,1528300,KMX
2017-07-25,65.97,66.55,65.55,66.18,2211600,KMX
2017-07-26,66.3,66.99,65.82,66.73,1840800,KMX
2017-07-27,66.79,67.25,65.95,66.48,1294100,KMX
2017-07-28,66.38,66.88,65.75,66.79,1002500,KMX
2017-07-31,66.84,67.07,65.95,66.25,1185500,KMX
2017-08-01,66.16,66.76,65.13,66.65,1323400,KMX
2017-08-02,65.5,66.45,65.38,65.72,1352300,KMX
2017-08-03,65.74,66.5,65.44,65.54,931400,KMX
2017-08-04,65.82,65.99,65.5,65.72,1077700,KMX
2017-08-07,65.61,66.32,65.29,65.83,1009100,KMX
2017-08-08,65.77,66.35,64.71,64.87,1019500,KMX
2017-08-09,64.51,65.25,64.09,65.23,1157500,KMX
2017-08-10,64.75,64.99,63.91,63.93,1567400,KMX
2017-08-11,63.74,64.94,63.71,64.42,944400,KMX
2017-08-14,64.98,65.54,64.6,64.92,916900,KMX
2017-08-15,64.82,65.78,63.96,64.46,1351200,KMX
2017-08-16,64.71,65.65,64.71,64.82,1203200,KMX
2017-08-17,64.46,65.29,63.94,63.97,1146100,KMX
2017-08-18,63.82,64.72,63.67,63.97,1230400,KMX
2017-08-21,64.02,64.49,63.58,64.14,1309600,KMX
2017-08-22,64.27,64.4,63.44,63.85,1668400,KMX
2017-08-23,63.53,64.34,63.28,64.05,1090200,KMX
2017-08-24,64.63,65.03,63.67,63.73,889200,KMX
2017-08-25,64.14,65.0,63.96,64.39,1550700,KMX
2017-08-28,64.3,64.4,63.12,63.48,1516700,KMX
2017-08-29,62.98,63.73,62.74,63.56,1896800,KMX
2017-08-30,63.67,66.07,63.67,65.99,1741200,KMX
2017-08-31,66.13,67.47,66.13,67.15,2155800,KMX
2017-09-01,67.67,68.8,67.45,68.12,2307800,KMX
2017-09-05,68.09,69.12,67.92,69.02,2147700,KMX
2017-09-06,69.3,69.39,68.45,69.08,1515100,KMX
2017-09-07,69.15,69.52,68.17,68.34,1589100,KMX
2017-09-08,68.52,68.86,67.58,68.47,1628200,KMX
2017-09-11,68.5,69.03,68.02,68.5,1181600,KMX
2017-09-12,68.76,68.88,67.76,68.35,1484400,KMX
2017-09-13,68.59,69.92,68.18,69.09,2463600,KMX
2017-09-14,68.96,69.77,68.88,69.46,1544600,KMX
2017-09-15,69.27,69.66,67.99,68.08,3229700,KMX
2017-09-18,68.25,69.01,68.09,68.34,2110200,KMX
2017-09-19,69.07,69.46,68.13,68.46,1873800,KMX
2017-09-20,68.9,69.13,68.53,68.67,1640700,KMX
2017-09-21,68.91,69.98,68.36,68.84,2714900,KMX
2017-09-22,71.4,74.6,70.33,74.19,8937500,KMX
2017-09-25,73.79,75.56,73.27,74.29,3214100,KMX
2017-09-26,73.6,74.48,72.88,73.59,3638400,KMX
2017-09-27,73.95,75.82,73.95,75.35,2866400,KMX
2017-09-28,75.24,75.95,74.84,75.93,1911200,KMX
2017-09-29,76.1,76.4,75.55,75.81,1402100,KMX
2017-10-02,76.03,76.59,75.52,76.59,1593200,KMX
2017-10-03,76.86,77.64,76.21,76.33,1730900,KMX
2017-10-04,76.17,76.86,75.83,76.45,1627100,KMX
2017-10-05,75.2,76.65,75.09,76.37,2142700,KMX
2017-10-06,76.25,76.97,76.25,76.81,1298000,KMX
2017-10-09,76.83,77.31,76.04,76.18,1045800,KMX
2017-10-10,76.18,76.91,75.91,76.23,1305300,KMX
2017-10-11,76.27,76.37,75.72,76.06,1313400,KMX
2017-10-12,76.24,76.32,75.45,75.7,1519500,KMX
2017-10-13,75.66,76.0,75.29,75.44,929400,KMX
2017-10-16,75.18,75.55,74.91,75.46,1470000,KMX
2017-10-17,75.25,75.77,75.19,75.37,1191700,KMX
2017-10-18,75.78,76.08,75.2,75.26,1057700,KMX
2017-10-19,74.82,75.07,74.36,74.84,1027200,KMX
2017-10-20,75.22,75.42,74.97,75.14,1143600,KMX
2017-10-23,75.03,75.58,74.35,74.39,1096500,KMX
2017-10-24,74.56,75.21,74.49,74.78,1355600,KMX
2017-10-25,74.47,74.64,73.53,74.17,1487200,KMX
2017-10-26,74.26,74.91,73.89,74.86,1319700,KMX
2017-10-27,74.64,74.64,73.65,74.36,1128500,KMX
2017-10-30,74.16,75.14,74.16,74.95,847100,KMX
2017-10-31,75.0,76.04,74.82,75.1,1135800,KMX
2017-11-01,75.3,75.51,74.16,74.46,1035300,KMX
2017-11-02,74.78,76.88,74.69,75.98,1270800,KMX
2017-11-03,75.98,76.14,75.07,75.19,698800,KMX
2017-11-06,75.3,75.79,74.86,74.91,719800,KMX
2017-11-07,74.73,74.9,72.92,73.42,1600300,KMX
2017-11-08,73.11,73.8,72.82,73.44,1357900,KMX
2017-11-09,72.96,73.35,71.8,72.18,1453500,KMX
2017-11-10,72.0,73.27,71.93,72.68,1336700,KMX
2017-11-13,72.66,73.02,72.21,72.35,1337500,KMX
