Date,Open,High,Low,Close,Volume,Name
2017-07-03,76.86,77.33,76.78,77.13,1464700,LLY
2017-07-05,77.07,77.19,76.51,77.13,2263600,LLY
2017-07-06,76.78,77.01,75.89,76.11,3391000,LLY
2017-07-07,76.13,76.81,75.95,76.75,1803700,LLY
2017-07-10,76.79,77.01,76.38,76.74,2269700,LLY
2017-07-11,76.85,77.27,76.37,76.81,2708900,LLY
2017-07-12,77.16,78.37,77.05,77.88,3527000,LLY
2017-07-13,77.94,78.56,77.56,78.37,2944100,LLY
2017-07-14,78.45,78.89,78.17,78.67,2005700,LLY
2017-07-17,78.64,78.84,77.81,78.01,1989100,LLY
2017-07-18,77.89,78.13,77.62,78.07,1704500,LLY
2017-07-19,77.9,78.61,77.9,78.56,2297400,LLY
2017-07-20,78.84,79.39,78.73,79.05,2980600,LLY
2017-07-21,78.93,79.24,78.64,78.96,3064400,LLY
2017-07-24,78.96,79.77,78.82,79.04,3952200,LLY
2017-07-25,78.1,78.72,75.33,76.66,13319900,LLY
2017-07-26,76.08,76.37,75.59,76.33,7030500,LLY
2017-07-27,76.26,77.46,75.98,77.43,5577400,LLY
2017-07-28,77.29,77.62,76.95,77.51,3820100,LLY
2017-07-31,77.73,78.12,77.07,77.1,4083000,LLY
2017-08-01,77.28,77.55,76.59,76.83,3439400,LLY
2017-08-02,76.54,76.64,75.61,76.31,4574400,LLY
2017-08-03,76.09,76.74,76.02,76.42,3688300,LLY
2017-08-04,76.39,76.78,76.26,76.77,2802600,LLY
2017-08-07,76.77,76.86,76.22,76.55,2769700,LLY
2017-08-08,76.36,77.15,76.14,76.45,3292600,LLY
2017-08-09,76.6,77.17,76.45,77.01,2392100,LLY
2017-08-10,76.99,76.99,76.16,76.53,3367500,LLY
2017-08-11,76.78,76.94,76.14,76.17,2446400,LLY
2017-08-14,76.35,76.67,76.2,76.49,1879600,LLY
2017-08-15,76.5,77.29,76.5,76.7,1949500,LLY
2017-08-16,77.1,77.16,75.11,75.74,3970500,LLY
2017-08-17,75.47,75.63,72.93,73.03,7318200,LLY
2017-08-18,72.93,72.93,72.22,72.34,4061300,LLY
2017-08-21,72.39,72.88,72.17,72.63,3638100,LLY
2017-08-22,72.77,73.83,72.77,73.46,2131900,LLY
2017-08-23,73.4,73.7,73.26,73.36,1801500,LLY
2017-08-24,73.52,74.38,73.46,74.02,4188400,LLY
2017-08-25,74.12,74.65,73.91,73.96,2171500,LLY
2017-08-28,74.25,74.56,73.81,74.0,1923200,LLY
2017-08-29,73.72,74.0,73.33,73.73,2154300,LLY
2017-08-30,74.25,75.82,73.92,75.55,5036900,LLY
2017-08-31,75.82,76.36,75.41,76.3,3939500,LLY
2017-09-01,76.54,76.7,74.56,75.17,4345000,LLY
2017-09-05,74.59,75.14,74.2,74.92,3384000,LLY
2017-09-06,75.29,75.72,74.96,75.57,2689200,LLY
2017-09-07,75.67,77.67,75.44,76.54,6249300,LLY
2017-09-08,76.6,78.02,76.54,77.83,3961300,LLY
2017-09-11,77.85,78.24,76.75,77.56,4389200,LLY
2017-09-12,77.53,77.65,76.9,77.13,2566400,LLY
2017-09-13,76.93,77.51,76.86,77.37,2454900,LLY
2017-09-14,77.28,78.84,77.08,77.97,3370300,LLY
2017-09-15,78.19,78.44,77.14,77.38,5374500,LLY
2017-09-18,77.49,77.6,77.04,77.46,2200000,LLY
2017-09-19,77.57,77.76,76.55,76.72,2259200,LLY
2017-09-20,77.03,77.36,76.4,76.99,2849900,LLY
2017-09-21,76.98,78.57,76.86,78.22,4426700,LLY
2017-09-22,78.23,78.88,77.66,78.76,3148700,LLY
2017-09-25,78.73,79.46,78.66,79.45,4223800,LLY
2017-09-26,79.25,79.91,78.86,79.05,2347200,LLY
2017-09-27,79.17,79.6,78.82,79.46,3085200,LLY
2017-09-28,79.4,80.33,78.99,79.79,2841000,LLY
2017-09-29,79.95,80.36,79.21,80.29,3506100,LLY
2017-10-02,80.52,81.36,80.48,81.05,3071100,LLY
2017-10-03,80.95,81.25,80.66,81.15,2128800,LLY
2017-10-04,81.19,81.81,80.99,81.63,2317700,LLY
2017-10-05,81.45,83.62,81.09,82.27,5221000,LLY
2017-10-06,81.95,82.12,81.33,81.74,2297200,LLY
2017-10-09,81.79,81.93,81.16,81.71,1701400,LLY
2017-10-10,80.14,81.38,80.02,80.87,4943700,LLY
2017-10-11,81.05,81.34,80.21,80.78,3433200,LLY
2017-10-12,80.82,81.15,80.64,81.13,1941100,LLY
2017-10-13,81.1,81.38,80.45,81.24,3026500,LLY
2017-10-16,81.17,81.42,80.52,80.68,3800700,LLY
2017-10-17,80.67,81.19,80.18,80.78,3643700,LLY
2017-10-18,81.03,81.25,80.27,80.47,4002200,LLY
2017-10-19,80.43,81.08,80.26,81.06,3233400,LLY
2017-10-20,81.21,82.02,81.03,81.88,3223200,LLY
2017-10-23,82.1,82.78,81.78,81.83,4909800,LLY
2017-10-24,82.06,82.91,78.61,79.95,8696100,LLY
2017-10-25,80.64,81.07,79.49,79.64,3916000,LLY
2017-10-26,79.48,79.89,78.69,79.0,3820700,LLY
2017-10-27,78.91,79.61,78.46,78.72,2892900,LLY
2017-10-30,78.62,78.62,77.37,77.58,4667200,LLY
2017-10-31,77.68,78.0,76.71,76.91,3853300,LLY
2017-11-01,77.13,78.68,76.97,77.81,3309300,LLY
2017-11-02,77.49,78.77,77.26,78.03,2716100,LLY
2017-11-03,77.64,78.46,77.59,78.39,1534800,LLY
2017-11-06,78.18,78.31,77.83,77.85,1861700,LLY
2017-11-07,77.95,78.3,77.69,78.17,2851900,LLY
2017-11-08,77.91,79.21,77.91,78.86,2328700,LLY
2017-11-09,78.68,79.09,78.5,78.84,2098600,LLY
2017-11-10,78.54,78.73,77.5,78.18,2692500,LLY
2017-11-13,78.22,78.22,77.47,77.78,2478700,LLY
2017-11-14,78.11,78.5,77.65,77.92,2684800,LLY
2017-11-15,77.94,78.53,76.91,77.64,1838100,LLY
2017-11-16,77.84,79.0,77.3,78.82,2599700,LLY
2017-11-17,78.4,78.85,78.21,78.3,4097800,LLY
2017-11-20,78.49,78.7,78.23,78.57,2205900,LLY
2017-11-21,79.01,79.85,78.75,78.88,3529900,LLY
2017-11-22,79.03,79.59,78.85,79.04,2230900,LLY
2017-11-24,79.22,79.51,78.95,79.37,817600,LLY
2017-11-27,79.49,80.53,79.37,80.11,2980900,LLY
2017-11-28,80.36,80.63,80.04,80.34,2659400,LLY
2017-11-29,80.09,80.52,79.77,80.25,2316000,LLY
2017-11-30,80.53,80.74,79.65,79.95,5002100,LLY
2017-12-01,80.27,80.68,79.52,80.59,2736300,LLY
2017-12-04,80.75,81.97,80.63,80.84,4228300,LLY
2017-12-05,80.85,81.78,80.49,81.29,3876800,LLY
2017-12-06,81.27,81.6,79.85,80.59,3130900,LLY
2017-12-07,80.49,81.11,79.96,81.11,4344900,LLY
2017-12-08,80.91,81.67,80.73,81.66,3777100,LLY
2017-12-11,81.81,82.03,81.3,81.87,3336800,LLY
2017-12-12,81.7,82.08,81.22,81.9,4252500,LLY
2017-12-13,81.62,84.15,81.56,83.02,5786800,LLY
2017-12-14,83.33,83.44,81.35,81.71,4388400,LLY
2017-12-15,82.07,82.75,81.49,81.74,7346400,LLY
2017-12-18,81.95,82.6,81.22,81.31,3796000,LLY
2017-12-19,81.27,81.96,81.09,81.9,4027600,LLY
2017-12-20,81.88,82.12,80.89,80.99,3016900,LLY
2017-12-21,81.26,81.4,80.71,80.87,2024300,LLY
2017-12-22,80.86,81.03,80.05,80.36,1834800,LLY
2017-12-26,80.56,80.7,80.25,80.28,1099900,LLY
2017-12-27,80.47,80.72,80.27,80.42,1332800,LLY
2017-12-28,80.57,80.71,80.19,80.34,1731700,LLY
2017-12-29,80.4,80.71,79.78,79.78,2563800,LLY
2018-01-02,79.78,80.29,79.4,79.99,3456700,LLY
2018-01-03,80.04,80.69,79.6,80.42,3078400,LLY
2018-01-04,80.55,81.05,80.04,80.78,2462500,LLY
2018-01-05,81.32,81.94,81.17,81.77,2946300,LLY
2018-01-08,81.89,81.9,80.67,81.36,3251400,LLY
2018-01-09,81.42,81.63,80.99,81.29,2426000,LLY
2018-01-10,80.87,81.39,80.75,81.33,1674600,LLY
2018-01-11,81.39,81.79,81.11,81.6,2647500,LLY
2018-01-12,81.73,82.57,81.26,82.16,2728900,LLY
2018-01-16,81.17,81.79,80.43,80.56,4878300,LLY
2018-01-17,81.05,81.57,80.73,81.43,4083300,LLY
2018-01-18,81.27,81.37,80.54,81.06,4445800,LLY
2018-01-19,81.39,81.5,80.59,80.75,5826900,LLY
2018-01-22,78.64,80.83,77.83,80.71,6374000,LLY
2018-01-23,80.46,81.16,79.57,79.74,5728100,LLY
2018-01-24,80.16,80.44,79.61,79.63,5977700,LLY
2018-01-25,80.11,80.67,79.87,80.3,5201600,LLY
2018-01-26,80.06,82.62,80.06,82.25,6394100,LLY
2018-01-29,81.96,83.44,81.85,82.75,5324500,LLY
2018-01-30,81.84,82.12,80.49,81.32,5388400,LLY
2018-01-31,81.71,81.92,76.77,76.94,10558500,LLY
2018-02-01,77.02,78.28,76.79,77.84,8410700,LLY
2018-02-02,77.34,78.43,76.62,76.68,5152500,LLY
2018-02-05,76.41,77.09,72.31,73.2,8145200,LLY
2018-02-06,72.32,74.73,71.51,73.67,10558800,LLY
2018-02-07,73.45,74.21,72.46,72.47,8240300,LLY
2018-02-08,72.91,73.35,70.08,70.1,8059600,LLY
2018-02-09,70.9,72.56,69.61,72.01,8939700,LLY
2018-02-12,72.43,72.83,71.03,72.02,6454200,LLY
2018-02-13,71.81,72.35,71.55,71.99,4041200,LLY
2018-02-14,71.76,73.46,71.69,73.3,4361100,LLY
2018-02-15,73.99,74.37,73.3,74.24,4810700,LLY
2018-02-16,74.18,75.8,74.14,75.15,4699600,LLY
2018-02-20,74.4,74.89,73.45,73.8,3195000,LLY
2018-02-21,73.84,74.94,73.8,73.8,3871100,LLY
2018-02-22,73.46,74.31,72.82,73.46,7687400,LLY
2018-02-23,73.97,75.04,73.88,74.94,5170300,LLY
2018-02-26,75.17,76.58,75.15,76.3,6015900,LLY
2018-02-27,76.27,76.33,74.88,74.89,4860400,LLY
2018-02-28,74.97,75.35,73.28,73.29,6123400,LLY
2018-03-01,73.33,73.63,71.88,72.8,6258400,LLY
2018-03-02,72.68,73.85,72.63,73.49,3216700,LLY
2018-03-05,73.18,74.3,73.0,73.94,3816600,LLY
2018-03-06,74.09,74.23,73.16,73.46,2962700,LLY
2018-03-07,72.87,73.85,72.84,73.69,2266500,LLY
2018-03-08,73.89,75.2,73.72,75.07,3497200,LLY
2018-03-09,75.44,76.09,75.06,75.76,4399500,LLY
2018-03-12,75.97,76.1,74.81,75.22,5059600,LLY
2018-03-13,75.25,76.01,74.96,75.32,4863200,LLY
2018-03-14,75.55,75.71,74.24,74.69,3167900,LLY
2018-03-15,74.78,76.0,74.66,74.94,3910100,LLY
2018-03-16,75.37,76.6,75.29,76.6,8326300,LLY
2018-03-19,76.24,76.32,74.38,74.92,5117000,LLY
2018-03-20,75.22,75.37,74.08,74.58,3943800,LLY
2018-03-21,74.66,75.18,74.25,74.45,4052000,LLY
2018-03-22,73.81,74.24,72.71,72.83,3816900,LLY
2018-03-23,73.06,73.08,70.9,71.14,4298100,LLY
2018-03-26,71.95,72.54,71.04,72.49,3488700,LLY
2018-03-27,72.41,72.89,71.5,72.0,4070600,LLY
2018-03-28,72.38,73.9,72.36,73.28,4257500,LLY
2018-03-29,73.71,74.04,72.9,73.63,3424000,LLY
2018-04-02,73.16,73.57,71.75,72.04,6282600,LLY
2018-04-03,72.56,73.85,72.19,73.79,3610600,LLY
2018-04-04,73.1,75.01,73.0,74.8,3022200,LLY
2018-04-05,74.72,75.03,74.31,74.82,2213100,LLY
2018-04-06,74.4,74.46,72.61,73.13,4012800,LLY
2018-04-09,73.53,74.56,72.64,73.6,5377500,LLY
2018-04-10,74.31,75.82,74.29,75.39,3657200,LLY
2018-04-11,74.56,75.08,74.34,74.92,2830000,LLY
2018-04-12,75.36,75.82,75.0,75.45,2121100,LLY
2018-04-13,76.01,76.56,75.41,75.86,2652400,LLY
2018-04-16,76.57,76.84,75.82,76.24,2743000,LLY
2018-04-17,76.67,76.74,75.64,76.05,3782400,LLY
2018-04-18,76.09,76.36,75.74,75.86,4261000,LLY
2018-04-19,75.14,75.89,74.75,75.89,4989400,LLY
2018-04-20,75.79,76.04,75.01,75.23,5424100,LLY
2018-04-23,75.59,76.41,75.34,76.32,4015900,LLY
2018-04-24,77.24,77.56,75.1,76.21,6394900,LLY
2018-04-25,76.39,78.34,76.14,77.21,5379000,LLY
2018-04-26,77.48,79.52,77.48,78.56,5058700,LLY
2018-04-27,78.51,79.21,78.39,78.73,3209600,LLY
2018-04-30,79.07,79.18,77.14,77.15,5483500,LLY
2018-05-01,76.78,77.01,74.88,75.24,6306100,LLY
2018-05-02,74.87,75.55,74.66,75.02,5166300,LLY
2018-05-03,74.84,74.89,73.69,74.26,4469300,LLY
2018-05-04,73.67,74.82,73.36,74.61,3367500,LLY
2018-05-07,74.62,75.42,74.44,74.83,3722600,LLY
2018-05-08,74.68,75.08,74.39,75.06,4591700,LLY
2018-05-09,75.14,75.8,74.65,75.43,3325200,LLY
2018-05-10,75.62,77.24,75.57,76.95,3718400,LLY
2018-05-11,77.22,78.46,77.1,78.46,4393800,LLY
2018-05-14,78.6,79.29,78.51,79.05,4739700,LLY
2018-05-15,78.72,78.93,77.87,78.23,3662700,LLY
2018-05-16,78.38,78.52,77.57,77.78,3614500,LLY
2018-05-17,77.65,78.42,77.64,78.24,2808400,LLY
2018-05-18,78.08,78.85,78.08,78.64,4002300,LLY
2018-05-21,78.85,79.09,78.25,78.41,2505900,LLY
2018-05-22,78.7,79.42,78.39,78.78,2620700,LLY
2018-05-23,78.29,79.45,78.2,79.22,2516900,LLY
2018-05-24,79.25,79.33,78.67,79.25,2481800,LLY
2018-05-25,79.33,79.98,79.14,79.31,2338100,LLY
2018-05-29,78.68,79.16,78.24,78.99,3459300,LLY
2018-05-30,79.45,80.51,79.44,80.35,3475400,LLY
2018-05-31,80.37,81.55,80.18,81.48,9526400,LLY
2018-06-01,81.64,82.1,81.02,81.3,4057700,LLY
2018-06-04,81.11,81.94,80.83,81.51,4263100,LLY
2018-06-05,81.68,82.12,81.0,81.27,3667600,LLY
2018-06-06,81.33,82.34,81.12,82.34,2720100,LLY
2018-06-07,82.59,82.71,81.75,82.29,3123600,LLY
2018-06-08,82.24,82.81,81.86,82.48,3172300,LLY
2018-06-11,82.7,83.15,82.22,82.27,3506900,LLY
2018-06-12,82.17,82.42,81.88,81.91,3016900,LLY
2018-06-13,82.17,82.77,82.02,82.13,3052100,LLY
2018-06-14,82.09,82.84,81.61,82.74,3115100,LLY
2018-06-15,82.53,83.62,82.5,83.25,5575200,LLY
2018-06-18,82.38,82.55,81.45,82.51,2903900,LLY
2018-06-19,82.3,83.24,82.09,83.19,3044500,LLY
2018-06-20,83.11,83.51,82.59,82.67,4675500,LLY
2018-06-21,82.23,82.67,81.63,82.47,2856400,LLY
