Date,Open,High,Low,Close,Volume,Name
2017-07-03,63.23,64.74,63.18,64.1,731400,LNC
2017-07-05,64.36,64.54,63.44,63.96,1172200,LNC
2017-07-06,64.34,65.86,64.08,64.6,1945600,LNC
2017-07-07,64.87,65.48,64.4,65.38,1365200,LNC
2017-07-10,65.23,66.1,65.19,65.78,1388000,LNC
2017-07-11,65.89,66.18,65.17,65.35,1593900,LNC
2017-07-12,65.08,65.92,64.98,65.76,1186600,LNC
2017-07-13,65.89,66.89,65.6,66.85,1158200,LNC
2017-07-14,65.9,66.8,65.47,66.44,1216700,LNC
2017-07-17,66.33,66.6,65.9,66.24,824100,LNC
2017-07-18,65.62,65.98,65.15,65.5,1349900,LNC
2017-07-19,65.75,66.69,65.43,66.3,1968600,LNC
2017-07-20,66.3,66.65,65.75,65.87,938500,LNC
2017-07-21,65.66,66.15,65.44,65.88,941300,LNC
2017-07-24,65.89,66.63,65.85,66.48,652000,LNC
2017-07-25,67.49,67.92,67.21,67.38,946800,LNC
2017-07-26,67.36,67.69,66.49,66.6,1028300,LNC
2017-07-27,66.84,68.1,66.77,67.38,1616500,LNC
2017-07-28,67.36,67.97,67.0,67.81,803600,LNC
2017-07-31,68.31,68.31,67.75,68.05,862400,LNC
2017-08-01,68.47,68.6,67.72,68.54,1328300,LNC
2017-08-02,68.2,68.92,68.11,68.27,1870900,LNC
2017-08-03,68.64,69.51,66.76,68.15,1774000,LNC
2017-08-04,68.91,69.8,68.59,69.15,1250800,LNC
2017-08-07,69.04,69.41,68.46,68.89,1029700,LNC
2017-08-08,68.82,70.58,68.82,69.24,1214000,LNC
2017-08-09,68.63,68.92,68.05,68.68,1388000,LNC
2017-08-10,68.0,68.27,66.81,66.84,1312700,LNC
2017-08-11,66.84,67.49,66.19,66.5,872400,LNC
2017-08-14,67.38,67.91,66.92,67.21,1215400,LNC
2017-08-15,67.85,68.26,67.05,67.22,1256600,LNC
2017-08-16,67.7,67.92,66.14,66.26,1418900,LNC
2017-08-17,66.02,66.1,64.12,64.16,1722600,LNC
