Date,Open,High,Low,Close,Volume,Name
2017-07-03,95.23,95.46,94.65,95.25,348400,MAA
2017-07-05,95.26,95.54,94.07,94.73,752700,MAA
2017-07-06,93.72,94.42,91.33,91.34,937600,MAA
2017-07-07,91.44,92.49,91.11,92.08,682100,MAA
2017-07-10,92.08,92.08,90.43,90.51,682900,MAA
2017-07-11,90.6,90.61,89.3,89.58,857700,MAA
2017-07-12,90.41,90.98,90.1,90.58,935300,MAA
2017-07-13,90.7,90.79,89.98,90.5,570800,MAA
2017-07-14,90.79,91.49,90.68,91.11,571400,MAA
2017-07-17,91.16,92.16,90.88,91.86,666200,MAA
2017-07-18,91.86,92.15,91.25,91.57,869000,MAA
2017-07-19,91.65,92.15,91.53,91.92,783300,MAA
2017-07-20,92.2,92.67,91.59,91.65,693600,MAA
2017-07-21,91.62,92.02,91.23,91.82,901700,MAA
2017-07-24,92.09,92.87,91.66,92.65,804800,MAA
2017-07-25,92.8,92.8,91.27,92.02,588300,MAA
2017-07-26,92.01,92.9,91.76,92.77,416100,MAA
2017-07-27,91.85,93.89,89.88,93.37,968700,MAA
2017-07-28,93.46,94.95,93.38,94.1,699300,MAA
2017-07-31,94.14,94.27,93.53,93.94,837500,MAA
2017-08-01,94.19,94.69,93.79,94.26,460100,MAA
2017-08-02,94.01,94.38,93.63,94.23,469100,MAA
2017-08-03,94.24,94.88,93.38,94.31,409600,MAA
2017-08-04,94.31,94.96,94.02,94.15,399000,MAA
2017-08-07,94.21,94.58,93.68,94.39,374200,MAA
2017-08-08,94.29,94.73,94.06,94.69,485800,MAA
2017-08-09,94.69,95.52,94.5,95.36,546200,MAA
2017-08-10,95.17,95.53,94.77,94.8,396000,MAA
2017-08-11,95.09,95.09,94.19,94.39,392700,MAA
2017-08-14,94.79,96.5,94.49,96.36,502400,MAA
2017-08-15,96.25,97.26,95.32,97.18,677100,MAA
2017-08-16,97.46,97.81,96.64,96.81,591300,MAA
2017-08-17,96.68,97.2,96.39,96.65,472100,MAA
2017-08-18,96.32,96.32,95.51,95.97,507600,MAA
2017-08-21,96.05,97.77,95.77,97.5,501100,MAA
2017-08-22,97.5,97.77,96.39,96.99,411800,MAA
2017-08-23,96.88,97.95,96.88,97.65,311300,MAA
2017-08-24,97.77,98.24,97.43,97.52,563500,MAA
