Date,Open,High,Low,Close,Volume,Name
2017-07-03,40.7,40.8,40.4,40.45,4244400,MDLZ
2017-07-05,40.4,40.65,40.26,40.37,6965400,MDLZ
2017-07-06,40.26,40.59,40.2,40.32,7093500,MDLZ
2017-07-07,40.25,40.61,40.16,40.47,9145000,MDLZ
2017-07-10,40.51,40.65,40.26,40.31,5127600,MDLZ
2017-07-11,40.31,40.44,40.04,40.25,4886000,MDLZ
2017-07-12,40.55,40.7,40.44,40.48,5371000,MDLZ
2017-07-13,40.43,40.64,40.28,40.53,4927600,MDLZ
2017-07-14,40.75,40.91,40.55,40.84,6092600,MDLZ
2017-07-17,40.87,40.97,40.72,40.91,4479200,MDLZ
2017-07-18,40.97,41.07,40.79,41.01,3761300,MDLZ
2017-07-19,40.97,41.36,40.82,41.33,4785200,MDLZ
2017-07-20,41.35,41.47,40.97,41.02,6771900,MDLZ
2017-07-21,40.99,41.3,40.93,41.22,7572100,MDLZ
2017-07-24,41.15,41.41,40.89,40.96,5105900,MDLZ
2017-07-25,41.43,41.55,41.15,41.42,7325800,MDLZ
2017-07-26,41.5,41.61,41.25,41.4,4323300,MDLZ
2017-07-27,41.23,41.44,40.96,41.42,7559200,MDLZ
2017-07-28,41.54,41.55,41.07,41.13,6700600,MDLZ
2017-07-31,41.19,41.29,40.85,41.22,6959900,MDLZ
2017-08-01,41.23,41.24,40.81,40.84,6764800,MDLZ
2017-08-02,41.22,41.36,40.06,41.29,13439200,MDLZ
2017-08-03,41.38,41.52,40.61,40.64,10048600,MDLZ
2017-08-04,40.8,40.97,40.56,40.71,8144300,MDLZ
2017-08-07,40.78,41.25,40.64,41.19,7424900,MDLZ
2017-08-08,40.98,41.16,40.76,40.86,6064800,MDLZ
2017-08-09,40.76,40.96,40.51,40.7,4729400,MDLZ
2017-08-10,40.49,40.82,40.44,40.51,6059600,MDLZ
2017-08-11,40.58,40.95,40.46,40.81,4875000,MDLZ
2017-08-14,40.97,41.22,40.87,40.92,6213600,MDLZ
2017-08-15,40.9,41.13,40.84,41.07,7947400,MDLZ
2017-08-16,41.4,41.65,41.2,41.37,6632900,MDLZ
2017-08-17,40.69,41.42,40.63,40.64,6703400,MDLZ
2017-08-18,40.69,40.79,40.18,40.2,6761000,MDLZ
2017-08-21,40.17,40.56,40.09,40.36,3841800,MDLZ
2017-08-22,40.37,40.72,40.37,40.67,3608500,MDLZ
2017-08-23,40.72,40.72,40.3,40.35,3860800,MDLZ
2017-08-24,40.25,40.34,39.13,39.21,16105600,MDLZ
2017-08-25,39.29,39.51,38.77,38.84,11397800,MDLZ
2017-08-28,38.97,39.03,38.35,38.67,12895800,MDLZ
2017-08-29,38.66,39.31,38.45,39.22,7619600,MDLZ
2017-08-30,39.1,39.61,37.82,38.98,27452200,MDLZ
2017-08-31,38.9,38.9,37.89,38.07,16939200,MDLZ
2017-09-01,38.19,38.36,38.01,38.28,6811700,MDLZ
2017-09-05,38.34,38.51,37.96,38.13,10647000,MDLZ
2017-09-06,38.18,38.19,37.66,38.0,10298500,MDLZ
2017-09-07,38.25,38.44,38.01,38.35,12150300,MDLZ
2017-09-08,38.36,38.57,38.02,38.04,9829200,MDLZ
2017-09-11,38.23,38.59,38.12,38.57,8704500,MDLZ
2017-09-12,38.7,38.76,38.29,38.37,6191200,MDLZ
2017-09-13,38.39,38.7,38.22,38.5,8289300,MDLZ
2017-09-14,38.5,38.64,37.97,38.09,8554700,MDLZ
2017-09-15,38.04,38.45,38.04,38.26,11392300,MDLZ
2017-09-18,38.39,38.39,38.07,38.12,9676900,MDLZ
2017-09-19,38.14,38.27,37.89,37.99,7553200,MDLZ
2017-09-20,38.06,38.19,37.67,37.84,11213800,MDLZ
2017-09-21,37.95,38.11,37.58,37.63,8272700,MDLZ
2017-09-22,37.6,37.84,37.49,37.5,15694000,MDLZ
2017-09-25,37.54,38.12,37.5,37.92,9303200,MDLZ
2017-09-26,38.04,38.28,37.88,38.04,9038600,MDLZ
2017-09-27,38.2,38.2,37.72,37.98,9336200,MDLZ
2017-09-28,38.11,38.46,37.98,38.14,7461800,MDLZ
2017-09-29,38.22,38.37,37.94,38.28,8136300,MDLZ
2017-10-02,38.22,38.98,38.18,38.69,18913500,MDLZ
2017-10-03,38.87,38.87,38.44,38.54,8036200,MDLZ
2017-10-04,38.64,38.82,38.5,38.62,5735800,MDLZ
2017-10-05,38.67,38.81,38.55,38.69,6758500,MDLZ
2017-10-06,38.74,38.84,38.63,38.72,5047100,MDLZ
2017-10-09,38.98,38.99,38.32,38.42,4700500,MDLZ
2017-10-10,38.49,39.19,38.44,39.02,10650000,MDLZ
2017-10-11,39.02,39.36,38.97,39.27,6807000,MDLZ
2017-10-12,39.31,39.44,39.09,39.36,5110200,MDLZ
2017-10-13,39.54,39.54,39.18,39.24,7051300,MDLZ
2017-10-16,39.2,39.31,39.01,39.11,4496800,MDLZ
2017-10-17,38.96,39.02,38.58,38.72,6209800,MDLZ
2017-10-18,38.42,38.72,38.33,38.42,5691600,MDLZ
2017-10-19,38.45,38.51,38.24,38.34,6209800,MDLZ
2017-10-20,38.29,38.65,38.29,38.62,7610900,MDLZ
2017-10-23,38.73,38.86,38.48,38.63,5457500,MDLZ
2017-10-24,38.64,38.99,38.54,38.68,8816600,MDLZ
2017-10-25,38.52,38.7,38.16,38.67,5941300,MDLZ
2017-10-26,38.88,38.93,38.49,38.51,6209100,MDLZ
2017-10-27,38.01,38.49,37.99,38.3,9946900,MDLZ
2017-10-30,38.09,38.29,36.89,37.0,13981600,MDLZ
2017-10-31,39.85,40.0,38.91,39.0,16672500,MDLZ
2017-11-01,39.4,39.43,38.8,38.85,7619900,MDLZ
2017-11-02,38.84,39.03,38.49,38.75,6897100,MDLZ
2017-11-03,38.75,38.93,38.5,38.57,5149800,MDLZ
2017-11-06,38.54,38.55,37.84,38.05,5571000,MDLZ
2017-11-07,38.14,38.85,37.99,38.79,7540400,MDLZ
2017-11-08,38.57,39.32,38.57,39.16,11386400,MDLZ
2017-11-09,38.89,39.19,38.8,38.93,6748500,MDLZ
2017-11-10,38.71,39.61,38.63,39.49,10149400,MDLZ
2017-11-13,39.38,39.72,39.38,39.59,6886700,MDLZ
