Date,Open,High,Low,Close,Volume,Name
2017-07-03,82.58,82.95,82.54,82.59,2006700,MDT
2017-07-05,82.75,83.29,82.53,83.11,2892100,MDT
2017-07-06,82.92,83.18,81.57,81.57,3884900,MDT
2017-07-07,81.94,82.36,81.7,82.23,2918100,MDT
2017-07-10,82.13,82.26,81.38,81.52,3062100,MDT
2017-07-11,81.38,81.71,81.03,81.57,2792900,MDT
2017-07-12,82.03,82.5,81.7,82.09,2128400,MDT
2017-07-13,82.2,82.26,81.61,82.09,2306300,MDT
2017-07-14,82.09,83.03,81.95,82.8,2257800,MDT
2017-07-17,82.8,83.0,80.25,80.45,9555300,MDT
2017-07-18,80.4,80.8,80.19,80.26,5505700,MDT
2017-07-19,80.38,80.53,79.89,80.07,4597000,MDT
2017-07-20,80.31,80.48,79.94,80.09,4381500,MDT
2017-07-21,80.09,80.35,79.4,79.62,3523200,MDT
2017-07-24,79.66,79.75,79.19,79.54,4096000,MDT
2017-07-25,79.83,80.4,79.49,80.33,5256300,MDT
2017-07-26,80.23,80.66,79.83,80.15,3331600,MDT
2017-07-27,80.26,80.26,78.83,79.16,5244900,MDT
2017-07-28,79.06,79.28,78.68,78.8,4550800,MDT
2017-07-31,78.99,79.16,78.45,78.5,5452200,MDT
2017-08-01,78.63,78.88,78.05,78.08,5356100,MDT
2017-08-02,78.08,78.16,77.57,77.78,4909500,MDT
2017-08-03,77.55,78.05,77.43,77.86,5944300,MDT
2017-08-04,78.1,78.49,77.81,78.23,3414700,MDT
2017-08-07,78.31,79.04,78.25,78.87,3647600,MDT
2017-08-08,78.8,79.02,78.22,78.37,3825300,MDT
2017-08-09,78.29,78.54,78.07,78.48,3519300,MDT
2017-08-10,78.13,78.39,77.61,77.63,3495800,MDT
2017-08-11,77.89,78.75,77.67,78.25,4302200,MDT
2017-08-14,78.57,79.53,78.57,78.96,3346800,MDT
2017-08-15,79.07,79.47,78.92,79.08,2766000,MDT
2017-08-16,79.3,79.39,79.03,79.09,4376200,MDT
2017-08-17,78.97,79.32,78.19,78.22,3789000,MDT
2017-08-18,77.89,78.35,77.7,77.97,4441000,MDT
2017-08-21,77.9,78.54,77.53,78.08,4691500,MDT
2017-08-22,76.15,76.8,75.72,76.43,9382100,MDT
2017-08-23,76.02,76.25,74.27,74.55,8667500,MDT
2017-08-24,74.5,74.88,73.95,74.08,7365000,MDT
2017-08-25,74.24,74.65,73.88,73.91,4231200,MDT
2017-08-28,74.38,74.66,74.23,74.4,4900800,MDT
2017-08-29,74.19,74.69,73.87,74.52,4130900,MDT
2017-08-30,74.51,74.71,74.17,74.66,3725800,MDT
2017-08-31,74.79,75.46,74.6,75.37,5661900,MDT
2017-09-01,75.44,75.49,74.67,74.83,3133400,MDT
2017-09-05,74.67,75.16,74.38,74.62,3255800,MDT
2017-09-06,74.71,74.86,74.19,74.66,3784000,MDT
2017-09-07,74.71,75.05,74.52,74.74,3387000,MDT
2017-09-08,74.69,77.1,74.69,76.68,7881000,MDT
2017-09-11,76.89,77.12,75.9,76.24,5854100,MDT
2017-09-12,76.19,76.99,75.81,76.94,4073500,MDT
2017-09-13,76.78,77.08,76.38,76.59,4795100,MDT
2017-09-14,76.54,76.59,75.79,76.47,4461900,MDT
2017-09-15,76.31,76.79,76.08,76.77,9563400,MDT
2017-09-18,77.0,77.16,76.42,77.03,4162500,MDT
2017-09-19,77.26,77.35,75.84,75.9,5584800,MDT
2017-09-20,75.9,76.2,74.17,74.94,6384400,MDT
2017-09-21,74.92,75.3,74.32,74.35,4822000,MDT
2017-09-22,74.3,74.68,73.95,74.51,4593200,MDT
2017-09-25,74.31,74.4,72.82,73.17,7151300,MDT
2017-09-26,73.15,73.74,72.98,73.26,4791000,MDT
2017-09-27,73.54,73.73,72.4,72.77,4801700,MDT
2017-09-28,73.07,73.27,72.57,73.08,5536500,MDT
2017-09-29,73.03,73.36,72.93,73.13,6186200,MDT
2017-10-02,73.41,73.57,72.88,73.4,4312900,MDT
2017-10-03,73.52,73.54,72.96,73.45,5866600,MDT
2017-10-04,73.59,74.2,73.54,73.94,5735200,MDT
2017-10-05,74.64,75.1,74.29,74.77,6323200,MDT
2017-10-06,74.83,75.05,74.53,75.05,3248500,MDT
2017-10-09,73.16,73.59,71.96,72.34,12760100,MDT
2017-10-10,72.36,72.77,72.33,72.68,7244100,MDT
2017-10-11,72.48,73.8,72.48,73.58,6442300,MDT
2017-10-12,73.09,73.31,72.5,73.27,8427000,MDT
2017-10-13,73.25,73.57,72.84,73.42,5442000,MDT
2017-10-16,73.38,73.76,73.08,73.1,5392200,MDT
2017-10-17,73.12,73.58,72.78,73.35,3809600,MDT
2017-10-18,73.35,74.19,73.27,73.9,4613200,MDT
2017-10-19,73.89,74.28,73.76,73.8,2765000,MDT
2017-10-20,74.07,74.18,73.51,73.67,4173800,MDT
2017-10-23,74.03,74.53,73.67,74.31,4811600,MDT
2017-10-24,74.39,74.48,73.76,73.97,4462300,MDT
2017-10-25,73.9,74.58,73.58,74.48,4906500,MDT
2017-10-26,74.2,75.91,74.16,75.64,7331100,MDT
2017-10-27,76.07,76.82,75.89,76.45,7744000,MDT
2017-10-30,76.21,76.23,74.76,75.73,5993800,MDT
2017-10-31,75.67,75.99,75.36,75.72,4612000,MDT
2017-11-01,75.63,76.32,75.24,75.52,5136500,MDT
2017-11-02,75.51,75.78,72.57,73.23,10276700,MDT
2017-11-03,72.99,74.02,72.47,73.75,6936600,MDT
2017-11-06,73.78,73.81,73.0,73.06,4027000,MDT
2017-11-07,73.26,73.53,73.02,73.36,3655100,MDT
2017-11-08,73.5,73.5,72.62,73.17,4468000,MDT
2017-11-09,75.36,76.28,74.72,75.99,8803500,MDT
2017-11-10,75.61,75.67,73.64,74.6,6416400,MDT
2017-11-13,74.55,74.69,73.59,74.48,4013700,MDT
2017-11-14,74.23,74.64,73.94,74.44,2701100,MDT
2017-11-15,74.29,74.42,73.93,73.99,4145400,MDT
2017-11-16,74.31,74.93,74.26,74.53,4763500,MDT
2017-11-17,74.13,75.32,74.05,74.75,7098000,MDT
2017-11-20,74.65,74.97,74.19,74.2,7446700,MDT
2017-11-21,78.05,79.1,77.58,77.73,11004000,MDT
2017-11-22,77.83,78.02,77.16,77.43,5303300,MDT
2017-11-24,77.76,78.52,77.69,78.29,3165600,MDT
2017-11-27,78.3,78.56,76.23,76.56,6346500,MDT
2017-11-28,76.8,77.66,76.51,77.54,5773700,MDT
2017-11-29,77.4,78.03,77.08,77.22,3945500,MDT
2017-11-30,77.73,77.85,77.15,77.23,5663900,MDT
2017-12-01,77.54,77.65,75.8,76.43,5992800,MDT
2017-12-04,76.47,76.52,74.99,75.11,8687800,MDT
2017-12-05,74.83,76.61,74.83,76.1,5392200,MDT
2017-12-06,76.71,76.92,76.1,76.64,5192100,MDT
2017-12-07,76.74,77.2,75.5,75.77,5497500,MDT
2017-12-08,76.1,76.28,75.74,76.24,4106400,MDT
2017-12-11,76.36,76.68,76.03,76.43,3501400,MDT
2017-12-12,77.57,77.76,76.92,77.11,4966500,MDT
2017-12-13,76.92,77.26,76.67,77.04,4473300,MDT
2017-12-14,77.06,77.56,76.85,76.95,5000700,MDT
2017-12-15,77.53,78.71,77.53,78.52,9813100,MDT
2017-12-18,78.63,78.79,78.13,78.46,5204200,MDT
2017-12-19,78.73,79.1,77.11,77.15,5096500,MDT
2017-12-20,77.48,78.02,76.44,76.53,3769400,MDT
2017-12-21,76.68,77.54,76.51,76.62,4051200,MDT
