Date,Open,High,Low,Close,Volume,Name
2017-07-03,22.4,23.17,22.34,23.11,2389600.0,MOS
2017-07-05,23.1,23.15,22.19,22.23,4404600.0,MOS
2017-07-06,22.1,22.25,21.73,21.77,3217000.0,MOS
2017-07-07,21.85,22.04,21.55,21.97,3508800.0,MOS
2017-07-10,22.01,23.51,21.9,23.14,6812600.0,MOS
2017-07-11,23.13,23.29,22.48,23.01,5674300.0,MOS
2017-07-12,23.21,23.62,22.8,22.91,5307800.0,MOS
2017-07-13,22.87,23.23,22.71,23.18,3152600.0,MOS
2017-07-14,23.09,23.2,22.86,23.06,2952500.0,MOS
2017-07-17,23.11,23.56,23.03,23.29,2768500.0,MOS
2017-07-18,23.23,23.32,23.01,23.3,1966700.0,MOS
2017-07-19,23.38,23.96,23.34,23.86,3778400.0,MOS
2017-07-20,24.02,24.08,23.44,23.75,3423500.0,MOS
2017-07-21,23.76,23.93,23.37,23.69,2922000.0,MOS
2017-07-24,23.58,23.67,23.34,23.49,2239700.0,MOS
2017-07-25,23.54,23.87,23.33,23.54,3211400.0,MOS
2017-07-26,23.64,23.76,22.82,22.94,3482100.0,MOS
2017-07-27,22.98,23.52,22.69,23.21,3861400.0,MOS
2017-07-28,23.21,23.61,23.21,23.5,3015100.0,MOS
2017-07-31,23.51,23.69,23.32,23.47,3377600.0,MOS
2017-08-01,23.16,23.16,21.36,22.25,10771900.0,MOS
2017-08-02,22.16,22.23,21.43,21.63,5717700.0,MOS
2017-08-03,21.53,22.02,21.44,21.7,3598000.0,MOS
2017-08-04,21.77,21.99,21.58,21.95,3177700.0,MOS
2017-08-07,21.98,21.99,21.27,21.36,4366500.0,MOS
2017-08-08,21.35,21.57,20.83,20.94,5481600.0,MOS
2017-08-09,20.91,20.96,20.55,20.67,4222500.0,MOS
2017-08-10,20.6,20.77,19.82,20.03,7105700.0,MOS
2017-08-11,20.21,20.27,19.5,19.77,5511200.0,MOS
2017-08-14,19.87,20.06,19.7,19.74,4772500.0,MOS
2017-08-15,19.62,19.68,19.22,19.6,7894400.0,MOS
2017-08-16,19.66,20.18,19.61,20.0,5607000.0,MOS
2017-08-17,19.97,20.37,19.52,19.54,3848200.0,MOS
2017-08-18,19.5,19.53,19.04,19.31,4465600.0,MOS
2017-08-21,19.32,19.4,19.13,19.31,2589000.0,MOS
2017-08-22,19.43,19.75,19.37,19.38,3806500.0,MOS
2017-08-23,19.34,19.74,19.34,19.61,2900000.0,MOS
2017-08-24,19.64,19.85,19.44,19.63,2380200.0,MOS
2017-08-25,19.77,19.97,19.65,19.8,2300800.0,MOS
2017-08-28,19.83,19.88,19.32,19.51,3441700.0,MOS
2017-08-29,19.36,19.39,19.16,19.38,2898500.0,MOS
2017-08-30,19.34,19.34,19.12,19.27,2004800.0,MOS
2017-08-31,19.38,19.57,19.17,19.42,3491900.0,MOS
2017-09-01,19.49,19.69,19.44,19.55,2554100.0,MOS
2017-09-05,19.55,19.67,18.88,18.92,5227600.0,MOS
2017-09-06,19.01,19.43,18.85,19.34,5979700.0,MOS
2017-09-07,19.38,19.49,19.09,19.13,4919700.0,MOS
2017-09-08,19.11,19.15,18.84,19.0,3871300.0,MOS
2017-09-11,19.1,19.81,19.07,19.6,6104800.0,MOS
2017-09-12,19.68,20.14,19.64,19.85,4859200.0,MOS
2017-09-13,19.9,19.96,19.59,19.72,3027100.0,MOS
2017-09-14,19.71,20.04,19.68,20.02,3810800.0,MOS
2017-09-15,20.05,20.35,19.97,20.24,6355100.0,MOS
2017-09-18,20.24,21.42,20.24,20.88,8305300.0,MOS
2017-09-19,20.93,21.05,20.31,20.42,5015000.0,MOS
2017-09-20,20.53,20.92,20.26,20.45,4719000.0,MOS
2017-09-21,20.39,20.86,20.3,20.51,4426100.0,MOS
2017-09-22,20.45,20.57,20.32,20.44,2187700.0,MOS
2017-09-25,20.45,20.86,20.37,20.83,3885800.0,MOS
2017-09-26,20.86,21.07,20.57,20.95,3201700.0,MOS
2017-09-27,21.07,21.11,20.74,21.02,3057300.0,MOS
2017-09-28,21.08,21.46,20.79,20.87,4312800.0,MOS
2017-09-29,20.87,21.16,20.74,21.15,2792500.0,MOS
2017-10-02,21.09,21.47,20.99,21.31,3881200.0,MOS
2017-10-03,21.45,21.46,21.19,21.32,2959000.0,MOS
2017-10-04,21.31,21.49,21.2,21.28,2809000.0,MOS
2017-10-05,21.31,21.35,21.11,21.2,4017100.0,MOS
