Date,Open,High,Low,Close,Volume,Name
2017-07-03,47.41,48.08,47.4,47.83,1740700,MPC
2017-07-05,47.59,47.81,47.05,47.65,4098300,MPC
2017-07-06,47.87,48.21,47.4,47.61,3074600,MPC
2017-07-07,47.63,48.78,47.45,48.71,3908100,MPC
2017-07-10,48.6,49.1,48.56,48.72,3031300,MPC
2017-07-11,48.57,49.16,48.49,48.82,3288900,MPC
2017-07-12,49.31,49.36,48.4,48.43,2538600,MPC
2017-07-13,48.35,48.53,47.94,48.5,2614000,MPC
2017-07-14,48.47,48.69,48.28,48.47,2788700,MPC
2017-07-17,48.52,49.08,48.29,48.92,4615100,MPC
2017-07-18,49.2,49.4,48.84,49.39,2757900,MPC
2017-07-19,49.45,50.18,49.31,50.04,3365600,MPC
2017-07-20,50.23,50.29,49.37,49.9,3000500,MPC
2017-07-21,49.85,50.06,49.4,49.85,2101900,MPC
2017-07-24,50.06,50.33,49.84,50.05,2306100,MPC
2017-07-25,50.57,51.02,50.4,50.46,4102400,MPC
2017-07-26,50.8,50.99,50.12,50.14,4010500,MPC
2017-07-27,48.89,50.86,48.2,50.58,5047400,MPC
2017-07-28,50.37,50.63,49.48,49.53,3412400,MPC
2017-07-31,49.69,50.62,49.56,50.44,2973100,MPC
2017-08-01,50.54,51.17,50.36,50.92,2918400,MPC
2017-08-02,50.58,51.07,50.5,50.62,2908200,MPC
2017-08-03,50.49,50.69,50.22,50.35,2683000,MPC
2017-08-04,50.43,50.85,50.14,50.26,3467600,MPC
2017-08-07,50.08,50.17,49.41,49.45,3182600,MPC
2017-08-08,49.45,49.6,48.92,49.04,2312200,MPC
2017-08-09,49.03,49.26,47.59,47.73,4329200,MPC
2017-08-10,47.78,47.78,46.96,47.03,3676200,MPC
2017-08-11,46.87,47.16,46.56,46.99,3303500,MPC
2017-08-14,47.28,47.83,47.26,47.48,2248700,MPC
2017-08-15,47.43,47.54,46.99,47.1,3015500,MPC
2017-08-16,47.2,47.26,46.21,46.35,3896700,MPC
2017-08-17,46.04,46.2,45.1,45.12,4586200,MPC
2017-08-18,45.04,45.88,44.87,45.49,3661300,MPC
2017-08-21,45.45,45.48,44.89,44.89,3561100,MPC
2017-08-22,45.12,45.35,44.75,45.09,3257500,MPC
2017-08-23,44.87,45.73,44.78,45.54,4527200,MPC
2017-08-24,45.62,46.79,45.56,46.41,4070100,MPC
2017-08-25,46.72,47.38,46.62,46.95,3101400,MPC
2017-08-28,47.5,48.08,47.23,47.68,5812400,MPC
2017-08-29,47.36,47.68,46.4,46.69,5375900,MPC
2017-08-30,46.78,47.69,46.63,47.5,4249300,MPC
2017-08-31,47.7,47.98,47.2,47.61,4895500,MPC
2017-09-01,47.7,49.31,47.66,49.27,3976600,MPC
2017-09-05,48.64,48.71,45.86,47.01,8363200,MPC
2017-09-06,46.88,47.72,46.74,47.54,6461900,MPC
2017-09-07,47.78,48.2,47.51,47.78,3902700,MPC
2017-09-08,47.8,48.76,47.68,48.49,4656400,MPC
2017-09-11,48.55,48.87,47.74,48.79,4580100,MPC
2017-09-12,48.97,49.45,48.64,48.81,3425900,MPC
2017-09-13,49.02,49.09,47.85,48.3,4395700,MPC
2017-09-14,48.36,48.41,47.48,47.51,5402000,MPC
2017-09-15,47.53,48.22,47.44,48.07,9062800,MPC
2017-09-18,48.17,48.77,48.05,48.64,4522000,MPC
2017-09-19,48.79,49.33,48.46,49.2,4522500,MPC
2017-09-20,49.36,49.65,49.05,49.41,4221700,MPC
2017-09-21,49.41,49.83,49.25,49.35,4037800,MPC
2017-09-22,49.24,49.94,49.14,49.68,3681400,MPC
2017-09-25,49.93,50.66,49.91,50.41,4594600,MPC
2017-09-26,50.25,50.52,49.99,50.27,4032800,MPC
2017-09-27,49.57,50.63,49.57,50.14,3857900,MPC
2017-09-28,50.16,50.63,50.06,50.35,3762900,MPC
2017-09-29,50.34,51.33,50.19,50.91,3723900,MPC
2017-10-02,50.78,51.08,50.41,50.73,2712500,MPC
2017-10-03,50.41,51.12,50.15,50.96,3199900,MPC
2017-10-04,50.98,51.47,50.74,51.12,2804600,MPC
2017-10-05,51.27,51.65,50.96,51.06,2886500,MPC
2017-10-06,50.65,51.2,50.57,50.85,3917400,MPC
2017-10-09,50.95,51.28,50.87,50.96,3281500,MPC
