Date,Open,High,Low,Close,Volume,Name
2017-07-03,58.42,59.13,58.42,58.8,4671400,MRK
2017-07-05,58.99,59.29,58.48,58.7,6507800,MRK
2017-07-06,58.35,58.47,57.63,57.73,11342700,MRK
2017-07-07,57.83,57.95,57.47,57.79,7243400,MRK
2017-07-10,58.0,58.01,57.28,57.49,6713800,MRK
2017-07-11,57.48,57.62,56.95,57.04,6877500,MRK
2017-07-12,57.33,57.76,57.33,57.44,8216000,MRK
2017-07-13,57.45,57.63,56.98,57.54,6799200,MRK
2017-07-14,57.58,58.01,57.51,57.7,6020900,MRK
2017-07-17,57.78,57.93,57.21,57.28,7387300,MRK
2017-07-18,57.18,57.3,56.97,57.1,6114900,MRK
2017-07-19,57.18,57.49,57.13,57.29,5699100,MRK
2017-07-20,57.56,57.86,57.51,57.59,6655100,MRK
2017-07-21,57.45,57.64,57.26,57.3,6906400,MRK
2017-07-24,57.22,57.55,57.18,57.25,7783700,MRK
2017-07-25,57.5,57.64,56.96,57.06,5955900,MRK
2017-07-26,57.01,57.04,56.47,56.54,9366700,MRK
2017-07-27,58.25,59.06,57.46,58.27,21846300,MRK
2017-07-28,58.38,58.89,57.84,58.66,13342100,MRK
2017-07-31,58.79,58.84,58.11,58.45,11714900,MRK
2017-08-01,58.59,58.8,58.35,58.48,6490900,MRK
2017-08-02,58.51,58.52,57.8,58.04,7034900,MRK
2017-08-03,57.83,58.31,57.81,58.12,7018800,MRK
2017-08-04,58.22,58.27,57.59,57.73,5341000,MRK
2017-08-07,57.6,57.72,57.33,57.5,6696800,MRK
2017-08-08,57.22,57.39,56.91,57.02,7680100,MRK
2017-08-09,57.14,57.39,56.93,57.18,6552300,MRK
2017-08-10,57.07,57.26,56.88,56.89,7765100,MRK
2017-08-11,57.11,57.61,56.96,57.07,6051000,MRK
2017-08-14,57.56,57.64,57.27,57.34,5507500,MRK
2017-08-15,57.39,57.67,57.18,57.18,6316000,MRK
2017-08-16,57.12,57.58,57.03,57.37,6061200,MRK
2017-08-17,57.41,57.66,56.55,56.58,9150100,MRK
2017-08-18,56.52,56.56,55.96,56.26,8421700,MRK
2017-08-21,56.25,56.76,56.21,56.7,7197200,MRK
2017-08-22,56.7,57.18,56.65,57.11,5515200,MRK
2017-08-23,56.96,57.28,56.86,56.86,6434900,MRK
2017-08-24,56.96,57.56,56.9,57.38,7750100,MRK
2017-08-25,57.52,57.91,57.43,57.59,5274900,MRK
2017-08-28,57.74,58.06,57.62,57.93,7498200,MRK
2017-08-29,57.76,57.83,57.39,57.75,6564700,MRK
2017-08-30,57.77,57.8,57.55,57.75,5022500,MRK
2017-08-31,57.96,58.48,57.6,58.43,12903000,MRK
2017-09-01,58.36,58.65,58.19,58.4,6185100,MRK
2017-09-05,58.33,58.66,58.06,58.21,7236200,MRK
2017-09-06,58.46,58.86,58.35,58.56,7148700,MRK
2017-09-07,58.64,58.94,58.36,58.85,6856400,MRK
2017-09-08,58.55,59.04,58.5,58.8,7365800,MRK
2017-09-11,59.42,59.76,59.18,59.59,10291600,MRK
2017-09-12,59.58,60.04,59.58,59.89,7354200,MRK
2017-09-13,59.8,59.97,59.75,59.88,5628700,MRK
2017-09-14,59.89,60.98,59.82,60.93,9959100,MRK
2017-09-15,60.98,61.17,60.59,60.97,14685800,MRK
2017-09-18,60.84,61.2,60.65,60.81,10543200,MRK
2017-09-19,60.84,60.97,60.53,60.78,7009300,MRK
2017-09-20,60.89,61.11,60.08,60.63,9450000,MRK
2017-09-21,60.69,60.76,60.38,60.45,5968700,MRK
2017-09-22,60.48,60.55,59.97,60.02,7465900,MRK
2017-09-25,60.05,60.27,59.94,60.07,5573400,MRK
2017-09-26,59.99,60.2,59.64,59.68,6976200,MRK
2017-09-27,59.61,59.67,59.28,59.51,6691900,MRK
2017-09-28,59.23,59.59,59.14,59.25,7022800,MRK
2017-09-29,59.25,59.47,58.36,59.01,11449600,MRK
2017-10-02,59.17,59.61,58.88,59.49,6743400,MRK
2017-10-03,59.49,59.51,58.78,59.32,6507100,MRK
2017-10-04,59.37,59.55,59.28,59.53,6414700,MRK
2017-10-05,59.37,59.72,59.28,59.53,9150000,MRK
2017-10-06,59.63,59.81,59.32,59.49,7488400,MRK
2017-10-09,59.6,59.66,59.09,59.28,5451300,MRK
2017-10-10,59.27,59.41,59.16,59.4,4921000,MRK
2017-10-11,59.29,59.29,58.78,58.78,10101600,MRK
2017-10-12,58.79,58.96,58.57,58.82,6158500,MRK
2017-10-13,58.93,59.13,58.41,58.42,7341400,MRK
2017-10-16,58.51,58.73,58.3,58.37,7449200,MRK
2017-10-17,58.25,58.34,57.95,58.26,7028500,MRK
2017-10-18,59.06,59.08,58.44,58.53,7886900,MRK
2017-10-19,58.65,59.01,58.6,58.75,10071200,MRK
2017-10-20,58.84,58.97,58.58,58.87,10304200,MRK
2017-10-23,59.01,59.46,58.34,58.43,11582000,MRK
2017-10-24,58.34,58.34,57.48,58.16,10221100,MRK
2017-10-25,58.15,58.18,57.44,57.55,11016700,MRK
2017-10-26,57.4,57.77,56.96,57.13,10744300,MRK
