Date,Open,High,Low,Close,Volume,Name
2017-07-03,11.53,11.78,11.5,11.69,8812100,MRO
2017-07-05,11.59,11.61,11.14,11.31,18979800,MRO
2017-07-06,11.45,11.52,11.11,11.16,17909400,MRO
2017-07-07,11.12,11.13,10.81,11.05,15445900,MRO
2017-07-10,10.99,11.16,10.92,11.1,10970400,MRO
2017-07-11,11.11,11.3,10.99,11.16,10410200,MRO
2017-07-12,11.29,11.43,11.0,11.01,17744800,MRO
2017-07-13,11.01,11.07,10.81,11.03,18171600,MRO
2017-07-14,11.11,11.24,11.01,11.22,15235700,MRO
2017-07-17,11.2,11.43,11.15,11.16,14067500,MRO
2017-07-18,11.3,11.35,11.06,11.25,14961600,MRO
2017-07-19,11.23,11.83,11.17,11.8,19457900,MRO
2017-07-20,11.95,11.98,11.63,11.66,18313400,MRO
2017-07-21,11.61,11.64,11.34,11.41,12368300,MRO
2017-07-24,11.43,11.51,11.33,11.44,9086100,MRO
2017-07-25,11.65,12.03,11.64,11.89,19405700,MRO
2017-07-26,12.06,12.16,11.7,11.73,14425300,MRO
2017-07-27,11.72,11.82,11.55,11.78,15910200,MRO
2017-07-28,11.75,12.19,11.75,11.91,15975300,MRO
2017-07-31,11.88,11.93,11.63,11.78,10798300,MRO
2017-08-01,11.78,11.8,11.41,11.47,13883800,MRO
2017-08-02,11.39,11.83,11.32,11.6,23072700,MRO
2017-08-03,11.83,12.63,11.72,12.05,32550200,MRO
2017-08-04,12.05,12.48,11.99,12.43,21773600,MRO
2017-08-07,12.31,12.35,11.86,11.9,19967800,MRO
2017-08-08,11.82,12.19,11.8,11.92,13121100,MRO
2017-08-09,11.98,12.09,11.7,11.75,13580900,MRO
2017-08-10,11.89,11.94,11.59,11.61,12984700,MRO
2017-08-11,11.55,11.79,11.52,11.67,11705700,MRO
2017-08-14,11.68,11.73,11.24,11.25,14230600,MRO
2017-08-15,11.15,11.22,10.99,11.15,11987300,MRO
2017-08-16,11.19,11.25,10.76,10.82,13837700,MRO
2017-08-17,10.76,10.89,10.45,10.47,15778200,MRO
2017-08-18,10.46,10.55,10.2,10.51,28729800,MRO
2017-08-21,10.46,10.48,10.32,10.42,11220200,MRO
2017-08-22,10.47,10.57,10.38,10.53,10107700,MRO
2017-08-23,10.48,10.75,10.4,10.66,6713500,MRO
2017-08-24,10.61,10.69,10.53,10.63,7748800,MRO
