Date,Open,High,Low,Close,Volume,Name
2017-07-03,99.91,100.28,99.04,99.29,193900,MSCI
2017-07-05,99.55,99.89,99.15,99.57,388900,MSCI
2017-07-06,99.04,99.83,97.4,98.79,684100,MSCI
2017-07-07,99.2,99.7,98.79,99.04,428900,MSCI
2017-07-10,99.25,100.16,99.13,99.48,517700,MSCI
2017-07-11,100.19,102.14,99.64,101.66,737200,MSCI
2017-07-12,102.14,102.65,100.26,101.81,369300,MSCI
2017-07-13,101.87,102.63,100.82,102.48,545700,MSCI
2017-07-14,102.49,104.51,101.53,103.79,316500,MSCI
2017-07-17,103.69,104.14,103.13,103.33,236700,MSCI
2017-07-18,103.16,103.8,102.29,103.33,313500,MSCI
2017-07-19,103.64,104.17,103.26,103.92,247900,MSCI
2017-07-20,104.12,104.58,103.54,103.74,139700,MSCI
2017-07-21,103.52,104.69,103.47,104.46,148500,MSCI
2017-07-24,104.45,105.5,104.33,105.27,276800,MSCI
2017-07-25,105.86,106.76,105.53,106.5,544400,MSCI
2017-07-26,106.97,106.99,106.37,106.59,327700,MSCI
2017-07-27,107.02,107.02,105.48,106.07,430400,MSCI
2017-07-28,106.01,106.81,104.92,106.61,305700,MSCI
2017-07-31,106.73,106.82,105.23,105.24,312900,MSCI
2017-08-01,105.71,107.26,105.13,106.72,267600,MSCI
2017-08-02,106.61,106.87,103.58,104.95,357000,MSCI
2017-08-03,105.96,108.46,103.9,107.9,391000,MSCI
2017-08-04,108.67,109.52,106.86,107.38,505400,MSCI
2017-08-07,107.37,108.11,107.07,107.41,461400,MSCI
2017-08-08,107.34,107.39,106.05,106.63,358200,MSCI
2017-08-09,106.49,106.6,105.29,105.94,387800,MSCI
2017-08-10,105.71,106.5,103.48,103.6,396600,MSCI
2017-08-11,103.7,104.34,102.51,103.48,529900,MSCI
2017-08-14,104.51,107.02,103.68,106.52,572600,MSCI
2017-08-15,106.72,107.0,105.43,105.55,260800,MSCI
2017-08-16,106.35,109.03,106.04,108.74,327700,MSCI
2017-08-17,108.69,109.18,106.86,106.95,328800,MSCI
2017-08-18,107.38,108.08,106.67,107.71,506100,MSCI
2017-08-21,107.57,108.46,106.63,106.93,194000,MSCI
2017-08-22,107.34,109.88,107.15,109.5,384900,MSCI
2017-08-23,108.95,109.36,108.13,108.77,428800,MSCI
2017-08-24,109.38,109.48,108.4,108.58,340000,MSCI
2017-08-25,108.94,111.25,108.8,110.75,416600,MSCI
2017-08-28,110.95,111.83,109.93,110.49,453700,MSCI
2017-08-29,110.07,111.33,109.45,109.61,333700,MSCI
2017-08-30,109.51,110.08,109.05,109.52,210400,MSCI
2017-08-31,109.79,111.61,109.4,111.09,771700,MSCI
2017-09-01,111.74,112.21,110.72,111.9,333200,MSCI
2017-09-05,111.62,111.93,109.39,109.66,314300,MSCI
2017-09-06,109.98,110.26,108.03,108.65,386200,MSCI
2017-09-07,108.92,110.61,108.71,110.52,337300,MSCI
2017-09-08,110.13,112.37,110.01,111.36,396300,MSCI
2017-09-11,112.06,112.42,111.32,112.21,332900,MSCI
2017-09-12,112.68,114.43,112.13,114.12,624700,MSCI
2017-09-13,113.45,113.54,110.76,110.78,373400,MSCI
2017-09-14,110.79,111.94,108.23,109.98,541300,MSCI
2017-09-15,109.26,110.22,108.87,109.82,909300,MSCI
2017-09-18,109.97,110.9,108.67,109.67,459200,MSCI
2017-09-19,109.92,110.68,109.65,110.31,599200,MSCI
2017-09-20,110.48,111.44,110.09,110.78,451700,MSCI
2017-09-21,110.86,111.78,110.52,111.76,276800,MSCI
2017-09-22,111.63,114.06,111.63,113.81,308600,MSCI
2017-09-25,113.61,113.61,110.89,112.45,323200,MSCI
2017-09-26,112.61,113.28,111.65,111.65,232000,MSCI
2017-09-27,112.38,112.82,111.03,112.2,298000,MSCI
2017-09-28,112.07,113.39,111.71,113.38,307300,MSCI
2017-09-29,113.39,114.95,112.95,113.31,503500,MSCI
2017-10-02,114.01,114.62,113.31,113.39,606900,MSCI
2017-10-03,113.39,115.14,113.36,114.87,420300,MSCI
2017-10-04,115.03,116.5,114.49,116.45,383300,MSCI
2017-10-05,116.51,117.38,115.99,117.38,332600,MSCI
