Date,Open,High,Low,Close,Volume,Name
2017-07-03,15.7,15.95,15.16,15.16,3634100,NLOK
2017-07-05,15.15,15.37,15.07,15.34,4573900,NLOK
2017-07-06,15.25,15.32,15.08,15.3,6323200,NLOK
2017-07-07,15.32,15.78,15.31,15.68,5607700,NLOK
2017-07-10,15.7,16.02,15.64,16.0,7507000,NLOK
2017-07-11,16.01,16.05,15.89,16.01,6517400,NLOK
2017-07-12,16.14,16.59,16.12,16.51,8388500,NLOK
2017-07-13,16.59,16.84,16.52,16.75,8042600,NLOK
2017-07-14,16.79,16.79,16.51,16.6,6885500,NLOK
2017-07-17,16.62,16.86,16.55,16.84,6484400,NLOK
2017-07-18,16.83,16.89,16.68,16.87,4351500,NLOK
2017-07-19,16.86,17.15,16.79,17.12,6564200,NLOK
2017-07-20,17.06,17.21,16.75,17.2,7895000,NLOK
2017-07-21,17.11,17.4,17.06,17.21,8069400,NLOK
2017-07-24,17.22,17.23,17.07,17.15,7141800,NLOK
2017-07-25,17.16,17.42,17.11,17.39,5209400,NLOK
2017-07-26,17.41,17.45,17.15,17.26,6429700,NLOK
2017-07-27,17.06,17.37,16.86,17.07,5907500,NLOK
2017-07-28,17.03,17.15,16.99,17.12,3742300,NLOK
2017-07-31,17.15,17.16,16.91,17.1,5438800,NLOK
2017-08-01,17.2,17.24,17.06,17.21,6356800,NLOK
2017-08-02,17.24,17.24,16.91,17.06,10601100,NLOK
2017-08-03,16.72,17.45,16.67,16.7,14451500,NLOK
2017-08-04,16.77,16.82,16.07,16.1,10692800,NLOK
2017-08-07,16.03,16.05,15.7,15.93,20837600,NLOK
2017-08-08,15.9,15.94,15.66,15.72,8182900,NLOK
2017-08-09,15.59,15.81,15.55,15.78,10840000,NLOK
2017-08-10,15.65,15.72,15.32,15.36,8540200,NLOK
2017-08-11,15.28,15.67,15.27,15.61,8432900,NLOK
2017-08-14,15.78,15.82,15.66,15.77,7874000,NLOK
2017-08-15,15.77,15.78,15.62,15.68,4213300,NLOK
2017-08-16,15.67,15.72,15.58,15.62,4436100,NLOK
2017-08-17,15.56,15.66,15.39,15.51,7562300,NLOK
2017-08-18,15.46,15.8,15.46,15.74,7201900,NLOK
2017-08-21,15.71,15.79,15.51,15.57,4275400,NLOK
2017-08-22,15.5,15.97,15.5,15.91,4910600,NLOK
2017-08-23,15.87,16.25,15.85,16.16,7929500,NLOK
2017-08-24,16.18,16.28,16.07,16.26,5116300,NLOK
2017-08-25,16.33,16.42,16.25,16.31,4326300,NLOK
2017-08-28,16.37,16.6,16.19,16.55,5855200,NLOK
2017-08-29,16.41,16.52,16.28,16.43,5745500,NLOK
2017-08-30,16.43,16.55,16.41,16.54,4665800,NLOK
2017-08-31,16.6,16.67,16.5,16.59,4337300,NLOK
2017-09-01,16.68,16.68,16.43,16.52,4885000,NLOK
2017-09-05,16.52,16.57,16.29,16.49,5424500,NLOK
2017-09-06,16.57,16.58,16.34,16.38,6076200,NLOK
2017-09-07,16.46,16.96,16.39,16.93,7396000,NLOK
2017-09-08,17.43,17.98,17.35,17.5,11809700,NLOK
2017-09-11,17.68,18.13,17.61,18.12,9475700,NLOK
2017-09-12,18.21,18.74,18.08,18.66,9937900,NLOK
2017-09-13,18.66,18.91,18.25,18.3,9083200,NLOK
2017-09-14,18.19,18.43,17.91,18.23,7175500,NLOK
2017-09-15,18.24,18.54,18.04,18.39,9577900,NLOK
2017-09-18,18.41,18.72,18.38,18.68,5307300,NLOK
2017-09-19,18.81,18.9,18.66,18.9,5665800,NLOK
2017-09-20,18.91,18.92,18.47,18.66,5238500,NLOK
2017-09-21,18.61,18.63,18.28,18.28,5434900,NLOK
2017-09-22,18.2,18.36,17.98,18.27,4274400,NLOK
2017-09-25,18.18,18.23,17.98,18.18,5199200,NLOK
2017-09-26,18.24,18.37,17.95,18.11,5040500,NLOK
2017-09-27,18.29,18.45,18.11,18.29,4498900,NLOK
2017-09-28,18.2,18.31,17.93,18.3,3722100,NLOK
2017-09-29,18.35,18.44,18.1,18.15,5216200,NLOK
2017-10-02,18.26,18.3,18.11,18.14,5429200,NLOK
2017-10-03,18.19,18.42,18.12,18.27,4148600,NLOK
2017-10-04,18.21,18.42,18.06,18.4,4162800,NLOK
2017-10-05,18.5,18.67,18.44,18.65,3968600,NLOK
2017-10-06,18.57,18.77,18.49,18.77,3723200,NLOK
2017-10-09,18.2,18.4,17.81,18.05,8165100,NLOK
2017-10-10,17.3,17.7,17.27,17.48,7994000,NLOK
2017-10-11,17.36,17.58,17.32,17.49,5287500,NLOK
2017-10-12,17.47,17.82,17.47,17.65,3770600,NLOK
2017-10-13,17.78,17.98,17.75,17.9,3355900,NLOK
2017-10-16,17.94,17.97,17.72,17.74,2966200,NLOK
2017-10-17,17.72,17.8,17.67,17.71,2169900,NLOK
2017-10-18,17.73,17.82,17.67,17.79,2376800,NLOK
2017-10-19,17.69,17.91,17.62,17.89,3896700,NLOK
2017-10-20,18.02,18.14,17.93,18.07,2957200,NLOK
2017-10-23,18.1,18.13,17.79,17.83,2893300,NLOK
2017-10-24,17.82,17.91,17.67,17.9,2433500,NLOK
2017-10-25,17.85,18.08,17.73,17.81,3249900,NLOK
2017-10-26,17.87,17.95,17.62,17.63,4765600,NLOK
2017-10-27,17.53,17.89,17.52,17.76,4024600,NLOK
2017-10-30,17.74,17.95,17.64,17.93,4050900,NLOK
2017-10-31,17.94,18.23,17.88,17.98,5542800,NLOK
2017-11-01,17.82,18.1,17.58,17.79,10361700,NLOK
2017-11-02,16.22,16.73,15.67,16.26,26676900,NLOK
2017-11-03,16.05,16.57,15.97,16.53,10995500,NLOK
2017-11-06,16.52,16.53,15.98,15.99,7584800,NLOK
2017-11-07,16.04,16.08,15.79,15.87,10096400,NLOK
2017-11-08,15.87,16.1,15.81,16.06,6744400,NLOK
2017-11-09,15.96,16.02,15.76,15.82,5372000,NLOK
2017-11-10,15.72,15.74,15.49,15.69,4592900,NLOK
2017-11-13,15.56,15.65,15.4,15.48,4691200,NLOK
2017-11-14,15.44,15.61,15.27,15.55,5308000,NLOK
2017-11-15,15.48,15.59,15.2,15.33,5277400,NLOK
2017-11-16,15.28,15.73,15.27,15.65,5033300,NLOK
2017-11-17,15.63,15.71,15.47,15.56,3494900,NLOK
2017-11-20,15.53,15.67,15.48,15.64,3271300,NLOK
2017-11-21,15.68,15.68,15.35,15.59,5762200,NLOK
2017-11-22,15.62,15.8,15.55,15.77,4634800,NLOK
2017-11-24,15.78,15.91,15.77,15.84,2067300,NLOK
2017-11-27,15.87,16.05,15.83,16.0,4602900,NLOK
2017-11-28,16.02,16.14,15.77,16.07,6315900,NLOK
2017-11-29,16.07,16.25,15.76,15.85,6691200,NLOK
2017-11-30,15.91,16.14,15.82,16.07,8239800,NLOK
2017-12-01,16.07,16.24,15.96,16.15,7578900,NLOK
2017-12-04,16.15,16.15,15.29,15.39,11549700,NLOK
2017-12-05,15.4,15.62,15.16,15.22,6044100,NLOK
2017-12-06,15.26,15.35,15.08,15.18,4403500,NLOK
2017-12-07,15.19,15.39,15.1,15.29,6012100,NLOK
2017-12-08,15.41,15.58,15.34,15.52,3198600,NLOK
2017-12-11,15.51,16.28,15.48,16.21,8098200,NLOK
2017-12-12,16.2,16.23,15.96,16.04,5834800,NLOK
2017-12-13,16.05,16.12,15.74,15.88,6166100,NLOK
2017-12-14,15.93,16.17,15.87,15.95,5754500,NLOK
2017-12-15,16.14,16.14,15.92,16.08,9642800,NLOK
2017-12-18,16.17,16.2,15.73,15.89,5148900,NLOK
2017-12-19,15.84,15.94,15.59,15.71,4969000,NLOK
2017-12-20,15.77,15.81,15.47,15.62,5607700,NLOK
2017-12-21,15.74,15.94,15.58,15.8,3898800,NLOK
2017-12-22,15.8,15.87,15.57,15.71,2643900,NLOK
2017-12-26,15.68,15.74,15.6,15.66,1788900,NLOK
2017-12-27,15.49,15.79,15.48,15.78,2794500,NLOK
2017-12-28,15.77,15.82,15.66,15.8,3103200,NLOK
2017-12-29,15.79,15.89,15.54,15.57,2844500,NLOK
2018-01-02,15.68,16.12,15.56,16.04,5539600,NLOK
2018-01-03,15.98,16.18,15.92,16.04,4273700,NLOK
2018-01-04,16.2,16.23,15.97,16.07,5283000,NLOK
2018-01-05,16.2,16.4,16.05,16.37,5086300,NLOK
2018-01-08,16.31,16.45,16.19,16.4,4741900,NLOK
2018-01-09,16.38,16.49,16.07,16.09,4580900,NLOK
2018-01-10,15.97,16.12,15.74,15.9,8636900,NLOK
2018-01-11,15.81,16.13,15.81,15.96,3685100,NLOK
2018-01-12,16.34,16.38,15.82,15.99,10488400,NLOK
2018-01-16,16.05,16.06,15.44,15.46,7504700,NLOK
2018-01-17,15.59,15.74,15.22,15.27,15786000,NLOK
2018-01-18,14.7,15.25,14.23,15.12,12557500,NLOK
2018-01-19,15.12,15.37,15.0,15.23,7871600,NLOK
2018-01-22,14.85,15.06,14.63,14.72,11278600,NLOK
2018-01-23,14.72,14.82,14.62,14.76,9058600,NLOK
2018-01-24,14.83,15.17,14.79,14.87,7351200,NLOK
2018-01-25,14.97,15.07,14.91,15.06,4800600,NLOK
2018-01-26,15.1,15.37,15.03,15.37,5616300,NLOK
