Date,Open,High,Low,Close,Volume,Name
2017-07-03,32.46,33.36,32.43,33.18,1638600,NOV
2017-07-05,32.86,33.0,31.76,32.03,2616200,NOV
2017-07-06,32.27,32.48,31.55,31.59,2494200,NOV
2017-07-07,31.37,31.48,30.94,31.33,3490200,NOV
2017-07-10,31.14,32.19,31.01,31.9,2353600,NOV
2017-07-11,31.84,32.78,31.69,32.48,2176100,NOV
2017-07-12,32.95,32.97,32.22,32.44,1995200,NOV
2017-07-13,32.36,32.72,31.86,32.71,2482700,NOV
2017-07-14,32.8,33.2,32.57,33.07,2373400,NOV
2017-07-17,32.99,33.68,32.91,33.25,2904300,NOV
2017-07-18,33.51,33.61,32.78,33.16,1689500,NOV
2017-07-19,33.09,34.48,32.96,34.4,4611000,NOV
2017-07-20,34.4,34.45,33.23,33.27,2341000,NOV
2017-07-21,33.18,33.44,32.63,32.74,3166800,NOV
2017-07-24,32.93,33.0,32.38,32.47,2067400,NOV
2017-07-25,32.83,33.41,32.81,32.86,2946300,NOV
2017-07-26,33.15,33.19,32.48,32.63,2208700,NOV
2017-07-27,32.74,32.99,32.38,32.99,3538400,NOV
2017-07-28,32.98,34.59,32.14,32.4,4686300,NOV
2017-07-31,32.36,32.54,31.41,32.01,3137800,NOV
2017-08-01,31.84,31.84,30.85,31.2,3862100,NOV
2017-08-02,30.97,32.12,30.69,31.91,3659600,NOV
2017-08-03,31.9,32.29,31.73,31.92,2817600,NOV
2017-08-04,31.95,32.5,31.87,32.47,2567600,NOV
2017-08-07,31.61,32.09,31.09,31.11,3216900,NOV
2017-08-08,30.93,31.04,30.52,30.62,2923700,NOV
2017-08-09,30.7,30.88,29.64,30.15,4427300,NOV
2017-08-10,30.31,30.33,29.65,29.7,3661900,NOV
2017-08-11,29.57,29.96,29.5,29.64,3419300,NOV
2017-08-14,29.73,30.21,29.61,29.97,2565800,NOV
2017-08-15,29.84,29.93,29.5,29.74,3304300,NOV
2017-08-16,29.79,29.88,29.26,29.3,3272300,NOV
2017-08-17,29.27,29.88,29.26,29.45,4159700,NOV
2017-08-18,29.37,29.89,29.26,29.73,3656700,NOV
2017-08-21,29.57,29.82,29.53,29.64,3961300,NOV
2017-08-22,29.76,29.87,29.48,29.56,2455200,NOV
2017-08-23,29.43,29.95,29.37,29.72,3315400,NOV
2017-08-24,29.61,29.66,29.42,29.44,2080400,NOV
2017-08-25,29.57,30.09,29.55,29.87,2024200,NOV
2017-08-28,29.95,30.0,29.42,29.69,3049100,NOV
2017-08-29,29.5,29.76,29.41,29.71,1958200,NOV
2017-08-30,29.63,29.82,29.29,29.8,2067900,NOV
2017-08-31,30.0,30.17,29.68,30.02,2686200,NOV
2017-09-01,30.04,30.1,29.84,30.03,1994100,NOV
2017-09-05,30.26,30.83,30.26,30.66,3079900,NOV
2017-09-06,30.85,31.48,30.75,31.15,4035900,NOV
2017-09-07,31.2,31.37,30.9,31.2,3039800,NOV
2017-09-08,31.17,31.18,30.87,31.07,2635300,NOV
2017-09-11,31.16,31.62,31.04,31.57,2429500,NOV
2017-09-12,31.69,32.86,31.44,32.67,4127700,NOV
2017-09-13,32.73,33.61,32.61,33.12,4250900,NOV
2017-09-14,33.32,33.65,33.02,33.27,2911700,NOV
2017-09-15,33.05,33.77,32.99,33.76,4704600,NOV
2017-09-18,33.69,34.33,33.56,34.08,2575300,NOV
2017-09-19,34.24,34.56,33.97,34.48,2238300,NOV
2017-09-20,34.63,35.19,34.57,34.8,4436100,NOV
2017-09-21,34.63,34.72,34.35,34.5,2025700,NOV
2017-09-22,34.3,34.89,34.3,34.83,2264200,NOV
2017-09-25,35.12,35.53,35.05,35.15,4682000,NOV
2017-09-26,34.89,35.72,34.87,35.58,2401300,NOV
2017-09-27,35.66,35.73,34.94,35.42,3151100,NOV
2017-09-28,35.68,35.75,34.69,34.82,3096400,NOV
2017-09-29,34.92,35.13,34.56,35.02,3008300,NOV
2017-10-02,34.64,34.86,34.39,34.65,2653400,NOV
2017-10-03,34.74,34.79,33.94,34.43,2780500,NOV
2017-10-04,34.43,34.68,34.27,34.53,3844400,NOV
2017-10-05,34.54,35.5,34.47,35.31,3470500,NOV
2017-10-06,34.77,35.07,34.25,34.33,2937200,NOV
2017-10-09,34.48,34.74,34.29,34.54,1233700,NOV
2017-10-10,34.8,34.98,34.19,34.24,1753700,NOV
2017-10-11,34.16,34.33,33.7,34.28,2145600,NOV
2017-10-12,33.88,33.96,33.63,33.7,2404600,NOV
2017-10-13,34.0,34.18,33.91,33.96,1615000,NOV
2017-10-16,34.21,34.48,34.12,34.29,2846500,NOV
2017-10-17,34.24,34.29,33.61,34.23,3477800,NOV
2017-10-18,34.3,34.45,33.82,33.83,2116600,NOV
2017-10-19,33.52,33.88,33.27,33.4,2694400,NOV
2017-10-20,33.44,33.49,32.94,33.41,2477200,NOV
2017-10-23,33.37,33.49,33.05,33.13,2216100,NOV
2017-10-24,33.36,33.53,33.11,33.14,2632300,NOV
2017-10-25,33.08,33.29,32.79,32.96,2875900,NOV
2017-10-26,32.9,33.49,32.75,33.19,4463600,NOV
2017-10-27,32.05,33.27,31.37,32.57,7146300,NOV
2017-10-30,32.53,33.7,32.3,33.6,4960900,NOV
2017-10-31,33.24,33.92,33.05,33.51,3756000,NOV
2017-11-01,33.8,34.29,33.19,33.38,4365800,NOV
2017-11-02,33.46,33.59,32.53,32.7,3616700,NOV
2017-11-03,32.6,32.91,32.51,32.76,2455600,NOV
2017-11-06,32.94,34.82,32.85,34.79,4005600,NOV
2017-11-07,34.99,35.12,34.29,34.4,2397800,NOV
2017-11-08,34.3,34.92,34.22,34.32,4073300,NOV
2017-11-09,34.24,34.37,33.82,33.86,2777400,NOV
2017-11-10,33.87,33.92,32.67,32.85,4237500,NOV
2017-11-13,32.69,32.73,32.22,32.4,3413300,NOV
2017-11-14,32.22,32.32,31.57,31.63,2933900,NOV
2017-11-15,31.28,31.77,30.94,31.3,2895800,NOV
2017-11-16,31.28,31.3,30.84,30.88,3152400,NOV
2017-11-17,30.94,31.52,30.88,31.38,2854200,NOV
2017-11-20,31.28,31.44,30.95,31.09,2642400,NOV
2017-11-21,31.28,31.51,31.13,31.17,2246500,NOV
2017-11-22,31.37,31.65,31.14,31.3,2080000,NOV
2017-11-24,31.45,31.47,31.11,31.22,659100,NOV
2017-11-27,31.03,31.4,30.92,31.0,2666100,NOV
