Date,Open,High,Low,Close,Volume,Name
2017-07-03,47.62,47.7,46.93,46.96,10883200,ORCL
2017-07-05,47.38,47.6,47.01,47.06,15775300,ORCL
2017-07-06,46.86,47.02,46.4,46.48,14411900,ORCL
2017-07-07,46.46,47.04,46.46,46.96,10889400,ORCL
2017-07-10,46.88,47.41,46.83,47.21,10098500,ORCL
2017-07-11,47.13,47.47,47.01,47.46,9751100,ORCL
2017-07-12,47.59,48.03,47.54,48.0,14461400,ORCL
2017-07-13,48.1,48.22,47.81,47.91,11959900,ORCL
2017-07-14,47.83,48.19,47.83,48.11,9875900,ORCL
2017-07-17,48.05,48.31,47.98,48.17,8093600,ORCL
2017-07-18,48.08,48.42,47.91,48.18,14104800,ORCL
2017-07-19,48.19,48.8,48.1,48.71,13312800,ORCL
2017-07-20,48.84,48.96,48.56,48.83,8772500,ORCL
2017-07-21,48.58,48.85,48.37,48.52,8791900,ORCL
2017-07-24,48.52,48.61,48.34,48.48,7639100,ORCL
2017-07-25,48.62,48.93,48.51,48.87,10536200,ORCL
2017-07-26,48.85,48.89,48.73,48.87,5724500,ORCL
2017-07-27,48.99,49.05,47.93,48.18,16508800,ORCL
2017-07-28,47.93,48.22,47.79,48.04,8996400,ORCL
2017-07-31,48.21,48.23,47.66,47.69,10066600,ORCL
2017-08-01,47.9,47.96,47.58,47.91,6066200,ORCL
2017-08-02,48.0,48.05,47.35,47.53,8720700,ORCL
2017-08-03,47.68,48.14,47.5,47.97,9490100,ORCL
2017-08-04,47.93,47.95,47.63,47.71,7025300,ORCL
2017-08-07,47.75,47.84,47.3,47.41,8280300,ORCL
2017-08-08,47.31,47.59,46.77,46.89,14684300,ORCL
2017-08-09,46.78,47.17,46.66,46.86,15872400,ORCL
2017-08-10,46.76,46.76,45.89,45.94,13391100,ORCL
2017-08-11,46.01,46.26,45.82,46.07,11704600,ORCL
2017-08-14,46.3,46.76,46.29,46.65,9229100,ORCL
2017-08-15,46.69,46.86,46.58,46.64,10663500,ORCL
2017-08-16,46.77,47.1,46.57,47.04,9881200,ORCL
2017-08-17,46.96,47.09,46.37,46.37,9661600,ORCL
2017-08-18,46.27,46.68,46.14,46.44,10248400,ORCL
2017-08-21,46.46,46.76,46.36,46.7,7293400,ORCL
2017-08-22,46.91,47.13,46.79,47.05,9233000,ORCL
2017-08-23,46.86,47.21,46.74,46.86,6895400,ORCL
2017-08-24,46.86,47.05,46.68,46.98,7365500,ORCL
2017-08-25,47.22,47.22,46.94,47.03,7853300,ORCL
2017-08-28,47.17,47.17,46.84,47.03,6211300,ORCL
2017-08-29,46.68,47.34,46.56,47.23,7245900,ORCL
2017-08-30,47.28,47.71,47.14,47.56,6957400,ORCL
2017-08-31,47.64,48.25,47.6,48.07,12958100,ORCL
2017-09-01,48.09,48.59,48.09,48.35,8716800,ORCL
2017-09-05,48.26,48.78,48.2,48.64,15610700,ORCL
2017-09-06,48.78,48.93,48.52,48.72,15615600,ORCL
2017-09-07,48.89,49.45,48.74,49.41,11516800,ORCL
2017-09-08,49.47,49.55,49.07,49.26,10356500,ORCL
2017-09-11,49.55,50.25,49.48,50.13,16526300,ORCL
2017-09-12,50.27,50.51,50.11,50.4,13352400,ORCL
2017-09-13,50.16,50.6,50.09,50.43,14463000,ORCL
2017-09-14,50.39,50.75,49.97,50.42,21901600,ORCL
2017-09-15,48.37,48.42,46.3,46.55,66367900,ORCL
2017-09-18,46.68,46.86,45.93,46.16,29434700,ORCL
2017-09-19,46.31,46.32,45.73,45.88,23070700,ORCL
2017-09-20,45.84,46.02,45.55,45.81,21257300,ORCL
2017-09-21,45.67,46.02,45.67,45.81,15656300,ORCL
2017-09-22,45.77,46.25,45.77,46.0,15341900,ORCL
2017-09-25,46.34,46.36,45.5,45.81,15663600,ORCL
2017-09-26,45.94,46.04,45.74,45.77,18679900,ORCL
2017-09-27,45.89,46.19,45.8,46.0,14499200,ORCL
2017-09-28,46.03,46.08,45.85,45.92,12997700,ORCL
2017-09-29,46.02,46.56,45.8,46.18,44896600,ORCL
2017-10-02,46.53,46.8,46.39,46.61,26097300,ORCL
2017-10-03,46.75,46.76,46.36,46.5,12710800,ORCL
2017-10-04,46.79,46.98,46.57,46.7,15204500,ORCL
2017-10-05,46.76,46.83,46.32,46.71,13886100,ORCL
2017-10-06,46.45,46.51,46.05,46.23,16340400,ORCL
2017-10-09,46.19,46.4,46.01,46.19,10173000,ORCL
2017-10-10,46.18,46.46,46.02,46.23,15630500,ORCL
2017-10-11,46.18,46.47,46.18,46.29,12588300,ORCL
2017-10-12,46.28,46.48,46.13,46.24,11715600,ORCL
2017-10-13,46.38,46.7,46.34,46.61,10142300,ORCL
2017-10-16,46.61,46.9,46.49,46.85,9378100,ORCL
2017-10-17,46.81,47.27,46.7,47.16,14191300,ORCL
2017-10-18,47.46,47.71,47.14,47.54,12064100,ORCL
2017-10-19,47.4,47.63,47.16,47.32,10048600,ORCL
2017-10-20,47.5,47.74,47.14,47.22,15501500,ORCL
2017-10-23,47.25,47.62,47.19,47.28,14633400,ORCL
2017-10-24,47.3,48.08,47.22,47.92,17562400,ORCL
2017-10-25,47.84,48.56,47.6,47.65,20635800,ORCL
2017-10-26,48.05,48.23,47.72,48.09,16952900,ORCL
2017-10-27,48.22,48.87,47.97,48.79,15099500,ORCL
2017-10-30,48.55,48.66,48.17,48.59,9049800,ORCL
2017-10-31,48.64,49.17,48.37,48.8,14453100,ORCL
2017-11-01,49.0,49.06,48.49,48.56,10128000,ORCL
2017-11-02,48.46,48.61,48.06,48.21,10389800,ORCL
2017-11-03,48.29,48.36,48.09,48.11,15814500,ORCL
2017-11-06,48.04,48.47,47.96,48.33,9678000,ORCL
2017-11-07,48.35,48.5,48.02,48.41,6796500,ORCL
2017-11-08,48.26,48.65,48.13,48.46,7977900,ORCL
2017-11-09,48.08,48.15,46.54,47.21,16195400,ORCL
2017-11-10,46.98,47.34,46.74,47.29,9944200,ORCL
2017-11-13,47.08,47.39,47.04,47.37,6566700,ORCL
2017-11-14,47.29,47.3,46.89,47.17,8498900,ORCL
2017-11-15,46.87,47.06,46.72,46.81,9425100,ORCL
2017-11-16,47.09,47.58,46.99,47.17,11738500,ORCL
2017-11-17,46.98,47.2,46.84,46.93,10035100,ORCL
2017-11-20,47.02,47.14,46.91,47.0,11525100,ORCL
2017-11-21,46.98,47.08,46.5,46.63,18313300,ORCL
2017-11-22,46.56,46.82,46.43,46.58,10618900,ORCL
2017-11-24,46.87,47.11,46.69,46.99,6008300,ORCL
2017-11-27,46.93,47.19,46.74,46.87,13395600,ORCL
2017-11-28,46.87,47.17,46.84,46.99,13930600,ORCL
2017-11-29,46.84,46.85,46.22,46.52,14377600,ORCL
2017-11-30,46.88,47.3,46.88,47.04,24701100,ORCL
2017-12-01,47.03,47.94,46.89,47.57,15899500,ORCL
2017-12-04,47.77,47.77,46.37,46.41,13473900,ORCL
2017-12-05,46.45,46.65,46.0,46.01,17858900,ORCL
2017-12-06,46.27,46.59,45.67,46.43,12974500,ORCL
2017-12-07,46.62,46.8,46.31,46.52,13482800,ORCL
2017-12-08,46.89,47.64,46.7,47.56,14732300,ORCL
2017-12-11,47.57,48.42,47.52,48.39,15852800,ORCL
2017-12-12,47.94,48.62,47.89,48.32,17464000,ORCL
2017-12-13,48.26,48.43,47.95,47.99,17196900,ORCL
2017-12-14,48.08,48.33,47.88,48.12,22259300,ORCL
2017-12-15,46.48,46.48,45.07,46.31,75176000,ORCL
2017-12-18,46.44,46.84,45.72,45.75,25156800,ORCL
2017-12-19,45.99,46.36,45.77,45.85,28664300,ORCL
2017-12-20,45.91,46.07,45.82,45.93,11432200,ORCL
2017-12-21,46.13,46.13,45.29,45.33,18396800,ORCL
2017-12-22,45.23,45.45,45.16,45.41,11197300,ORCL
2017-12-26,45.42,45.62,45.3,45.48,7650200,ORCL
2017-12-27,45.3,45.52,45.21,45.43,8132200,ORCL
2017-12-28,45.35,45.59,45.35,45.56,7777600,ORCL
2017-12-29,45.57,45.91,45.33,45.33,9750000,ORCL
2018-01-02,45.61,45.83,44.27,44.71,25380000,ORCL
2018-01-03,45.57,46.09,45.49,45.75,24165000,ORCL
2018-01-04,46.01,46.21,45.76,46.2,19815100,ORCL
2018-01-05,46.43,46.63,46.29,46.47,14496400,ORCL
2018-01-08,46.31,47.05,45.97,46.96,15075000,ORCL
2018-01-09,47.41,47.51,47.09,47.22,14153700,ORCL
2018-01-10,47.03,47.43,46.76,46.97,13476600,ORCL
2018-01-11,47.04,47.18,46.63,47.12,11687800,ORCL
2018-01-12,47.34,47.96,47.22,47.66,15978200,ORCL
2018-01-16,47.98,48.19,47.59,47.73,17152600,ORCL
2018-01-17,48.04,48.41,47.98,48.39,23183100,ORCL
2018-01-18,48.31,48.78,48.22,48.35,17119200,ORCL
2018-01-19,48.61,48.71,48.39,48.69,14011500,ORCL
2018-01-22,48.54,48.84,48.39,48.81,16840000,ORCL
2018-01-23,48.85,49.35,48.68,49.21,14141400,ORCL
2018-01-24,49.44,50.05,49.29,49.52,17205600,ORCL
2018-01-25,49.61,50.1,49.61,49.67,13904300,ORCL
2018-01-26,49.92,50.78,49.82,50.78,14909200,ORCL
2018-01-29,50.7,50.81,49.94,50.0,12234900,ORCL
2018-01-30,49.8,50.04,48.85,49.05,16863500,ORCL
2018-01-31,48.96,49.91,48.96,49.66,16806800,ORCL
2018-02-01,49.44,50.03,49.34,49.7,11674100,ORCL
2018-02-02,49.33,49.49,48.17,48.25,17562200,ORCL
2018-02-05,48.17,48.8,46.26,46.29,19725800,ORCL
2018-02-06,45.56,47.66,45.06,47.55,25921200,ORCL
2018-02-07,47.36,47.98,46.99,47.04,15138000,ORCL
2018-02-08,47.25,47.28,45.06,45.09,21255400,ORCL
2018-02-09,45.8,46.35,44.2,45.94,23191000,ORCL
2018-02-12,46.41,46.67,45.93,46.35,16261600,ORCL
2018-02-13,46.21,46.86,45.98,46.67,12633100,ORCL
2018-02-14,46.39,47.67,46.34,47.6,14271400,ORCL
2018-02-15,47.84,48.79,47.58,48.74,14132500,ORCL
2018-02-16,48.66,49.23,48.6,48.81,11098800,ORCL
2018-02-20,48.32,48.43,47.8,48.02,14144900,ORCL
2018-02-21,48.0,48.46,47.58,47.58,13050800,ORCL
2018-02-22,47.73,48.19,47.56,47.73,9513200,ORCL
2018-02-23,47.93,48.68,47.76,48.61,8866800,ORCL
2018-02-26,48.7,49.34,48.61,49.25,12956000,ORCL
2018-02-27,49.16,49.48,48.65,48.83,14339600,ORCL
2018-02-28,49.15,49.57,48.77,48.77,14947900,ORCL
2018-03-01,49.05,49.05,47.57,47.85,16539800,ORCL
2018-03-02,47.48,48.51,47.32,48.44,17291000,ORCL
2018-03-05,48.03,49.56,47.98,49.37,18771500,ORCL
2018-03-06,49.63,49.85,49.3,49.57,13907100,ORCL
2018-03-07,49.15,49.87,49.12,49.78,11727300,ORCL
2018-03-08,50.0,50.21,49.54,50.18,15864400,ORCL
2018-03-09,50.39,51.02,50.25,50.99,16218600,ORCL
2018-03-12,51.0,51.44,50.7,50.92,14108400,ORCL
2018-03-13,51.25,51.48,50.38,50.61,12864400,ORCL
2018-03-14,50.9,51.16,50.23,50.36,10885500,ORCL
2018-03-15,50.27,50.7,50.16,50.41,14155200,ORCL
2018-03-16,50.44,50.72,50.29,50.31,21011500,ORCL
2018-03-19,50.47,50.61,49.58,50.01,25777400,ORCL
2018-03-20,45.05,45.96,44.69,45.29,68601000,ORCL
2018-03-21,45.52,46.26,45.25,45.26,34597700,ORCL
2018-03-22,44.97,45.26,44.02,44.17,25610100,ORCL
2018-03-23,44.26,44.55,43.08,43.11,21398900,ORCL
2018-03-26,43.84,44.89,43.69,44.74,20754800,ORCL
2018-03-27,44.88,45.07,43.32,43.68,18925300,ORCL
2018-03-28,43.58,43.66,42.84,43.3,22156900,ORCL
2018-03-29,43.61,44.56,43.33,44.04,14256400,ORCL
2018-04-02,43.94,44.13,42.76,43.33,15343300,ORCL
2018-04-03,43.63,43.63,42.63,43.21,15734600,ORCL
2018-04-04,42.42,43.91,42.39,43.81,18505900,ORCL
2018-04-05,44.02,44.45,43.84,44.24,12313000,ORCL
2018-04-06,43.81,44.04,42.93,43.15,13893600,ORCL
2018-04-09,43.42,43.94,43.2,43.22,15200000,ORCL
2018-04-10,43.84,44.35,43.76,44.1,14868900,ORCL
