Date,Open,High,Low,Close,Volume,Name
2017-07-03,51.22,51.88,51.19,51.34,1459300,PAYX
2017-07-05,51.56,52.28,51.17,52.21,2792200,PAYX
2017-07-06,52.05,52.05,51.47,51.74,2176400,PAYX
2017-07-07,51.91,52.4,51.66,52.15,1655400,PAYX
2017-07-10,52.15,52.64,52.06,52.53,1950000,PAYX
2017-07-11,52.37,52.38,51.37,51.4,2917700,PAYX
2017-07-12,51.61,52.1,51.61,51.98,1849400,PAYX
2017-07-13,52.11,52.21,51.76,51.95,1743300,PAYX
2017-07-14,52.08,52.16,51.85,51.86,1383300,PAYX
2017-07-17,51.86,51.99,51.54,51.66,1586500,PAYX
2017-07-18,51.55,51.81,51.43,51.57,1617200,PAYX
2017-07-19,51.54,51.75,51.36,51.64,2151400,PAYX
2017-07-20,51.64,52.07,51.6,51.94,1748000,PAYX
2017-07-21,51.57,52.1,51.57,51.95,1937600,PAYX
2017-07-24,51.89,51.97,51.62,51.71,1241500,PAYX
2017-07-25,51.81,52.36,51.76,52.16,1791500,PAYX
2017-07-26,52.24,52.9,52.18,52.77,2005100,PAYX
2017-07-27,52.7,55.73,52.55,54.62,6295400,PAYX
2017-07-28,54.48,55.07,52.85,52.89,4069100,PAYX
2017-07-31,52.94,53.44,52.85,52.98,5038400,PAYX
2017-08-01,53.02,53.08,51.89,52.03,2749400,PAYX
2017-08-02,51.77,52.09,51.43,51.81,2503800,PAYX
2017-08-03,51.81,51.9,51.08,51.42,2440800,PAYX
2017-08-04,51.62,51.66,51.16,51.37,1953000,PAYX
2017-08-07,51.29,51.41,51.04,51.23,1429800,PAYX
2017-08-08,51.19,51.81,50.11,50.4,3396100,PAYX
2017-08-09,50.22,50.43,49.85,50.28,1717400,PAYX
2017-08-10,50.01,50.41,49.94,50.17,2166900,PAYX
2017-08-11,50.28,50.29,49.63,49.67,1789400,PAYX
2017-08-14,50.16,50.43,49.85,50.29,2014800,PAYX
2017-08-15,50.41,51.08,50.2,50.91,2710600,PAYX
2017-08-16,51.0,52.09,50.94,51.5,2650200,PAYX
2017-08-17,51.44,51.61,50.3,50.35,2473600,PAYX
2017-08-18,50.36,50.56,50.15,50.36,2041400,PAYX
2017-08-21,50.35,51.11,50.24,51.07,2433300,PAYX
2017-08-22,51.36,51.82,51.07,51.38,2817600,PAYX
2017-08-23,51.24,51.36,50.94,51.07,1303000,PAYX
2017-08-24,51.13,51.19,50.79,50.86,1313600,PAYX
2017-08-25,51.07,51.7,50.93,51.48,1065300,PAYX
2017-08-28,51.63,51.76,51.32,51.73,1812600,PAYX
2017-08-29,51.52,51.86,51.36,51.82,1198200,PAYX
2017-08-30,51.82,52.06,51.39,51.85,1298200,PAYX
2017-08-31,52.02,52.29,51.8,52.23,1421000,PAYX
2017-09-01,52.24,52.42,51.85,52.26,1099500,PAYX
2017-09-05,52.13,52.26,51.68,51.93,1257600,PAYX
2017-09-06,52.17,52.45,51.82,52.38,1600300,PAYX
2017-09-07,52.28,52.45,52.11,52.21,1140500,PAYX
2017-09-08,52.13,52.41,52.03,52.11,1315000,PAYX
2017-09-11,52.33,52.66,52.28,52.5,1379000,PAYX
2017-09-12,52.7,53.84,52.68,53.26,2236200,PAYX
2017-09-13,53.19,53.44,52.96,53.15,1397600,PAYX
2017-09-14,52.86,52.98,52.41,52.67,1809900,PAYX
2017-09-15,52.68,53.07,52.53,52.98,2076300,PAYX
2017-09-18,52.99,53.23,52.8,53.19,806300,PAYX
2017-09-19,53.23,53.38,53.03,53.18,1190400,PAYX
2017-09-20,53.11,53.71,53.11,53.58,1662000,PAYX
2017-09-21,53.65,53.76,53.2,53.29,1562900,PAYX
2017-09-22,53.32,54.8,53.32,54.72,2709800,PAYX
2017-09-25,54.51,54.99,54.49,54.97,2368200,PAYX
2017-09-26,55.18,55.21,54.74,54.89,1882700,PAYX
2017-09-27,55.1,55.4,54.95,55.27,1595000,PAYX
2017-09-28,54.78,55.32,54.78,55.18,1437200,PAYX
2017-09-29,55.1,55.54,54.82,54.91,2265600,PAYX
2017-10-02,54.9,55.09,54.34,54.77,4561000,PAYX
2017-10-03,56.78,57.62,55.88,56.77,7620100,PAYX
2017-10-04,56.85,57.75,56.73,57.34,3108300,PAYX
2017-10-05,57.73,57.98,57.14,57.92,2401900,PAYX
2017-10-06,57.83,58.32,57.6,58.26,3305900,PAYX
2017-10-09,58.28,58.61,58.17,58.29,2952900,PAYX
2017-10-10,58.46,58.68,58.0,58.34,2561500,PAYX
2017-10-11,58.35,58.37,57.93,58.13,2913100,PAYX
2017-10-12,58.11,59.01,58.01,58.99,2055100,PAYX
2017-10-13,58.97,59.3,58.37,58.38,2083600,PAYX
2017-10-16,58.34,58.51,57.89,58.11,1142800,PAYX
2017-10-17,58.19,58.27,57.57,57.6,1589200,PAYX
2017-10-18,57.65,58.03,57.64,57.72,1034800,PAYX
2017-10-19,57.56,58.24,57.5,58.16,1493500,PAYX
2017-10-20,58.19,58.71,58.13,58.65,1399400,PAYX
2017-10-23,58.69,59.14,58.66,58.92,1677600,PAYX
2017-10-24,59.16,59.21,58.41,58.5,1824300,PAYX
2017-10-25,58.36,58.71,57.99,58.68,2334600,PAYX
2017-10-26,58.99,59.38,58.82,59.15,1374500,PAYX
2017-10-27,59.11,60.09,58.82,59.89,2998500,PAYX
2017-10-30,59.89,60.02,58.94,59.04,2540800,PAYX
2017-10-31,59.08,59.17,58.62,58.87,1460500,PAYX
2017-11-01,58.95,59.33,58.66,59.2,1637000,PAYX
2017-11-02,59.36,59.69,58.64,59.57,1996300,PAYX
2017-11-03,59.45,59.46,59.0,59.06,1567100,PAYX
2017-11-06,58.79,59.13,58.59,59.07,1397200,PAYX
2017-11-07,59.19,59.42,58.9,59.32,1703800,PAYX
2017-11-08,59.21,59.62,59.15,59.57,1097200,PAYX
2017-11-09,59.18,59.9,59.18,59.77,1772600,PAYX
2017-11-10,59.63,59.69,59.39,59.59,1332700,PAYX
2017-11-13,59.57,60.22,59.38,60.08,1775100,PAYX
2017-11-14,59.72,60.49,59.45,60.33,1576300,PAYX
2017-11-15,60.3,60.74,59.49,59.6,1839200,PAYX
2017-11-16,59.87,61.2,59.79,60.58,1755900,PAYX
2017-11-17,60.39,60.44,59.67,59.92,1741600,PAYX
2017-11-20,59.97,60.25,59.76,60.16,1326200,PAYX
2017-11-21,60.25,60.35,59.99,60.1,1529000,PAYX
2017-11-22,60.18,60.28,59.65,59.69,927400,PAYX
2017-11-24,59.62,59.89,59.45,59.7,538900,PAYX
2017-11-27,59.66,59.86,59.33,59.69,1241500,PAYX
2017-11-28,59.85,60.73,59.81,60.73,1569300,PAYX
2017-11-29,60.71,61.77,60.35,61.45,3210600,PAYX
2017-11-30,61.51,62.65,61.31,62.12,3748100,PAYX
2017-12-01,61.74,62.08,60.81,61.72,2489500,PAYX
2017-12-04,62.39,63.28,62.19,62.4,2604400,PAYX
2017-12-05,62.49,63.24,62.41,62.7,2878000,PAYX
2017-12-06,62.78,63.38,62.62,63.14,1834700,PAYX
2017-12-07,63.02,63.45,62.96,63.25,2034800,PAYX
2017-12-08,63.63,63.81,63.17,63.69,1464100,PAYX
2017-12-11,63.54,63.92,63.44,63.7,2354600,PAYX
2017-12-12,63.59,63.8,63.34,63.41,1087600,PAYX
2017-12-13,63.59,63.79,63.2,63.52,1887600,PAYX
2017-12-14,63.59,63.67,63.05,63.06,1534900,PAYX
2017-12-15,63.58,64.76,63.23,64.39,3548800,PAYX
2017-12-18,64.69,64.88,64.28,64.84,1756800,PAYX
2017-12-19,64.93,64.96,63.91,63.92,1637000,PAYX
2017-12-20,64.6,64.6,63.72,63.87,1680500,PAYX
2017-12-21,62.19,63.45,61.76,63.35,4202000,PAYX
2017-12-22,63.48,64.36,62.91,63.01,3022100,PAYX
2017-12-26,62.98,63.61,62.81,63.54,1625600,PAYX
2017-12-27,63.74,63.74,63.08,63.13,1153800,PAYX
2017-12-28,63.41,63.43,62.74,63.07,1103100,PAYX
2017-12-29,62.67,63.17,62.67,62.83,1210500,PAYX
2018-01-02,63.07,63.07,61.98,62.12,2289300,PAYX
2018-01-03,62.25,63.39,62.05,63.02,2189800,PAYX
2018-01-04,63.08,63.79,63.08,63.61,1636900,PAYX
2018-01-05,63.88,63.92,63.15,63.41,1743900,PAYX
2018-01-08,63.22,63.29,62.76,63.02,2256600,PAYX
2018-01-09,62.48,63.31,62.31,62.59,2850000,PAYX
