Date,Open,High,Low,Close,Volume,Name
2017-07-03,105.58,105.99,105.39,105.48,2250800,PEP
2017-07-05,105.53,105.58,104.97,105.35,4023100,PEP
2017-07-06,105.05,105.46,104.94,105.19,4007000,PEP
2017-07-07,105.45,105.68,104.92,105.54,3972500,PEP
2017-07-10,105.92,105.99,104.34,104.41,5771200,PEP
2017-07-11,103.56,104.14,102.56,103.92,6368500,PEP
2017-07-12,104.61,105.06,104.42,104.87,3885200,PEP
2017-07-13,105.03,105.11,104.09,104.18,3089400,PEP
2017-07-14,104.4,105.19,104.39,105.01,2956400,PEP
2017-07-17,105.02,105.22,104.93,105.01,2481300,PEP
2017-07-18,104.94,105.21,104.52,105.08,2694800,PEP
2017-07-19,105.08,105.4,104.74,105.39,2578200,PEP
2017-07-20,105.39,106.04,105.18,105.54,3518100,PEP
2017-07-21,105.79,106.6,105.42,106.57,3476400,PEP
2017-07-24,106.45,106.6,106.07,106.11,3681300,PEP
2017-07-25,106.57,106.7,106.12,106.4,3075100,PEP
2017-07-26,106.26,107.29,106.13,107.08,3305600,PEP
2017-07-27,107.2,107.87,106.56,107.21,2954800,PEP
2017-07-28,107.19,107.33,106.17,106.55,3276300,PEP
2017-07-31,106.47,106.78,106.15,106.55,3098600,PEP
2017-08-01,106.62,106.7,105.9,105.92,2946100,PEP
2017-08-02,105.74,105.97,105.2,105.63,2626400,PEP
2017-08-03,105.74,106.59,105.7,106.26,2986200,PEP
2017-08-04,106.28,106.44,105.87,106.33,2955200,PEP
2017-08-07,106.4,107.1,106.34,106.87,2569600,PEP
2017-08-08,106.72,106.86,106.33,106.64,2412600,PEP
2017-08-09,106.44,106.63,105.95,106.57,2513800,PEP
2017-08-10,106.31,106.76,106.06,106.34,2236000,PEP
2017-08-11,106.67,107.13,106.31,106.46,2759700,PEP
2017-08-14,107.23,107.98,106.91,107.67,3191700,PEP
2017-08-15,107.71,108.87,107.68,108.7,2749800,PEP
2017-08-16,108.69,109.06,108.57,108.82,2373900,PEP
2017-08-17,108.73,109.09,108.05,108.17,3096900,PEP
2017-08-18,108.08,108.21,107.27,107.45,3776500,PEP
2017-08-21,107.63,108.24,107.41,108.05,2119500,PEP
2017-08-22,108.05,108.46,107.5,107.74,2313700,PEP
2017-08-23,107.73,107.93,107.11,107.17,2616300,PEP
