Date,Open,High,Low,Close,Volume,Name
2017-07-03,23.63,23.73,23.5,23.53,1634900,PHM
2017-07-05,23.47,23.83,23.25,23.67,7304600,PHM
2017-07-06,23.61,23.69,23.45,23.45,8924700,PHM
2017-07-07,23.47,24.21,23.46,23.96,9620700,PHM
2017-07-10,23.69,24.18,23.68,24.09,8596000,PHM
2017-07-11,23.71,23.96,23.48,23.7,6306400,PHM
2017-07-12,23.84,24.02,23.32,23.43,5282700,PHM
2017-07-13,23.63,23.73,23.34,23.42,5842500,PHM
2017-07-14,23.41,23.64,23.36,23.41,4333900,PHM
2017-07-17,23.4,23.63,23.37,23.41,5936300,PHM
2017-07-18,23.33,23.43,22.88,23.21,3839800,PHM
2017-07-19,23.32,23.63,23.3,23.5,5182900,PHM
2017-07-20,23.52,23.54,23.14,23.34,3196200,PHM
2017-07-21,23.32,23.74,23.25,23.36,5755700,PHM
2017-07-24,23.34,23.65,23.25,23.46,4905900,PHM
2017-07-25,23.35,23.66,23.04,23.58,6650100,PHM
2017-07-26,23.42,23.74,23.31,23.34,4257100,PHM
2017-07-27,23.37,23.59,23.17,23.41,4336600,PHM
2017-07-28,23.35,23.54,23.2,23.4,3788600,PHM
2017-07-31,23.45,23.57,23.28,23.46,3638700,PHM
2017-08-01,23.51,24.07,23.47,23.91,4330100,PHM
2017-08-02,23.92,24.27,23.78,24.21,5021600,PHM
2017-08-03,24.27,24.51,24.19,24.3,5091200,PHM
2017-08-04,24.33,24.71,24.33,24.6,5808300,PHM
2017-08-07,24.63,24.73,24.36,24.46,4602200,PHM
2017-08-08,24.46,24.59,24.29,24.32,3860100,PHM
2017-08-09,24.22,24.43,24.15,24.32,3419100,PHM
2017-08-10,24.18,24.27,23.8,23.81,4520100,PHM
2017-08-11,23.76,24.02,23.69,23.87,2899300,PHM
2017-08-14,24.05,24.43,24.03,24.4,4411600,PHM
2017-08-15,24.4,24.56,24.34,24.53,2603500,PHM
2017-08-16,24.53,24.95,24.44,24.9,6375000,PHM
2017-08-17,24.82,24.98,24.42,24.44,4597900,PHM
2017-08-18,24.37,24.59,24.26,24.29,3649700,PHM
2017-08-21,24.2,24.47,24.15,24.4,3554500,PHM
2017-08-22,24.36,24.42,23.96,24.28,4335300,PHM
2017-08-23,24.17,24.36,23.91,23.96,4775100,PHM
2017-08-24,24.09,24.15,23.89,23.93,2970900,PHM
2017-08-25,24.03,24.43,24.03,24.32,3184500,PHM
2017-08-28,24.35,24.39,24.16,24.31,2619700,PHM
2017-08-29,24.13,24.4,24.06,24.32,3058300,PHM
2017-08-30,24.32,24.58,24.29,24.51,3057100,PHM
2017-08-31,24.6,24.88,24.54,24.81,3618500,PHM
2017-09-01,24.87,25.03,24.79,24.86,2371000,PHM
2017-09-05,24.85,24.94,24.48,24.64,4248500,PHM
2017-09-06,24.7,24.93,24.56,24.63,3990900,PHM
2017-09-07,24.67,24.78,24.39,24.42,3921600,PHM
2017-09-08,24.43,24.96,24.36,24.75,2569600,PHM
2017-09-11,24.9,25.22,24.83,25.14,4351700,PHM
2017-09-12,25.18,25.46,25.07,25.43,3042100,PHM
2017-09-13,25.46,25.6,24.74,25.16,7016600,PHM
2017-09-14,25.11,25.44,24.99,25.34,3622900,PHM
2017-09-15,25.27,25.39,25.0,25.26,7211600,PHM
2017-09-18,25.39,25.48,25.2,25.39,4619000,PHM
2017-09-19,25.39,25.53,25.26,25.29,5027500,PHM
2017-09-20,25.28,25.32,24.64,24.74,5170700,PHM
2017-09-21,24.79,24.84,24.58,24.73,3558100,PHM
2017-09-22,24.74,25.09,24.71,24.95,4243400,PHM
2017-09-25,24.84,25.31,24.82,25.23,3680100,PHM
2017-09-26,25.32,25.6,25.25,25.39,3162100,PHM
2017-09-27,25.52,25.68,25.26,25.58,2960300,PHM
2017-09-28,25.58,26.02,25.58,26.0,4358200,PHM
2017-09-29,26.07,26.52,26.07,26.35,4976500,PHM
