Date,Open,High,Low,Close,Volume,Name
2017-07-03,152.07,153.46,151.13,152.69,484800,PH
2017-07-05,152.53,153.72,151.99,152.61,896600,PH
2017-07-06,151.53,152.76,150.71,151.01,790800,PH
2017-07-07,151.26,152.79,150.93,152.38,973800,PH
2017-07-10,151.86,155.4,150.93,154.7,799100,PH
2017-07-11,154.99,155.02,152.88,154.49,1225300,PH
2017-07-12,155.57,156.8,155.0,155.13,850000,PH
2017-07-13,155.06,156.38,154.81,156.11,934800,PH
2017-07-14,156.47,156.7,155.52,156.32,676500,PH
2017-07-17,156.23,158.01,155.95,157.18,1146700,PH
2017-07-18,156.91,157.26,155.69,156.51,550700,PH
2017-07-19,157.27,158.02,155.75,157.93,556000,PH
2017-07-20,157.93,158.27,156.95,157.18,656400,PH
2017-07-21,156.19,156.35,153.96,155.83,1057400,PH
2017-07-24,155.84,156.17,153.83,155.7,763800,PH
2017-07-25,157.23,158.63,155.09,157.19,1079700,PH
2017-07-26,156.9,157.04,154.63,155.94,788400,PH
2017-07-27,156.3,157.21,155.02,155.39,1060300,PH
2017-07-28,155.2,156.73,154.6,156.03,745800,PH
2017-07-31,156.95,157.69,156.18,157.19,690700,PH
2017-08-01,157.33,158.1,154.31,155.81,1159200,PH
2017-08-02,155.31,156.56,154.25,155.6,1435800,PH
2017-08-03,153.33,157.89,152.23,156.57,1353300,PH
2017-08-04,157.34,157.34,154.98,155.53,918900,PH
2017-08-07,155.12,155.28,153.16,153.79,1313800,PH
2017-08-08,153.5,154.67,152.52,153.08,933700,PH
2017-08-09,152.43,153.1,151.85,152.5,811200,PH
2017-08-10,151.67,151.78,147.34,147.52,1662500,PH
2017-08-11,147.37,149.59,146.83,148.71,1013800,PH
2017-08-14,149.64,150.89,149.55,149.88,843400,PH
2017-08-15,150.11,150.57,149.39,149.82,936500,PH
2017-08-16,150.19,150.99,150.06,150.38,627400,PH
2017-08-17,149.98,150.75,147.34,147.34,1057000,PH
2017-08-18,146.6,148.27,145.52,146.94,867100,PH
2017-08-21,147.17,147.21,146.31,146.94,682600,PH
2017-08-22,147.79,150.88,147.56,150.71,795300,PH
2017-08-23,149.95,150.86,149.22,149.22,1478900,PH
2017-08-24,149.67,150.04,148.84,148.91,587100,PH
2017-08-25,149.66,150.09,149.17,149.6,621100,PH
2017-08-28,150.01,150.77,149.58,150.66,656600,PH
2017-08-29,149.79,151.77,149.7,151.41,772200,PH
2017-08-30,151.32,152.93,151.21,152.61,821200,PH
2017-08-31,153.17,153.83,152.33,153.01,864200,PH
2017-09-01,153.72,155.74,153.53,154.86,1099900,PH
2017-09-05,154.61,155.01,151.84,151.94,1043700,PH
2017-09-06,153.03,153.77,151.94,152.23,976700,PH
2017-09-07,152.49,152.49,149.34,151.08,993600,PH
2017-09-08,150.68,153.84,150.68,153.43,686700,PH
2017-09-11,154.11,157.01,153.78,157.01,886000,PH
2017-09-12,157.23,158.38,156.96,158.36,1084600,PH
2017-09-13,158.04,160.44,157.02,159.73,849900,PH
2017-09-14,159.3,160.0,158.8,159.7,756400,PH
2017-09-15,159.63,162.32,159.2,161.38,1142300,PH
2017-09-18,162.14,165.3,161.77,165.13,1726100,PH
2017-09-19,165.64,167.97,165.01,167.47,2046500,PH
2017-09-20,167.74,168.91,166.95,167.66,969400,PH
2017-09-21,167.14,168.18,166.67,167.3,683800,PH
2017-09-22,166.99,168.92,166.99,168.44,741600,PH
2017-09-25,168.2,168.81,166.6,168.22,717800,PH
2017-09-26,168.39,168.52,163.11,165.45,1858000,PH
2017-09-27,166.47,167.61,165.67,166.93,922200,PH
2017-09-28,166.22,167.46,165.55,167.21,691500,PH
2017-09-29,167.21,167.54,166.2,166.45,659800,PH
2017-10-02,163.58,167.54,162.31,167.54,1155500,PH
2017-10-03,167.39,168.79,167.22,168.48,590000,PH
2017-10-04,168.56,169.41,168.28,168.84,603400,PH
2017-10-05,168.91,169.66,168.37,168.58,790400,PH
2017-10-06,168.55,169.28,168.17,168.51,951000,PH
