Date,Open,High,Low,Close,Volume,Name
2017-07-03,102.51,103.75,102.19,102.87,271100,PKG
2017-07-05,102.99,103.62,102.13,102.67,548200,PKG
2017-07-06,102.24,102.7,101.5,101.71,498100,PKG
2017-07-07,101.85,102.29,101.6,101.78,696500,PKG
2017-07-10,101.2,104.09,100.95,103.2,974500,PKG
2017-07-11,103.42,103.42,101.64,102.12,671100,PKG
2017-07-12,102.85,103.47,101.92,102.63,552300,PKG
2017-07-13,103.24,104.89,103.21,103.98,833300,PKG
2017-07-14,104.11,104.22,103.67,103.79,377200,PKG
2017-07-17,103.42,103.92,102.72,103.54,518400,PKG
2017-07-18,102.97,103.2,101.89,102.32,809600,PKG
2017-07-19,102.81,103.25,102.56,103.03,756900,PKG
2017-07-20,102.74,102.74,100.51,101.36,1590300,PKG
2017-07-21,101.13,101.46,99.79,100.44,1162200,PKG
2017-07-24,101.44,101.65,99.95,100.01,1476400,PKG
2017-07-25,100.63,100.67,99.33,99.63,22606500,PKG
2017-07-26,99.79,100.61,98.65,99.84,2137100,PKG
2017-07-27,98.88,103.08,97.09,101.44,1473000,PKG
2017-07-28,101.51,102.31,100.05,100.73,2008300,PKG
2017-07-31,101.21,101.58,100.11,100.46,1150100,PKG
2017-08-01,100.67,101.33,99.87,100.98,1017600,PKG
2017-08-02,100.61,101.43,99.84,101.15,735300,PKG
2017-08-03,101.04,102.18,100.61,101.01,702800,PKG
2017-08-04,101.35,101.65,99.84,100.09,941100,PKG
2017-08-07,100.35,101.05,99.94,100.41,766100,PKG
2017-08-08,100.79,101.36,100.27,100.59,995700,PKG
2017-08-09,100.58,101.08,99.95,100.18,750900,PKG
2017-08-10,100.46,100.76,98.33,98.49,732900,PKG
2017-08-11,98.32,99.14,98.09,98.66,1532300,PKG
2017-08-14,99.44,100.84,99.18,100.14,737700,PKG
2017-08-15,100.25,101.13,99.77,100.29,804100,PKG
2017-08-16,100.93,102.43,100.93,102.26,708300,PKG
2017-08-17,101.95,102.31,101.24,101.46,702700,PKG
2017-08-18,101.19,101.83,100.68,100.93,731900,PKG
2017-08-21,100.74,100.74,97.72,97.74,999800,PKG
2017-08-22,97.81,99.94,97.81,99.83,842000,PKG
2017-08-23,99.41,100.84,99.2,100.17,610200,PKG
2017-08-24,100.43,101.3,100.15,101.05,614300,PKG
2017-08-25,101.44,101.85,100.82,101.27,524500,PKG
2017-08-28,101.36,101.6,99.95,100.08,560200,PKG
2017-08-29,99.64,99.86,99.1,99.56,646900,PKG
2017-08-30,99.6,102.01,99.6,101.98,709300,PKG
2017-08-31,102.17,103.48,102.02,103.15,829000,PKG
2017-09-01,103.42,104.27,103.42,104.1,434500,PKG
2017-09-05,104.08,104.32,102.28,102.67,678000,PKG
2017-09-06,102.86,103.41,101.58,102.43,527800,PKG
2017-09-07,102.53,103.56,101.98,103.03,605000,PKG
2017-09-08,103.15,105.01,102.98,104.42,724800,PKG
2017-09-11,105.0,107.78,104.43,107.18,1484500,PKG
2017-09-12,108.19,109.17,107.44,108.53,1182500,PKG
2017-09-13,107.97,108.24,106.15,106.99,1225900,PKG
2017-09-14,106.6,107.06,105.96,106.84,861000,PKG
2017-09-15,106.62,107.1,105.64,106.91,2177700,PKG
2017-09-18,107.22,108.12,106.94,107.22,1092800,PKG
2017-09-19,107.22,108.45,106.4,108.18,1061900,PKG
2017-09-20,108.18,110.19,108.18,110.05,877100,PKG
2017-09-21,109.96,110.08,109.35,109.61,461900,PKG
2017-09-22,109.33,109.6,106.29,107.22,1080000,PKG
2017-09-25,106.82,107.11,103.52,105.08,977800,PKG
2017-09-26,105.24,106.21,105.08,105.47,663500,PKG
2017-09-27,105.98,106.9,105.4,106.37,696800,PKG
2017-09-28,106.15,107.2,105.71,106.66,874100,PKG
2017-09-29,106.18,106.23,105.08,105.8,829800,PKG
2017-10-02,105.59,108.0,105.59,107.81,681300,PKG
2017-10-03,108.19,108.76,107.45,108.19,544700,PKG
2017-10-04,108.22,108.83,107.77,108.25,655700,PKG
2017-10-05,108.29,108.3,107.31,108.0,771900,PKG
2017-10-06,107.71,108.7,107.33,107.48,527800,PKG
2017-10-09,107.76,108.05,107.03,107.69,383800,PKG
2017-10-10,107.83,108.54,107.53,108.38,366200,PKG
2017-10-11,108.48,108.66,107.3,107.67,589500,PKG
2017-10-12,107.87,107.87,106.46,106.56,809300,PKG
2017-10-13,106.37,107.09,106.22,106.74,771600,PKG
2017-10-16,106.99,107.99,106.65,107.94,695000,PKG
2017-10-17,108.01,108.51,107.5,107.71,711600,PKG
2017-10-18,107.86,108.17,107.1,107.41,793500,PKG
2017-10-19,107.16,107.7,106.74,107.58,386300,PKG
2017-10-20,108.18,109.22,107.93,109.2,596200,PKG
2017-10-23,109.64,109.78,108.95,109.0,547300,PKG
2017-10-24,110.16,110.32,108.74,109.45,758000,PKG
2017-10-25,109.73,110.05,107.85,109.01,678100,PKG
2017-10-26,107.94,111.4,107.49,109.4,912800,PKG
2017-10-27,108.68,108.89,103.01,107.88,1456700,PKG
2017-10-30,107.21,107.9,106.4,106.63,708100,PKG
2017-10-31,106.93,107.83,106.2,107.27,476600,PKG
2017-11-01,108.05,108.45,107.08,107.55,881700,PKG
2017-11-02,107.1,108.13,106.64,107.22,706300,PKG
2017-11-03,107.11,107.8,106.66,106.78,513000,PKG
2017-11-06,106.74,106.75,102.07,102.37,1735700,PKG
2017-11-07,102.21,103.29,101.36,102.73,783600,PKG
2017-11-08,102.41,102.94,101.98,102.79,883400,PKG
2017-11-09,102.05,102.5,100.09,100.78,1183200,PKG
2017-11-10,100.94,102.06,100.83,101.74,913600,PKG
2017-11-13,101.66,104.0,101.18,103.66,1086500,PKG
2017-11-14,103.25,104.66,103.02,103.99,456800,PKG
2017-11-15,103.38,104.34,102.83,103.19,667100,PKG
2017-11-16,102.94,103.88,102.84,103.21,632400,PKG
2017-11-17,102.8,104.12,102.51,103.76,447200,PKG
2017-11-20,103.34,104.26,102.91,103.12,666200,PKG
2017-11-21,103.73,104.37,103.31,103.37,612300,PKG
2017-11-22,103.53,103.85,102.93,103.4,468800,PKG
2017-11-24,103.77,104.09,102.84,102.84,178000,PKG
2017-11-27,102.87,103.87,102.45,102.8,546000,PKG
2017-11-28,103.14,104.24,102.57,104.21,549800,PKG
2017-11-29,104.23,106.29,103.99,106.18,665000,PKG
2017-11-30,106.28,109.77,106.19,109.42,1333300,PKG
