Date,Open,High,Low,Close,Volume,Name
2017-07-03,67.7,68.48,67.02,67.04,699200,PKI
2017-07-05,67.21,67.71,67.04,67.55,424800,PKI
2017-07-06,67.16,67.38,66.69,66.84,475500,PKI
2017-07-07,66.96,67.39,66.96,67.28,469000,PKI
2017-07-10,67.43,68.0,67.04,67.76,377100,PKI
2017-07-11,67.9,68.21,67.38,67.97,466400,PKI
2017-07-12,68.39,68.78,68.03,68.29,341900,PKI
2017-07-13,68.22,68.67,67.77,68.54,578200,PKI
2017-07-14,68.55,68.81,68.27,68.75,294000,PKI
2017-07-17,68.81,69.44,68.47,69.23,594200,PKI
2017-07-18,69.29,69.29,68.41,68.7,728800,PKI
2017-07-19,69.03,69.28,68.65,68.75,411200,PKI
2017-07-20,68.82,69.18,68.63,68.82,245600,PKI
2017-07-21,68.72,69.15,68.65,68.88,388700,PKI
2017-07-24,68.89,69.24,68.49,68.73,348600,PKI
2017-07-25,68.88,68.97,67.54,67.6,706200,PKI
2017-07-26,67.44,67.55,65.41,65.48,1516700,PKI
2017-07-27,65.75,65.8,64.97,65.18,810000,PKI
2017-07-28,65.24,65.54,64.84,65.28,654100,PKI
2017-07-31,65.55,65.8,65.15,65.22,606200,PKI
2017-08-01,65.54,65.86,65.29,65.61,1026900,PKI
2017-08-02,65.94,66.23,65.64,66.11,467600,PKI
2017-08-03,66.02,66.13,65.37,65.74,724100,PKI
2017-08-04,65.39,65.39,62.45,63.7,1510700,PKI
2017-08-07,64.02,65.65,63.78,65.19,896400,PKI
2017-08-08,65.14,65.5,63.26,63.44,894900,PKI
2017-08-09,63.2,63.71,62.79,63.66,564500,PKI
2017-08-10,63.32,63.41,62.32,62.37,638900,PKI
2017-08-11,62.1,63.56,61.86,63.34,497400,PKI
2017-08-14,63.87,64.07,63.2,63.41,570800,PKI
2017-08-15,63.48,63.76,63.37,63.55,715200,PKI
2017-08-16,63.84,64.33,63.55,64.05,516200,PKI
2017-08-17,63.95,64.22,63.01,63.07,433600,PKI
2017-08-18,62.98,63.37,62.53,62.89,403200,PKI
2017-08-21,62.9,63.6,62.79,63.56,556100,PKI
2017-08-22,63.76,64.49,63.59,64.34,435000,PKI
2017-08-23,64.33,64.56,63.99,64.43,441300,PKI
2017-08-24,64.53,64.92,64.28,64.58,295900,PKI
2017-08-25,64.8,65.03,64.62,64.75,294000,PKI
2017-08-28,65.04,65.43,64.79,65.11,318100,PKI
