Date,Open,High,Low,Close,Volume,Name
2017-07-03,42.5,42.7,42.22,42.52,615400,PNR
2017-07-05,42.55,42.66,42.15,42.3,1045700,PNR
2017-07-06,42.21,42.32,41.59,41.62,1276500,PNR
2017-07-07,41.69,42.35,41.69,42.26,963900,PNR
2017-07-10,42.27,42.85,42.01,42.41,889500,PNR
2017-07-11,42.36,42.6,42.07,42.25,887700,PNR
2017-07-12,42.65,42.99,42.64,42.69,806200,PNR
2017-07-13,42.78,42.81,42.35,42.36,968800,PNR
2017-07-14,42.4,42.44,42.17,42.21,1022000,PNR
2017-07-17,42.14,42.26,42.0,42.21,842000,PNR
2017-07-18,42.08,42.19,41.7,42.04,882200,PNR
2017-07-19,42.12,42.23,41.88,42.13,934400,PNR
2017-07-20,42.13,42.19,41.39,41.53,1493400,PNR
2017-07-21,41.46,41.46,40.95,41.3,1289100,PNR
2017-07-24,41.3,41.4,41.04,41.18,1529300,PNR
2017-07-25,40.63,41.04,39.96,40.34,2489300,PNR
2017-07-26,40.37,40.44,39.73,39.77,1727000,PNR
2017-07-27,39.83,39.96,39.58,39.85,1681600,PNR
2017-07-28,39.88,40.41,39.79,40.34,1299300,PNR
2017-07-31,40.35,40.65,40.1,40.21,1438000,PNR
2017-08-01,40.29,40.55,39.68,39.82,1303400,PNR
2017-08-02,39.7,40.12,39.58,39.95,1705600,PNR
2017-08-03,39.96,40.18,39.86,40.07,1220200,PNR
2017-08-04,40.16,40.45,40.07,40.27,1481500,PNR
2017-08-07,40.28,40.35,39.94,40.06,962900,PNR
2017-08-08,39.98,40.12,39.69,39.72,652400,PNR
2017-08-09,39.77,39.91,39.58,39.77,939500,PNR
2017-08-10,39.67,39.67,39.18,39.23,1193400,PNR
2017-08-11,39.18,39.58,38.91,39.26,830800,PNR
2017-08-14,39.51,39.93,39.45,39.86,842700,PNR
2017-08-15,39.84,39.84,39.38,39.55,988800,PNR
2017-08-16,39.61,39.96,39.49,39.77,874600,PNR
2017-08-17,39.58,39.8,39.12,39.12,1315300,PNR
2017-08-18,38.92,39.26,38.81,38.87,1073400,PNR
2017-08-21,38.86,39.04,38.69,38.81,776300,PNR
2017-08-22,38.98,39.25,38.93,39.15,1021300,PNR
2017-08-23,38.94,39.14,38.73,38.73,588300,PNR
2017-08-24,38.82,38.96,38.73,38.87,823400,PNR
2017-08-25,39.06,39.31,39.06,39.22,619500,PNR
2017-08-28,39.46,39.52,38.78,38.86,836500,PNR
2017-08-29,38.54,39.01,37.7,38.93,998900,PNR
2017-08-30,38.86,39.04,38.68,38.89,869100,PNR
2017-08-31,39.05,39.63,38.84,39.56,1698600,PNR
2017-09-01,39.72,40.07,39.62,39.84,1030200,PNR
2017-09-05,39.8,39.8,39.19,39.26,1141700,PNR
2017-09-06,39.44,39.58,39.16,39.37,889200,PNR
2017-09-07,39.47,39.47,39.05,39.3,842000,PNR
2017-09-08,39.19,39.65,39.04,39.54,687900,PNR
2017-09-11,39.73,40.7,39.58,40.58,1206900,PNR
2017-09-12,40.75,41.07,40.7,41.07,681500,PNR
2017-09-13,40.97,41.41,40.9,41.15,861600,PNR
2017-09-14,41.13,41.53,41.04,41.42,1254600,PNR
2017-09-15,41.3,41.43,40.98,41.19,2301500,PNR
2017-09-18,41.28,41.85,41.15,41.79,1160000,PNR
2017-09-19,41.79,42.48,41.65,42.46,1276000,PNR
2017-09-20,42.62,42.96,42.45,42.78,2860300,PNR
2017-09-21,42.78,42.97,42.55,42.58,901500,PNR
2017-09-22,42.59,42.8,42.49,42.75,1180300,PNR
2017-09-25,42.74,42.89,42.35,42.71,1276300,PNR
2017-09-26,42.71,42.73,42.09,42.31,1128600,PNR
2017-09-27,42.44,42.77,41.77,42.73,1909000,PNR
2017-09-28,42.72,42.83,42.38,42.83,1648400,PNR
2017-09-29,42.9,43.68,42.73,43.33,2334000,PNR
2017-10-02,43.29,44.2,43.23,44.2,1821700,PNR
2017-10-03,44.28,44.5,44.1,44.4,1468700,PNR
2017-10-04,44.43,44.96,44.23,44.66,1690400,PNR
2017-10-05,44.63,44.67,44.18,44.36,1387300,PNR
2017-10-06,44.19,44.68,44.17,44.64,1196700,PNR
2017-10-09,44.7,44.77,44.38,44.63,1054200,PNR
2017-10-10,44.79,44.79,44.42,44.6,1244900,PNR
2017-10-11,44.59,44.79,44.49,44.6,855500,PNR
2017-10-12,44.41,44.88,44.36,44.56,1880600,PNR
2017-10-13,44.82,44.86,44.49,44.62,1431200,PNR
2017-10-16,44.95,45.36,44.74,45.33,1201400,PNR
2017-10-17,45.2,45.5,44.78,44.9,1253200,PNR
2017-10-18,44.87,45.06,44.68,44.95,873700,PNR
2017-10-19,44.77,45.31,44.62,45.31,814100,PNR
2017-10-20,45.54,45.68,45.27,45.6,1046000,PNR
2017-10-23,45.64,45.77,45.27,45.38,1307600,PNR
2017-10-24,44.21,45.91,44.21,45.22,2252200,PNR
2017-10-25,45.4,45.75,44.94,45.45,1604200,PNR
2017-10-26,45.78,45.88,45.56,45.59,1300700,PNR
2017-10-27,45.54,45.65,44.85,44.93,1326200,PNR
2017-10-30,44.85,45.06,44.63,44.92,1155600,PNR
2017-10-31,44.94,45.42,44.85,45.15,1343500,PNR
2017-11-01,45.17,45.26,44.36,44.38,1585900,PNR
2017-11-02,44.47,44.85,44.2,44.81,1276200,PNR
2017-11-03,44.7,44.78,44.13,44.44,1252600,PNR
2017-11-06,44.49,44.68,44.31,44.52,1342600,PNR
2017-11-07,44.53,44.54,43.92,44.17,1058200,PNR
2017-11-08,44.13,44.33,43.98,44.32,712900,PNR
2017-11-09,43.93,44.21,43.47,43.68,1367300,PNR
2017-11-10,43.47,43.65,43.1,43.6,1553600,PNR
2017-11-13,43.35,43.86,43.18,43.74,1093900,PNR
2017-11-14,43.45,43.62,43.24,43.58,976700,PNR
2017-11-15,43.44,43.58,43.12,43.23,997000,PNR
2017-11-16,43.38,43.74,43.13,43.72,1574900,PNR
2017-11-17,43.44,44.06,43.26,43.85,1688000,PNR
2017-11-20,43.97,44.35,43.77,44.31,1321000,PNR
2017-11-21,44.68,45.01,44.27,44.44,1373300,PNR
2017-11-22,44.46,44.7,44.42,44.54,938200,PNR
2017-11-24,44.72,44.81,44.2,44.31,257800,PNR
2017-11-27,44.28,44.4,44.11,44.28,974800,PNR
