Date,Open,High,Low,Close,Volume,Name
2017-07-03,72.96,73.34,72.5,72.82,415700,PRGO
2017-07-05,72.8,72.8,71.37,71.82,831100,PRGO
2017-07-06,71.33,71.4,69.41,69.53,1527600,PRGO
2017-07-07,69.87,70.05,68.34,69.66,1329600,PRGO
2017-07-10,69.35,69.65,68.9,69.23,1028700,PRGO
2017-07-11,69.15,70.04,68.95,69.67,918100,PRGO
2017-07-12,70.13,70.73,69.93,70.45,463900,PRGO
2017-07-13,71.09,71.42,70.38,71.09,613700,PRGO
2017-07-14,71.21,71.26,70.73,71.03,529000,PRGO
2017-07-17,71.5,71.96,70.82,71.02,855000,PRGO
2017-07-18,71.04,71.08,69.08,70.08,1445500,PRGO
2017-07-19,70.31,70.33,69.26,69.84,1180600,PRGO
2017-07-20,70.29,72.72,70.12,72.59,1486300,PRGO
2017-07-21,72.62,73.33,72.31,73.27,980100,PRGO
2017-07-24,73.08,73.74,72.73,73.4,777700,PRGO
2017-07-25,73.57,74.04,73.01,73.33,542800,PRGO
2017-07-26,73.32,73.37,72.59,73.3,595200,PRGO
2017-07-27,73.22,73.24,70.5,71.06,1364600,PRGO
2017-07-28,71.14,71.82,71.04,71.59,812900,PRGO
2017-07-31,72.18,73.11,71.83,72.03,838700,PRGO
2017-08-01,72.09,72.12,70.54,71.33,1224400,PRGO
2017-08-02,71.69,71.69,69.18,69.34,1576500,PRGO
2017-08-03,67.3,67.78,65.61,65.67,2874400,PRGO
2017-08-04,65.67,65.8,63.94,64.83,1666400,PRGO
2017-08-07,64.65,65.56,64.33,64.9,1967600,PRGO
2017-08-08,64.6,65.19,63.68,64.0,1834300,PRGO
2017-08-09,62.0,63.85,61.22,63.81,4830500,PRGO
2017-08-10,72.57,76.91,71.76,73.87,10424700,PRGO
2017-08-11,74.69,76.47,73.73,75.46,3098200,PRGO
2017-08-14,76.29,76.53,74.3,74.32,1408600,PRGO
2017-08-15,74.1,74.94,73.74,74.77,1259800,PRGO
2017-08-16,75.16,76.2,74.87,76.12,1410000,PRGO
2017-08-17,76.18,76.46,74.64,74.69,1117500,PRGO
2017-08-18,74.59,75.72,74.26,74.29,1446800,PRGO
2017-08-21,74.21,75.14,73.74,74.58,1111300,PRGO
