Date,Open,High,Low,Close,Volume,Name
2017-07-03,74.82,75.63,74.77,75.15,1076900,PSX
2017-07-05,75.07,75.07,74.08,74.24,1974200,PSX
2017-07-06,74.3,74.48,73.66,73.84,1590800,PSX
2017-07-07,73.87,74.68,73.54,74.48,1710800,PSX
2017-07-10,74.37,74.73,74.24,74.36,1498700,PSX
2017-07-11,74.19,74.62,73.86,74.27,1365400,PSX
2017-07-12,74.69,74.93,73.86,74.16,1606000,PSX
2017-07-13,73.89,74.17,73.14,73.69,2318400,PSX
2017-07-14,73.82,74.26,73.63,74.12,1435800,PSX
2017-07-17,73.87,74.14,73.62,73.77,1843700,PSX
2017-07-18,74.02,74.06,73.5,73.91,1339100,PSX
2017-07-19,73.9,74.79,73.82,74.77,1666200,PSX
2017-07-20,74.82,74.95,73.93,74.27,1167700,PSX
2017-07-21,74.22,75.14,73.92,74.71,2190600,PSX
2017-07-24,74.56,74.86,74.41,74.53,1417900,PSX
2017-07-25,75.03,76.36,75.03,76.15,2335600,PSX
2017-07-26,76.37,76.39,75.4,75.47,1753700,PSX
2017-07-27,75.32,76.58,75.15,76.2,2188400,PSX
2017-07-28,75.96,76.33,75.29,75.43,2169400,PSX
2017-07-31,75.64,76.1,75.52,75.52,3641500,PSX
2017-08-01,75.78,77.38,75.74,77.21,2696700,PSX
2017-08-02,77.05,78.72,76.99,78.15,2952400,PSX
2017-08-03,78.24,78.56,77.18,77.23,2430100,PSX
2017-08-04,77.27,77.72,77.17,77.19,2087500,PSX
2017-08-07,77.12,77.18,76.54,76.71,2187200,PSX
2017-08-08,76.5,76.93,76.22,76.66,1848000,PSX
2017-08-09,76.65,77.15,76.03,76.19,2297100,PSX
2017-08-10,76.12,76.42,75.28,75.42,1850500,PSX
2017-08-11,74.92,75.56,74.81,75.24,1858200,PSX
2017-08-14,75.38,76.02,75.24,75.64,1758700,PSX
2017-08-15,75.52,75.82,75.06,75.46,1907600,PSX
2017-08-16,75.76,75.91,75.26,75.5,2138400,PSX
2017-08-17,75.17,75.48,73.56,73.56,2359100,PSX
2017-08-18,73.47,74.72,73.41,74.17,2288900,PSX
2017-08-21,74.03,74.6,73.78,74.47,1686900,PSX
2017-08-22,74.67,75.11,74.56,74.77,1709100,PSX
2017-08-23,74.54,75.16,74.46,74.89,1159800,PSX
2017-08-24,74.62,76.76,74.62,76.27,2463200,PSX
2017-08-25,76.66,77.15,75.81,75.86,1778600,PSX
2017-08-28,76.48,76.93,75.95,76.07,2285600,PSX
2017-08-29,75.93,76.37,75.7,75.93,1696800,PSX
2017-08-30,75.93,76.15,75.43,76.02,1853600,PSX
2017-08-31,76.36,76.37,75.58,76.21,2446000,PSX
2017-09-01,76.27,76.94,75.65,76.77,2048800,PSX
2017-09-05,76.67,76.75,75.17,75.69,2491400,PSX
2017-09-06,76.06,76.34,75.64,75.8,1885900,PSX
2017-09-07,75.91,76.57,75.57,76.42,1853200,PSX
2017-09-08,76.41,77.39,76.35,77.02,1936700,PSX
2017-09-11,77.2,77.68,76.77,77.47,1508900,PSX
2017-09-12,77.48,78.06,77.37,77.96,1567300,PSX
2017-09-13,78.1,78.62,77.77,78.52,1748100,PSX
2017-09-14,78.37,78.89,78.16,78.42,2002600,PSX
2017-09-15,78.48,79.86,78.47,79.72,4363600,PSX
2017-09-18,79.67,80.34,79.57,80.3,1815900,PSX
2017-09-19,80.36,81.21,80.04,81.01,1928600,PSX
2017-09-20,80.96,81.39,80.72,80.99,2279000,PSX
2017-09-21,80.84,81.58,80.75,81.06,2035700,PSX
