Date,Open,High,Low,Close,Volume,Name
2017-07-03,237.9,249.79,237.28,245.67,523900,RE
2017-07-05,246.46,247.3,244.2,244.55,522600,RE
2017-07-06,244.32,244.91,242.84,243.22,437800,RE
2017-07-07,244.58,245.78,242.96,244.98,281500,RE
2017-07-10,244.33,248.56,244.05,247.19,476900,RE
2017-07-11,247.84,247.84,242.16,244.08,522800,RE
2017-07-12,243.86,246.29,243.31,244.53,310400,RE
2017-07-13,245.37,246.0,243.76,245.56,319800,RE
2017-07-14,245.04,245.67,243.78,245.49,287500,RE
2017-07-17,244.42,247.09,243.07,246.52,272600,RE
2017-07-18,245.11,249.82,244.49,248.82,483600,RE
2017-07-19,249.63,252.06,248.82,250.41,489800,RE
2017-07-20,250.12,251.14,249.18,250.47,399900,RE
2017-07-21,249.97,251.65,249.43,251.41,347900,RE
2017-07-24,251.99,254.61,250.63,252.35,451700,RE
2017-07-25,253.86,257.98,245.04,248.26,662600,RE
2017-07-26,248.34,248.34,241.85,242.01,521400,RE
2017-07-27,241.59,241.86,239.28,241.56,387200,RE
2017-07-28,241.56,242.51,240.29,241.86,312900,RE
2017-07-31,242.06,245.02,242.06,244.22,307500,RE
2017-08-01,245.93,247.19,243.84,245.71,393700,RE
2017-08-02,245.58,248.39,244.82,246.97,277500,RE
2017-08-03,246.65,248.39,246.15,247.64,213300,RE
2017-08-04,248.7,248.91,245.77,247.27,211700,RE
2017-08-07,247.35,247.83,245.92,247.2,235100,RE
2017-08-08,246.96,247.81,246.46,247.76,289600,RE
2017-08-09,246.9,250.21,246.54,250.11,249500,RE
2017-08-10,249.93,251.02,249.31,250.65,330600,RE
2017-08-11,250.84,251.0,246.52,246.71,218600,RE
2017-08-14,247.85,250.33,247.64,250.32,230600,RE
2017-08-15,250.93,252.18,247.94,248.89,258000,RE
2017-08-16,249.93,250.98,247.58,248.43,227300,RE
2017-08-17,248.24,248.74,244.01,244.32,296600,RE
2017-08-18,243.61,245.03,243.23,244.81,659500,RE
2017-08-21,244.92,245.08,243.42,244.29,215200,RE
2017-08-22,244.46,245.42,244.06,245.42,254600,RE
2017-08-23,245.32,247.33,244.42,244.59,194200,RE
2017-08-24,244.58,244.88,238.91,239.77,369100,RE
2017-08-25,239.67,242.53,239.42,242.22,302000,RE
2017-08-28,240.93,240.95,234.33,235.38,581900,RE
2017-08-29,234.4,235.88,233.39,235.01,491100,RE
2017-08-30,234.47,236.33,233.55,234.32,405500,RE
2017-08-31,234.31,235.48,232.86,235.0,528800,RE
2017-09-01,235.12,236.6,231.76,232.33,540600,RE
2017-09-05,230.23,230.23,215.19,216.25,1013700,RE
2017-09-06,216.14,218.74,212.51,212.69,1195200,RE
2017-09-07,212.61,212.62,196.62,198.24,1196400,RE
2017-09-08,198.21,212.02,195.7,208.1,1566400,RE
2017-09-11,226.52,229.36,215.83,216.97,1421900,RE
2017-09-12,216.96,219.78,214.38,218.18,653200,RE
2017-09-13,216.97,218.99,214.7,218.24,479900,RE
