Date,Open,High,Low,Close,Volume,Name
2017-07-03,71.72,72.04,71.4,71.41,1837200,RTX
2017-07-05,71.58,71.96,71.47,71.83,2761600,RTX
2017-07-06,71.7,71.95,71.3,71.3,4859400,RTX
2017-07-07,71.53,71.89,71.39,71.72,2801200,RTX
2017-07-10,71.79,72.39,71.57,71.99,3262300,RTX
2017-07-11,72.05,72.35,71.58,72.27,3104100,RTX
2017-07-12,72.55,73.0,72.34,72.37,3776800,RTX
2017-07-13,72.34,72.38,71.86,71.99,4271000,RTX
2017-07-14,72.21,72.33,71.83,72.19,2827600,RTX
2017-07-17,72.38,72.38,71.95,72.02,2927500,RTX
2017-07-18,71.85,71.92,71.33,71.74,2990000,RTX
2017-07-19,71.98,72.09,71.69,72.0,2718700,RTX
2017-07-20,71.87,72.12,71.55,71.63,2910000,RTX
2017-07-21,71.54,72.25,71.29,72.24,3928800,RTX
2017-07-24,72.24,72.39,71.86,72.03,5847200,RTX
2017-07-25,71.31,71.37,70.19,70.44,7629400,RTX
2017-07-26,70.44,70.53,69.78,69.93,4757300,RTX
2017-07-27,69.83,69.86,68.94,69.43,6764800,RTX
2017-07-28,69.49,69.88,69.2,69.54,3417600,RTX
2017-07-31,69.71,69.81,69.29,69.36,3451700,RTX
2017-08-01,69.61,69.76,69.24,69.54,2468100,RTX
2017-08-02,69.5,70.43,69.41,70.4,3717300,RTX
2017-08-03,70.42,70.85,70.12,70.84,3227500,RTX
2017-08-04,70.91,71.17,70.58,71.07,2865900,RTX
2017-08-07,69.79,70.05,68.95,69.33,7906300,RTX
2017-08-08,69.29,69.61,69.03,69.14,4396600,RTX
2017-08-09,69.36,69.47,68.46,68.56,5058400,RTX
2017-08-10,68.38,68.61,67.91,68.3,5018600,RTX
2017-08-11,68.44,68.89,68.06,68.38,3322400,RTX
2017-08-14,68.62,68.76,68.41,68.53,2949100,RTX
2017-08-15,68.51,68.51,67.69,67.83,3631000,RTX
2017-08-16,68.22,69.51,68.16,69.45,5485800,RTX
2017-08-17,69.32,69.32,68.32,68.33,4325000,RTX
2017-08-18,68.29,68.43,67.89,67.96,4386200,RTX
2017-08-21,68.05,68.09,67.49,67.85,3040000,RTX
2017-08-22,68.02,68.17,67.7,68.09,3823900,RTX
2017-08-23,67.92,69.96,67.64,68.88,9857300,RTX
2017-08-24,68.98,68.98,67.65,67.86,6881900,RTX
2017-08-25,68.14,68.32,67.69,67.72,3569000,RTX
2017-08-28,67.85,68.14,67.79,67.88,5529500,RTX
2017-08-29,67.72,69.88,67.35,69.86,8855300,RTX
2017-08-30,70.01,70.54,69.63,70.39,8285500,RTX
2017-08-31,70.41,70.74,69.92,70.46,6322600,RTX
2017-09-01,70.47,70.72,69.34,69.4,4202400,RTX
2017-09-05,68.03,68.21,65.4,65.45,22592700,RTX
2017-09-06,65.33,65.38,64.21,64.51,14601400,RTX
2017-09-07,64.51,64.78,64.21,64.73,8188200,RTX
2017-09-08,64.8,64.94,64.36,64.47,6998100,RTX
2017-09-11,64.74,65.17,64.32,64.53,8935200,RTX
2017-09-12,64.78,64.92,64.56,64.66,6302600,RTX
2017-09-13,64.83,65.02,64.63,64.9,6071400,RTX
2017-09-14,64.9,66.67,64.8,66.59,11175100,RTX
2017-09-15,66.93,67.05,66.35,66.55,10375500,RTX
2017-09-18,66.74,66.88,66.3,66.37,6418900,RTX
2017-09-19,66.5,66.89,66.36,66.89,5288800,RTX
2017-09-20,66.64,67.23,66.63,67.15,5458600,RTX
2017-09-21,67.2,67.58,66.84,67.39,4076100,RTX
2017-09-22,67.34,67.75,67.17,67.69,4502200,RTX
2017-09-25,67.63,67.68,66.92,67.26,5879400,RTX
2017-09-26,67.43,67.69,67.23,67.52,6388000,RTX
2017-09-27,67.6,69.13,67.59,68.96,8859400,RTX
2017-09-28,68.85,68.88,67.91,68.18,9580300,RTX
2017-09-29,67.87,68.35,67.38,68.32,5196600,RTX
2017-10-02,68.35,69.24,68.23,69.2,3703600,RTX
2017-10-03,69.45,69.45,69.02,69.28,3513400,RTX
2017-10-04,69.37,69.58,69.16,69.23,4449000,RTX
2017-10-05,69.23,69.64,69.12,69.55,4252900,RTX
2017-10-06,69.39,69.61,69.21,69.58,2844400,RTX
2017-10-09,69.62,69.97,69.5,69.82,2779900,RTX
2017-10-10,69.81,69.93,69.3,69.52,4234000,RTX
2017-10-11,69.63,69.8,69.11,69.3,4903400,RTX
2017-10-12,69.25,69.99,69.23,69.93,3774800,RTX
2017-10-13,70.08,70.59,69.87,69.87,5517800,RTX
2017-10-16,69.94,70.33,69.68,70.04,3437900,RTX
2017-10-17,69.82,70.25,69.55,70.25,3220100,RTX
2017-10-18,70.33,70.33,69.8,70.14,2948500,RTX
2017-10-19,70.09,70.35,69.58,70.32,2592700,RTX
2017-10-20,70.6,71.17,70.48,71.17,3995800,RTX
2017-10-23,71.07,71.32,70.9,71.15,4095800,RTX
2017-10-24,70.59,72.55,70.01,70.47,8632200,RTX
2017-10-25,70.45,70.79,69.96,70.03,5859100,RTX
2017-10-26,70.3,70.67,70.04,70.58,5372000,RTX
2017-10-27,70.4,70.59,70.01,70.08,4533000,RTX
2017-10-30,70.28,70.94,69.95,70.52,7043000,RTX
2017-10-31,70.65,70.77,70.33,70.48,5467100,RTX
2017-11-01,70.95,71.21,70.58,70.69,4275300,RTX
2017-11-02,70.68,71.51,70.45,71.48,3119300,RTX
2017-11-03,71.65,71.65,70.85,71.25,3822600,RTX
2017-11-06,71.37,71.48,70.84,70.85,3838300,RTX
2017-11-07,71.02,71.48,70.85,71.07,2945300,RTX
2017-11-08,70.93,71.21,70.63,70.79,3195400,RTX
2017-11-09,70.79,70.83,69.5,69.66,4473000,RTX
2017-11-10,69.45,69.73,69.45,69.51,4961600,RTX
2017-11-13,69.42,69.45,68.81,68.9,3522600,RTX
2017-11-14,68.9,70.05,68.86,69.92,4541200,RTX
2017-11-15,69.61,69.67,68.61,69.19,4175800,RTX
2017-11-16,69.45,69.99,69.33,69.8,3371200,RTX
2017-11-17,69.56,69.64,68.96,68.99,4463000,RTX
2017-11-20,69.17,69.38,68.86,68.9,4631700,RTX
2017-11-21,68.96,69.64,68.96,69.29,3961300,RTX
2017-11-22,69.27,69.38,69.0,69.11,4545400,RTX
2017-11-24,69.27,69.37,68.89,69.22,2361800,RTX
2017-11-27,69.16,69.4,68.94,69.34,4082900,RTX
2017-11-28,69.54,69.87,69.21,69.69,4343800,RTX
2017-11-29,69.77,70.14,69.67,69.96,4400400,RTX
2017-11-30,70.41,72.08,70.22,71.91,8539900,RTX
2017-12-01,72.03,72.2,70.33,71.12,6168100,RTX
2017-12-04,71.75,72.19,71.06,71.07,4380700,RTX
2017-12-05,72.23,72.55,71.17,71.22,5004200,RTX
