Date,Open,High,Low,Close,Volume,Name
2017-07-03,42.91,43.03,42.67,42.88,982400,SEE
2017-07-05,42.86,43.11,42.55,42.9,1425800,SEE
2017-07-06,42.7,42.84,42.46,42.61,1284000,SEE
2017-07-07,42.83,43.44,42.72,43.18,1352200,SEE
2017-07-10,43.15,43.72,43.01,43.67,1816400,SEE
2017-07-11,43.66,43.74,43.11,43.26,1935100,SEE
2017-07-12,43.5,43.76,43.33,43.71,1161400,SEE
2017-07-13,43.69,44.05,43.67,43.69,1067200,SEE
2017-07-14,43.85,44.1,43.71,43.87,1078700,SEE
2017-07-17,43.79,44.05,43.56,43.94,1275500,SEE
2017-07-18,43.61,43.81,43.45,43.62,988200,SEE
2017-07-19,43.69,44.04,43.69,43.85,1135000,SEE
2017-07-20,43.76,43.76,43.28,43.38,1183000,SEE
2017-07-21,43.33,43.55,43.0,43.54,979300,SEE
2017-07-24,43.67,43.71,43.08,43.16,1409100,SEE
2017-07-25,43.43,43.51,42.95,43.07,1187500,SEE
2017-07-26,43.07,43.14,42.77,42.93,1057200,SEE
2017-07-27,42.75,42.86,42.22,42.58,2906300,SEE
2017-07-28,42.59,42.59,41.68,41.8,2217300,SEE
2017-07-31,41.85,41.85,41.34,41.45,2733000,SEE
2017-08-01,41.64,41.75,41.27,41.48,1670400,SEE
2017-08-02,41.46,41.57,40.84,41.5,3275200,SEE
2017-08-03,41.56,41.56,40.82,41.22,1996100,SEE
2017-08-04,41.38,41.6,41.14,41.44,3213800,SEE
2017-08-07,41.52,42.05,41.41,41.79,2620000,SEE
2017-08-08,42.3,43.72,41.73,42.87,4420800,SEE
2017-08-09,42.87,43.07,42.55,42.73,2284700,SEE
2017-08-10,42.64,42.83,41.93,41.95,1708400,SEE
2017-08-11,41.92,42.17,41.72,42.09,2307100,SEE
2017-08-14,42.42,43.08,42.3,42.87,1707300,SEE
2017-08-15,42.85,43.14,42.72,42.83,1602900,SEE
2017-08-16,43.03,43.33,42.98,43.32,1525400,SEE
2017-08-17,43.19,43.28,42.81,42.82,1292800,SEE
2017-08-18,42.69,42.93,42.39,42.84,1816000,SEE
2017-08-21,42.86,43.0,42.66,42.72,1418800,SEE
2017-08-22,42.75,43.36,42.75,43.35,2181100,SEE
2017-08-23,43.16,43.46,42.98,43.16,1579700,SEE
2017-08-24,43.19,43.25,42.7,42.73,1465700,SEE
2017-08-25,42.87,42.98,42.56,42.7,1718300,SEE
2017-08-28,42.74,42.77,42.04,42.17,1403000,SEE
2017-08-29,42.02,42.06,41.52,41.91,2616000,SEE
2017-08-30,41.9,42.47,41.86,42.37,1502300,SEE
2017-08-31,42.46,42.66,42.29,42.44,2456500,SEE
2017-09-01,42.64,43.05,42.46,42.98,1488600,SEE
2017-09-05,42.92,42.92,41.97,42.29,2901400,SEE
2017-09-06,42.27,42.27,41.24,41.54,5446400,SEE
2017-09-07,40.99,42.01,40.59,41.84,4443700,SEE
2017-09-08,41.85,41.91,40.94,41.14,6942200,SEE
2017-09-11,41.44,42.05,41.27,41.7,3512700,SEE
2017-09-12,41.77,42.07,41.54,41.72,3288000,SEE
2017-09-13,41.68,41.85,41.44,41.53,2598400,SEE
2017-09-14,41.41,41.51,41.14,41.37,2161600,SEE
2017-09-15,41.32,41.71,41.32,41.55,3823100,SEE
2017-09-18,41.71,41.81,40.97,41.01,1762700,SEE
2017-09-19,40.9,41.14,39.42,39.89,5122600,SEE
2017-09-20,39.91,40.3,39.79,40.04,3217900,SEE
2017-09-21,40.59,41.09,40.33,40.58,2198600,SEE
2017-09-22,40.55,40.87,40.46,40.64,2520800,SEE
2017-09-25,40.64,40.67,40.28,40.32,1704800,SEE
2017-09-26,40.45,41.06,40.45,40.93,2514800,SEE
2017-09-27,41.0,41.15,40.3,40.68,1987200,SEE
2017-09-28,40.6,41.36,40.55,41.06,2486700,SEE
2017-09-29,40.94,41.17,40.45,40.85,2739300,SEE
2017-10-02,40.88,41.24,40.67,41.13,2150000,SEE
2017-10-03,41.38,41.98,41.28,41.83,3162600,SEE
2017-10-04,41.92,42.15,41.85,42.07,2300600,SEE
2017-10-05,42.09,42.47,41.96,42.16,1929500,SEE
2017-10-06,42.08,42.54,41.99,42.23,1731700,SEE
2017-10-09,42.32,42.43,42.16,42.38,1478300,SEE
2017-10-10,42.38,42.9,42.38,42.82,4923600,SEE
2017-10-11,42.81,42.96,41.96,42.08,2889500,SEE
2017-10-12,41.92,42.28,41.8,42.21,2170200,SEE
2017-10-13,42.51,42.84,42.31,42.6,2390000,SEE
2017-10-16,42.71,42.76,42.32,42.7,1341400,SEE
2017-10-17,42.54,42.6,42.18,42.33,2045500,SEE
2017-10-18,42.39,42.57,42.12,42.15,1297600,SEE
2017-10-19,42.12,42.32,41.9,42.23,1270800,SEE
2017-10-20,42.39,43.4,42.29,43.24,3190100,SEE
2017-10-23,43.38,43.57,42.87,42.9,1853700,SEE
2017-10-24,42.88,43.13,42.53,42.61,2029400,SEE
2017-10-25,42.52,42.72,42.17,42.63,2439400,SEE
2017-10-26,42.8,42.94,42.57,42.78,1612200,SEE
2017-10-27,42.71,42.94,41.98,42.65,1704000,SEE
2017-10-30,42.58,42.65,41.96,42.17,1881100,SEE
2017-10-31,42.22,42.58,42.07,42.29,2035600,SEE
2017-11-01,42.37,42.54,41.9,42.04,1795700,SEE
2017-11-02,41.89,42.07,41.44,41.97,1288400,SEE
2017-11-03,41.86,42.24,41.75,42.21,1109500,SEE
2017-11-06,42.21,42.34,41.83,41.89,2871600,SEE
2017-11-07,41.87,42.08,41.58,41.7,2473000,SEE
2017-11-08,41.91,43.21,41.91,42.84,3904600,SEE
2017-11-09,42.55,43.16,42.5,42.81,2779200,SEE
2017-11-10,42.61,42.77,42.29,42.41,2340500,SEE
2017-11-13,42.41,43.11,42.29,43.01,1495700,SEE
2017-11-14,43.0,43.35,42.75,43.13,2521100,SEE
2017-11-15,42.93,43.11,42.57,42.98,1976900,SEE
2017-11-16,43.06,43.82,42.99,43.59,2495500,SEE
2017-11-17,43.46,43.82,43.27,43.72,1469200,SEE
2017-11-20,43.65,43.65,42.97,43.04,2182800,SEE
2017-11-21,43.17,43.38,42.94,43.16,2093400,SEE
2017-11-22,43.17,43.47,43.1,43.33,1597800,SEE
2017-11-24,43.6,43.71,43.26,43.58,2628300,SEE
2017-11-27,43.59,44.82,43.45,44.52,3194000,SEE
2017-11-28,44.69,45.36,44.38,45.1,2630900,SEE
2017-11-29,45.04,45.59,44.88,45.27,2706200,SEE
2017-11-30,45.52,46.41,45.34,46.1,2438800,SEE
2017-12-01,45.79,46.36,45.18,45.81,2300800,SEE
2017-12-04,46.02,46.51,45.9,46.17,3106800,SEE
2017-12-05,46.23,46.32,45.67,46.05,2555300,SEE
2017-12-06,46.15,46.16,45.48,45.65,3435700,SEE
2017-12-07,45.64,46.19,45.64,46.02,2984500,SEE
2017-12-08,46.11,46.32,45.8,45.85,2371500,SEE
2017-12-11,45.83,46.05,45.48,45.83,2063900,SEE
2017-12-12,45.94,46.05,45.65,45.78,2269100,SEE
2017-12-13,45.76,46.48,45.61,46.3,3012200,SEE
2017-12-14,46.29,46.55,46.05,46.08,2831300,SEE
2017-12-15,46.67,47.29,46.58,46.71,3977500,SEE
2017-12-18,47.01,47.45,46.87,47.38,2600900,SEE
2017-12-19,47.38,47.92,47.35,47.65,2612500,SEE
2017-12-20,47.38,47.57,46.49,46.54,3267400,SEE
2017-12-21,46.89,47.27,46.44,46.73,2682300,SEE
2017-12-22,46.75,47.25,46.68,47.1,1367200,SEE
2017-12-26,47.04,47.49,47.01,47.15,1662400,SEE
2017-12-27,47.4,47.56,47.19,47.22,2087100,SEE
2017-12-28,47.2,47.48,47.08,47.45,1360400,SEE
2017-12-29,47.49,47.74,47.28,47.3,1340300,SEE
2018-01-02,47.49,47.79,47.19,47.42,1837200,SEE
2018-01-03,47.47,47.54,47.27,47.46,1647800,SEE
2018-01-04,47.53,47.83,47.44,47.56,1842500,SEE
2018-01-05,47.71,47.81,47.25,47.42,2240400,SEE
2018-01-08,47.42,47.84,47.38,47.63,2106800,SEE
2018-01-09,47.61,47.71,46.95,46.99,2576200,SEE
2018-01-10,46.94,46.98,46.62,46.69,2221200,SEE
2018-01-11,46.75,46.92,46.27,46.68,2760000,SEE
2018-01-12,46.95,47.08,46.7,46.88,2101000,SEE
2018-01-16,47.03,47.14,46.25,46.47,2354500,SEE
2018-01-17,46.81,46.83,46.5,46.54,2048500,SEE
2018-01-18,46.42,46.9,46.42,46.77,1658200,SEE
2018-01-19,47.03,47.46,47.03,47.11,2373900,SEE
2018-01-22,47.11,47.29,46.57,46.99,1847900,SEE
2018-01-23,46.84,47.21,46.64,47.01,1262100,SEE
2018-01-24,47.21,47.45,46.6,46.92,1615300,SEE
2018-01-25,47.09,47.56,46.84,47.09,1877800,SEE
2018-01-26,47.19,47.29,46.87,47.0,1604700,SEE
2018-01-29,47.01,47.37,46.51,46.54,3253700,SEE
2018-01-30,46.46,46.77,46.18,46.21,3081400,SEE
2018-01-31,45.63,45.88,45.26,45.43,3826300,SEE
2018-02-01,45.18,45.6,45.02,45.13,2506300,SEE
2018-02-02,44.9,45.05,44.27,44.35,2290400,SEE
2018-02-05,44.18,44.29,42.44,42.67,3949000,SEE
2018-02-06,41.92,42.67,41.33,42.49,4568400,SEE
2018-02-07,42.49,43.37,42.18,42.56,3915300,SEE
2018-02-08,42.57,43.26,40.87,40.89,4542200,SEE
2018-02-09,41.22,41.43,39.11,39.97,4418900,SEE
2018-02-12,40.14,41.03,39.59,40.8,6423800,SEE
2018-02-13,40.45,40.49,39.59,40.03,3141600,SEE
2018-02-14,39.75,40.79,39.75,40.79,3718700,SEE
2018-02-15,41.02,41.28,40.45,41.15,2440400,SEE
2018-02-16,41.02,41.17,40.58,40.93,2291700,SEE
2018-02-20,40.69,41.09,40.26,40.37,1762300,SEE
2018-02-21,40.45,41.14,40.45,40.49,1644400,SEE
2018-02-22,40.59,41.08,40.11,40.24,2734200,SEE
2018-02-23,40.43,40.95,40.28,40.93,1643200,SEE
2018-02-26,41.01,41.23,40.53,41.07,1928500,SEE
2018-02-27,40.98,41.38,40.43,40.43,1865900,SEE
2018-02-28,40.48,41.17,40.39,40.65,2837100,SEE
2018-03-01,40.66,41.02,40.13,40.3,2924600,SEE
2018-03-02,40.11,41.59,40.08,41.52,5231400,SEE
2018-03-05,41.19,42.47,41.17,42.32,4784700,SEE
2018-03-06,42.32,42.82,41.91,42.75,2621600,SEE
2018-03-07,42.54,42.72,42.1,42.19,2784200,SEE
2018-03-08,42.21,42.38,41.95,42.18,1340800,SEE
2018-03-09,42.45,43.04,42.18,43.0,2019100,SEE
2018-03-12,43.09,43.22,42.87,42.96,936500,SEE
2018-03-13,43.2,43.36,43.0,43.09,1035500,SEE
2018-03-14,43.12,43.12,42.51,42.58,1394100,SEE
2018-03-15,42.61,42.71,42.33,42.43,1896600,SEE
2018-03-16,42.43,42.96,42.34,42.47,2847800,SEE
2018-03-19,42.35,42.7,42.07,42.18,2354600,SEE
2018-03-20,42.23,42.44,42.04,42.09,2635800,SEE
2018-03-21,42.08,42.1,41.33,41.33,2223000,SEE
2018-03-22,41.02,41.4,40.22,40.26,2047900,SEE
2018-03-23,40.4,40.61,39.54,39.6,2226400,SEE
2018-03-26,40.09,40.62,40.01,40.55,1983600,SEE
2018-03-27,40.61,41.13,40.33,40.61,2878500,SEE
2018-03-28,40.69,41.0,40.58,40.66,1754000,SEE
2018-03-29,40.85,41.52,40.8,41.21,1416200,SEE
2018-04-02,41.12,41.17,39.79,40.26,1909500,SEE
2018-04-03,40.31,40.9,40.2,40.72,1607400,SEE
2018-04-04,40.23,41.4,40.23,41.32,1107400,SEE
2018-04-05,41.74,41.96,41.43,41.78,1184300,SEE
2018-04-06,41.35,41.64,40.49,40.81,1384000,SEE
2018-04-09,40.98,41.68,40.87,41.3,1320800,SEE
2018-04-10,41.77,42.24,41.64,41.95,875800,SEE
2018-04-11,41.65,42.31,41.65,41.9,803700,SEE
2018-04-12,42.08,42.34,41.89,42.08,723500,SEE
2018-04-13,42.38,42.5,42.13,42.28,1505200,SEE
2018-04-16,42.54,43.25,42.29,43.13,1340000,SEE
2018-04-17,43.26,43.72,43.04,43.59,1158700,SEE
2018-04-18,43.63,43.7,43.3,43.38,1466800,SEE
2018-04-19,43.38,43.44,42.61,42.71,2026600,SEE
2018-04-20,42.83,42.93,42.27,42.4,1751700,SEE
2018-04-23,42.51,42.69,42.27,42.48,909300,SEE
2018-04-24,42.71,42.71,41.69,42.04,1405700,SEE
2018-04-25,41.91,42.49,41.77,42.31,1138900,SEE
2018-04-26,42.46,43.02,42.17,42.84,1108100,SEE
2018-04-27,42.77,43.09,42.62,42.99,707700,SEE
2018-04-30,43.05,43.15,42.18,42.23,1476000,SEE
2018-05-01,42.1,42.7,41.86,42.68,2037000,SEE
2018-05-02,42.59,42.74,41.97,42.1,1735900,SEE
2018-05-03,42.49,43.12,41.48,42.29,2840200,SEE
2018-05-04,42.18,43.04,42.18,42.81,1374400,SEE
2018-05-07,42.98,43.0,42.39,42.49,1632500,SEE
2018-05-08,42.51,42.68,42.27,42.46,1223000,SEE
2018-05-09,42.58,42.58,41.87,42.44,1362800,SEE
2018-05-10,42.46,42.85,42.45,42.67,1003000,SEE
2018-05-11,42.74,43.1,42.63,42.73,754100,SEE
2018-05-14,42.86,42.93,42.17,42.3,1840600,SEE
2018-05-15,42.16,42.16,41.47,41.84,1757000,SEE
2018-05-16,41.91,42.25,41.86,42.06,1766400,SEE
2018-05-17,42.06,42.22,41.74,41.96,1468000,SEE
2018-05-18,41.97,42.98,41.95,42.75,1325600,SEE
2018-05-21,42.96,42.96,42.59,42.9,893500,SEE
2018-05-22,42.92,43.52,42.92,43.25,1042600,SEE
2018-05-23,43.09,43.87,43.09,43.79,1924700,SEE
2018-05-24,43.81,44.17,43.61,43.94,1499200,SEE
2018-05-25,43.88,44.51,43.78,44.08,1154600,SEE
2018-05-29,43.74,43.88,42.66,42.9,1690200,SEE
2018-05-30,43.11,43.33,42.98,43.15,1749000,SEE
2018-05-31,43.21,43.21,41.89,42.1,2250200,SEE
2018-06-01,42.46,42.66,42.25,42.49,922400,SEE
2018-06-04,42.65,42.84,42.37,42.67,930700,SEE
2018-06-05,42.76,42.99,42.37,42.46,1561900,SEE
2018-06-06,42.38,42.52,41.41,41.96,1474700,SEE
2018-06-07,41.95,42.31,41.84,41.89,1528700,SEE
2018-06-08,41.84,42.79,41.51,42.34,1985500,SEE
2018-06-11,42.37,43.1,42.31,42.75,1436500,SEE
2018-06-12,42.86,42.87,42.52,42.82,1230900,SEE
2018-06-13,42.87,43.01,42.21,42.23,1506200,SEE
2018-06-14,42.42,42.83,42.22,42.6,1953000,SEE
2018-06-15,42.46,43.52,42.37,43.5,3746300,SEE
2018-06-18,43.33,43.63,43.23,43.24,1565600,SEE
2018-06-19,42.81,43.18,42.49,42.58,2031100,SEE
2018-06-20,42.65,43.12,42.4,43.01,1428800,SEE
2018-06-21,42.87,42.93,41.95,42.01,1278200,SEE
2018-06-22,42.19,42.23,41.8,42.09,3557800,SEE
2018-06-25,42.16,42.2,41.66,41.9,2133400,SEE
2018-06-26,41.9,42.15,41.62,41.75,1786400,SEE
2018-06-27,41.61,41.82,41.16,41.18,1816600,SEE
2018-06-28,41.17,41.18,40.63,41.01,1692100,SEE
2018-06-29,41.11,41.56,40.97,41.03,1344200,SEE
2018-07-02,40.83,41.11,40.56,40.97,2820800,SEE
2018-07-03,41.21,41.53,40.94,41.03,1284800,SEE
2018-07-05,41.19,41.25,40.75,41.12,1187200,SEE
2018-07-06,41.13,41.51,41.01,41.3,871800,SEE
2018-07-09,41.47,41.8,41.3,41.4,950700,SEE
2018-07-10,41.3,41.59,41.26,41.46,1277700,SEE
2018-07-11,41.21,41.45,40.98,41.34,1549400,SEE
2018-07-12,41.61,41.79,41.05,41.06,1305900,SEE
2018-07-13,41.02,41.46,41.02,41.34,1244700,SEE
2018-07-16,41.44,41.44,40.95,41.07,1288100,SEE
2018-07-17,40.86,41.36,40.83,41.3,1086500,SEE
2018-07-18,41.38,41.68,41.26,41.49,1153900,SEE
2018-07-19,41.48,41.69,41.14,41.57,1436900,SEE
2018-07-20,41.3,41.48,41.14,41.19,1559100,SEE
2018-07-23,41.18,41.33,40.73,40.76,1204300,SEE
2018-07-24,40.86,41.18,40.72,40.85,1196400,SEE
2018-07-25,40.78,41.2,40.62,40.7,2043800,SEE
2018-07-26,40.77,41.51,40.72,41.37,3652000,SEE
2018-07-27,41.62,42.58,41.49,42.37,2023500,SEE
2018-07-30,42.43,42.88,42.33,42.45,1497300,SEE
2018-07-31,42.54,42.86,42.45,42.6,1285300,SEE
2018-08-01,42.53,42.67,42.0,42.16,1523400,SEE
2018-08-02,42.3,42.78,40.25,41.5,2533200,SEE
2018-08-03,41.75,42.21,40.97,41.94,1909500,SEE
2018-08-06,41.82,42.8,41.73,41.75,1361900,SEE
2018-08-07,39.63,40.8,39.51,39.63,4513200,SEE
2018-08-08,39.63,40.12,39.46,39.91,2458300,SEE
2018-08-09,39.86,40.33,39.83,40.07,1551700,SEE
2018-08-10,39.96,39.96,38.21,38.43,2700400,SEE
2018-08-13,38.47,38.61,37.72,38.31,4148800,SEE
2018-08-14,38.48,39.12,38.4,38.54,2000500,SEE
2018-08-15,38.61,38.61,38.14,38.39,2010300,SEE
2018-08-16,38.51,38.53,37.69,37.74,1860000,SEE
2018-08-17,37.55,37.74,37.2,37.65,5421900,SEE
2018-08-20,37.74,37.8,37.35,37.53,2286500,SEE
2018-08-21,37.47,38.12,37.47,38.06,1978400,SEE
2018-08-22,38.09,38.19,37.86,38.01,1356400,SEE
2018-08-23,37.94,38.03,37.53,37.61,1217100,SEE
2018-08-24,37.66,37.84,37.54,37.66,1143500,SEE
2018-08-27,37.76,38.75,37.69,38.52,1807700,SEE
2018-08-28,38.49,38.87,38.45,38.74,1986400,SEE
2018-08-29,38.77,39.54,38.72,39.38,1784400,SEE
2018-08-30,39.28,39.4,38.87,38.93,1234500,SEE
2018-08-31,38.83,39.16,38.65,38.77,1308500,SEE
2018-09-04,38.61,38.77,38.1,38.2,1619400,SEE
2018-09-05,38.12,39.31,38.09,39.11,2387400,SEE
2018-09-06,39.11,39.46,38.98,39.3,1038900,SEE
2018-09-07,39.23,39.36,38.95,39.06,1215000,SEE
2018-09-10,39.25,39.58,39.15,39.38,1013700,SEE
2018-09-11,39.32,39.52,38.89,39.36,1328500,SEE
2018-09-12,39.36,39.85,39.2,39.61,1176000,SEE
2018-09-13,39.83,40.09,39.74,40.01,1059800,SEE
2018-09-14,39.99,40.55,39.9,40.37,1215500,SEE
2018-09-17,40.44,40.9,40.38,40.75,1188900,SEE
2018-09-18,40.8,40.96,39.95,40.9,1561800,SEE
2018-09-19,40.95,41.24,40.52,40.56,1492700,SEE
2018-09-20,40.83,41.05,40.56,40.86,1421600,SEE
2018-09-21,40.82,40.85,40.36,40.51,1871400,SEE
2018-09-24,40.4,40.57,40.2,40.35,1831100,SEE
2018-09-25,40.5,40.5,38.73,38.81,2302000,SEE
2018-09-26,38.86,39.46,38.62,38.94,1908400,SEE
2018-09-27,38.94,39.14,38.71,38.73,1250900,SEE
2018-09-28,38.74,39.02,38.64,38.96,2076900,SEE
2018-10-01,39.1,39.29,38.48,38.87,1862700,SEE
2018-10-02,38.91,39.11,38.54,38.72,1362600,SEE
2018-10-03,38.87,38.95,37.11,37.3,2708100,SEE
2018-10-04,37.16,37.6,36.64,37.51,2602900,SEE
2018-10-05,37.54,37.88,37.36,37.48,2379000,SEE
2018-10-08,37.4,37.87,37.4,37.75,1273600,SEE
2018-10-09,37.56,37.56,36.27,36.39,2893200,SEE
2018-10-10,36.21,36.4,35.01,35.06,2725100,SEE
2018-10-11,35.11,35.16,33.91,33.91,3351600,SEE
2018-10-12,34.21,34.42,33.41,33.75,2646400,SEE
2018-10-15,33.74,34.3,33.47,33.89,1870200,SEE
2018-10-16,34.0,34.48,33.7,34.35,1468000,SEE
2018-10-17,34.26,34.4,33.88,34.24,1654200,SEE
2018-10-18,30.67,32.47,30.57,31.39,7577200,SEE
2018-10-19,31.54,31.67,30.71,31.15,4119200,SEE
2018-10-22,31.08,31.31,30.22,30.25,4106600,SEE
2018-10-23,29.87,30.74,29.33,30.24,3370700,SEE
2018-10-24,30.27,30.66,29.83,29.83,3406000,SEE
2018-10-25,29.98,30.22,29.76,30.1,2218100,SEE
2018-10-26,29.85,30.74,29.57,30.41,2807500,SEE
2018-10-29,30.83,31.13,30.04,30.38,2791900,SEE
2018-10-30,30.4,31.31,30.36,31.3,2352400,SEE
2018-10-31,31.46,31.79,31.12,31.4,3639200,SEE
2018-11-01,31.59,32.88,30.99,32.51,3262200,SEE
2018-11-02,32.6,32.74,31.75,32.29,3273500,SEE
2018-11-05,32.26,33.33,32.09,32.84,3008400,SEE
2018-11-06,32.68,33.51,32.68,33.06,2494200,SEE
2018-11-07,33.28,34.03,32.85,34.01,2924400,SEE
2018-11-08,33.84,34.71,33.72,34.3,2855500,SEE
2018-11-09,34.13,34.4,33.59,34.06,2126300,SEE
