Date,Open,High,Low,Close,Volume,Name
2017-07-03,91.74,92.72,90.51,90.69,1180800,SWKS
2017-07-05,91.12,93.05,91.12,92.77,2346200,SWKS
2017-07-06,92.4,94.21,91.9,93.02,2241900,SWKS
2017-07-07,93.4,95.52,93.28,94.84,1556300,SWKS
2017-07-10,95.06,95.41,93.62,95.17,1295200,SWKS
2017-07-11,95.17,96.14,94.83,95.82,1375200,SWKS
2017-07-12,96.5,97.3,96.21,96.77,1605700,SWKS
2017-07-13,97.02,98.15,96.53,97.74,1682100,SWKS
2017-07-14,98.37,98.96,98.14,98.92,1352000,SWKS
2017-07-17,98.95,99.33,98.15,98.26,1693900,SWKS
2017-07-18,98.02,98.8,96.9,98.76,1281600,SWKS
2017-07-19,99.4,100.35,98.98,100.27,1810600,SWKS
2017-07-20,101.0,102.93,100.35,102.39,4144600,SWKS
2017-07-21,101.52,102.71,100.1,102.23,3844900,SWKS
2017-07-24,102.4,102.47,100.23,100.7,3086000,SWKS
2017-07-25,101.2,101.53,99.6,101.2,1700100,SWKS
2017-07-26,101.78,102.67,101.11,102.09,1319700,SWKS
2017-07-27,102.36,103.26,100.4,101.78,3054600,SWKS
2017-07-28,101.44,101.92,100.28,100.6,1604600,SWKS
2017-07-31,101.18,101.31,99.3,99.75,1240700,SWKS
2017-08-01,99.98,100.24,98.45,99.19,2064400,SWKS
2017-08-02,101.61,101.76,98.31,99.34,2025200,SWKS
2017-08-03,99.34,99.43,96.35,96.82,2148500,SWKS
2017-08-04,97.02,98.9,96.38,97.85,1712800,SWKS
2017-08-07,97.61,99.91,97.61,99.72,1257000,SWKS
2017-08-08,99.72,101.13,99.48,99.94,1319300,SWKS
2017-08-09,98.95,100.26,98.77,99.94,1012600,SWKS
2017-08-10,98.86,99.23,96.84,96.95,1650800,SWKS
2017-08-11,97.05,98.85,96.81,98.46,1051200,SWKS
2017-08-14,99.28,100.82,99.06,100.64,1252700,SWKS
2017-08-15,100.89,101.25,100.03,100.96,2056700,SWKS
2017-08-16,101.24,101.24,100.28,101.08,1018700,SWKS
2017-08-17,100.65,100.73,97.44,97.53,1617300,SWKS
2017-08-18,97.87,98.22,96.54,97.53,1138800,SWKS
2017-08-21,97.88,97.92,95.48,96.39,1364900,SWKS
2017-08-22,96.99,98.65,96.75,98.29,980800,SWKS
2017-08-23,97.84,98.31,97.53,98.01,861100,SWKS
2017-08-24,98.22,98.58,97.27,97.81,1131700,SWKS
2017-08-25,98.04,98.41,96.9,97.31,1105700,SWKS
2017-08-28,97.42,97.61,95.2,96.09,1952200,SWKS
2017-08-29,95.4,97.3,94.57,96.87,1137700,SWKS
