Date,Open,High,Low,Close,Volume,Name
2017-07-03,221.03,222.73,217.88,217.89,272700,TDG
2017-07-05,218.03,221.87,218.03,220.54,322100,TDG
2017-07-06,219.59,220.65,216.22,216.67,467100,TDG
2017-07-07,216.77,220.16,216.77,219.18,461600,TDG
2017-07-10,219.91,223.97,219.43,222.43,535100,TDG
2017-07-11,222.43,223.54,220.95,222.45,302300,TDG
2017-07-12,224.34,226.9,223.02,225.71,365300,TDG
2017-07-13,225.16,226.36,223.64,226.28,295800,TDG
2017-07-14,226.91,233.53,226.91,231.91,737900,TDG
2017-07-17,231.91,232.85,230.8,231.96,566300,TDG
2017-07-18,232.41,232.41,229.56,230.6,217300,TDG
2017-07-19,232.39,236.18,231.17,235.44,376000,TDG
2017-07-20,234.71,235.28,232.75,233.32,350000,TDG
2017-07-21,232.97,235.5,232.97,235.49,286400,TDG
2017-07-24,235.27,236.27,233.96,235.92,273500,TDG
2017-07-25,236.53,237.73,234.31,236.39,319900,TDG
2017-07-26,237.17,238.08,234.34,235.12,314700,TDG
2017-07-27,235.79,236.89,231.22,232.19,544800,TDG
2017-07-28,231.91,233.34,230.97,232.33,572600,TDG
2017-07-31,232.61,234.05,230.65,231.91,413900,TDG
2017-08-01,232.88,233.57,231.55,232.68,364800,TDG
2017-08-02,232.14,233.39,230.5,232.16,389300,TDG
2017-08-03,229.81,232.9,226.93,230.25,664200,TDG
2017-08-04,231.22,231.22,229.12,230.64,451200,TDG
2017-08-07,231.1,234.77,231.01,233.76,468500,TDG
2017-08-08,234.26,242.48,233.02,234.83,788600,TDG
2017-08-09,234.27,235.29,227.24,228.27,519100,TDG
2017-08-10,227.68,230.0,224.27,224.71,310300,TDG
2017-08-11,224.57,226.62,223.72,225.51,193200,TDG
2017-08-14,227.9,230.04,226.48,229.1,271100,TDG
2017-08-15,228.85,229.47,226.34,229.26,212900,TDG
2017-08-16,229.52,231.22,229.32,230.44,217900,TDG
2017-08-17,229.52,230.97,225.62,225.78,288900,TDG
2017-08-18,224.73,226.69,224.2,224.48,240500,TDG
2017-08-21,224.44,224.87,222.37,223.1,242300,TDG
2017-08-22,223.86,226.37,222.73,226.32,335000,TDG
