Date,Open,High,Low,Close,Volume,Name
2017-07-03,205.06,206.73,202.89,203.91,170600,TFX
2017-07-05,203.69,206.19,203.69,204.76,264800,TFX
2017-07-06,203.11,206.24,201.2,201.75,262200,TFX
2017-07-07,202.76,208.66,202.41,208.32,195700,TFX
2017-07-10,207.57,207.79,205.17,205.44,227900,TFX
2017-07-11,206.43,206.96,204.08,204.55,202400,TFX
2017-07-12,205.06,208.0,205.06,205.67,175400,TFX
2017-07-13,206.15,207.11,203.92,206.18,129200,TFX
2017-07-14,205.92,209.53,205.66,208.01,162000,TFX
2017-07-17,208.44,209.08,206.58,207.93,292100,TFX
2017-07-18,207.39,208.41,206.77,207.7,106200,TFX
2017-07-19,208.22,209.73,207.86,208.8,104800,TFX
2017-07-20,209.93,210.29,208.44,209.47,86800,TFX
2017-07-21,209.62,211.12,207.17,208.09,119200,TFX
2017-07-24,208.04,211.4,207.57,211.11,126300,TFX
2017-07-25,211.56,213.21,210.49,212.45,258200,TFX
2017-07-26,212.54,212.54,207.93,208.94,186200,TFX
2017-07-27,209.52,209.66,205.52,207.35,229100,TFX
2017-07-28,206.48,208.6,205.14,207.04,210800,TFX
2017-07-31,207.32,207.89,202.95,204.2,297200,TFX
2017-08-01,205.37,210.42,200.67,201.44,310900,TFX
2017-08-02,201.44,204.07,198.09,200.05,419500,TFX
2017-08-03,199.04,214.77,194.84,213.72,677100,TFX
2017-08-04,214.79,214.79,207.73,211.13,386600,TFX
2017-08-07,211.04,213.61,208.99,211.47,270800,TFX
2017-08-08,211.65,211.79,207.95,209.89,190000,TFX
2017-08-09,209.41,210.97,206.98,207.53,173800,TFX
2017-08-10,207.04,207.85,200.65,201.02,252400,TFX
2017-08-11,200.63,204.62,200.5,202.68,202200,TFX
2017-08-14,205.98,206.64,204.64,206.19,114500,TFX
2017-08-15,206.43,207.24,204.96,206.2,122200,TFX
2017-08-16,206.76,212.11,206.67,212.01,318300,TFX
2017-08-17,211.58,214.57,208.84,209.16,272100,TFX
2017-08-18,208.59,210.3,206.53,207.93,174700,TFX
2017-08-21,207.68,210.64,206.57,209.03,167700,TFX
2017-08-22,209.02,211.18,208.26,210.24,165900,TFX
2017-08-23,209.2,210.86,204.84,204.94,288300,TFX
2017-08-24,205.28,206.55,203.93,204.98,137400,TFX
2017-08-25,205.69,206.0,202.92,204.33,123000,TFX
2017-08-28,204.33,205.59,202.37,204.7,557500,TFX
2017-08-29,203.73,204.36,201.32,202.95,442600,TFX
2017-08-30,202.92,205.47,201.06,204.89,418900,TFX
2017-08-31,205.3,209.16,204.46,209.01,296000,TFX
2017-09-01,209.01,210.24,207.14,207.79,149900,TFX
2017-09-05,207.58,210.14,206.5,208.21,207300,TFX
2017-09-06,209.44,224.97,206.8,222.49,778900,TFX
2017-09-07,223.0,225.87,221.37,224.2,364000,TFX
2017-09-08,224.99,232.14,223.7,229.74,539400,TFX
2017-09-11,232.97,232.97,229.06,230.82,476600,TFX
2017-09-12,231.75,232.66,229.97,232.48,201000,TFX
2017-09-13,232.25,232.31,229.03,230.94,247900,TFX
2017-09-14,230.94,232.9,230.13,231.27,238300,TFX
2017-09-15,231.41,232.69,230.5,232.19,349700,TFX
2017-09-18,233.45,237.81,232.76,236.63,260800,TFX
2017-09-19,237.49,237.49,234.43,236.65,248600,TFX
2017-09-20,234.92,235.67,231.23,233.79,279800,TFX
2017-09-21,233.11,234.44,230.54,233.99,226900,TFX
2017-09-22,233.8,239.01,232.93,238.64,312500,TFX
2017-09-25,240.12,240.39,237.14,239.42,330500,TFX
2017-09-26,239.42,240.69,237.03,237.66,245000,TFX
2017-09-27,239.26,239.62,235.72,238.11,213500,TFX
2017-09-28,238.12,238.65,236.69,237.38,214800,TFX
2017-09-29,238.29,239.47,237.18,238.84,206800,TFX
2017-10-02,238.75,242.68,238.35,241.55,316800,TFX
2017-10-03,242.52,243.48,238.62,241.09,227500,TFX
2017-10-04,241.68,243.35,240.7,242.9,225700,TFX
2017-10-05,242.8,243.64,240.63,243.23,146300,TFX
2017-10-06,242.48,245.46,242.46,242.87,341800,TFX
2017-10-09,243.18,243.18,240.15,240.47,147900,TFX
2017-10-10,240.49,241.14,235.91,237.31,182400,TFX
2017-10-11,236.87,237.68,235.13,236.79,169700,TFX
2017-10-12,236.9,237.44,235.63,236.92,241700,TFX
2017-10-13,236.5,238.62,235.43,235.62,242100,TFX
2017-10-16,235.61,238.82,234.92,235.94,176700,TFX
2017-10-17,236.32,238.1,235.66,237.64,171000,TFX
2017-10-18,238.46,239.96,237.44,237.53,163800,TFX
2017-10-19,236.98,240.09,236.46,238.86,121800,TFX
2017-10-20,239.66,240.82,239.07,239.91,125800,TFX
2017-10-23,239.78,243.75,239.35,239.85,129600,TFX
2017-10-24,239.65,240.19,235.71,238.14,160900,TFX
2017-10-25,237.01,239.45,236.04,239.29,208400,TFX
2017-10-26,239.28,240.95,237.08,238.18,219900,TFX
2017-10-27,238.27,239.96,236.06,239.65,179700,TFX
2017-10-30,239.55,239.84,232.74,233.7,263300,TFX
2017-10-31,233.95,235.46,232.98,233.91,419200,TFX
2017-11-01,234.11,239.8,232.25,238.58,302000,TFX
2017-11-02,250.52,260.55,244.2,251.5,586700,TFX
2017-11-03,252.48,256.54,250.09,253.09,439000,TFX
2017-11-06,252.95,254.55,250.87,253.26,178500,TFX
2017-11-07,253.21,257.0,252.13,256.94,299600,TFX
2017-11-08,256.16,257.3,253.98,256.23,214300,TFX
2017-11-09,254.96,256.23,247.91,253.81,197200,TFX
2017-11-10,253.94,253.94,245.5,249.62,424500,TFX
2017-11-13,249.56,255.14,248.17,253.61,199200,TFX
2017-11-14,250.65,253.71,248.38,253.57,261600,TFX
2017-11-15,251.67,256.0,250.67,252.47,204900,TFX
2017-11-16,252.76,263.29,252.76,260.38,356200,TFX
2017-11-17,259.95,263.35,258.31,263.11,235500,TFX
2017-11-20,263.11,265.65,259.96,263.54,189400,TFX
2017-11-21,265.12,266.64,263.54,264.49,379700,TFX
2017-11-22,263.73,265.38,261.63,263.45,277500,TFX
2017-11-24,263.84,265.21,261.37,264.6,55300,TFX
2017-11-27,264.79,266.58,263.36,264.82,177000,TFX
2017-11-28,265.46,268.07,263.24,267.05,286300,TFX
2017-11-29,267.15,267.8,259.39,261.33,296100,TFX
2017-11-30,262.71,264.55,259.83,262.43,327800,TFX
2017-12-01,262.23,263.6,256.15,262.49,262700,TFX
2017-12-04,265.44,266.41,249.83,250.04,311200,TFX
2017-12-05,250.91,252.5,247.69,248.82,341500,TFX
2017-12-06,248.93,250.53,246.05,247.19,377400,TFX
2017-12-07,247.33,250.89,247.26,248.27,306900,TFX
2017-12-08,249.18,252.16,247.87,249.82,333500,TFX
2017-12-11,249.09,249.61,247.61,249.25,307200,TFX
2017-12-12,250.28,252.9,246.48,246.95,391900,TFX
2017-12-13,246.26,251.56,246.26,248.98,365600,TFX
2017-12-14,249.72,250.97,245.76,246.45,345300,TFX
2017-12-15,247.45,252.17,246.93,249.24,658000,TFX
2017-12-18,250.13,252.03,248.54,248.98,309700,TFX
2017-12-19,248.28,252.53,247.62,251.27,470200,TFX
2017-12-20,251.05,253.85,250.46,252.79,178000,TFX
2017-12-21,252.79,252.93,246.87,247.01,220000,TFX
2017-12-22,246.81,249.69,246.01,246.54,150400,TFX
2017-12-26,246.04,247.75,244.41,245.01,99600,TFX
2017-12-27,245.12,247.99,244.77,246.75,94700,TFX
2017-12-28,247.22,248.66,245.11,248.58,146000,TFX
2017-12-29,248.56,250.33,245.59,245.93,176600,TFX
2018-01-02,246.06,252.72,246.06,251.77,304500,TFX
2018-01-03,252.08,254.63,251.68,253.65,187900,TFX
2018-01-04,254.75,256.38,251.05,251.05,250900,TFX
