Date,Open,High,Low,Close,Volume,Name
2017-07-03,34.71,34.98,34.17,34.19,5938000,TJX
2017-07-05,34.26,34.26,33.57,34.01,10277400,TJX
2017-07-06,33.75,33.85,33.5,33.58,9383600,TJX
2017-07-07,33.68,33.89,33.55,33.61,8533800,TJX
2017-07-10,33.53,33.58,32.77,32.81,7759600,TJX
2017-07-11,32.77,32.93,32.66,32.77,9519200,TJX
2017-07-12,32.86,33.04,32.83,32.93,6893200,TJX
2017-07-13,33.12,33.46,33.08,33.43,10021800,TJX
2017-07-14,33.55,33.69,33.24,33.35,7418200,TJX
2017-07-17,33.35,33.82,33.31,33.62,8482200,TJX
2017-07-18,33.57,33.67,33.3,33.42,5696600,TJX
2017-07-19,33.49,33.74,33.4,33.59,10121800,TJX
2017-07-20,33.59,33.77,33.22,33.25,9760200,TJX
2017-07-21,33.1,33.17,32.63,32.93,9621800,TJX
2017-07-24,32.77,32.77,31.85,31.96,14687400,TJX
2017-07-25,32.14,33.09,32.12,32.82,11730600,TJX
2017-07-26,32.93,32.94,32.54,32.71,10048000,TJX
2017-07-27,32.7,33.32,32.64,33.27,9348600,TJX
2017-07-28,33.29,33.47,33.04,33.25,6867000,TJX
2017-07-31,33.32,33.65,33.05,33.59,8441400,TJX
2017-08-01,33.63,33.89,33.57,33.79,7076200,TJX
2017-08-02,33.58,33.86,33.44,33.69,6852800,TJX
2017-08-03,33.69,33.74,33.0,33.25,9416800,TJX
2017-08-04,33.32,33.62,33.22,33.52,6646400,TJX
2017-08-07,33.47,33.86,33.47,33.77,5566000,TJX
2017-08-08,33.98,34.6,33.93,34.31,10749600,TJX
2017-08-09,34.19,34.32,33.86,34.2,7745800,TJX
2017-08-10,33.92,33.97,33.49,33.72,9474000,TJX
2017-08-11,33.65,34.34,33.58,34.11,9866600,TJX
2017-08-14,34.37,34.43,33.26,33.41,15373000,TJX
2017-08-15,33.47,34.46,33.06,33.67,16432400,TJX
2017-08-16,33.96,34.41,33.7,34.36,11446400,TJX
2017-08-17,34.11,34.13,33.68,33.71,10500200,TJX
2017-08-18,33.74,34.18,33.59,33.82,13310200,TJX
2017-08-21,33.83,34.39,33.66,34.29,10439400,TJX
2017-08-22,34.36,34.53,34.13,34.36,8857600,TJX
2017-08-23,34.3,34.47,34.11,34.36,8798400,TJX
2017-08-24,34.82,35.13,33.91,34.02,13381000,TJX
2017-08-25,34.22,34.61,34.08,34.39,5931800,TJX
2017-08-28,34.55,34.65,34.36,34.46,9468600,TJX
2017-08-29,34.24,34.36,34.0,34.31,6457400,TJX
2017-08-30,34.27,34.69,34.18,34.58,6433000,TJX
2017-08-31,34.47,34.76,34.47,34.7,9065400,TJX
2017-09-01,34.76,34.95,34.63,34.73,5649400,TJX
2017-09-05,34.63,34.83,34.42,34.72,6549400,TJX
2017-09-06,34.74,35.08,34.72,35.05,6046000,TJX
2017-09-07,35.27,35.34,34.82,34.99,5414600,TJX
2017-09-08,35.02,35.03,34.42,34.74,5362800,TJX
2017-09-11,34.74,35.03,34.55,34.96,6392600,TJX
2017-09-12,35.04,35.66,35.03,35.29,5713800,TJX
2017-09-13,35.35,35.62,35.22,35.27,7606000,TJX
2017-09-14,35.28,35.3,34.96,35.13,6972600,TJX
2017-09-15,35.12,35.41,34.82,35.39,8045600,TJX
2017-09-18,35.45,35.46,35.09,35.23,3889400,TJX
2017-09-19,35.32,35.35,34.94,34.95,5666800,TJX
2017-09-20,34.94,34.94,34.52,34.75,9761200,TJX
2017-09-21,34.81,35.11,34.76,34.95,7468000,TJX
2017-09-22,34.86,34.98,34.62,34.77,8517400,TJX
2017-09-25,34.8,35.51,34.7,35.43,10140000,TJX
2017-09-26,35.51,35.69,35.28,35.41,5863600,TJX
2017-09-27,35.44,35.69,35.21,35.59,4674000,TJX
2017-09-28,35.54,35.62,35.28,35.49,4917200,TJX
2017-09-29,35.55,35.69,35.33,35.38,5973000,TJX
2017-10-02,35.36,35.4,34.91,35.22,5896200,TJX
2017-10-03,35.28,35.5,35.17,35.43,3970200,TJX
2017-10-04,35.34,35.45,35.08,35.34,5613800,TJX
2017-10-05,35.24,35.46,35.13,35.42,7773800,TJX
2017-10-06,35.27,35.49,35.08,35.32,4127400,TJX
2017-10-09,35.34,35.44,34.94,35.05,3640000,TJX
2017-10-10,35.08,35.15,34.62,34.67,5822000,TJX
2017-10-11,34.77,35.0,34.65,34.82,5910000,TJX
2017-10-12,34.76,34.76,34.13,34.45,6957800,TJX
2017-10-13,34.45,34.77,34.34,34.59,5299000,TJX
2017-10-16,34.44,34.47,33.98,34.15,6183000,TJX
2017-10-17,34.13,34.5,34.1,34.46,5210200,TJX
2017-10-18,34.41,34.55,34.15,34.22,6874000,TJX
2017-10-19,34.22,34.41,34.11,34.27,6904600,TJX
2017-10-20,34.44,34.71,34.36,34.6,6701800,TJX
2017-10-23,34.56,34.96,34.47,34.65,5615000,TJX
2017-10-24,34.69,34.84,34.38,34.43,5328600,TJX
2017-10-25,34.43,34.53,34.11,34.28,6299800,TJX
2017-10-26,34.29,34.52,34.05,34.3,6558600,TJX
2017-10-27,34.23,34.24,33.7,33.85,8995600,TJX
2017-10-30,33.69,33.7,33.06,33.28,9031400,TJX
2017-10-31,33.88,34.15,33.36,33.5,7563600,TJX
2017-11-01,33.73,33.78,33.29,33.46,5835600,TJX
2017-11-02,33.59,33.86,33.41,33.69,5883400,TJX
2017-11-03,33.58,33.58,32.88,32.92,8599000,TJX
2017-11-06,32.94,33.2,32.7,32.74,9608400,TJX
2017-11-07,32.77,32.98,32.63,32.78,9966000,TJX
2017-11-08,32.69,33.01,32.53,32.77,9541600,TJX
2017-11-09,32.76,33.69,32.66,33.39,10346200,TJX
2017-11-10,33.45,33.86,33.33,33.85,12163400,TJX
2017-11-13,33.86,34.74,33.79,34.11,18013200,TJX
2017-11-14,32.59,33.55,32.03,32.75,34174200,TJX
2017-11-15,32.55,33.53,32.3,33.28,20352800,TJX
2017-11-16,33.32,33.52,33.14,33.29,9703600,TJX
2017-11-17,33.43,34.4,33.43,34.24,15719400,TJX
2017-11-20,34.27,34.48,34.03,34.32,12259400,TJX
2017-11-21,34.22,34.36,33.79,34.34,8843400,TJX
2017-11-22,34.29,34.4,33.96,34.02,7535800,TJX
2017-11-24,34.31,34.45,34.11,34.17,3206800,TJX
2017-11-27,34.2,34.42,33.99,34.21,8922200,TJX
2017-11-28,34.26,35.07,34.17,35.02,9285200,TJX
2017-11-29,35.07,36.51,35.01,36.05,14984200,TJX
2017-11-30,35.82,36.75,35.76,36.42,12560200,TJX
2017-12-01,36.3,36.73,35.9,36.33,10435600,TJX
2017-12-04,36.52,37.57,36.48,37.12,10717200,TJX
2017-12-05,36.68,36.83,36.43,36.45,13641000,TJX
2017-12-06,36.39,36.7,36.18,36.18,6365800,TJX
2017-12-07,36.33,36.33,35.55,35.6,10558000,TJX
2017-12-08,35.68,35.72,35.26,35.62,9540800,TJX
2017-12-11,35.55,35.55,35.15,35.34,12004600,TJX
2017-12-12,35.22,35.57,35.22,35.49,10407800,TJX
2017-12-13,35.64,35.81,35.43,35.63,8416600,TJX
2017-12-14,35.86,35.88,35.37,35.4,8148200,TJX
2017-12-15,35.62,36.13,35.46,35.76,13935600,TJX
2017-12-18,35.93,36.47,35.89,36.38,7242800,TJX
2017-12-19,36.54,36.73,36.23,36.67,10503000,TJX
2017-12-20,36.7,36.94,36.51,36.54,7444600,TJX
2017-12-21,36.34,36.96,36.31,36.78,7292800,TJX
2017-12-22,36.87,36.88,36.52,36.76,5993000,TJX
2017-12-26,36.83,37.36,36.81,37.34,4435600,TJX
2017-12-27,37.34,37.43,37.03,37.11,4209200,TJX
2017-12-28,37.13,37.17,36.68,36.82,4520400,TJX
2017-12-29,36.97,37.1,36.85,36.86,4752200,TJX
2018-01-02,37.05,37.39,36.86,36.97,6881400,TJX
2018-01-03,36.65,36.72,36.08,36.31,9258800,TJX
2018-01-04,36.27,36.44,35.81,36.36,7599800,TJX
2018-01-05,36.41,37.22,36.41,37.19,7729000,TJX
2018-01-08,37.2,37.29,36.31,36.47,7883000,TJX
2018-01-09,36.48,36.66,36.18,36.4,8376400,TJX
2018-01-10,36.42,36.9,36.25,36.77,6656800,TJX
2018-01-11,36.71,37.12,36.52,37.06,5397800,TJX
