Date,Open,High,Low,Close,Volume,Name
2017-07-03,173.83,174.69,172.92,172.92,612300,TMO
2017-07-05,173.1,174.93,172.74,174.23,1186800,TMO
2017-07-06,173.28,174.28,172.8,173.54,2290600,TMO
2017-07-07,174.29,176.46,173.9,175.97,1345700,TMO
2017-07-10,176.28,176.76,175.23,176.15,1492500,TMO
2017-07-11,176.13,177.61,175.37,177.11,2127100,TMO
2017-07-12,177.67,179.17,177.53,178.66,1101600,TMO
2017-07-13,179.02,179.15,177.77,178.49,927400,TMO
2017-07-14,178.32,179.72,177.83,179.4,871900,TMO
2017-07-17,179.53,180.84,178.7,179.24,1297300,TMO
2017-07-18,179.05,179.41,177.32,177.81,1433300,TMO
2017-07-19,178.52,179.09,177.71,178.61,932300,TMO
2017-07-20,179.56,181.2,179.56,179.99,1109800,TMO
2017-07-21,179.74,181.29,179.51,180.62,786800,TMO
2017-07-24,180.58,181.3,180.05,180.6,805600,TMO
2017-07-25,180.21,180.72,177.96,178.59,1440700,TMO
2017-07-26,173.67,175.23,168.72,173.56,3944000,TMO
2017-07-27,174.34,175.48,172.84,173.77,2479100,TMO
2017-07-28,173.8,174.99,172.04,174.46,1326900,TMO
2017-07-31,175.1,175.53,173.8,174.03,1266500,TMO
2017-08-01,174.65,174.99,173.62,173.97,1382400,TMO
2017-08-02,174.36,175.08,174.01,174.93,1370000,TMO
2017-08-03,174.49,174.71,173.38,174.23,933100,TMO
2017-08-04,174.42,175.39,173.66,174.82,752100,TMO
2017-08-07,174.84,175.91,174.17,175.83,791800,TMO
2017-08-08,175.0,175.33,172.44,172.5,1648700,TMO
2017-08-09,168.8,172.52,168.8,171.78,4284600,TMO
2017-08-10,170.46,171.9,169.84,170.27,2266700,TMO
2017-08-11,170.17,172.61,168.61,171.75,2202600,TMO
2017-08-14,173.45,173.75,172.23,172.54,1182400,TMO
2017-08-15,173.25,173.76,171.87,172.07,992500,TMO
2017-08-16,172.46,174.49,172.35,173.94,1268500,TMO
2017-08-17,173.7,174.21,171.39,171.41,1159800,TMO
2017-08-18,171.08,172.87,170.67,171.09,1182700,TMO
2017-08-21,171.31,172.65,171.03,172.52,1184900,TMO
2017-08-22,173.05,175.34,172.67,175.28,1271600,TMO
2017-08-23,174.8,175.76,173.66,174.3,2168700,TMO
2017-08-24,174.31,175.13,174.04,174.45,1177000,TMO
2017-08-25,175.03,177.07,174.95,175.7,1537700,TMO
2017-08-28,176.28,177.21,175.71,176.9,1462200,TMO
2017-08-29,176.17,179.13,175.77,178.97,1549500,TMO
2017-08-30,179.42,181.75,178.88,181.38,1445300,TMO
2017-08-31,181.92,185.93,181.39,185.54,2035500,TMO
2017-09-01,186.61,187.14,183.83,184.41,1404800,TMO
2017-09-05,184.28,184.9,183.3,184.43,1190400,TMO
2017-09-06,185.78,187.87,185.43,187.79,1516600,TMO
2017-09-07,188.37,189.31,187.23,188.96,1619100,TMO
2017-09-08,188.96,190.63,188.15,189.99,1545800,TMO
2017-09-11,190.57,192.01,190.42,191.91,1521000,TMO
2017-09-12,192.36,192.64,190.95,192.38,1000900,TMO
2017-09-13,191.99,192.22,189.46,189.83,1302100,TMO
2017-09-14,190.33,190.5,188.16,190.2,1287300,TMO
2017-09-15,189.27,191.33,189.1,189.14,3274900,TMO
2017-09-18,189.66,190.48,189.29,190.37,1750700,TMO
2017-09-19,190.54,190.78,187.83,188.14,1215500,TMO
2017-09-20,188.05,188.69,185.96,187.13,1194400,TMO
2017-09-21,186.44,187.8,186.24,186.45,921600,TMO
2017-09-22,186.66,187.64,185.85,186.83,912200,TMO
2017-09-25,187.25,187.64,184.53,185.86,1916100,TMO
2017-09-26,187.84,188.37,186.11,186.21,1384200,TMO
2017-09-27,186.78,187.64,185.79,187.0,1410200,TMO
2017-09-28,186.33,186.97,184.6,185.0,1002200,TMO
2017-09-29,185.26,188.09,184.9,187.73,1703200,TMO
2017-10-02,188.33,190.05,187.76,190.05,1414300,TMO
2017-10-03,190.05,190.8,188.06,188.85,1023100,TMO
2017-10-04,189.22,192.0,189.22,192.0,1114400,TMO
2017-10-05,191.85,191.96,190.44,191.92,1021800,TMO
2017-10-06,191.87,192.61,190.44,191.7,974900,TMO
2017-10-09,191.89,192.47,190.87,191.75,593500,TMO
2017-10-10,192.16,192.34,190.02,191.14,894900,TMO
2017-10-11,191.1,192.01,190.86,191.95,762900,TMO
2017-10-12,191.99,192.16,191.4,191.88,876500,TMO
2017-10-13,192.17,192.61,190.41,190.92,852100,TMO
2017-10-16,191.29,191.88,189.27,189.79,1244100,TMO
2017-10-17,189.03,189.32,185.19,187.3,1893900,TMO
2017-10-18,187.53,188.07,186.24,187.75,1372500,TMO
2017-10-19,188.16,190.95,187.8,190.94,1691700,TMO
2017-10-20,191.66,192.92,191.34,192.35,1258500,TMO
2017-10-23,193.16,194.39,192.54,192.86,1313400,TMO
2017-10-24,193.06,193.83,191.68,192.87,2176900,TMO
2017-10-25,196.83,199.42,195.46,198.11,2120000,TMO
2017-10-26,198.16,199.63,196.13,198.81,2942500,TMO
2017-10-27,198.44,199.49,189.75,190.92,3777100,TMO
2017-10-30,190.22,191.37,188.83,190.52,1741800,TMO
2017-10-31,190.56,193.98,190.31,192.32,1543000,TMO
2017-11-01,193.62,193.79,191.71,192.68,1056600,TMO
2017-11-02,192.47,192.72,189.52,189.79,1797700,TMO
2017-11-03,190.14,192.99,189.86,192.2,816200,TMO
2017-11-06,192.51,193.02,191.39,192.02,1066000,TMO
2017-11-07,191.99,192.56,191.23,191.7,796600,TMO
2017-11-08,191.21,192.67,191.21,192.35,981900,TMO
2017-11-09,191.91,192.45,188.72,190.39,1052400,TMO
2017-11-10,190.18,190.41,183.06,184.73,3009200,TMO
2017-11-13,184.08,187.34,183.81,186.74,1786900,TMO
2017-11-14,186.35,188.75,185.91,187.61,1421300,TMO
2017-11-15,187.65,188.4,186.45,187.04,1090800,TMO
2017-11-16,187.58,189.5,187.55,189.12,982800,TMO
2017-11-17,188.07,190.09,188.07,188.69,1151900,TMO
2017-11-20,188.48,190.4,188.36,189.51,1373800,TMO
2017-11-21,189.86,191.54,188.8,191.43,1757100,TMO
2017-11-22,191.5,191.73,190.67,191.25,1005500,TMO
2017-11-24,191.5,192.25,190.8,192.0,374500,TMO
2017-11-27,191.52,192.43,190.86,192.41,1731600,TMO
2017-11-28,193.42,194.83,192.92,194.77,1650500,TMO
2017-11-29,194.83,195.64,190.27,191.12,2183000,TMO
2017-11-30,192.18,193.27,190.36,191.26,2497500,TMO
2017-12-01,191.28,191.98,187.72,190.7,1335400,TMO
2017-12-04,189.51,189.77,180.13,180.61,3926800,TMO
2017-12-05,181.17,182.94,180.1,181.03,2229200,TMO
2017-12-06,181.22,182.6,180.18,182.44,2262900,TMO
2017-12-07,182.46,184.31,182.22,184.18,1550100,TMO
2017-12-08,184.77,187.43,184.41,186.5,2437700,TMO
2017-12-11,187.1,188.14,185.72,188.01,1423700,TMO
2017-12-12,187.93,188.42,186.16,188.01,1301100,TMO
2017-12-13,188.38,190.47,188.06,189.98,1447300,TMO
2017-12-14,189.95,191.73,186.88,187.0,2158700,TMO
2017-12-15,188.15,191.33,188.08,190.92,3851200,TMO
2017-12-18,191.95,193.16,191.53,192.21,1305300,TMO
2017-12-19,192.89,193.98,191.35,192.53,1552700,TMO
2017-12-20,193.41,193.41,189.6,190.94,1492000,TMO
2017-12-21,191.5,192.2,189.62,189.79,1185800,TMO
2017-12-22,189.57,189.78,187.76,189.08,1093600,TMO
2017-12-26,189.38,189.81,188.6,189.01,467400,TMO
2017-12-27,189.35,189.89,188.85,189.83,671600,TMO
2017-12-28,189.6,190.63,188.93,189.83,675500,TMO
2017-12-29,190.59,190.6,188.55,188.55,856600,TMO
2018-01-02,189.46,192.13,189.04,191.63,1140900,TMO
2018-01-03,190.86,195.29,189.84,195.14,1458300,TMO
2018-01-04,195.77,198.2,195.29,197.58,1566400,TMO
2018-01-05,198.6,201.23,197.81,200.97,1469500,TMO
2018-01-08,200.97,201.81,198.8,201.3,1974600,TMO
2018-01-09,203.31,205.47,201.97,204.65,1845200,TMO
2018-01-10,203.36,205.17,200.54,204.84,1421200,TMO
2018-01-11,205.5,207.26,204.52,207.2,1520600,TMO
2018-01-12,207.42,210.06,206.33,208.7,1486500,TMO
2018-01-16,210.32,210.32,206.05,206.55,2264300,TMO
2018-01-17,208.09,210.19,206.84,210.0,1461700,TMO
2018-01-18,209.92,211.57,209.04,210.92,1458500,TMO
2018-01-19,212.45,213.07,210.87,212.01,1439900,TMO
2018-01-22,212.51,213.82,211.28,213.81,1230300,TMO
2018-01-23,214.07,215.7,212.75,213.05,1267000,TMO
2018-01-24,213.51,215.15,211.51,213.81,1227400,TMO
2018-01-25,214.85,217.21,213.5,216.35,1668400,TMO
2018-01-26,216.64,218.24,215.21,218.24,1162000,TMO
2018-01-29,217.86,218.56,217.06,217.28,1042800,TMO
2018-01-30,214.48,214.76,211.05,213.11,1921700,TMO
2018-01-31,221.89,224.41,218.16,222.54,3414200,TMO
