Date,Open,High,Low,Close,Volume,Name
2017-07-03,68.93,69.71,68.73,69.16,873300,TROW
2017-07-05,69.24,69.51,68.91,69.36,974800,TROW
2017-07-06,69.17,69.19,68.3,68.36,1335700,TROW
2017-07-07,68.71,70.36,68.55,70.14,1443900,TROW
2017-07-10,70.02,71.37,70.02,70.96,1885100,TROW
2017-07-11,69.53,69.59,68.43,69.22,2023100,TROW
2017-07-12,69.41,70.06,69.35,69.6,1034700,TROW
2017-07-13,71.65,73.72,71.65,72.93,4912000,TROW
2017-07-14,72.75,74.26,72.75,73.89,2192200,TROW
2017-07-17,73.94,74.13,73.22,73.82,1137700,TROW
2017-07-18,73.67,73.92,73.47,73.78,1550200,TROW
2017-07-19,73.98,74.53,73.67,74.42,882400,TROW
2017-07-20,74.54,74.83,74.07,74.67,903100,TROW
2017-07-21,74.56,74.96,74.33,74.44,991300,TROW
2017-07-24,74.45,74.72,74.02,74.69,1496400,TROW
2017-07-25,75.53,77.78,75.5,77.2,3019900,TROW
2017-07-26,77.46,78.67,77.4,78.21,2652200,TROW
2017-07-27,78.34,78.38,75.36,76.13,3149600,TROW
2017-07-28,75.99,76.37,75.4,75.84,1386200,TROW
2017-07-31,76.01,76.38,75.62,76.18,2757600,TROW
2017-08-01,76.51,76.61,75.96,76.58,1538900,TROW
2017-08-02,76.89,76.89,75.74,76.08,1271800,TROW
2017-08-03,76.11,76.37,75.69,76.12,1022000,TROW
2017-08-04,76.54,76.54,76.05,76.24,879500,TROW
2017-08-07,76.33,76.94,76.26,76.78,798500,TROW
2017-08-08,76.44,77.06,76.15,76.61,1337900,TROW
2017-08-09,76.38,76.79,75.96,76.6,1295600,TROW
2017-08-10,76.41,78.07,75.97,76.3,2025300,TROW
2017-08-11,76.59,77.13,76.04,76.24,1127000,TROW
2017-08-14,76.81,77.36,76.2,77.21,1011900,TROW
2017-08-15,77.4,77.56,76.84,77.27,1049900,TROW
2017-08-16,77.66,78.34,77.41,77.49,1464600,TROW
2017-08-17,77.35,77.39,76.0,76.08,1860400,TROW
2017-08-18,76.02,76.28,75.63,75.79,1091400,TROW
2017-08-21,75.82,76.2,75.51,75.86,828100,TROW
2017-08-22,76.04,77.12,76.04,77.0,1131700,TROW
2017-08-23,76.76,76.76,76.2,76.3,956800,TROW
2017-08-24,76.61,76.61,75.87,75.94,1212500,TROW
2017-08-25,76.35,77.62,76.35,77.27,1509800,TROW
2017-08-28,77.46,77.94,77.15,77.49,1054700,TROW
2017-08-29,76.9,77.54,76.45,77.39,1090000,TROW
2017-08-30,77.4,77.51,77.11,77.19,921400,TROW
2017-08-31,77.51,77.86,77.14,77.69,1407000,TROW
2017-09-01,77.9,78.11,77.4,77.62,856800,TROW
2017-09-05,77.2,77.42,76.04,76.23,1208500,TROW
2017-09-06,76.68,76.96,76.05,76.23,1399700,TROW
2017-09-07,76.28,76.28,75.16,75.75,1570000,TROW
2017-09-08,75.45,76.13,75.3,75.64,1209700,TROW
2017-09-11,76.23,77.04,76.23,76.76,1206600,TROW
2017-09-12,77.0,78.15,76.94,78.15,1072600,TROW
2017-09-13,77.82,78.38,76.79,78.13,1202200,TROW
2017-09-14,77.89,78.36,77.49,78.13,923600,TROW
2017-09-15,78.09,78.8,77.79,78.55,1805400,TROW
2017-09-18,78.56,79.24,78.12,79.13,1275100,TROW
2017-09-19,79.11,79.52,78.79,78.9,995900,TROW
2017-09-20,79.24,79.62,78.35,79.48,990700,TROW
2017-09-21,79.45,79.86,79.16,79.71,742700,TROW
2017-09-22,79.76,80.45,79.58,80.38,708300,TROW
2017-09-25,80.28,81.26,80.23,80.96,1175100,TROW
2017-09-26,80.88,81.06,80.13,80.26,1301500,TROW
2017-09-27,81.0,82.12,80.65,81.67,1779800,TROW
2017-09-28,81.83,83.97,81.5,83.56,2241000,TROW
2017-09-29,83.36,84.55,83.17,84.05,1801400,TROW
2017-10-02,83.84,84.17,82.87,84.07,1605900,TROW
2017-10-03,83.93,84.33,83.46,84.3,980800,TROW
2017-10-04,84.34,84.92,84.16,84.75,1142700,TROW
2017-10-05,85.17,85.65,84.77,85.07,939700,TROW
2017-10-06,85.35,85.35,84.63,85.04,829500,TROW
2017-10-09,85.36,85.68,85.14,85.28,703900,TROW
2017-10-10,85.75,85.84,84.97,85.47,1049200,TROW
2017-10-11,85.49,86.12,84.93,86.09,973000,TROW
2017-10-12,86.29,87.82,86.29,87.58,1720900,TROW
2017-10-13,87.86,88.68,87.5,88.02,1335500,TROW
2017-10-16,88.04,88.54,87.63,87.91,1312300,TROW
2017-10-17,88.25,88.27,87.57,87.83,921600,TROW
2017-10-18,88.04,88.96,87.85,88.78,949000,TROW
2017-10-19,88.63,88.98,88.17,88.66,953600,TROW
2017-10-20,89.47,90.26,89.18,89.8,1220700,TROW
2017-10-23,89.11,90.19,88.97,89.13,1769400,TROW
2017-10-24,89.7,89.79,89.21,89.45,1204600,TROW
2017-10-25,89.58,89.85,87.11,88.22,1831000,TROW
2017-10-26,89.93,89.93,86.48,88.15,1735000,TROW
2017-10-27,87.88,88.06,85.3,87.13,1753500,TROW
2017-10-30,86.8,87.06,85.54,85.69,1854500,TROW
2017-10-31,85.65,86.69,85.2,86.13,2428900,TROW
2017-11-01,86.67,86.82,85.73,85.83,1031000,TROW
2017-11-02,86.1,88.93,85.73,87.74,1928600,TROW
2017-11-03,87.86,88.07,87.29,87.68,847800,TROW
2017-11-06,87.2,88.12,87.2,88.03,1009200,TROW
2017-11-07,88.27,88.51,86.55,86.93,901200,TROW
2017-11-08,86.69,86.76,84.97,86.68,1447700,TROW
2017-11-09,86.24,86.52,84.33,85.97,1245700,TROW
2017-11-10,86.16,86.88,85.96,86.75,1119100,TROW
2017-11-13,86.25,86.67,85.68,86.61,1067100,TROW
2017-11-14,86.28,87.65,86.28,87.6,1056200,TROW
2017-11-15,87.12,88.05,86.11,87.48,1011100,TROW
2017-11-16,87.73,88.75,87.55,88.57,981500,TROW
2017-11-17,88.43,89.18,88.3,88.99,839800,TROW
2017-11-20,89.06,89.48,88.54,89.29,1057200,TROW
2017-11-21,89.86,90.71,89.23,90.61,1566200,TROW
2017-11-22,90.44,90.87,89.93,90.6,1126200,TROW
2017-11-24,91.07,91.15,90.39,90.75,487500,TROW
2017-11-27,90.82,91.8,90.68,90.83,1147700,TROW
2017-11-28,90.94,92.53,90.83,92.48,1442400,TROW
2017-11-29,92.92,94.78,92.84,93.89,2186700,TROW
2017-11-30,94.38,96.29,93.67,95.42,2750100,TROW
2017-12-01,95.33,96.03,92.91,95.3,1983600,TROW
2017-12-04,95.82,96.06,94.64,95.33,2102100,TROW
2017-12-05,96.21,96.8,94.13,94.24,1939600,TROW
2017-12-06,93.83,95.0,93.69,94.38,1173100,TROW
2017-12-07,94.37,95.54,94.27,95.26,1260700,TROW
2017-12-08,94.52,95.84,93.54,95.27,1951000,TROW
2017-12-11,95.38,95.39,94.18,94.43,1213100,TROW
2017-12-12,94.38,95.46,94.38,95.16,2032900,TROW
2017-12-13,95.01,96.23,94.85,95.01,1315000,TROW
2017-12-14,95.67,96.14,94.38,94.72,1276700,TROW
2017-12-15,94.73,96.11,94.19,95.63,4366900,TROW
2017-12-18,96.4,98.23,96.03,96.44,1985800,TROW
2017-12-19,96.94,97.21,96.11,96.16,1174500,TROW
2017-12-20,96.3,97.71,96.3,96.74,1313800,TROW
2017-12-21,97.22,97.8,96.39,97.52,1045000,TROW
2017-12-22,97.52,98.17,97.06,98.12,834400,TROW
2017-12-26,98.32,98.4,97.83,98.23,558600,TROW
2017-12-27,98.41,98.69,97.79,97.91,1123700,TROW
2017-12-28,97.99,98.31,97.62,98.21,807900,TROW
2017-12-29,98.63,98.92,97.83,97.83,692600,TROW
2018-01-02,97.37,97.9,95.42,96.11,1603500,TROW
2018-01-03,96.5,97.53,96.27,97.42,1169800,TROW
2018-01-04,98.02,99.01,97.9,98.18,773500,TROW
2018-01-05,98.39,100.15,98.18,99.97,1073300,TROW
2018-01-08,100.9,102.76,100.25,102.45,1675600,TROW
2018-01-09,103.61,104.58,103.17,104.19,1332500,TROW
2018-01-10,104.33,105.07,103.71,104.67,1044100,TROW
2018-01-11,104.29,105.42,102.88,105.41,1956900,TROW
2018-01-12,106.34,107.8,106.26,107.55,1361100,TROW
2018-01-16,108.64,109.68,106.58,106.72,1756500,TROW
2018-01-17,107.29,109.0,106.83,108.51,1590300,TROW
2018-01-18,108.21,108.68,107.69,107.96,1448400,TROW
2018-01-19,108.44,110.19,108.0,109.41,1719900,TROW
2018-01-22,109.89,110.24,108.9,109.46,1403700,TROW
2018-01-23,109.55,110.35,109.08,110.09,1332600,TROW
2018-01-24,110.59,111.06,108.62,109.75,1227400,TROW
2018-01-25,110.17,110.3,108.83,109.41,1201900,TROW
2018-01-26,109.9,111.87,109.22,111.87,1595600,TROW
2018-01-29,111.85,111.95,109.34,109.6,2168900,TROW
2018-01-30,107.22,107.22,103.49,104.9,2400700,TROW
2018-01-31,104.85,105.1,102.92,104.08,4146600,TROW
2018-02-01,103.14,105.09,103.13,104.57,1468600,TROW
2018-02-02,103.85,105.06,102.09,102.45,2512800,TROW
2018-02-05,102.06,103.59,97.58,98.13,2662000,TROW
2018-02-06,95.08,100.27,93.83,99.73,3212800,TROW
2018-02-07,99.69,101.51,99.13,99.31,2331800,TROW
2018-02-08,99.56,100.48,94.98,95.09,3182600,TROW
2018-02-09,97.0,97.25,92.63,96.41,3628800,TROW
2018-02-12,97.37,99.2,97.06,97.83,2370000,TROW
2018-02-13,96.91,98.72,96.23,98.58,2145900,TROW
2018-02-14,97.98,101.07,97.44,100.99,1278800,TROW
2018-02-15,101.65,102.5,99.78,102.15,1845600,TROW
2018-02-16,101.53,103.78,100.85,103.01,1415200,TROW
2018-02-20,102.34,103.46,101.38,102.47,2210300,TROW
2018-02-21,102.81,105.59,102.35,102.51,1858800,TROW
2018-02-22,103.36,104.38,102.75,102.95,1445700,TROW
2018-02-23,103.36,104.72,102.95,104.7,1535100,TROW
2018-02-26,104.69,106.46,104.18,106.43,1354100,TROW
2018-02-27,106.45,107.58,104.73,104.79,1526500,TROW
2018-02-28,105.68,106.86,104.31,104.33,1931000,TROW
2018-03-01,104.65,105.07,101.96,102.63,1753800,TROW
2018-03-02,102.15,103.07,100.84,102.86,1414400,TROW
2018-03-05,102.27,104.52,101.95,104.28,1219500,TROW
2018-03-06,104.6,105.87,103.96,105.69,1041200,TROW
2018-03-07,104.25,105.9,103.49,105.44,1162200,TROW
2018-03-08,105.85,106.74,104.61,106.45,919300,TROW
2018-03-09,107.22,109.81,107.09,109.64,939300,TROW
2018-03-12,109.64,110.95,109.03,109.17,1038200,TROW
2018-03-13,109.64,110.95,108.72,109.06,1491800,TROW
2018-03-14,109.81,110.05,107.74,108.33,1426100,TROW
2018-03-15,108.55,108.8,107.57,108.25,1037300,TROW
2018-03-16,108.39,109.89,108.29,108.37,4292100,TROW
2018-03-19,108.19,108.24,105.08,106.33,1859200,TROW
2018-03-20,106.68,107.39,104.74,105.05,3276200,TROW
2018-03-21,105.4,107.54,104.59,105.59,2973300,TROW
2018-03-22,104.23,104.43,100.77,100.96,2681600,TROW
2018-03-23,101.52,101.54,97.99,98.16,2870000,TROW
2018-03-26,100.13,101.95,98.96,101.62,1636800,TROW
2018-03-27,102.06,102.91,99.04,99.52,2373400,TROW
2018-03-28,100.09,100.46,98.25,99.23,2137000,TROW
2018-03-29,99.59,102.27,98.75,101.27,1255800,TROW
2018-04-02,100.87,101.1,96.52,98.18,1737000,TROW
2018-04-03,98.56,99.89,97.8,99.84,1487200,TROW
2018-04-04,98.01,101.23,97.08,100.9,1691200,TROW
2018-04-05,101.8,102.11,100.28,100.86,1067100,TROW
2018-04-06,99.64,100.55,96.86,97.9,1512600,TROW
2018-04-09,98.47,100.63,98.27,98.42,1395300,TROW
2018-04-10,99.95,100.94,99.4,100.12,1199000,TROW
2018-04-11,98.93,100.46,98.59,99.61,1826300,TROW
2018-04-12,100.53,102.23,99.81,101.35,965800,TROW
2018-04-13,102.37,102.38,99.94,100.46,1227600,TROW
2018-04-16,101.35,101.72,100.42,101.25,1711200,TROW
2018-04-17,102.49,103.4,101.62,102.45,1176400,TROW
2018-04-18,103.01,103.27,101.71,102.12,1322000,TROW
2018-04-19,101.87,103.32,101.49,102.08,1299700,TROW
2018-04-20,102.49,102.75,101.07,101.71,1156100,TROW
2018-04-23,102.41,102.58,101.25,101.88,824800,TROW
2018-04-24,102.69,102.81,99.33,100.71,1920700,TROW
2018-04-25,101.65,105.42,100.89,104.11,2085300,TROW
2018-04-26,104.69,106.22,102.99,105.33,1560900,TROW
2018-04-27,105.34,107.09,104.81,106.95,1409700,TROW
2018-04-30,107.43,108.11,106.73,106.76,1447000,TROW
2018-05-01,105.04,106.65,103.5,104.35,1503900,TROW
2018-05-02,104.21,104.74,103.51,103.74,1281400,TROW
2018-05-03,102.9,103.5,100.6,102.65,1137000,TROW
2018-05-04,102.15,105.69,101.63,105.02,939400,TROW
2018-05-07,105.14,107.0,104.65,106.43,1003400,TROW
2018-05-08,106.14,107.89,105.61,107.09,1241500,TROW
2018-05-09,107.75,110.24,106.08,109.42,2651500,TROW
2018-05-10,109.62,111.03,108.86,110.29,1313100,TROW
2018-05-11,110.55,111.43,109.42,110.88,844400,TROW
2018-05-14,111.2,112.06,110.12,110.69,990600,TROW
2018-05-15,109.83,110.62,109.44,109.87,1119800,TROW
2018-05-16,112.28,114.24,111.96,113.26,1795900,TROW
2018-05-17,112.87,113.54,111.88,113.15,1053000,TROW
2018-05-18,112.18,113.51,108.87,113.11,1271200,TROW
2018-05-21,113.8,114.77,113.3,114.37,732700,TROW
2018-05-22,114.43,115.81,114.27,115.05,793900,TROW
2018-05-23,114.11,114.57,113.03,114.01,1018800,TROW
2018-05-24,114.06,114.14,112.59,113.85,764500,TROW
2018-05-25,113.16,114.22,112.82,113.85,605500,TROW
