Date,Open,High,Low,Close,Volume,Name
2017-07-03,118.3,119.48,118.03,118.64,932700,TRV
2017-07-05,118.76,118.76,117.51,117.74,1402600,TRV
2017-07-06,117.87,118.37,117.39,117.56,1014600,TRV
2017-07-07,118.13,118.58,117.4,118.48,987100,TRV
2017-07-10,117.92,118.3,117.18,117.18,1518100,TRV
2017-07-11,117.35,117.41,115.85,116.51,937300,TRV
2017-07-12,117.03,117.3,116.44,116.69,1034500,TRV
2017-07-13,116.69,117.09,116.24,116.86,886700,TRV
2017-07-14,116.69,117.36,116.1,117.13,1382400,TRV
2017-07-17,117.43,117.65,116.88,117.6,937400,TRV
2017-07-18,117.44,117.47,116.52,116.95,1407700,TRV
2017-07-19,117.36,117.93,116.08,117.82,1324100,TRV
2017-07-20,114.86,116.84,114.49,116.06,2219400,TRV
2017-07-21,115.88,116.64,115.09,116.6,1373100,TRV
2017-07-24,116.69,117.93,116.64,117.74,1392800,TRV
2017-07-25,119.06,119.45,118.5,118.75,1578200,TRV
2017-07-26,118.61,118.85,117.11,117.39,1288900,TRV
2017-07-27,116.75,117.61,116.33,117.28,1693300,TRV
2017-07-28,117.49,118.76,117.14,118.52,1277200,TRV
2017-07-31,118.8,119.51,118.64,119.34,1074500,TRV
2017-08-01,119.72,120.42,119.38,120.38,1519000,TRV
2017-08-02,120.2,121.03,119.78,119.93,1402200,TRV
2017-08-03,119.99,120.98,119.73,120.71,1081200,TRV
2017-08-04,120.95,121.12,120.16,120.83,1952500,TRV
2017-08-07,120.44,120.98,119.83,120.0,1008300,TRV
2017-08-08,119.95,120.33,119.67,119.77,1041500,TRV
2017-08-09,120.06,121.28,119.57,121.26,1605100,TRV
2017-08-10,120.86,121.28,120.37,120.83,2422200,TRV
2017-08-11,121.06,121.45,119.29,119.42,1535100,TRV
2017-08-14,119.56,120.24,119.46,119.99,1092700,TRV
2017-08-15,120.19,120.58,119.87,120.23,1139500,TRV
2017-08-16,120.76,121.46,120.19,120.62,1424100,TRV
2017-08-17,120.78,120.78,119.3,119.43,1622100,TRV
2017-08-18,119.51,119.75,118.81,119.15,1246900,TRV
2017-08-21,119.32,119.32,118.25,118.74,1063800,TRV
2017-08-22,119.18,119.34,118.73,119.04,1113600,TRV
2017-08-23,119.02,119.46,118.31,118.47,947000,TRV
2017-08-24,118.63,118.67,116.93,116.99,1045100,TRV
2017-08-25,117.38,118.03,116.98,117.83,1331600,TRV
2017-08-28,116.38,116.93,114.05,114.81,2534900,TRV
2017-08-29,114.22,115.49,113.92,114.6,1476200,TRV
2017-08-30,114.79,115.09,113.31,113.49,1349000,TRV
2017-08-31,113.71,113.81,111.95,112.9,2156600,TRV
