Date,Open,High,Low,Close,Volume,Name
2017-07-03,71.44,71.62,70.48,70.49,3494200,TXN
2017-07-05,70.69,71.5,70.33,70.95,6680800,TXN
2017-07-06,70.28,71.67,70.28,70.9,5047000,TXN
2017-07-07,71.32,72.56,71.32,72.39,5342900,TXN
2017-07-10,72.35,72.96,71.89,72.67,3611500,TXN
2017-07-11,72.67,73.01,72.21,72.91,2729200,TXN
2017-07-12,73.3,74.29,73.3,74.28,3891700,TXN
2017-07-13,74.17,74.7,74.05,74.29,3372800,TXN
2017-07-14,74.67,75.74,74.58,75.64,3654700,TXN
2017-07-17,75.48,75.64,75.16,75.33,2972700,TXN
2017-07-18,75.18,75.84,74.86,75.79,2773500,TXN
2017-07-19,76.09,76.29,75.51,75.79,3133500,TXN
2017-07-20,75.83,76.39,75.51,76.28,3766700,TXN
2017-07-21,75.14,75.64,74.72,75.36,4597600,TXN
2017-07-24,75.51,75.52,74.35,74.65,4350900,TXN
2017-07-25,74.77,75.58,74.33,75.08,6439700,TXN
2017-07-26,76.56,77.71,75.6,76.13,6983000,TXN
2017-07-27,76.22,76.59,74.33,75.15,7152200,TXN
2017-07-28,74.64,75.21,74.29,74.91,5228000,TXN
2017-07-31,75.02,75.79,74.97,75.53,5954600,TXN
2017-08-01,75.73,75.95,75.19,75.83,3366100,TXN
2017-08-02,76.11,76.11,74.84,75.46,3179800,TXN
2017-08-03,75.45,75.85,75.15,75.51,2748500,TXN
2017-08-04,75.76,76.07,75.41,75.57,2325200,TXN
2017-08-07,75.58,76.29,75.58,76.26,2827700,TXN
2017-08-08,76.09,77.67,76.0,76.52,7184600,TXN
2017-08-09,76.07,76.39,75.53,76.36,4274000,TXN
2017-08-10,75.92,76.1,74.51,74.58,4469200,TXN
2017-08-11,74.78,75.49,74.65,75.07,3426100,TXN
2017-08-14,75.62,76.3,75.36,76.15,3788600,TXN
2017-08-15,76.17,76.39,75.82,76.06,3750300,TXN
2017-08-16,76.49,76.72,76.06,76.53,3291900,TXN
2017-08-17,76.06,76.25,74.33,74.39,4151500,TXN
2017-08-18,74.33,74.89,74.19,74.22,3626000,TXN
2017-08-21,74.38,74.47,73.88,74.14,3347300,TXN
2017-08-22,74.56,75.3,74.3,74.94,4359200,TXN
2017-08-23,74.47,75.29,74.31,75.07,4109300,TXN
2017-08-24,75.32,75.64,75.01,75.41,3511100,TXN
2017-08-25,75.71,76.01,75.12,75.16,2627700,TXN
2017-08-28,75.58,75.79,74.78,74.95,3088500,TXN
2017-08-29,74.32,75.41,74.27,75.2,3729600,TXN
2017-08-30,75.37,76.48,75.27,76.39,4522200,TXN
2017-08-31,76.51,76.98,76.22,76.86,4411300,TXN
2017-09-01,76.79,77.13,76.46,76.6,2665200,TXN
2017-09-05,76.4,76.56,75.43,75.96,3691900,TXN
2017-09-06,76.33,76.45,75.72,76.17,3682700,TXN
2017-09-07,76.52,77.95,75.91,76.1,3599900,TXN
2017-09-08,76.08,76.14,75.41,75.53,2505600,TXN
2017-09-11,76.01,76.78,75.93,76.31,3916800,TXN
2017-09-12,76.42,76.98,76.25,76.93,4596300,TXN
2017-09-13,76.88,76.98,76.36,76.75,2626800,TXN
2017-09-14,76.47,77.65,76.47,77.3,3503300,TXN
2017-09-15,77.16,78.91,76.91,78.74,10333200,TXN
2017-09-18,78.89,80.25,78.78,79.95,5593600,TXN
2017-09-19,80.16,80.97,79.48,80.57,4036800,TXN
2017-09-20,80.74,80.74,78.4,79.66,4922800,TXN
2017-09-21,79.83,80.36,79.51,79.86,4863900,TXN
2017-09-22,80.36,82.09,80.28,81.92,6440900,TXN
2017-09-25,81.35,81.75,80.67,81.21,5625600,TXN
2017-09-26,81.66,81.94,81.16,81.39,3121200,TXN
2017-09-27,82.12,82.74,81.53,82.42,3806900,TXN
2017-09-28,82.08,83.21,82.0,83.2,5332700,TXN
2017-09-29,83.31,83.43,82.68,83.19,3283500,TXN
2017-10-02,83.42,83.75,82.89,83.2,3280600,TXN
2017-10-03,83.2,83.75,83.06,83.47,2374800,TXN
2017-10-04,83.43,84.05,83.14,83.98,3933300,TXN
2017-10-05,84.04,84.73,83.63,84.59,3241800,TXN
2017-10-06,84.21,84.96,84.21,84.78,2335000,TXN
2017-10-09,85.02,85.25,84.74,84.99,1749800,TXN
2017-10-10,85.36,85.76,84.89,85.74,2810500,TXN
2017-10-11,85.37,86.24,85.12,86.19,3161900,TXN
2017-10-12,86.2,86.6,85.93,85.96,3537900,TXN
2017-10-13,86.4,86.99,86.13,86.86,2674800,TXN
2017-10-16,87.43,87.62,86.93,87.45,3111900,TXN
2017-10-17,87.4,87.53,86.81,87.49,3248500,TXN
2017-10-18,87.48,87.51,86.5,86.71,3532400,TXN
2017-10-19,86.28,86.91,85.91,86.73,4164600,TXN
2017-10-20,87.29,88.54,87.24,88.33,5272400,TXN
2017-10-23,89.1,89.78,88.58,89.29,7292200,TXN
2017-10-24,89.37,89.67,88.59,89.5,8061100,TXN
2017-10-25,88.17,89.75,87.39,88.93,6967100,TXN
2017-10-26,89.5,89.97,88.95,89.24,5556900,TXN
2017-10-27,89.04,90.54,88.83,90.49,5725300,TXN
2017-10-30,90.3,90.72,89.59,89.72,4922400,TXN
2017-10-31,89.93,90.64,89.83,90.31,3770600,TXN
2017-11-01,90.57,90.83,89.45,89.99,3873800,TXN
2017-11-02,89.9,90.49,89.29,90.4,3292200,TXN
2017-11-03,90.6,91.53,89.98,91.52,3346700,TXN
2017-11-06,91.37,92.16,91.23,92.04,4391700,TXN
2017-11-07,92.05,92.51,91.8,91.91,4314600,TXN
2017-11-08,91.82,92.24,91.43,91.95,3265600,TXN
2017-11-09,91.16,91.56,89.32,90.65,4239800,TXN
2017-11-10,90.29,90.65,90.04,90.54,3416700,TXN
2017-11-13,90.04,90.87,89.99,90.63,2284000,TXN
2017-11-14,90.32,90.81,89.99,90.56,3252600,TXN
2017-11-15,90.25,91.56,89.93,90.39,3355600,TXN
2017-11-16,90.67,92.12,90.65,91.83,3564400,TXN
2017-11-17,92.06,92.06,91.17,91.29,3788200,TXN
2017-11-20,91.36,92.39,91.35,91.8,2953700,TXN
2017-11-21,92.23,93.08,92.14,92.65,3998500,TXN
2017-11-22,92.61,92.8,91.6,91.61,2142000,TXN
2017-11-24,91.72,92.78,91.71,92.75,1288300,TXN
2017-11-27,92.42,92.7,92.1,92.12,3166300,TXN
2017-11-28,92.55,93.15,92.11,92.92,3037400,TXN
2017-11-29,93.15,93.21,90.09,90.49,5562200,TXN
2017-11-30,90.96,91.97,90.32,90.87,7591200,TXN
2017-12-01,90.17,90.98,88.47,90.77,5020500,TXN
2017-12-04,91.1,91.42,88.98,89.64,5183800,TXN
2017-12-05,89.65,92.21,89.07,90.51,4898100,TXN
2017-12-06,89.9,91.02,89.54,90.62,4675500,TXN
2017-12-07,90.9,91.66,90.54,91.33,4848200,TXN
2017-12-08,92.39,92.76,91.33,91.55,5591400,TXN
2017-12-11,91.6,92.36,91.32,92.31,5579200,TXN
2017-12-12,92.19,92.65,91.75,91.94,6083100,TXN
2017-12-13,92.44,92.64,91.73,92.34,5282100,TXN
2017-12-14,92.43,93.91,92.26,93.64,7106700,TXN
2017-12-15,94.6,94.9,93.47,94.54,9114800,TXN
2017-12-18,95.36,96.55,94.94,96.46,5927700,TXN
2017-12-19,96.38,97.42,96.28,97.23,5235700,TXN
2017-12-20,97.98,98.21,96.65,97.89,5529800,TXN
2017-12-21,98.22,98.38,97.15,97.2,4709100,TXN
2017-12-22,97.14,97.46,96.8,97.26,3041300,TXN
2017-12-26,96.75,97.32,96.26,97.28,1473800,TXN
2017-12-27,97.53,97.98,97.12,97.63,1775600,TXN
2017-12-28,98.0,98.0,97.34,97.9,1910700,TXN
2017-12-29,97.68,98.15,97.53,97.55,2813300,TXN
2018-01-02,98.18,98.65,97.61,98.6,4236200,TXN
2018-01-03,98.89,101.35,98.63,101.28,6918900,TXN
2018-01-04,101.32,102.0,100.92,101.15,5460400,TXN
2018-01-05,101.53,102.02,101.15,101.92,5254900,TXN
2018-01-08,101.39,103.09,101.26,102.41,4549400,TXN
2018-01-09,102.39,103.66,101.88,103.11,4747800,TXN
2018-01-10,102.6,102.73,101.07,102.46,5737400,TXN
2018-01-11,102.79,103.45,102.21,103.37,3903700,TXN
2018-01-12,103.43,105.54,103.28,105.28,4577800,TXN
2018-01-16,106.06,106.39,104.55,105.47,9251500,TXN
2018-01-17,106.43,111.55,106.02,111.3,6916700,TXN
2018-01-18,111.15,112.06,108.35,108.73,7970300,TXN
2018-01-19,109.29,109.8,108.08,109.12,6367300,TXN
2018-01-22,110.14,111.6,109.71,111.56,7217400,TXN
2018-01-23,112.1,112.78,111.06,111.98,8087100,TXN
2018-01-24,103.81,106.48,101.51,102.46,19223900,TXN
2018-01-25,103.55,104.34,101.88,102.88,8564800,TXN
2018-01-26,103.61,106.48,102.31,106.19,7801600,TXN
2018-01-29,105.05,105.92,103.91,105.22,6389300,TXN
2018-01-30,104.44,104.69,102.65,103.21,6492900,TXN
2018-01-31,104.23,104.24,101.71,103.0,7362500,TXN
2018-02-01,102.14,104.02,101.97,103.39,5828200,TXN
2018-02-02,102.39,103.53,100.98,101.11,7474400,TXN
2018-02-05,100.51,102.48,97.09,97.87,8460400,TXN
2018-02-06,96.38,100.17,96.03,99.43,9266900,TXN
2018-02-07,98.24,99.25,95.71,95.78,10009100,TXN
2018-02-08,95.83,96.37,91.67,91.72,11506600,TXN
2018-02-09,93.47,95.14,91.09,94.38,11599300,TXN
2018-02-12,95.37,96.31,94.32,95.74,6673700,TXN
2018-02-13,94.96,95.54,94.03,94.84,5061400,TXN
2018-02-14,93.78,96.7,93.78,96.44,7413500,TXN
2018-02-15,97.51,98.22,95.37,98.21,5264800,TXN
2018-02-16,97.94,99.12,97.56,98.12,4910400,TXN
2018-02-20,97.67,100.36,97.59,98.89,4970500,TXN
2018-02-21,99.34,99.72,97.29,97.36,6536500,TXN
2018-02-22,97.68,98.69,97.12,97.61,4036500,TXN
2018-02-23,98.62,100.55,98.37,100.53,4936900,TXN
2018-02-26,100.76,103.07,100.76,102.96,5496100,TXN
2018-02-27,102.73,103.58,101.75,101.75,5311900,TXN
2018-02-28,102.41,103.52,101.73,101.76,7333000,TXN
2018-03-01,102.31,102.31,99.29,100.05,8626600,TXN
2018-03-02,98.42,101.88,98.3,101.64,6476300,TXN
2018-03-05,100.94,102.68,100.04,102.38,4417200,TXN
2018-03-06,103.28,103.48,102.32,103.02,4109600,TXN
2018-03-07,101.47,102.8,100.62,101.96,4637600,TXN
2018-03-08,102.54,102.83,101.69,102.83,3573500,TXN
2018-03-09,103.31,104.82,102.68,104.75,5535900,TXN
2018-03-12,105.23,106.13,104.68,104.84,4270800,TXN
2018-03-13,105.23,106.13,103.4,103.87,5845500,TXN
2018-03-14,104.45,104.91,102.53,103.28,3240600,TXN
2018-03-15,103.25,104.17,102.63,103.04,3983300,TXN
2018-03-16,103.42,104.01,102.85,103.28,8049700,TXN
2018-03-19,102.72,102.73,99.51,101.3,6715200,TXN
2018-03-20,101.69,103.31,101.69,102.8,3781900,TXN
2018-03-21,102.49,103.58,101.49,102.03,3703800,TXN
2018-03-22,100.03,101.21,97.49,97.58,7208400,TXN
2018-03-23,97.7,98.56,95.18,95.2,6748900,TXN
2018-03-26,97.78,100.23,96.76,100.12,6760400,TXN
2018-03-27,101.43,101.53,95.63,96.32,5308400,TXN
2018-03-28,96.05,97.45,95.24,95.71,5352200,TXN
2018-03-29,96.57,98.65,96.02,97.57,4311100,TXN
2018-04-02,96.61,97.23,93.67,94.53,5865400,TXN
2018-04-03,95.72,96.49,94.47,95.97,6898700,TXN
2018-04-04,93.9,98.21,93.74,97.87,4515000,TXN
2018-04-05,97.52,97.69,94.74,96.02,5477400,TXN
2018-04-06,94.83,96.12,93.0,93.41,5095700,TXN
2018-04-09,93.96,96.63,93.54,93.74,5840900,TXN
2018-04-10,95.49,96.8,94.51,96.14,6011500,TXN
2018-04-11,95.24,96.82,94.89,96.12,3830000,TXN
2018-04-12,96.78,98.15,96.67,97.9,4578300,TXN
