Date,Open,High,Low,Close,Volume,Name
2017-07-03,47.14,47.75,46.75,47.48,454300,TXT
2017-07-05,47.46,47.89,47.3,47.78,1317600,TXT
2017-07-06,47.72,47.85,47.16,47.18,1376000,TXT
2017-07-07,47.33,48.1,47.28,47.81,1168000,TXT
2017-07-10,47.83,48.52,47.61,48.27,930500,TXT
2017-07-11,48.27,48.6,47.85,48.47,1187600,TXT
2017-07-12,48.74,49.0,48.42,48.55,1080500,TXT
2017-07-13,48.7,49.01,48.57,48.93,932100,TXT
2017-07-14,49.1,49.51,49.04,49.38,967000,TXT
2017-07-17,49.28,49.6,49.09,49.26,912100,TXT
2017-07-18,49.15,49.51,48.93,49.28,1872500,TXT
2017-07-19,49.84,49.89,48.23,48.41,3113300,TXT
2017-07-20,48.49,49.51,48.32,48.37,2187500,TXT
2017-07-21,47.75,48.44,47.59,48.24,2538200,TXT
2017-07-24,48.2,48.63,47.95,48.53,1464000,TXT
2017-07-25,48.96,49.28,48.38,49.03,1499200,TXT
2017-07-26,49.17,49.46,48.45,48.85,1125100,TXT
2017-07-27,48.84,48.84,47.94,48.25,978100,TXT
2017-07-28,48.24,49.07,47.93,48.99,953300,TXT
2017-07-31,48.99,49.07,48.71,48.87,1077100,TXT
2017-08-01,49.03,49.23,48.52,49.13,1086300,TXT
2017-08-02,49.1,49.48,48.85,49.1,1174600,TXT
2017-08-03,49.01,49.15,48.66,48.78,1011700,TXT
2017-08-04,48.93,49.08,48.77,49.05,808500,TXT
2017-08-07,49.08,49.18,48.5,49.14,858000,TXT
2017-08-08,49.04,49.23,48.65,48.8,1047300,TXT
2017-08-09,48.81,48.99,48.26,48.87,1275800,TXT
2017-08-10,48.69,48.8,47.98,47.99,1172600,TXT
2017-08-11,47.93,48.48,47.5,48.23,966000,TXT
2017-08-14,48.6,48.89,48.26,48.69,637700,TXT
2017-08-15,48.72,48.89,48.57,48.83,697300,TXT
2017-08-16,48.91,49.33,48.74,48.87,1050900,TXT
2017-08-17,48.73,48.8,47.85,47.87,910400,TXT
2017-08-18,47.79,47.84,47.3,47.44,1037000,TXT
2017-08-21,47.51,47.51,46.99,47.28,1021100,TXT
2017-08-22,47.45,47.97,47.25,47.81,1211800,TXT
2017-08-23,47.64,48.21,47.55,47.74,1143900,TXT
2017-08-24,47.82,47.93,47.47,47.69,918500,TXT
2017-08-25,47.95,48.36,47.7,48.18,1244100,TXT
2017-08-28,48.28,48.43,47.78,47.84,730400,TXT
2017-08-29,47.62,48.04,47.54,47.91,1339200,TXT
2017-08-30,47.98,48.79,47.91,48.71,896800,TXT
2017-08-31,48.86,49.09,48.66,48.83,1154000,TXT
2017-09-01,49.04,49.4,48.97,48.97,792400,TXT
2017-09-05,48.88,49.24,48.27,48.44,1582600,TXT
2017-09-06,48.74,48.96,48.36,48.53,1211400,TXT
2017-09-07,48.56,48.57,48.2,48.45,749400,TXT
2017-09-08,48.34,48.99,48.26,48.98,740000,TXT
2017-09-11,49.73,50.92,49.39,50.92,2883700,TXT
2017-09-12,50.96,52.15,50.93,52.13,2788900,TXT
2017-09-13,52.04,52.61,51.96,52.07,1727200,TXT
2017-09-14,51.89,52.16,51.31,51.51,1471400,TXT
2017-09-15,51.4,51.7,50.87,51.36,2331700,TXT
2017-09-18,51.53,52.23,51.49,52.2,1365600,TXT
2017-09-19,52.24,52.61,52.03,52.48,1261400,TXT
2017-09-20,52.51,53.32,52.51,52.86,1407600,TXT
2017-09-21,52.88,53.08,52.65,52.8,971900,TXT
2017-09-22,52.78,52.95,52.42,52.83,1065200,TXT
2017-09-25,52.84,52.98,52.23,52.81,631200,TXT
2017-09-26,52.86,53.13,52.67,52.87,1078900,TXT
2017-09-27,53.17,53.81,52.9,53.7,1597900,TXT
2017-09-28,53.46,53.79,52.74,53.32,984400,TXT
2017-09-29,53.38,53.64,53.01,53.62,723000,TXT
2017-10-02,53.75,54.34,53.56,54.3,1237200,TXT
2017-10-03,54.36,54.42,54.01,54.23,1348500,TXT
2017-10-04,54.21,54.74,53.96,54.72,1585900,TXT
2017-10-05,54.83,55.49,54.78,55.38,1369100,TXT
2017-10-06,55.22,55.52,55.06,55.22,855900,TXT
2017-10-09,55.37,55.53,54.87,55.06,637100,TXT
2017-10-10,55.22,55.22,54.0,54.13,1424200,TXT
2017-10-11,54.19,54.28,53.47,53.66,2701300,TXT
2017-10-12,53.66,53.85,53.16,53.29,2994600,TXT
2017-10-13,53.35,53.52,52.98,53.0,3174100,TXT
2017-10-16,53.08,53.35,52.81,53.08,1123500,TXT
2017-10-17,52.93,53.19,52.55,52.81,1520200,TXT
2017-10-18,52.97,53.42,52.65,53.31,3233400,TXT
2017-10-19,52.07,52.87,50.82,52.84,4174300,TXT
2017-10-20,53.07,53.77,52.54,53.48,3015200,TXT
2017-10-23,53.5,53.87,53.34,53.44,1750100,TXT
2017-10-24,53.44,54.37,53.44,54.15,1740400,TXT
2017-10-25,54.03,54.3,53.26,53.45,1372400,TXT
2017-10-26,53.73,54.06,52.93,53.5,1187900,TXT
2017-10-27,53.31,53.64,52.58,52.77,1694000,TXT
2017-10-30,52.54,52.68,52.17,52.34,1348800,TXT
2017-10-31,52.4,52.67,52.23,52.48,1398200,TXT
2017-11-01,52.75,53.29,52.7,53.14,1508600,TXT
2017-11-02,53.03,54.26,52.67,54.02,1311800,TXT
2017-11-03,53.91,54.29,53.55,54.28,1217300,TXT
2017-11-06,54.28,54.42,53.94,54.16,837200,TXT
2017-11-07,54.18,54.53,53.81,54.02,781900,TXT
2017-11-08,54.02,54.68,53.82,54.58,1082700,TXT
2017-11-09,54.76,54.97,53.76,54.13,922300,TXT
2017-11-10,53.95,54.48,53.75,54.01,1104300,TXT
2017-11-13,53.77,53.93,53.32,53.44,1875100,TXT
2017-11-14,53.27,53.57,53.08,53.31,875900,TXT
2017-11-15,52.74,52.97,52.07,52.21,1366200,TXT
2017-11-16,52.38,52.94,52.24,52.64,1631300,TXT
2017-11-17,52.48,53.27,52.35,52.71,1467300,TXT
2017-11-20,52.93,53.31,52.59,53.22,1503500,TXT
2017-11-21,53.52,53.75,53.34,53.43,1217200,TXT
2017-11-22,53.45,53.59,53.15,53.27,953800,TXT
2017-11-24,53.41,53.54,53.02,53.04,523300,TXT
2017-11-27,53.09,53.52,52.97,53.22,1081200,TXT
2017-11-28,53.48,54.12,53.33,54.06,1527600,TXT
2017-11-29,54.14,54.7,54.1,54.57,904100,TXT
2017-11-30,54.77,55.56,54.25,55.44,1656100,TXT
2017-12-01,55.44,55.53,53.12,54.62,1451400,TXT
2017-12-04,55.37,56.19,54.91,54.91,1975500,TXT
2017-12-05,55.21,55.21,53.72,53.75,1342900,TXT
2017-12-06,53.72,54.22,53.65,53.66,1281600,TXT
2017-12-07,53.57,54.75,53.55,54.52,1088800,TXT
2017-12-08,54.79,54.93,54.45,54.57,1088000,TXT
2017-12-11,54.64,54.91,54.25,54.36,1016900,TXT
2017-12-12,54.41,54.78,54.29,54.3,842100,TXT
2017-12-13,54.27,54.9,54.1,54.35,1132200,TXT
2017-12-14,54.37,54.66,54.01,54.13,823900,TXT
2017-12-15,54.51,55.35,54.38,54.97,2583300,TXT
2017-12-18,55.39,56.01,55.04,55.94,1143300,TXT
2017-12-19,56.2,56.32,55.8,56.1,1271700,TXT
2017-12-20,56.34,57.06,56.3,56.74,1731800,TXT
2017-12-21,57.06,57.45,56.65,56.92,2160800,TXT
2017-12-22,56.8,56.98,56.45,56.5,947600,TXT
2017-12-26,56.56,56.91,56.52,56.62,473200,TXT
2017-12-27,56.79,56.91,56.46,56.71,852100,TXT
2017-12-28,56.74,56.77,56.57,56.74,455600,TXT
2017-12-29,56.92,56.92,56.32,56.33,603300,TXT
2018-01-02,56.64,57.06,56.31,57.04,1186800,TXT
2018-01-03,56.77,57.54,56.74,57.37,1131100,TXT
2018-01-04,57.54,57.64,57.04,57.32,1189500,TXT
2018-01-05,57.69,58.25,57.14,58.24,2244100,TXT
2018-01-08,58.38,58.45,57.72,58.09,1237500,TXT
2018-01-09,58.17,58.44,58.0,58.19,935000,TXT
2018-01-10,58.14,58.35,57.92,58.14,570900,TXT
2018-01-11,58.25,58.85,58.24,58.82,1047000,TXT
2018-01-12,59.12,59.92,59.0,59.88,1213300,TXT
2018-01-16,60.19,60.27,58.1,58.51,1584300,TXT
2018-01-17,58.77,59.18,58.39,58.9,988200,TXT
2018-01-18,58.99,59.12,58.5,58.54,937500,TXT
2018-01-19,58.91,58.91,58.36,58.63,1204100,TXT
2018-01-22,58.66,58.85,58.18,58.82,1116600,TXT
2018-01-23,58.79,59.02,58.37,58.83,877500,TXT
2018-01-24,58.93,60.1,58.9,59.44,1751200,TXT
2018-01-25,59.71,60.42,59.32,60.26,1386000,TXT
2018-01-26,60.44,60.68,59.79,60.59,1255400,TXT
2018-01-29,60.63,61.91,60.6,60.94,1695700,TXT
2018-01-30,60.62,60.79,59.85,59.91,1630800,TXT
2018-01-31,58.04,60.07,57.61,58.41,2675200,TXT
2018-02-01,58.44,60.08,58.35,59.57,2262100,TXT
2018-02-02,59.22,59.87,58.67,58.79,1747200,TXT
2018-02-05,57.94,59.58,55.9,56.4,2760200,TXT
2018-02-06,55.38,57.2,54.7,56.84,2487200,TXT
2018-02-07,56.75,58.56,56.69,57.65,1857400,TXT
2018-02-08,57.74,57.74,55.24,55.29,1480800,TXT
2018-02-09,55.95,56.61,54.11,56.06,2062800,TXT
2018-02-12,56.51,57.86,56.16,57.29,1801300,TXT
2018-02-13,57.02,57.97,56.84,57.29,1794200,TXT
2018-02-14,56.88,58.63,56.65,58.53,2167300,TXT
2018-02-15,58.81,59.59,58.63,59.41,1855200,TXT
2018-02-16,59.3,60.39,59.12,60.06,1650100,TXT
2018-02-20,59.63,60.61,59.33,59.79,1514500,TXT
2018-02-21,59.7,60.21,59.15,59.25,2424000,TXT
2018-02-22,59.56,60.15,59.14,59.25,1340500,TXT
2018-02-23,59.31,59.64,58.69,59.01,1846100,TXT
2018-02-26,59.57,60.88,59.3,60.75,1378000,TXT
2018-02-27,60.69,61.19,59.96,59.98,1330300,TXT
2018-02-28,60.24,60.95,59.58,59.58,1813200,TXT
2018-03-01,59.6,59.95,57.53,57.98,2416000,TXT
2018-03-02,57.41,57.58,56.41,57.4,1938900,TXT
2018-03-05,56.9,58.43,56.67,58.12,1430500,TXT
2018-03-06,58.3,58.76,57.98,58.33,1281900,TXT
2018-03-07,57.86,58.42,57.5,58.26,1418300,TXT
2018-03-08,58.55,58.89,58.06,58.8,1023000,TXT
2018-03-09,59.22,60.18,58.92,60.17,1177800,TXT
2018-03-12,60.14,60.14,58.65,58.77,2610200,TXT
2018-03-13,59.14,59.24,58.53,58.67,1378700,TXT
2018-03-14,59.06,59.06,58.27,58.86,2913700,TXT
2018-03-15,58.88,58.88,57.79,58.77,1715800,TXT
2018-03-16,58.94,58.94,58.48,58.6,2317200,TXT
2018-03-19,58.55,58.81,58.1,58.71,1264600,TXT
2018-03-20,58.8,59.39,58.63,58.89,1263200,TXT
2018-03-21,58.99,59.62,58.53,59.07,904700,TXT
2018-03-22,58.5,58.76,57.28,57.33,1332900,TXT
2018-03-23,57.53,58.0,56.65,56.74,1561000,TXT
2018-03-26,57.44,58.12,56.86,58.08,1320500,TXT
2018-03-27,58.07,58.7,56.96,57.23,1108700,TXT
2018-03-28,57.31,57.8,56.79,57.38,1756500,TXT
2018-03-29,57.8,59.21,57.7,58.74,1815900,TXT
2018-04-02,58.52,58.86,56.73,57.43,1409900,TXT
2018-04-03,57.73,58.01,57.24,57.96,1354200,TXT
2018-04-04,57.05,58.08,56.41,58.06,2627900,TXT
2018-04-05,58.44,59.49,58.18,59.35,1497700,TXT
2018-04-06,58.72,59.06,57.19,57.65,1869000,TXT
2018-04-09,58.01,58.39,57.45,57.5,1094800,TXT
2018-04-10,58.35,58.74,57.85,58.16,1852500,TXT
2018-04-11,57.72,58.98,57.56,58.42,1607800,TXT
2018-04-12,58.69,59.22,58.63,58.82,1546600,TXT
2018-04-13,59.26,59.29,57.99,58.3,1345800,TXT
2018-04-16,58.88,59.31,58.66,59.2,1708800,TXT
2018-04-17,59.52,60.1,59.21,59.71,2253700,TXT
2018-04-18,63.98,64.63,62.76,63.74,6805100,TXT
2018-04-19,64.73,65.48,64.27,65.23,3696800,TXT
2018-04-20,65.43,65.74,64.59,65.34,3353000,TXT
2018-04-23,65.56,65.64,64.16,64.46,2296100,TXT
2018-04-24,64.96,65.54,62.71,64.02,2392500,TXT
