Date,Open,High,Low,Close,Volume,Name
2017-07-03,42.76,43.53,42.6,42.92,720100,UNM
2017-07-05,42.99,43.07,42.52,42.82,1181600,UNM
2017-07-06,42.82,43.61,42.66,43.01,1195500,UNM
2017-07-07,43.12,43.37,42.8,43.21,831800,UNM
2017-07-10,43.15,43.56,43.13,43.3,919700,UNM
2017-07-11,43.34,43.43,43.02,43.13,749100,UNM
2017-07-12,43.1,43.32,42.86,43.09,853500,UNM
2017-07-13,43.11,43.81,43.04,43.76,849000,UNM
2017-07-14,43.22,43.52,43.01,43.32,816900,UNM
2017-07-17,43.22,43.55,42.92,43.44,697700,UNM
2017-07-18,43.09,43.41,42.78,43.32,646900,UNM
2017-07-19,43.42,43.75,43.28,43.75,928300,UNM
2017-07-20,43.79,44.0,43.37,43.39,876600,UNM
2017-07-21,43.35,43.69,43.23,43.44,977700,UNM
2017-07-24,43.43,43.88,43.22,43.77,821400,UNM
2017-07-25,44.39,44.51,44.14,44.22,920000,UNM
2017-07-26,44.22,44.42,43.69,43.83,650200,UNM
2017-07-27,43.95,44.45,43.61,44.24,1020700,UNM
2017-07-28,44.72,45.62,44.14,45.48,1379200,UNM
2017-07-31,45.75,46.27,45.7,45.78,1363600,UNM
2017-08-01,46.04,46.2,45.49,45.95,1420100,UNM
2017-08-02,45.66,46.2,45.61,45.87,1174800,UNM
2017-08-03,45.9,46.16,45.68,45.82,1072800,UNM
2017-08-04,46.17,46.66,46.12,46.39,884500,UNM
2017-08-07,46.36,46.56,46.15,46.21,700400,UNM
2017-08-08,46.08,46.97,46.08,46.34,881900,UNM
2017-08-09,46.02,46.37,45.82,46.35,1318300,UNM
2017-08-10,46.03,46.13,45.57,45.61,1545700,UNM
2017-08-11,45.73,45.99,45.34,45.39,743800,UNM
2017-08-14,45.89,46.11,45.5,45.53,1145000,UNM
2017-08-15,45.97,46.18,45.61,45.71,981800,UNM
2017-08-16,45.9,46.03,45.11,45.2,1192800,UNM
2017-08-17,45.04,45.22,43.95,43.98,1761200,UNM
2017-08-18,43.83,44.08,43.61,43.77,1608400,UNM
2017-08-21,43.77,43.9,43.09,43.22,1675600,UNM
2017-08-22,43.4,43.7,43.4,43.69,1397800,UNM
2017-08-23,43.4,44.08,43.09,43.78,1076100,UNM
2017-08-24,43.83,44.28,43.74,44.18,1602400,UNM
2017-08-25,44.34,44.51,44.13,44.34,707900,UNM
2017-08-28,44.34,44.45,43.97,44.08,657500,UNM
2017-08-29,43.45,43.88,43.38,43.77,768100,UNM
2017-08-30,43.81,44.11,43.81,43.97,756000,UNM
2017-08-31,44.13,44.24,43.84,44.0,1137000,UNM
2017-09-01,44.14,44.55,44.03,44.38,627200,UNM
2017-09-05,44.01,44.03,43.25,43.45,1476800,UNM
2017-09-06,43.64,43.87,43.53,43.62,1152300,UNM
2017-09-07,43.57,43.57,42.08,42.4,1537000,UNM
2017-09-08,42.34,43.13,42.24,43.02,861100,UNM
2017-09-11,43.65,44.05,43.43,43.87,952500,UNM
2017-09-12,44.06,44.39,43.92,44.32,743000,UNM
2017-09-13,44.14,44.32,43.9,44.26,962900,UNM
2017-09-14,44.27,44.27,43.77,43.89,803000,UNM
2017-09-15,43.72,44.24,43.62,44.23,1962300,UNM
2017-09-18,44.31,44.85,44.25,44.72,1131300,UNM
2017-09-19,44.76,45.18,44.66,44.98,1041100,UNM
2017-09-20,45.16,45.71,44.9,45.37,933300,UNM
2017-09-21,45.4,45.84,45.19,45.69,967400,UNM
