Date,Open,High,Low,Close,Volume,Name
2017-07-03,102.07,103.35,102.07,103.03,1806600,UNP
2017-07-05,103.11,103.12,101.34,101.35,2668100,UNP
2017-07-06,100.88,101.55,100.48,100.89,2984200,UNP
2017-07-07,101.02,101.64,100.03,101.45,2803200,UNP
2017-07-10,101.12,102.5,100.98,101.59,3467100,UNP
2017-07-11,101.78,102.09,100.84,101.67,2356900,UNP
2017-07-12,102.11,103.2,101.91,102.25,2490200,UNP
2017-07-13,102.28,102.58,101.48,101.91,2155100,UNP
2017-07-14,102.19,102.73,101.8,102.55,2106700,UNP
2017-07-17,102.42,102.47,101.74,102.1,2431400,UNP
2017-07-18,102.05,102.59,101.6,102.29,2349600,UNP
2017-07-19,101.31,102.03,100.06,100.97,4192400,UNP
2017-07-20,101.84,102.1,97.63,99.38,6779600,UNP
2017-07-21,98.39,99.01,98.03,98.17,5562600,UNP
2017-07-24,98.08,98.7,97.05,97.05,5340800,UNP
2017-07-25,97.64,98.63,97.09,98.27,3923400,UNP
2017-07-26,98.39,98.56,97.25,97.77,3263600,UNP
2017-07-27,97.34,97.36,94.62,94.94,6443800,UNP
2017-07-28,94.95,96.8,94.95,96.72,4471000,UNP
2017-07-31,96.87,97.34,96.35,96.4,4266500,UNP
2017-08-01,96.4,96.43,95.25,95.48,4379700,UNP
2017-08-02,95.34,96.2,95.24,95.81,4470800,UNP
2017-08-03,96.03,96.46,95.75,96.02,4750200,UNP
2017-08-04,96.15,96.83,95.5,95.95,4142600,UNP
2017-08-07,95.83,96.19,95.5,96.03,2543400,UNP
2017-08-08,95.69,97.67,95.41,96.49,3282400,UNP
2017-08-09,96.09,97.2,95.98,97.16,3063800,UNP
2017-08-10,96.81,97.78,96.1,96.15,3509100,UNP
2017-08-11,96.63,97.93,96.34,96.97,3340900,UNP
2017-08-14,97.66,98.47,97.56,98.06,3189800,UNP
2017-08-15,98.26,98.28,97.66,98.17,2652300,UNP
2017-08-16,98.41,99.37,98.05,99.11,2915500,UNP
2017-08-17,98.66,98.91,96.59,96.61,3266800,UNP
2017-08-18,96.77,97.94,96.31,97.28,3243600,UNP
2017-08-21,97.4,97.79,96.78,97.66,2274500,UNP
2017-08-22,98.08,99.67,98.08,99.44,2993600,UNP
2017-08-23,99.04,99.6,98.22,98.35,2844000,UNP
2017-08-24,98.67,98.78,97.78,97.91,2768700,UNP
2017-08-25,98.59,99.48,98.43,98.54,2473300,UNP
2017-08-28,98.68,98.92,97.67,97.89,2764600,UNP
2017-08-29,97.72,99.08,97.38,98.85,3191600,UNP
2017-08-30,98.88,99.43,98.68,98.82,2592700,UNP
2017-08-31,99.17,99.63,98.73,99.16,2744400,UNP
2017-09-01,99.48,100.08,98.67,99.32,2347700,UNP
2017-09-05,98.97,99.21,97.8,98.03,2598700,UNP
2017-09-06,98.55,100.08,98.42,98.89,4378700,UNP
2017-09-07,99.08,99.58,98.69,99.34,3622900,UNP
2017-09-08,99.48,101.04,98.85,100.96,3228200,UNP
2017-09-11,101.05,101.81,100.95,101.8,3818100,UNP
2017-09-12,101.62,102.59,101.5,102.16,2321800,UNP
2017-09-13,101.91,102.36,101.6,102.33,2106100,UNP
2017-09-14,102.35,104.42,102.0,104.4,4272300,UNP
2017-09-15,105.29,106.79,104.64,106.79,8269900,UNP
2017-09-18,106.6,106.68,105.41,105.5,3669200,UNP
2017-09-19,105.84,106.58,105.58,106.42,4168900,UNP
2017-09-20,106.42,108.33,106.24,108.3,3958800,UNP
2017-09-21,108.29,108.94,107.12,108.71,3002200,UNP
2017-09-22,108.49,108.84,107.97,108.62,2297600,UNP
2017-09-25,108.72,109.2,108.04,109.04,2783000,UNP
2017-09-26,109.15,109.15,108.38,108.7,2976900,UNP
2017-09-27,108.98,109.94,108.25,109.84,2619200,UNP
2017-09-28,109.51,110.12,109.15,109.21,1982800,UNP
2017-09-29,109.17,109.49,108.89,109.21,2317200,UNP
2017-10-02,108.66,108.82,107.67,108.54,3222200,UNP
2017-10-03,108.32,108.51,107.71,108.2,2783900,UNP
2017-10-04,107.5,107.79,106.77,107.14,3229600,UNP
2017-10-05,106.95,107.42,106.3,107.38,2811500,UNP
2017-10-06,107.3,108.04,106.45,107.31,2200100,UNP
2017-10-09,107.16,107.7,106.76,107.24,1741900,UNP
2017-10-10,107.36,107.65,105.93,106.07,2772200,UNP
2017-10-11,106.12,106.62,106.0,106.46,2867200,UNP
2017-10-12,106.57,107.34,106.37,107.07,2561700,UNP
2017-10-13,107.69,108.05,105.63,105.74,2079800,UNP
2017-10-16,105.96,106.12,105.25,105.56,2310600,UNP
2017-10-17,102.97,105.13,102.38,104.13,3975300,UNP
2017-10-18,104.33,104.89,103.89,103.95,4152000,UNP
2017-10-19,103.62,105.58,103.01,105.48,4080300,UNP
2017-10-20,106.37,106.69,105.74,106.41,4982700,UNP
2017-10-23,106.42,106.98,105.7,106.59,3059000,UNP
2017-10-24,106.81,107.6,106.11,106.32,4016200,UNP
2017-10-25,106.49,106.88,103.43,103.84,6487200,UNP
2017-10-26,105.21,109.99,104.36,109.68,6288800,UNP
2017-10-27,109.71,112.73,109.69,110.26,7139300,UNP
2017-10-30,110.14,111.11,109.52,109.59,3461300,UNP
2017-10-31,110.05,110.07,108.62,109.04,2981300,UNP
2017-11-01,109.8,110.41,109.33,110.18,2787200,UNP
2017-11-02,109.68,111.78,109.57,111.49,2903900,UNP
2017-11-03,111.34,111.41,109.95,110.35,1936000,UNP
2017-11-06,110.5,110.84,109.7,110.49,1682900,UNP
2017-11-07,110.23,110.76,109.81,110.22,1732900,UNP
2017-11-08,109.82,111.28,109.29,110.94,3226100,UNP
2017-11-09,110.11,110.93,109.71,110.25,2335000,UNP
2017-11-10,109.95,110.46,109.56,109.9,1840100,UNP
2017-11-13,108.89,109.76,108.48,109.69,2689000,UNP
2017-11-14,109.4,110.08,109.15,109.46,3073900,UNP
2017-11-15,109.15,110.13,108.75,108.96,3228300,UNP
2017-11-16,109.23,110.3,108.67,109.78,2437200,UNP
2017-11-17,109.31,110.03,108.77,108.89,2129300,UNP
2017-11-20,109.18,109.33,108.45,109.25,2579500,UNP
2017-11-21,109.34,110.37,109.17,110.3,3134300,UNP
2017-11-22,110.49,111.18,110.14,110.99,2466600,UNP
2017-11-24,111.15,111.94,110.93,111.36,1302800,UNP
2017-11-27,111.21,111.55,108.95,110.33,3398900,UNP
2017-11-28,110.42,112.11,109.72,111.88,4024800,UNP
2017-11-29,112.32,116.66,111.87,116.43,7206800,UNP
2017-11-30,116.44,121.09,116.44,119.8,9350700,UNP
2017-12-01,119.7,120.21,117.25,118.02,4793700,UNP
2017-12-04,119.4,125.01,118.91,123.19,9092500,UNP
2017-12-05,122.63,123.08,120.46,121.23,4953200,UNP
2017-12-06,120.72,121.41,120.45,121.17,3817900,UNP
2017-12-07,121.22,122.06,120.67,121.66,4695700,UNP
2017-12-08,121.98,123.15,121.73,122.27,3628500,UNP
2017-12-11,122.66,122.69,121.28,122.21,4923700,UNP
2017-12-12,122.5,124.07,121.8,123.78,5334100,UNP
2017-12-13,123.78,125.38,122.88,123.41,5696100,UNP
2017-12-14,123.75,124.38,121.97,122.33,4570400,UNP
2017-12-15,122.97,124.65,122.49,123.68,8768100,UNP
2017-12-18,124.39,126.19,124.16,125.45,5829000,UNP
2017-12-19,126.57,126.59,124.35,126.18,4538300,UNP
