Date,Open,High,Low,Close,Volume,Name
2017-07-03,83.99,84.08,83.28,83.3,507200,VRSK
2017-07-05,83.35,83.66,83.05,83.42,781000,VRSK
2017-07-06,82.87,82.99,82.52,82.61,830300,VRSK
2017-07-07,82.61,82.99,82.52,82.78,1077700,VRSK
2017-07-10,82.76,82.82,82.47,82.59,769600,VRSK
2017-07-11,82.61,82.64,82.08,82.61,494600,VRSK
2017-07-12,83.14,83.74,83.1,83.67,601600,VRSK
2017-07-13,83.53,83.67,82.69,83.53,508500,VRSK
2017-07-14,83.88,84.64,83.81,84.55,852000,VRSK
2017-07-17,84.56,84.86,84.19,84.36,912500,VRSK
2017-07-18,84.19,85.05,83.85,84.98,864700,VRSK
2017-07-19,84.97,85.12,84.08,85.1,674500,VRSK
2017-07-20,85.16,85.46,84.12,85.38,410200,VRSK
2017-07-21,85.25,86.06,85.25,85.61,881500,VRSK
2017-07-24,85.58,86.31,85.06,86.21,864400,VRSK
2017-07-25,86.4,86.51,85.76,85.98,590300,VRSK
2017-07-26,86.07,86.28,85.87,86.16,404100,VRSK
2017-07-27,86.13,86.56,85.68,86.25,721700,VRSK
2017-07-28,86.16,86.71,85.87,86.42,510200,VRSK
2017-07-31,86.42,87.09,86.1,86.36,739600,VRSK
2017-08-01,84.59,87.26,84.59,86.27,1081600,VRSK
2017-08-02,84.54,84.54,81.69,82.97,2072300,VRSK
2017-08-03,82.59,82.87,81.27,81.46,1470400,VRSK
2017-08-04,81.7,82.12,81.18,82.02,1043100,VRSK
2017-08-07,82.13,82.38,81.3,81.66,749900,VRSK
2017-08-08,81.48,81.89,81.01,81.04,597400,VRSK
2017-08-09,81.06,81.18,80.57,80.69,721700,VRSK
2017-08-10,80.39,80.57,79.73,79.74,788600,VRSK
2017-08-11,80.12,80.36,79.75,79.78,551100,VRSK
2017-08-14,80.31,80.85,80.1,80.6,504800,VRSK
2017-08-15,80.64,80.82,80.36,80.56,552500,VRSK
2017-08-16,80.76,81.04,80.44,80.8,559500,VRSK
2017-08-17,80.67,81.05,79.98,80.06,1111400,VRSK
2017-08-18,79.56,80.12,79.29,79.81,850900,VRSK
2017-08-21,79.96,80.46,79.6,80.23,535900,VRSK
2017-08-22,80.37,81.51,80.22,81.2,633500,VRSK
2017-08-23,81.02,81.02,80.34,80.37,603100,VRSK
2017-08-24,80.46,80.46,79.04,79.43,717300,VRSK
2017-08-25,79.91,79.91,78.77,78.84,994600,VRSK
2017-08-28,79.17,79.32,78.26,78.41,653000,VRSK
2017-08-29,78.47,78.78,78.15,78.7,813100,VRSK
2017-08-30,78.79,79.52,78.38,79.33,957600,VRSK
2017-08-31,79.42,80.35,79.33,80.21,660400,VRSK
2017-09-01,80.54,80.54,79.97,80.14,631300,VRSK
2017-09-05,79.98,80.4,79.59,79.78,1056000,VRSK
2017-09-06,79.88,80.34,79.75,80.22,767700,VRSK
2017-09-07,80.32,81.5,80.32,81.15,893400,VRSK
2017-09-08,80.88,81.94,80.05,81.63,665400,VRSK
2017-09-11,82.06,82.07,81.02,81.18,796300,VRSK
2017-09-12,81.17,82.14,80.66,82.04,628100,VRSK
2017-09-13,81.78,81.79,80.49,80.61,557400,VRSK
2017-09-14,80.41,80.65,79.49,79.85,817300,VRSK
2017-09-15,79.88,80.56,79.7,80.19,1191700,VRSK
2017-09-18,80.26,80.96,80.08,80.92,621000,VRSK
2017-09-19,80.96,80.96,80.54,80.86,390300,VRSK
2017-09-20,80.85,81.64,80.61,81.24,570500,VRSK
2017-09-21,81.16,81.47,80.85,81.1,463900,VRSK
2017-09-22,80.73,81.53,80.73,81.46,393600,VRSK
2017-09-25,81.36,81.55,80.97,81.18,595900,VRSK
2017-09-26,81.64,81.64,80.85,81.05,1049400,VRSK
2017-09-27,81.18,81.41,80.84,81.13,737800,VRSK
2017-09-28,80.73,81.59,80.65,81.55,864000,VRSK
2017-09-29,81.43,82.97,81.42,82.33,922200,VRSK
2017-10-02,82.54,83.22,82.15,82.65,794900,VRSK
2017-10-03,82.7,83.18,82.24,82.88,548700,VRSK
2017-10-04,82.87,83.13,82.25,83.0,462900,VRSK
2017-10-05,83.01,83.14,82.71,82.93,495000,VRSK
2017-10-06,82.77,83.01,82.35,82.63,493900,VRSK
2017-10-09,82.5,82.81,82.17,82.47,493500,VRSK
2017-10-10,82.51,82.99,82.47,82.87,401200,VRSK
2017-10-11,82.85,83.1,82.3,82.5,530000,VRSK
2017-10-12,82.53,83.12,82.35,82.95,640200,VRSK
2017-10-13,83.4,83.72,83.04,83.13,474000,VRSK
2017-10-16,83.09,83.39,82.87,83.2,379000,VRSK
2017-10-17,83.14,83.56,82.95,83.44,441400,VRSK
2017-10-18,83.39,84.02,83.39,83.92,428500,VRSK
2017-10-19,83.92,84.04,83.25,84.03,514800,VRSK
2017-10-20,84.12,84.49,83.88,83.97,748500,VRSK
2017-10-23,84.0,84.19,83.49,83.89,634100,VRSK
2017-10-24,83.85,84.27,83.5,84.0,532400,VRSK
2017-10-25,83.65,84.05,83.09,83.33,540600,VRSK
2017-10-26,83.6,84.28,83.42,83.95,777200,VRSK
2017-10-27,83.65,84.47,83.5,84.06,1169500,VRSK
2017-10-30,84.04,84.28,83.53,83.82,779000,VRSK
2017-10-31,83.93,84.53,83.78,84.17,1239800,VRSK
2017-11-01,85.11,90.39,85.11,88.95,2413500,VRSK
2017-11-02,89.36,90.36,89.0,90.08,1598500,VRSK
2017-11-03,90.14,90.46,89.22,90.09,877100,VRSK
2017-11-06,90.0,90.78,89.37,90.16,797600,VRSK
2017-11-07,90.85,91.96,90.75,91.33,924500,VRSK
2017-11-08,91.19,91.9,90.9,91.61,980800,VRSK
2017-11-09,91.2,91.82,89.73,89.88,751500,VRSK
2017-11-10,89.78,89.78,89.02,89.28,889600,VRSK
2017-11-13,89.1,89.49,88.72,89.19,888900,VRSK
2017-11-14,89.06,90.64,89.04,90.17,1044100,VRSK
2017-11-15,90.16,90.37,89.45,89.89,613200,VRSK
2017-11-16,90.19,90.46,89.69,89.88,1090200,VRSK
2017-11-17,89.94,91.25,89.74,90.91,1884000,VRSK
2017-11-20,90.79,91.6,90.67,91.57,1030800,VRSK
2017-11-21,91.76,93.12,91.69,92.61,1269500,VRSK
2017-11-22,92.55,93.28,92.24,92.85,946700,VRSK
2017-11-24,92.83,93.15,92.55,92.91,223800,VRSK
2017-11-27,92.91,93.53,92.9,93.24,685200,VRSK
2017-11-28,93.43,94.26,93.15,94.24,759500,VRSK
2017-11-29,94.3,94.93,93.83,94.0,681700,VRSK
2017-11-30,94.2,95.92,93.86,95.42,904500,VRSK
2017-12-01,97.03,97.58,93.2,94.65,957700,VRSK
2017-12-04,94.83,95.71,94.8,95.01,877000,VRSK
2017-12-05,95.34,95.65,94.89,94.95,838300,VRSK
2017-12-06,95.08,95.35,94.63,94.88,605500,VRSK
2017-12-07,95.25,95.41,94.36,94.45,715700,VRSK
2017-12-08,95.01,95.38,94.36,95.16,565100,VRSK
2017-12-11,94.97,94.97,93.25,93.34,1249400,VRSK
2017-12-12,93.5,93.87,92.76,93.62,972400,VRSK
2017-12-13,93.81,94.11,93.27,93.43,848200,VRSK
2017-12-14,93.58,94.77,93.52,93.75,1015500,VRSK
2017-12-15,94.02,94.63,93.41,94.02,2703900,VRSK
2017-12-18,94.42,95.36,94.33,94.95,824200,VRSK
2017-12-19,94.78,95.76,94.47,95.01,1067500,VRSK
2017-12-20,95.38,96.08,95.08,95.32,822700,VRSK
2017-12-21,95.83,95.83,94.33,94.59,652700,VRSK
2017-12-22,94.53,94.75,93.95,94.34,656200,VRSK
2017-12-26,94.47,95.17,94.29,94.66,456900,VRSK
2017-12-27,94.97,95.05,94.45,94.78,369300,VRSK
2017-12-28,94.55,95.52,94.55,95.45,597800,VRSK
2017-12-29,95.41,95.99,94.94,95.01,529400,VRSK
2018-01-02,95.48,95.74,94.39,94.84,653900,VRSK
2018-01-03,94.77,94.98,94.27,94.56,760200,VRSK
2018-01-04,94.97,95.29,94.59,95.03,960300,VRSK
2018-01-05,95.5,95.96,94.93,95.88,882100,VRSK
2018-01-08,95.56,96.55,95.34,95.99,791600,VRSK
2018-01-09,96.01,96.18,95.33,95.73,566900,VRSK
2018-01-10,96.12,96.12,95.07,95.34,437500,VRSK
2018-01-11,95.39,95.73,95.03,95.67,357900,VRSK
2018-01-12,95.78,96.58,95.43,96.49,734500,VRSK
2018-01-16,96.36,96.88,96.09,96.19,967600,VRSK
2018-01-17,96.74,97.25,96.26,96.99,719800,VRSK
2018-01-18,97.07,97.7,95.29,97.18,764000,VRSK
2018-01-19,97.48,98.06,96.97,97.88,1088600,VRSK
2018-01-22,97.98,98.52,97.32,98.49,628700,VRSK
2018-01-23,98.05,98.27,96.32,98.22,922100,VRSK
2018-01-24,98.22,98.88,97.87,97.97,637400,VRSK
2018-01-25,98.42,98.68,97.51,97.57,653200,VRSK
2018-01-26,97.93,97.93,96.86,97.29,1477600,VRSK
2018-01-29,96.98,97.84,96.53,97.23,1033600,VRSK
2018-01-30,97.27,98.37,96.87,98.09,1253600,VRSK
2018-01-31,98.14,99.5,97.7,99.01,1264600,VRSK
2018-02-01,98.2,99.3,96.98,99.22,1599800,VRSK
2018-02-02,98.81,99.22,97.78,97.81,1086600,VRSK
2018-02-05,97.86,98.28,93.87,93.91,1257500,VRSK
2018-02-06,92.56,94.45,91.44,94.03,1246900,VRSK
2018-02-07,93.63,95.4,93.54,93.71,940100,VRSK
2018-02-08,93.72,94.5,91.28,91.32,1038200,VRSK
2018-02-09,92.02,92.57,89.66,91.95,1134700,VRSK
2018-02-12,92.61,94.14,91.93,93.32,900200,VRSK
2018-02-13,92.97,94.09,91.66,93.9,800200,VRSK
2018-02-14,93.39,95.78,92.55,95.63,916000,VRSK
2018-02-15,96.39,97.21,95.51,97.21,937600,VRSK
2018-02-16,97.15,98.65,97.15,97.77,2067700,VRSK
2018-02-20,97.49,97.49,95.59,96.03,1466200,VRSK
2018-02-21,98.96,100.94,97.97,98.2,1855600,VRSK
2018-02-22,99.58,100.64,97.96,98.58,1734000,VRSK
2018-02-23,98.96,100.52,98.15,100.49,802700,VRSK
2018-02-26,100.77,102.55,100.74,102.52,1005800,VRSK
2018-02-27,102.77,102.78,101.97,102.0,951300,VRSK
2018-02-28,102.6,102.65,101.1,101.13,867400,VRSK
2018-03-01,100.94,101.62,98.96,100.01,996700,VRSK
2018-03-02,99.15,100.54,98.27,100.32,1140600,VRSK
2018-03-05,100.22,102.27,99.81,102.02,857700,VRSK
2018-03-06,102.24,103.47,102.01,103.19,1012700,VRSK
2018-03-07,102.56,103.22,102.01,103.05,636500,VRSK
2018-03-08,103.25,103.6,102.68,103.3,824300,VRSK
2018-03-09,103.86,104.91,103.57,104.74,1175900,VRSK
2018-03-12,104.72,104.97,103.6,103.77,681000,VRSK
2018-03-13,104.72,104.97,103.05,103.4,617400,VRSK
2018-03-14,103.82,103.91,102.83,103.01,508600,VRSK
2018-03-15,103.17,103.62,102.51,103.18,612900,VRSK
2018-03-16,103.22,104.29,103.08,103.68,979300,VRSK
2018-03-19,103.41,103.48,102.03,102.87,709800,VRSK
2018-03-20,103.17,104.5,103.17,104.15,580200,VRSK
2018-03-21,103.98,104.77,103.71,103.96,466800,VRSK
2018-03-22,102.94,104.28,101.99,102.91,1119100,VRSK
2018-03-23,102.96,102.97,100.99,101.05,660900,VRSK
2018-03-26,102.48,102.65,100.69,102.52,605100,VRSK
2018-03-27,102.76,103.31,100.0,100.61,962600,VRSK
2018-03-28,100.85,101.73,100.3,100.71,448600,VRSK
2018-03-29,101.36,103.52,100.56,102.92,1275400,VRSK
2018-04-02,102.24,102.34,99.28,100.54,1006400,VRSK
2018-04-03,100.76,102.88,100.41,102.43,887000,VRSK
2018-04-04,101.28,103.71,101.28,103.44,848900,VRSK
2018-04-05,103.75,104.65,103.53,104.36,805300,VRSK
2018-04-06,103.49,104.53,102.31,103.05,1267300,VRSK
2018-04-09,103.48,104.96,103.24,103.68,964400,VRSK
2018-04-10,105.14,105.78,104.3,105.37,1019700,VRSK
2018-04-11,104.93,105.66,104.62,104.95,654500,VRSK
2018-04-12,105.31,105.82,104.31,105.24,537100,VRSK
2018-04-13,105.5,105.68,104.09,104.33,742300,VRSK
2018-04-16,105.25,106.02,104.84,105.8,483500,VRSK
2018-04-17,106.59,107.33,105.8,106.27,844400,VRSK
2018-04-18,106.63,107.0,105.18,106.87,655600,VRSK
2018-04-19,106.83,107.09,105.79,106.46,586900,VRSK
2018-04-20,106.7,107.45,105.91,106.27,571400,VRSK
2018-04-23,106.61,106.82,106.09,106.53,589500,VRSK
2018-04-24,107.2,107.21,105.49,105.87,1025800,VRSK
2018-04-25,105.71,105.9,104.91,105.52,642400,VRSK
2018-04-26,105.75,105.98,104.64,105.53,934000,VRSK
2018-04-27,105.59,106.39,105.45,106.01,727400,VRSK
2018-04-30,106.07,106.64,105.33,105.35,821600,VRSK
2018-05-01,105.37,106.34,104.49,105.58,1314600,VRSK
2018-05-02,104.41,104.41,98.83,98.96,3128200,VRSK
2018-05-03,97.06,99.95,94.22,99.57,2234500,VRSK
