Date,Open,High,Low,Close,Volume,Name
2017-07-03,56.12,56.22,55.64,55.72,637900,WEC
2017-07-05,55.73,55.73,55.21,55.46,1152100,WEC
2017-07-06,55.31,55.52,55.19,55.36,1395100,WEC
2017-07-07,55.39,55.76,55.28,55.54,1443000,WEC
2017-07-10,55.63,55.77,55.45,55.45,1814700,WEC
2017-07-11,55.55,55.57,55.13,55.47,1308700,WEC
2017-07-12,55.8,56.05,55.76,55.95,1682500,WEC
2017-07-13,55.8,55.89,55.42,55.46,1877500,WEC
2017-07-14,55.8,56.01,55.63,55.83,1039400,WEC
2017-07-17,55.83,56.17,55.63,56.16,1176900,WEC
2017-07-18,56.25,56.76,56.14,56.63,2388500,WEC
2017-07-19,56.66,57.23,56.48,57.17,2174200,WEC
2017-07-20,57.33,57.43,56.99,57.25,1491400,WEC
2017-07-21,57.21,57.79,57.13,57.78,1040900,WEC
2017-07-24,57.8,57.9,56.89,56.98,1357900,WEC
2017-07-25,56.99,57.07,56.57,56.69,993700,WEC
2017-07-26,56.56,57.19,56.44,57.09,1745300,WEC
2017-07-27,57.04,57.14,56.59,56.98,1308900,WEC
2017-07-28,56.92,57.1,56.7,56.86,1259400,WEC
2017-07-31,56.89,57.47,56.82,57.41,1348300,WEC
2017-08-01,57.41,57.75,57.28,57.54,1269800,WEC
2017-08-02,57.33,58.05,57.19,58.02,1374600,WEC
2017-08-03,57.96,58.51,57.89,58.45,1102800,WEC
2017-08-04,58.27,58.49,57.91,58.43,1129000,WEC
2017-08-07,58.38,58.65,58.23,58.62,829400,WEC
2017-08-08,58.49,59.04,58.44,59.02,986000,WEC
2017-08-09,59.14,59.17,58.69,58.78,1736700,WEC
2017-08-10,58.87,59.69,58.38,59.43,3496700,WEC
2017-08-11,59.34,59.34,58.33,58.68,1801400,WEC
2017-08-14,58.67,59.05,58.55,58.87,2412200,WEC
2017-08-15,58.61,59.31,58.61,59.26,1101000,WEC
2017-08-16,59.08,59.47,59.08,59.35,1304400,WEC
2017-08-17,59.38,59.52,58.84,58.88,1500500,WEC
2017-08-18,58.94,59.61,58.66,59.37,3423700,WEC
2017-08-21,59.45,59.63,59.18,59.51,1242700,WEC
2017-08-22,59.49,59.63,59.13,59.61,1172700,WEC
2017-08-23,59.55,59.85,59.35,59.79,1382100,WEC
2017-08-24,59.74,59.87,59.54,59.67,798600,WEC
2017-08-25,59.97,60.18,59.69,59.84,1259000,WEC
2017-08-28,59.99,60.12,59.78,60.09,933200,WEC
2017-08-29,60.2,60.4,59.96,59.98,1026600,WEC
2017-08-30,59.89,60.01,59.75,59.85,1204400,WEC
2017-08-31,59.89,60.13,59.79,59.95,1232700,WEC
2017-09-01,60.1,60.34,59.77,59.86,1418200,WEC
2017-09-05,59.96,60.29,59.77,60.26,1544100,WEC
2017-09-06,60.36,60.47,60.12,60.28,2707200,WEC
2017-09-07,60.43,60.82,60.15,60.77,2340100,WEC
