Date,Open,High,Low,Close,Volume,Name
2017-07-03,69.17,69.55,69.06,69.13,758200,WM
2017-07-05,69.51,69.56,69.13,69.43,1413900,WM
2017-07-06,69.14,69.3,68.92,69.12,1552200,WM
2017-07-07,69.27,69.88,69.22,69.69,1468300,WM
2017-07-10,69.67,69.97,69.47,69.68,1399300,WM
2017-07-11,69.68,69.89,69.45,69.57,1202900,WM
2017-07-12,69.9,70.2,69.85,69.86,1167300,WM
2017-07-13,69.86,69.9,69.44,69.69,1012700,WM
2017-07-14,69.78,69.98,69.71,69.95,773500,WM
2017-07-17,69.9,70.28,69.73,70.17,1162000,WM
2017-07-18,70.26,70.61,70.07,70.44,1383600,WM
2017-07-19,70.47,70.71,70.38,70.56,2227400,WM
2017-07-20,70.46,70.9,70.31,70.64,2184800,WM
2017-07-21,70.54,71.03,70.51,70.99,1385600,WM
2017-07-24,70.92,71.07,70.67,70.72,1516900,WM
2017-07-25,70.89,71.55,70.75,71.24,2202100,WM
2017-07-26,71.58,71.58,69.21,70.32,3670400,WM
2017-07-27,70.59,71.1,70.16,71.06,1882000,WM
2017-07-28,71.07,71.24,70.27,70.45,1494300,WM
2017-07-31,70.58,70.96,70.46,70.78,1362600,WM
2017-08-01,70.95,71.11,70.78,70.85,1485700,WM
2017-08-02,70.63,71.03,70.47,70.87,1311700,WM
2017-08-03,71.0,71.33,70.87,71.22,1889700,WM
2017-08-04,71.26,71.53,71.0,71.13,1519400,WM
2017-08-07,71.13,71.28,70.89,71.01,868200,WM
2017-08-08,70.89,71.15,70.8,70.96,1325300,WM
2017-08-09,70.87,71.07,70.76,70.86,1454600,WM
2017-08-10,70.7,71.03,70.41,70.46,1628100,WM
2017-08-11,70.6,70.85,70.27,70.27,958400,WM
2017-08-14,70.76,71.27,70.72,71.16,1091500,WM
2017-08-15,71.16,71.46,71.08,71.3,1161800,WM
2017-08-16,71.44,71.82,71.33,71.58,1663700,WM
2017-08-17,71.58,71.89,71.1,71.14,1476700,WM
2017-08-18,71.04,71.26,70.83,70.87,1555100,WM
2017-08-21,70.91,71.47,70.9,71.15,1819900,WM
2017-08-22,71.32,71.77,71.32,71.77,1526400,WM
2017-08-23,71.47,71.73,71.4,71.61,1067300,WM
2017-08-24,71.74,71.82,71.2,71.25,864400,WM
2017-08-25,71.53,71.88,71.47,71.48,972500,WM
2017-08-28,71.59,71.92,71.37,71.83,1986100,WM
2017-08-29,71.69,72.38,71.58,72.29,1407500,WM
2017-08-30,72.26,72.49,71.93,72.48,1847300,WM
2017-08-31,72.55,72.69,72.29,72.63,2115500,WM
2017-09-01,72.75,73.01,72.65,72.7,1782400,WM
2017-09-05,72.69,72.7,71.42,71.52,2792100,WM
2017-09-06,71.61,71.85,71.54,71.7,1857200,WM
2017-09-07,71.93,72.09,71.72,72.06,1836000,WM
2017-09-08,71.97,73.17,71.76,73.04,2240600,WM
2017-09-11,73.5,73.7,73.2,73.61,2340800,WM
2017-09-12,73.49,74.24,73.4,74.18,1470000,WM
2017-09-13,74.17,74.25,73.59,73.7,1697300,WM
2017-09-14,73.63,73.88,73.52,73.73,1630300,WM
2017-09-15,73.7,73.92,73.26,73.88,2335800,WM
2017-09-18,73.97,74.21,73.85,74.05,1233600,WM
2017-09-19,74.08,74.19,73.8,74.12,1137900,WM
2017-09-20,74.23,74.55,74.13,74.25,1625700,WM
2017-09-21,74.33,74.41,73.67,74.14,1737900,WM
2017-09-22,74.1,74.4,74.06,74.07,1003500,WM
2017-09-25,74.29,74.45,74.11,74.45,1463600,WM
2017-09-26,74.46,74.63,74.26,74.46,1266200,WM
2017-09-27,74.48,74.65,74.06,74.18,1817100,WM
2017-09-28,73.97,74.32,73.68,74.27,2376800,WM
2017-09-29,74.22,74.38,73.93,74.13,1917400,WM
2017-10-02,74.35,74.61,74.16,74.61,1775500,WM
2017-10-03,74.6,75.09,74.29,75.09,1922200,WM
2017-10-04,73.76,73.87,71.85,72.3,5727700,WM
2017-10-05,72.23,72.84,72.11,72.62,2500700,WM
2017-10-06,72.37,72.5,71.95,72.25,2530600,WM
2017-10-09,72.4,72.82,72.35,72.73,1124000,WM
2017-10-10,72.99,73.1,72.58,72.68,1870400,WM
2017-10-11,72.92,73.21,72.74,73.01,2337400,WM
2017-10-12,72.93,73.13,72.8,72.85,2592300,WM
2017-10-13,73.09,73.4,72.86,72.95,2086800,WM
2017-10-16,72.93,73.12,72.56,72.64,1549000,WM
2017-10-17,72.55,72.94,72.5,72.78,1793500,WM
2017-10-18,72.93,73.07,72.79,72.87,1444500,WM
2017-10-19,72.79,73.39,72.78,73.28,1285900,WM
2017-10-20,73.55,73.76,73.45,73.62,1357500,WM
2017-10-23,73.18,73.82,73.06,73.61,1716500,WM
2017-10-24,73.83,74.02,73.73,73.83,1320500,WM
2017-10-25,73.81,73.81,73.29,73.41,1849800,WM
2017-10-26,74.43,77.13,73.88,77.01,3795100,WM
2017-10-27,77.35,78.33,77.07,77.96,2767400,WM
2017-10-30,77.96,78.49,77.28,77.54,2005700,WM
2017-10-31,77.43,77.93,77.3,77.83,2000500,WM
2017-11-01,77.86,78.09,76.59,76.81,2754700,WM
2017-11-02,76.96,77.7,76.96,77.33,2629500,WM
2017-11-03,77.54,78.26,77.38,77.38,2001000,WM
2017-11-06,77.32,77.39,76.95,76.95,1313300,WM
