Date,Open,High,Low,Close,Volume,Name
2020-04-07 09:20:00,82.21,82.21,82.21,82.21,0,AJG
2020-04-07 09:30:00,84.81,85.56,83.66,83.67,29787,AJG
2020-04-07 09:35:00,83.41,83.93,82.84,82.9,4025,AJG
2020-04-07 09:40:00,82.84,83.8,82.84,83.77,13395,AJG
2020-04-07 09:45:00,83.98,83.98,83.29,83.57,5952,AJG
2020-04-07 09:50:00,83.72,84.61,83.68,84.32,11094,AJG
2020-04-07 09:55:00,84.65,84.75,83.79,84.02,18139,AJG
2020-04-07 10:00:00,84.35,85.65,84.3,84.3,9448,AJG
2020-04-07 10:05:00,84.29,84.82,83.88,83.88,11287,AJG
2020-04-07 10:10:00,83.79,84.86,83.39,83.39,12258,AJG
2020-04-07 10:15:00,83.54,83.96,83.29,83.77,15538,AJG
2020-04-07 10:20:00,83.77,84.01,83.41,83.87,24215,AJG
2020-04-07 10:25:00,83.84,84.24,83.77,83.97,15828,AJG
2020-04-07 10:30:00,83.77,84.63,83.77,84.53,19776,AJG
2020-04-07 10:35:00,84.6,84.93,84.5,84.74,14934,AJG
2020-04-07 10:40:00,84.72,84.88,84.52,84.87,19954,AJG
2020-04-07 10:45:00,84.94,85.26,84.27,84.27,27085,AJG
2020-04-07 10:50:00,84.34,84.94,84.2,84.94,42668,AJG
2020-04-07 10:55:00,84.9,85.5,84.9,85.31,14558,AJG
2020-04-07 11:00:00,85.31,85.49,84.98,85.49,17700,AJG
2020-04-07 11:05:00,85.56,86.1,85.43,86.0,27221,AJG
2020-04-07 11:10:00,86.07,86.25,86.0,86.24,26052,AJG
2020-04-07 11:15:00,86.36,86.94,86.17,86.18,20024,AJG
2020-04-07 11:20:00,86.17,86.2,85.57,85.71,17916,AJG
2020-04-07 11:25:00,85.72,86.53,85.53,86.3,17433,AJG
2020-04-07 11:30:00,86.12,86.48,86.11,86.14,17652,AJG
2020-04-07 11:35:00,86.23,86.43,86.09,86.38,16220,AJG
2020-04-07 11:40:00,86.46,86.83,86.4,86.71,14366,AJG
2020-04-07 11:45:00,86.74,86.98,86.41,86.41,15477,AJG
2020-04-07 11:50:00,86.46,86.67,86.19,86.5,16643,AJG
2020-04-07 11:55:00,86.35,86.44,86.01,86.37,10061,AJG
2020-04-07 12:00:00,86.61,86.65,86.27,86.32,10431,AJG
2020-04-07 12:05:00,86.5,86.83,86.46,86.74,13597,AJG
2020-04-07 12:10:00,86.73,86.73,86.47,86.47,9250,AJG
2020-04-07 12:15:00,86.65,86.78,86.5,86.54,10003,AJG
2020-04-07 12:20:00,86.54,86.75,86.29,86.64,17174,AJG
2020-04-07 12:25:00,86.58,86.71,86.36,86.4,14074,AJG
2020-04-07 12:30:00,86.49,86.52,85.96,86.11,13248,AJG
2020-04-07 12:35:00,85.99,86.18,85.89,85.89,10328,AJG
2020-04-07 12:40:00,86.05,86.11,85.74,86.11,33870,AJG
2020-04-07 12:45:00,86.1,86.4,86.03,86.4,9068,AJG
2020-04-07 12:50:00,86.3,86.39,86.0,86.09,14715,AJG
2020-04-07 12:55:00,86.08,86.2,85.97,86.05,12453,AJG
2020-04-07 13:00:00,86.12,86.21,85.91,85.91,8502,AJG
2020-04-07 13:05:00,85.86,85.98,85.54,85.58,8439,AJG
2020-04-07 13:10:00,85.67,85.84,85.59,85.78,13355,AJG
2020-04-07 13:15:00,85.74,85.74,85.1,85.23,21242,AJG
2020-04-07 13:20:00,85.21,85.29,84.85,85.13,11125,AJG
2020-04-07 13:25:00,85.07,85.23,84.86,85.1,10749,AJG
2020-04-07 13:30:00,85.17,85.27,84.84,85.12,10372,AJG
2020-04-07 13:35:00,85.11,85.55,85.11,85.32,20191,AJG
2020-04-07 13:40:00,85.28,85.48,85.22,85.27,8460,AJG
2020-04-07 13:45:00,85.24,85.65,85.24,85.41,22216,AJG
2020-04-07 13:50:00,85.46,85.65,85.25,85.64,25276,AJG
2020-04-07 13:55:00,85.62,85.7,85.49,85.56,14000,AJG
2020-04-07 14:00:00,85.61,85.61,85.17,85.24,8341,AJG
2020-04-07 14:05:00,85.1,85.12,84.81,84.98,22357,AJG
2020-04-07 14:10:00,85.07,85.35,85.05,85.05,10564,AJG
2020-04-07 14:15:00,85.03,85.05,84.54,84.54,13941,AJG
2020-04-07 14:20:00,84.55,85.24,84.54,85.24,11704,AJG
2020-04-07 14:25:00,85.24,85.29,84.9,84.9,17529,AJG
2020-04-07 14:30:00,84.85,85.26,84.85,84.98,14433,AJG
2020-04-07 14:35:00,84.91,84.91,84.52,84.54,8016,AJG
2020-04-07 14:40:00,84.6,84.7,84.48,84.59,19169,AJG
2020-04-07 14:45:00,84.68,85.02,84.28,84.28,41552,AJG
2020-04-07 14:50:00,84.38,84.38,83.65,83.69,11267,AJG
2020-04-07 14:55:00,83.68,83.97,83.48,83.73,12364,AJG
2020-04-07 15:00:00,83.94,84.21,83.88,84.1,15820,AJG
2020-04-07 15:05:00,84.17,84.33,83.8,83.88,16733,AJG
2020-04-07 15:10:00,84.08,84.27,83.88,84.12,11926,AJG
2020-04-07 15:15:00,84.12,84.2,83.61,83.61,31006,AJG
2020-04-07 15:20:00,83.64,83.7,83.02,83.02,19294,AJG
2020-04-07 15:25:00,83.16,83.58,82.94,82.94,19100,AJG
2020-04-07 15:30:00,82.99,83.73,82.83,83.56,35329,AJG
2020-04-07 15:35:00,83.57,83.86,83.32,83.71,37187,AJG
2020-04-07 15:40:00,83.6,83.8,83.38,83.52,36391,AJG
2020-04-07 15:45:00,83.55,83.98,83.48,83.76,44937,AJG
2020-04-07 15:50:00,83.74,83.9,81.83,82.62,73955,AJG
2020-04-07 15:55:00,82.62,83.13,82.18,82.28,144247,AJG
2020-04-07 16:00:00,82.29,82.29,82.28,82.28,0,AJG
2020-04-07 16:15:00,82.28,82.28,82.28,82.28,0,AJG
2020-04-07 16:35:00,82.28,82.28,82.28,82.28,0,AJG
2020-04-08 09:30:00,82.37,82.9,81.76,82.1,36321,AJG
2020-04-08 09:35:00,82.09,83.13,81.94,82.76,26079,AJG
2020-04-08 09:40:00,83.19,83.19,82.24,82.44,8498,AJG
2020-04-08 09:45:00,82.63,82.84,82.3,82.38,9077,AJG
2020-04-08 09:50:00,82.45,83.15,82.44,82.44,9585,AJG
2020-04-08 09:55:00,82.65,82.65,82.13,82.48,8345,AJG
2020-04-08 10:00:00,82.29,82.51,82.0,82.08,9948,AJG
2020-04-08 10:05:00,82.08,82.28,81.99,82.27,14127,AJG
2020-04-08 10:10:00,82.33,82.5,82.2,82.5,2577,AJG
