Date,Open,High,Low,Close,Volume,Name
2020-04-07 09:30:00,79.07,79.49,77.76,77.76,0,APH
2020-04-07 09:35:00,77.87,78.36,77.46,77.91,46445,APH
2020-04-07 09:40:00,77.71,78.29,77.71,78.13,34900,APH
2020-04-07 09:45:00,78.08,78.59,78.06,78.46,18774,APH
2020-04-07 09:50:00,78.54,78.71,78.18,78.6,27626,APH
2020-04-07 09:55:00,78.62,78.72,78.26,78.43,32763,APH
2020-04-07 10:00:00,78.48,78.61,77.99,78.14,30031,APH
2020-04-07 10:05:00,78.19,78.74,78.19,78.5,62635,APH
2020-04-07 10:10:00,78.51,78.61,78.03,78.17,33547,APH
2020-04-07 10:15:00,78.14,78.4,77.81,78.31,21280,APH
2020-04-07 10:20:00,78.33,78.34,77.72,78.0,20926,APH
2020-04-07 10:25:00,77.99,78.19,77.86,77.92,14517,APH
2020-04-07 10:30:00,77.99,78.28,77.83,78.19,17645,APH
2020-04-07 10:35:00,78.19,78.21,77.97,78.13,26583,APH
2020-04-07 10:40:00,78.08,78.21,77.83,77.85,14508,APH
2020-04-07 10:45:00,77.75,77.97,77.21,77.31,13970,APH
2020-04-07 10:50:00,77.31,77.57,77.13,77.18,12161,APH
2020-04-07 10:55:00,77.3,77.77,77.29,77.46,9866,APH
2020-04-07 11:00:00,77.46,77.55,77.22,77.4,12587,APH
2020-04-07 11:05:00,77.44,77.71,77.41,77.66,25677,APH
2020-04-07 11:10:00,77.74,77.88,77.5,77.79,15522,APH
2020-04-07 11:15:00,77.79,78.0,77.71,77.77,12331,APH
2020-04-07 11:20:00,77.7,77.79,77.46,77.48,13012,APH
2020-04-07 11:25:00,77.52,77.69,77.36,77.69,12762,APH
2020-04-07 11:30:00,77.73,77.99,77.71,77.89,10126,APH
2020-04-07 11:35:00,77.88,78.1,77.83,78.08,11140,APH
2020-04-07 11:40:00,78.11,78.24,78.03,78.1,12981,APH
2020-04-07 11:45:00,78.12,78.27,78.01,78.08,7727,APH
2020-04-07 11:50:00,78.12,78.36,78.07,78.36,19361,APH
2020-04-07 11:55:00,78.32,78.44,78.13,78.38,32519,APH
2020-04-07 12:00:00,78.4,78.74,78.37,78.74,13744,APH
2020-04-07 12:05:00,78.74,79.08,78.74,79.04,26761,APH
2020-04-07 12:10:00,79.04,79.26,78.9,79.26,45442,APH
2020-04-07 12:15:00,79.31,79.6,79.27,79.58,29638,APH
2020-04-07 12:20:00,79.65,79.72,79.37,79.37,28276,APH
2020-04-07 12:25:00,79.39,79.42,78.93,79.16,17386,APH
2020-04-07 12:30:00,79.21,79.22,78.8,78.91,10707,APH
2020-04-07 12:35:00,78.96,79.22,78.89,79.05,11998,APH
2020-04-07 12:40:00,79.02,79.39,78.96,79.39,16977,APH
2020-04-07 12:45:00,79.37,79.46,79.16,79.43,16280,APH
2020-04-07 12:50:00,79.43,79.51,79.15,79.18,9684,APH
2020-04-07 12:55:00,79.08,79.34,79.04,79.07,9551,APH
2020-04-07 13:00:00,79.15,79.21,79.03,79.06,10453,APH
2020-04-07 13:05:00,79.06,79.18,78.82,78.82,10890,APH
2020-04-07 13:10:00,78.82,78.93,78.56,78.93,19578,APH
2020-04-07 13:15:00,78.98,78.98,78.72,78.75,9548,APH
2020-04-07 13:20:00,78.78,78.79,78.37,78.4,23511,APH
2020-04-07 13:25:00,78.4,78.5,78.28,78.5,21194,APH
2020-04-07 13:30:00,78.53,78.68,78.38,78.68,8718,APH
2020-04-07 13:35:00,78.67,78.81,78.5,78.63,13629,APH
2020-04-07 13:40:00,78.67,78.79,78.35,78.39,21694,APH
2020-04-07 13:45:00,78.39,78.45,78.07,78.13,18155,APH
2020-04-07 13:50:00,78.07,78.12,77.85,78.04,11230,APH
2020-04-07 13:55:00,78.1,78.23,78.01,78.17,11314,APH
2020-04-07 14:00:00,78.14,78.2,77.94,78.0,12661,APH
2020-04-07 14:05:00,77.99,78.03,77.81,78.0,9416,APH
2020-04-07 14:10:00,78.0,78.07,77.82,77.86,15054,APH
2020-04-07 14:15:00,77.88,77.95,77.61,77.67,12741,APH
2020-04-07 14:20:00,77.67,77.91,77.64,77.91,16402,APH
2020-04-07 14:25:00,77.9,78.06,77.78,77.86,18080,APH
2020-04-07 14:30:00,77.78,77.92,77.69,77.86,12845,APH
2020-04-07 14:35:00,77.83,77.9,77.69,77.69,10499,APH
2020-04-07 14:40:00,77.72,77.72,77.31,77.31,14581,APH
2020-04-07 14:45:00,77.31,77.52,77.3,77.38,28508,APH
2020-04-07 14:50:00,77.33,77.46,77.18,77.2,9277,APH
2020-04-07 14:55:00,77.21,77.22,76.79,76.79,21262,APH
2020-04-07 15:00:00,76.78,77.25,76.78,77.22,25579,APH
2020-04-07 15:05:00,77.25,77.38,76.99,77.35,18349,APH
2020-04-07 15:10:00,77.32,77.67,77.31,77.51,23721,APH
2020-04-07 15:15:00,77.55,77.59,76.86,76.89,28493,APH
2020-04-07 15:20:00,76.93,77.04,76.51,76.52,23942,APH
2020-04-07 15:25:00,76.52,77.18,76.52,76.81,25169,APH
2020-04-07 15:30:00,76.86,77.1,76.64,77.03,27265,APH
2020-04-07 15:35:00,77.01,77.21,76.89,77.0,77323,APH
2020-04-07 15:40:00,77.0,77.15,76.92,76.99,62313,APH
2020-04-07 15:45:00,77.02,77.15,76.97,77.1,82660,APH
2020-04-07 15:50:00,77.1,77.13,75.67,75.8,141888,APH
2020-04-07 15:55:00,75.73,76.08,75.54,75.65,176442,APH
2020-04-07 16:00:00,75.71,75.71,75.71,75.71,0,APH
2020-04-07 16:15:00,75.71,75.71,75.71,75.71,0,APH
2020-04-07 16:20:00,75.71,75.71,75.71,75.71,0,APH
2020-04-07 16:25:00,75.71,75.71,75.71,75.71,0,APH
2020-04-08 09:30:00,76.01,77.12,76.01,77.12,31712,APH
2020-04-08 09:35:00,77.17,77.33,76.9,77.32,28405,APH
2020-04-08 09:40:00,77.44,77.57,77.01,77.01,14016,APH
2020-04-08 09:45:00,77.16,77.23,76.65,76.68,8329,APH
2020-04-08 09:50:00,76.72,77.17,76.66,77.06,48535,APH
2020-04-08 09:55:00,76.92,77.05,76.67,76.77,45815,APH
2020-04-08 10:00:00,76.84,76.96,76.62,76.62,22489,APH
2020-04-08 10:05:00,76.69,76.86,76.59,76.81,9254,APH
2020-04-08 10:10:00,76.87,77.17,76.86,77.17,9796,APH
2020-04-08 10:15:00,77.22,77.28,77.06,77.14,25946,APH
2020-04-08 10:20:00,77.11,77.12,76.85,76.98,15490,APH
2020-04-08 10:25:00,76.98,77.2,76.98,77.2,7692,APH
2020-04-08 10:30:00,77.35,77.51,77.26,77.46,8381,APH
2020-04-08 10:35:00,77.48,77.56,77.37,77.45,11498,APH
2020-04-08 10:40:00,77.57,77.57,76.96,77.03,11518,APH
2020-04-08 10:45:00,77.1,77.25,76.98,77.24,16275,APH
2020-04-08 10:50:00,77.27,77.35,77.18,77.26,22419,APH
2020-04-08 10:55:00,77.18,77.33,77.14,77.3,4881,APH
2020-04-08 11:00:00,77.3,77.47,77.27,77.41,11420,APH
2020-04-08 11:05:00,77.48,77.5,77.29,77.5,8848,APH
2020-04-08 11:10:00,77.53,77.77,77.52,77.72,16350,APH
2020-04-08 11:15:00,77.71,77.72,77.5,77.51,16344,APH
2020-04-08 11:20:00,77.69,77.76,77.45,77.57,22036,APH
2020-04-08 11:25:00,77.68,77.88,77.66,77.88,6131,APH
2020-04-08 11:30:00,77.97,78.03,77.82,78.03,8964,APH
2020-04-08 11:35:00,78.01,78.16,77.96,78.14,5158,APH
2020-04-08 11:40:00,78.28,78.29,78.14,78.22,45163,APH
2020-04-08 11:45:00,78.24,78.4,78.24,78.31,32515,APH
2020-04-08 11:50:00,78.21,78.22,78.04,78.04,5010,APH
