Date,Open,High,Low,Close,Volume,Name
2020-04-07 07:45:00,157.0,157.0,157.0,157.0,0,AVB
2020-04-07 09:30:00,153.32,153.32,150.0,151.68,27424,AVB
2020-04-07 09:35:00,152.23,152.69,151.46,152.26,22974,AVB
2020-04-07 09:40:00,152.21,153.8,152.19,153.8,7757,AVB
2020-04-07 09:45:00,154.38,154.38,152.75,153.02,8537,AVB
2020-04-07 09:50:00,153.08,153.53,152.8,153.05,9194,AVB
2020-04-07 09:55:00,153.02,153.02,151.88,151.97,6586,AVB
2020-04-07 10:00:00,152.35,152.71,151.79,151.85,9126,AVB
2020-04-07 10:05:00,152.06,152.12,151.07,151.24,7826,AVB
2020-04-07 10:10:00,151.2,151.69,150.45,150.55,3768,AVB
2020-04-07 10:15:00,150.04,150.38,149.44,150.21,5249,AVB
2020-04-07 10:20:00,150.52,150.69,149.89,150.35,3958,AVB
2020-04-07 10:25:00,150.34,151.09,150.12,150.96,3492,AVB
2020-04-07 10:30:00,150.93,151.33,150.68,151.33,2286,AVB
2020-04-07 10:35:00,151.15,151.41,150.66,150.94,5060,AVB
2020-04-07 10:40:00,150.76,150.95,150.29,150.55,4546,AVB
2020-04-07 10:45:00,150.45,150.62,149.29,149.29,5537,AVB
2020-04-07 10:50:00,149.18,149.18,147.5,147.55,8435,AVB
2020-04-07 10:55:00,147.55,148.5,147.51,148.5,10229,AVB
2020-04-07 11:00:00,148.17,148.68,147.82,148.63,13487,AVB
2020-04-07 11:05:00,149.06,150.26,149.06,150.01,4340,AVB
2020-04-07 11:10:00,150.01,150.38,149.85,150.04,3300,AVB
2020-04-07 11:15:00,150.17,150.36,149.62,149.65,7677,AVB
2020-04-07 11:20:00,149.39,150.25,149.3,150.21,16644,AVB
2020-04-07 11:25:00,149.97,150.48,149.56,150.48,8323,AVB
2020-04-07 11:30:00,150.5,150.91,150.47,150.79,4536,AVB
2020-04-07 11:35:00,150.51,150.98,150.51,150.98,2500,AVB
2020-04-07 11:40:00,150.87,151.68,150.67,151.68,5378,AVB
2020-04-07 11:45:00,151.76,152.02,151.46,152.02,8471,AVB
2020-04-07 11:50:00,151.99,152.06,151.74,152.04,7949,AVB
2020-04-07 11:55:00,151.78,152.12,150.57,151.21,11851,AVB
2020-04-07 12:00:00,151.39,151.39,151.0,151.0,4961,AVB
2020-04-07 12:05:00,151.15,151.52,151.15,151.46,4470,AVB
2020-04-07 12:10:00,151.45,151.65,151.24,151.65,14489,AVB
