Date,Open,High,Low,Close,Volume,Name
2020-04-07 09:30:00,86.74,87.0,86.0,86.82,0,BAX
2020-04-07 09:35:00,86.83,86.84,85.9,86.07,45950,BAX
2020-04-07 09:40:00,86.0,86.37,85.97,86.01,20585,BAX
2020-04-07 09:45:00,85.98,86.24,85.75,85.83,16580,BAX
2020-04-07 09:50:00,85.76,86.03,85.57,86.03,31887,BAX
2020-04-07 09:55:00,86.04,86.09,85.26,85.26,19213,BAX
2020-04-07 10:00:00,85.21,85.43,84.87,85.08,26803,BAX
2020-04-07 10:05:00,85.13,85.18,84.89,85.0,32923,BAX
2020-04-07 10:10:00,85.06,85.11,84.85,84.95,42382,BAX
2020-04-07 10:15:00,84.9,84.94,84.67,84.93,36379,BAX
2020-04-07 10:20:00,84.9,84.95,84.59,84.67,17340,BAX
2020-04-07 10:25:00,84.62,84.93,84.61,84.66,16152,BAX
2020-04-07 10:30:00,84.74,84.96,84.58,84.85,26890,BAX
2020-04-07 10:35:00,84.78,84.94,84.64,84.79,20735,BAX
2020-04-07 10:40:00,84.81,85.1,84.75,85.09,42202,BAX
2020-04-07 10:45:00,85.1,85.33,84.82,84.95,28498,BAX
2020-04-07 10:50:00,84.95,85.17,84.9,85.05,20251,BAX
2020-04-07 10:55:00,85.06,85.17,84.91,85.05,25614,BAX
2020-04-07 11:00:00,85.09,85.1,84.76,84.99,28456,BAX
2020-04-07 11:05:00,84.93,85.23,84.85,85.19,29489,BAX
2020-04-07 11:10:00,85.22,85.27,85.05,85.21,19313,BAX
2020-04-07 11:15:00,85.22,85.5,85.22,85.37,22112,BAX
2020-04-07 11:20:00,85.4,85.54,85.31,85.49,25431,BAX
2020-04-07 11:25:00,85.46,85.64,85.22,85.61,21893,BAX
2020-04-07 11:30:00,85.62,85.79,85.6,85.79,13324,BAX
2020-04-07 11:35:00,85.77,85.82,85.6,85.82,29841,BAX
2020-04-07 11:40:00,85.84,86.0,85.74,85.86,20314,BAX
2020-04-07 11:45:00,85.88,85.89,85.52,85.52,15948,BAX
2020-04-07 11:50:00,85.55,85.64,85.41,85.54,27516,BAX
2020-04-07 11:55:00,85.54,85.68,85.41,85.61,50943,BAX
2020-04-07 12:00:00,85.68,85.69,85.4,85.51,43207,BAX
2020-04-07 12:05:00,85.56,85.95,85.52,85.95,18880,BAX
2020-04-07 12:10:00,85.92,85.97,85.74,85.74,8119,BAX
2020-04-07 12:15:00,85.82,85.95,85.8,85.83,15481,BAX
2020-04-07 12:20:00,85.9,85.93,85.49,85.52,20858,BAX
2020-04-07 12:25:00,85.5,85.56,85.38,85.55,16095,BAX
2020-04-07 12:30:00,85.5,85.51,85.29,85.39,15144,BAX
2020-04-07 12:35:00,85.39,85.43,85.15,85.15,15703,BAX
2020-04-07 12:40:00,85.24,85.27,85.02,85.13,21107,BAX
2020-04-07 12:45:00,85.08,85.33,85.08,85.28,16047,BAX
2020-04-07 12:50:00,85.31,85.37,85.12,85.17,13883,BAX
2020-04-07 12:55:00,85.12,85.33,85.12,85.15,18360,BAX
2020-04-07 13:00:00,85.15,85.31,85.05,85.13,33043,BAX
2020-04-07 13:05:00,85.11,85.15,84.91,84.94,13894,BAX
2020-04-07 13:10:00,84.96,85.24,84.88,85.19,15633,BAX
2020-04-07 13:15:00,85.14,85.14,84.95,85.02,13083,BAX
2020-04-07 13:20:00,85.06,85.25,85.03,85.21,14208,BAX
2020-04-07 13:25:00,85.18,85.25,85.11,85.17,17965,BAX
2020-04-07 13:30:00,85.23,85.25,85.02,85.08,9515,BAX
2020-04-07 13:35:00,85.07,85.19,84.86,84.86,34851,BAX
2020-04-07 13:40:00,84.89,85.09,84.8,85.0,19977,BAX
2020-04-07 13:45:00,85.02,85.13,84.96,84.96,14476,BAX
2020-04-07 13:50:00,84.95,84.95,84.74,84.84,22987,BAX
2020-04-07 13:55:00,84.8,84.8,84.58,84.65,16768,BAX
2020-04-07 14:00:00,84.67,84.68,84.54,84.63,16398,BAX
2020-04-07 14:05:00,84.58,84.58,84.29,84.4,16066,BAX
2020-04-07 14:10:00,84.4,84.47,84.36,84.4,12688,BAX
2020-04-07 14:15:00,84.4,84.42,84.15,84.15,21792,BAX
2020-04-07 14:20:00,84.18,84.42,84.13,84.36,16665,BAX
2020-04-07 14:25:00,84.37,84.51,84.26,84.3,14294,BAX
2020-04-07 14:30:00,84.3,84.39,84.04,84.05,18900,BAX
2020-04-07 14:35:00,84.01,84.01,83.7,83.72,14501,BAX
2020-04-07 14:40:00,83.68,83.81,83.56,83.56,16247,BAX
2020-04-07 14:45:00,83.64,83.74,83.38,83.38,27191,BAX
2020-04-07 14:50:00,83.39,83.51,83.08,83.14,28444,BAX
2020-04-07 14:55:00,83.14,83.21,82.93,83.12,43933,BAX
2020-04-07 15:00:00,83.11,83.36,83.08,83.31,31874,BAX
2020-04-07 15:05:00,83.32,83.62,83.24,83.62,27325,BAX
2020-04-07 15:10:00,83.56,83.78,83.51,83.72,16186,BAX
2020-04-07 15:15:00,83.71,83.75,83.29,83.29,34305,BAX
2020-04-07 15:20:00,83.28,83.41,82.99,83.01,31547,BAX
2020-04-07 15:25:00,82.98,83.44,82.98,83.24,34122,BAX
2020-04-07 15:30:00,83.32,83.38,82.89,83.04,71710,BAX
2020-04-07 15:35:00,83.03,83.59,83.02,83.57,37770,BAX
2020-04-07 15:40:00,83.55,83.64,83.37,83.45,38381,BAX
2020-04-07 15:45:00,83.46,83.98,83.42,83.95,60564,BAX
2020-04-07 15:50:00,83.66,83.96,82.7,82.91,122971,BAX
2020-04-07 15:55:00,82.91,83.09,82.48,82.63,186359,BAX
2020-04-07 16:00:00,82.57,82.57,82.51,82.51,0,BAX
2020-04-07 16:15:00,82.51,82.51,82.51,82.51,0,BAX
2020-04-07 16:20:00,82.51,82.51,82.51,82.51,0,BAX
2020-04-07 16:25:00,82.51,84.25,82.51,84.25,0,BAX
2020-04-08 09:30:00,83.36,83.41,82.37,82.68,34141,BAX
2020-04-08 09:35:00,82.79,83.01,82.34,82.8,23058,BAX
2020-04-08 09:40:00,82.82,82.97,82.16,82.31,14254,BAX
2020-04-08 09:45:00,82.35,82.63,82.17,82.28,28325,BAX
2020-04-08 09:50:00,82.34,82.66,82.23,82.54,30454,BAX
2020-04-08 09:55:00,82.56,82.6,82.27,82.46,21775,BAX
2020-04-08 10:00:00,82.5,82.67,82.36,82.43,29812,BAX
2020-04-08 10:05:00,82.43,82.46,82.15,82.28,16688,BAX
2020-04-08 10:10:00,82.31,82.76,82.31,82.73,34162,BAX
2020-04-08 10:15:00,82.71,82.85,82.63,82.85,22230,BAX
2020-04-08 10:20:00,82.85,82.85,82.63,82.76,31003,BAX
2020-04-08 10:25:00,82.75,83.01,82.74,82.82,16234,BAX
2020-04-08 10:30:00,82.89,83.02,82.81,82.98,11992,BAX
2020-04-08 10:35:00,83.01,83.01,82.79,82.87,14691,BAX
2020-04-08 10:40:00,82.88,83.01,82.46,82.57,24474,BAX
2020-04-08 10:45:00,82.6,83.06,82.6,83.04,11549,BAX
2020-04-08 10:50:00,83.1,83.28,83.09,83.09,11135,BAX
2020-04-08 10:55:00,83.08,83.25,82.99,83.19,8496,BAX
2020-04-08 11:00:00,83.21,83.34,83.12,83.14,13941,BAX
2020-04-08 11:05:00,83.16,83.23,83.05,83.06,9029,BAX
2020-04-08 11:10:00,83.07,83.46,82.94,83.42,31333,BAX
2020-04-08 11:15:00,83.44,83.59,83.4,83.53,11019,BAX
2020-04-08 11:20:00,83.55,83.75,83.55,83.62,12028,BAX
2020-04-08 11:25:00,83.64,83.76,83.43,83.45,17288,BAX
2020-04-08 11:30:00,83.51,83.62,83.49,83.6,13309,BAX
2020-04-08 11:35:00,83.61,83.76,83.58,83.73,12110,BAX
2020-04-08 11:40:00,83.71,83.86,83.66,83.8,7693,BAX
2020-04-08 11:45:00,83.79,83.91,83.72,83.77,22023,BAX
2020-04-08 11:50:00,83.77,83.91,83.73,83.87,11413,BAX
2020-04-08 11:55:00,83.89,83.99,83.81,83.89,24033,BAX
2020-04-08 12:00:00,83.91,83.95,83.58,83.7,24472,BAX
2020-04-08 12:05:00,83.67,83.8,83.64,83.7,8418,BAX
2020-04-08 12:10:00,83.69,83.72,83.6,83.72,14569,BAX
2020-04-08 12:15:00,83.74,83.99,83.74,83.95,35299,BAX
2020-04-08 12:20:00,83.93,83.94,83.82,83.84,11232,BAX
2020-04-08 12:25:00,83.82,83.82,83.59,83.62,10558,BAX
2020-04-08 12:30:00,83.64,83.75,83.58,83.74,11910,BAX
2020-04-08 12:35:00,83.74,83.86,83.59,83.79,23922,BAX
2020-04-08 12:40:00,83.81,83.86,83.7,83.8,13146,BAX
2020-04-08 12:45:00,83.82,83.86,83.72,83.74,19676,BAX
2020-04-08 12:50:00,83.71,83.83,83.67,83.71,11918,BAX
2020-04-08 12:55:00,83.7,83.74,83.55,83.61,23523,BAX
2020-04-08 13:00:00,83.64,83.76,83.52,83.72,16375,BAX
2020-04-08 13:05:00,83.73,83.86,83.66,83.75,9887,BAX
2020-04-08 13:10:00,83.66,83.84,83.58,83.83,11532,BAX
2020-04-08 13:15:00,83.86,83.94,83.81,83.87,15418,BAX
2020-04-08 13:20:00,83.87,83.95,83.83,83.88,23457,BAX
2020-04-08 13:25:00,83.87,83.89,83.74,83.8,14781,BAX
2020-04-08 13:30:00,83.79,83.84,83.66,83.68,17443,BAX
2020-04-08 13:35:00,83.68,83.71,83.5,83.64,16870,BAX
2020-04-08 13:40:00,83.69,83.73,83.49,83.56,12872,BAX
2020-04-08 13:45:00,83.55,83.69,83.55,83.65,13911,BAX
2020-04-08 13:50:00,83.65,83.7,83.58,83.62,15539,BAX
2020-04-08 13:55:00,83.62,83.68,83.4,83.61,21855,BAX
2020-04-08 14:00:00,83.61,83.75,83.56,83.7,31828,BAX
2020-04-08 14:05:00,83.7,84.23,83.7,84.22,43013,BAX
2020-04-08 14:10:00,84.28,84.33,84.2,84.23,24212,BAX
2020-04-08 14:15:00,84.22,84.4,84.22,84.26,25734,BAX
2020-04-08 14:20:00,84.31,84.42,84.12,84.41,30446,BAX
2020-04-08 14:25:00,84.47,84.56,84.43,84.56,25194,BAX
2020-04-08 14:30:00,84.59,84.67,84.49,84.66,26104,BAX
2020-04-08 14:35:00,84.64,84.87,84.64,84.86,26521,BAX
2020-04-08 14:40:00,84.85,84.86,84.73,84.74,34745,BAX
2020-04-08 14:45:00,84.78,84.84,84.66,84.73,25582,BAX
2020-04-08 14:50:00,84.74,84.82,84.7,84.72,28471,BAX
2020-04-08 14:55:00,84.72,84.77,84.69,84.75,46115,BAX
2020-04-08 15:00:00,84.74,84.89,84.69,84.89,37193,BAX
2020-04-08 15:05:00,84.9,85.18,84.77,85.13,28870,BAX
2020-04-08 15:10:00,85.14,85.18,84.87,84.98,37362,BAX
2020-04-08 15:15:00,84.98,85.11,84.93,85.11,48756,BAX
