Date,Open,High,Low,Close,Volume,Name
2020-04-07 08:25:00,49.5,49.5,49.5,49.5,0,CAH
2020-04-07 09:30:00,50.47,50.77,50.26,50.29,54348,CAH
2020-04-07 09:35:00,50.16,50.46,50.04,50.07,31543,CAH
2020-04-07 09:40:00,50.06,50.66,50.06,50.56,39865,CAH
2020-04-07 09:45:00,50.57,50.59,50.12,50.2,30822,CAH
2020-04-07 09:50:00,50.13,50.62,50.11,50.57,40168,CAH
2020-04-07 09:55:00,50.53,50.65,50.24,50.41,19527,CAH
2020-04-07 10:00:00,50.35,50.42,49.81,49.82,28700,CAH
2020-04-07 10:05:00,49.84,50.1,49.84,49.88,25258,CAH
2020-04-07 10:10:00,49.91,50.16,49.74,49.97,26675,CAH
2020-04-07 10:15:00,49.9,50.03,49.71,50.03,27489,CAH
2020-04-07 10:20:00,49.95,50.03,49.49,49.65,19879,CAH
2020-04-07 10:25:00,49.59,49.63,49.43,49.45,13837,CAH
2020-04-07 10:30:00,49.47,49.89,49.45,49.85,16442,CAH
2020-04-07 10:35:00,49.82,49.83,49.64,49.64,17132,CAH
2020-04-07 10:40:00,49.67,49.87,49.59,49.8,11596,CAH
2020-04-07 10:45:00,49.79,49.94,49.77,49.9,31775,CAH
2020-04-07 10:50:00,49.9,50.0,49.85,49.96,28152,CAH
2020-04-07 10:55:00,49.96,50.21,49.94,49.97,86868,CAH
2020-04-07 11:00:00,49.98,50.01,49.67,49.83,18999,CAH
2020-04-07 11:05:00,49.8,49.98,49.77,49.98,13222,CAH
2020-04-07 11:10:00,50.0,50.0,49.86,49.99,38321,CAH
2020-04-07 11:15:00,49.94,50.08,49.91,50.0,26167,CAH
2020-04-07 11:20:00,49.98,50.0,49.85,49.9,35563,CAH
2020-04-07 11:25:00,49.96,50.07,49.83,49.97,19906,CAH
2020-04-07 11:30:00,49.98,50.01,49.86,49.93,15529,CAH
2020-04-07 11:35:00,49.94,50.02,49.9,50.02,17236,CAH
2020-04-07 11:40:00,49.95,49.99,49.84,49.88,17490,CAH
2020-04-07 11:45:00,49.85,50.03,49.77,49.94,44295,CAH
2020-04-07 11:50:00,49.93,49.93,49.73,49.78,9201,CAH
2020-04-07 11:55:00,49.74,49.75,49.51,49.59,18391,CAH
2020-04-07 12:00:00,49.64,49.81,49.64,49.81,11918,CAH
2020-04-07 12:05:00,49.82,50.06,49.82,50.04,24827,CAH
2020-04-07 12:10:00,50.04,50.04,49.88,49.91,12368,CAH
2020-04-07 12:15:00,49.95,50.2,49.95,50.06,28387,CAH
2020-04-07 12:20:00,50.1,50.15,49.98,49.98,12126,CAH
2020-04-07 12:25:00,50.0,50.1,49.88,50.1,8105,CAH
2020-04-07 12:30:00,50.09,50.19,49.81,49.84,23609,CAH
2020-04-07 12:35:00,49.86,49.97,49.78,49.89,10319,CAH
