Date,Open,High,Low,Close,Volume,Name
2020-04-07 09:20:00,94.89,94.89,94.89,94.89,0,CBOE
2020-04-07 09:30:00,97.34,97.34,96.33,96.33,10472,CBOE
2020-04-07 09:35:00,96.41,96.81,95.01,95.02,6561,CBOE
2020-04-07 09:40:00,95.01,95.2,93.71,93.71,10832,CBOE
2020-04-07 09:45:00,94.61,94.61,93.9,93.9,537,CBOE
2020-04-07 09:50:00,94.5,94.82,94.02,94.16,4848,CBOE
2020-04-07 09:55:00,94.46,94.5,94.02,94.03,4451,CBOE
2020-04-07 10:00:00,94.02,94.06,92.88,93.19,13218,CBOE
2020-04-07 10:05:00,92.98,94.11,92.88,93.96,19783,CBOE
2020-04-07 10:10:00,93.78,94.41,93.5,93.5,12292,CBOE
2020-04-07 10:15:00,93.43,93.66,93.15,93.4,3280,CBOE
2020-04-07 10:20:00,93.4,93.48,93.08,93.25,6223,CBOE
2020-04-07 10:25:00,93.42,93.97,93.17,93.93,6793,CBOE
2020-04-07 10:30:00,93.82,94.54,93.82,94.12,9346,CBOE
2020-04-07 10:35:00,93.96,94.47,93.95,94.0,9915,CBOE
2020-04-07 10:40:00,93.88,94.56,93.88,94.1,8133,CBOE
2020-04-07 10:45:00,93.93,94.15,93.91,94.0,4140,CBOE
2020-04-07 10:50:00,94.11,94.22,93.85,93.85,4481,CBOE
2020-04-07 10:55:00,93.92,94.44,93.78,94.14,9959,CBOE
2020-04-07 11:00:00,94.02,94.09,93.59,93.93,4376,CBOE
2020-04-07 11:05:00,93.94,94.29,93.83,94.29,5318,CBOE
2020-04-07 11:10:00,94.13,94.57,94.13,94.28,5492,CBOE
2020-04-07 11:15:00,94.45,94.63,94.21,94.47,10126,CBOE
2020-04-07 11:20:00,94.2,94.37,94.05,94.27,8891,CBOE
2020-04-07 11:25:00,94.27,94.32,94.04,94.06,17774,CBOE
2020-04-07 11:30:00,93.94,94.39,93.94,94.18,12182,CBOE
2020-04-07 11:35:00,94.25,94.44,94.05,94.2,23296,CBOE
2020-04-07 11:40:00,94.34,94.66,94.05,94.63,18972,CBOE
