Date,Open,High,Low,Close,Volume,Name
2020-04-07 09:20:00,77.41,77.41,77.41,77.41,0,CINF
2020-04-07 09:30:00,80.38,80.84,80.3,80.53,29707,CINF
2020-04-07 09:35:00,80.52,81.34,80.17,80.55,14332,CINF
2020-04-07 09:40:00,80.54,81.82,80.42,81.39,15719,CINF
2020-04-07 09:45:00,81.41,81.55,81.25,81.53,6767,CINF
2020-04-07 09:50:00,81.98,82.46,81.94,82.37,5973,CINF
2020-04-07 09:55:00,82.53,82.64,82.08,82.6,9140,CINF
2020-04-07 10:00:00,82.66,82.66,81.94,82.3,8138,CINF
2020-04-07 10:05:00,82.32,82.63,81.8,81.85,11576,CINF
2020-04-07 10:10:00,81.88,82.16,81.69,82.0,8261,CINF
2020-04-07 10:15:00,81.76,81.76,81.02,81.69,4415,CINF
2020-04-07 10:20:00,81.87,81.87,81.23,81.33,7797,CINF
2020-04-07 10:25:00,81.23,81.76,81.01,81.14,7312,CINF
2020-04-07 10:30:00,81.16,81.71,80.99,81.6,7748,CINF
2020-04-07 10:35:00,81.58,81.61,81.04,81.04,4904,CINF
2020-04-07 10:40:00,80.88,81.4,80.88,81.21,3969,CINF
2020-04-07 10:45:00,81.07,81.15,80.46,80.59,5061,CINF
2020-04-07 10:50:00,80.51,80.52,79.67,79.67,8658,CINF
2020-04-07 10:55:00,79.95,80.81,79.95,80.56,4896,CINF
2020-04-07 11:00:00,80.52,80.65,80.38,80.56,5297,CINF
2020-04-07 11:05:00,80.76,80.97,80.58,80.64,4666,CINF
2020-04-07 11:10:00,80.87,81.06,80.72,80.92,11513,CINF
2020-04-07 11:15:00,81.14,81.38,80.94,80.99,5831,CINF
2020-04-07 11:20:00,80.91,80.91,80.64,80.84,5023,CINF
2020-04-07 11:25:00,80.71,81.4,80.71,81.33,4783,CINF
2020-04-07 11:30:00,81.42,81.61,81.39,81.4,5033,CINF
2020-04-07 11:35:00,81.41,81.83,81.41,81.76,2852,CINF
2020-04-07 11:40:00,81.78,82.29,81.75,82.29,7028,CINF
2020-04-07 11:45:00,82.53,82.53,82.21,82.26,8627,CINF
2020-04-07 11:50:00,82.11,82.24,81.91,82.02,3130,CINF
2020-04-07 11:55:00,82.01,82.31,81.91,81.92,7750,CINF
2020-04-07 12:00:00,82.08,82.4,82.08,82.4,7307,CINF
2020-04-07 12:05:00,82.31,82.52,82.31,82.51,4857,CINF
2020-04-07 12:10:00,82.43,82.5,82.18,82.31,7679,CINF
2020-04-07 12:15:00,82.41,82.48,82.12,82.43,12327,CINF
2020-04-07 12:20:00,82.35,82.44,82.01,82.01,6198,CINF
2020-04-07 12:25:00,82.08,82.16,81.96,82.07,4716,CINF
2020-04-07 12:30:00,82.11,82.26,82.01,82.08,12791,CINF
2020-04-07 12:35:00,82.04,82.31,81.98,82.22,7072,CINF
2020-04-07 12:40:00,82.22,82.29,82.07,82.29,4385,CINF
2020-04-07 12:45:00,82.32,82.53,82.28,82.53,5182,CINF
2020-04-07 12:50:00,82.59,82.59,82.05,82.05,8041,CINF
2020-04-07 12:55:00,81.98,82.19,81.92,81.92,5334,CINF
2020-04-07 13:00:00,81.93,82.22,81.93,82.1,5508,CINF
2020-04-07 13:05:00,82.03,82.12,81.82,81.86,7435,CINF
2020-04-07 13:10:00,81.89,81.91,81.51,81.87,10737,CINF
2020-04-07 13:15:00,81.77,81.82,81.33,81.47,9118,CINF
2020-04-07 13:20:00,81.37,81.61,81.37,81.61,4559,CINF
2020-04-07 13:25:00,81.69,82.01,81.52,82.01,6292,CINF
2020-04-07 13:30:00,81.89,81.93,81.75,81.87,5801,CINF
2020-04-07 13:35:00,81.91,81.91,81.59,81.6,6822,CINF
2020-04-07 13:40:00,81.45,81.84,81.45,81.45,5538,CINF
2020-04-07 13:45:00,81.48,81.55,81.22,81.22,5709,CINF
2020-04-07 13:50:00,81.13,81.29,80.92,81.21,5340,CINF
2020-04-07 13:55:00,81.25,81.33,81.08,81.17,6010,CINF
2020-04-07 14:00:00,81.06,81.09,80.79,80.84,4785,CINF
2020-04-07 14:05:00,80.77,80.81,80.62,80.81,3285,CINF
2020-04-07 14:10:00,80.88,81.03,80.78,80.78,4955,CINF
2020-04-07 14:15:00,80.82,80.96,80.47,80.47,5285,CINF
2020-04-07 14:20:00,80.44,80.74,80.4,80.58,5658,CINF
2020-04-07 14:25:00,80.54,80.91,80.54,80.67,6280,CINF
2020-04-07 14:30:00,80.6,80.85,80.58,80.58,4923,CINF
2020-04-07 14:35:00,80.55,80.68,80.31,80.49,7872,CINF
2020-04-07 14:40:00,80.39,80.41,80.14,80.23,8174,CINF
2020-04-07 14:45:00,80.26,80.47,80.12,80.18,9534,CINF
2020-04-07 14:50:00,80.18,80.22,79.53,79.57,9125,CINF
2020-04-07 14:55:00,79.49,79.98,79.49,79.82,7658,CINF
2020-04-07 15:00:00,79.82,80.5,79.82,80.5,9971,CINF
2020-04-07 15:05:00,80.49,80.74,80.35,80.72,13417,CINF
2020-04-07 15:10:00,80.76,81.15,80.72,81.13,15591,CINF
2020-04-07 15:15:00,81.01,81.06,80.42,80.42,12688,CINF
2020-04-07 15:20:00,80.49,80.56,79.91,79.91,13172,CINF
2020-04-07 15:25:00,80.01,80.6,80.01,80.24,13206,CINF
2020-04-07 15:30:00,80.25,80.82,80.07,80.82,14838,CINF
2020-04-07 15:35:00,80.75,81.05,80.67,80.96,15638,CINF
2020-04-07 15:40:00,80.88,81.32,80.86,80.96,14327,CINF
2020-04-07 15:45:00,81.04,81.61,80.89,81.29,20869,CINF
2020-04-07 15:50:00,81.62,81.62,79.97,80.36,55358,CINF
2020-04-07 15:55:00,80.48,80.54,79.77,79.8,70308,CINF
2020-04-07 16:00:00,79.88,79.88,79.88,79.88,0,CINF
2020-04-07 16:15:00,79.88,79.88,79.88,79.88,0,CINF
2020-04-07 16:20:00,79.88,79.88,79.88,79.88,0,CINF
2020-04-07 16:35:00,79.88,79.88,79.88,79.88,0,CINF
2020-04-08 08:25:00,80.0,80.0,80.0,80.0,0,CINF
2020-04-08 09:30:00,79.61,79.67,78.7,78.7,12727,CINF
2020-04-08 09:35:00,79.02,80.6,78.67,80.6,14754,CINF
2020-04-08 09:40:00,80.7,80.7,79.09,79.09,0,CINF
2020-04-08 09:45:00,79.55,79.64,79.32,79.32,34779,CINF
2020-04-08 09:50:00,79.39,79.39,78.91,78.91,5002,CINF
2020-04-08 09:55:00,79.08,79.23,78.86,78.94,3786,CINF
2020-04-08 10:00:00,78.81,78.92,78.42,78.42,6101,CINF
2020-04-08 10:05:00,78.35,78.58,78.06,78.41,8545,CINF
2020-04-08 10:10:00,78.56,78.83,78.55,78.75,2634,CINF
2020-04-08 10:15:00,78.68,78.96,78.67,78.96,1437,CINF
2020-04-08 10:20:00,78.87,79.12,78.87,78.96,4735,CINF
2020-04-08 10:25:00,78.99,79.29,78.94,79.11,6121,CINF
2020-04-08 10:30:00,79.11,79.41,79.1,79.28,5239,CINF
2020-04-08 10:35:00,79.37,79.37,79.19,79.29,2928,CINF
2020-04-08 10:40:00,79.28,79.45,78.77,78.77,3903,CINF
2020-04-08 10:45:00,78.95,79.34,78.95,79.23,8209,CINF
2020-04-08 10:50:00,79.32,79.45,79.13,79.13,2635,CINF
2020-04-08 10:55:00,79.15,79.4,78.84,79.32,3749,CINF
2020-04-08 11:00:00,79.18,79.28,79.0,79.1,5377,CINF
2020-04-08 11:05:00,79.23,79.32,79.02,79.32,3879,CINF
2020-04-08 11:10:00,79.17,79.84,79.17,79.74,7951,CINF
2020-04-08 11:15:00,79.62,79.95,79.55,79.92,5672,CINF
2020-04-08 11:20:00,79.99,80.11,79.85,79.85,10480,CINF
2020-04-08 11:25:00,79.87,80.16,79.86,79.96,4855,CINF
2020-04-08 11:30:00,80.03,80.3,79.89,80.3,4719,CINF
2020-04-08 11:35:00,80.21,80.63,80.19,80.6,7817,CINF
2020-04-08 11:40:00,80.62,80.67,80.42,80.49,3572,CINF
2020-04-08 11:45:00,80.38,80.57,80.38,80.42,3584,CINF
2020-04-08 11:50:00,80.3,80.32,79.97,80.03,2542,CINF
2020-04-08 11:55:00,80.11,80.34,80.04,80.13,4359,CINF
2020-04-08 12:00:00,79.98,80.05,79.85,80.01,4466,CINF
2020-04-08 12:05:00,79.85,80.15,79.83,80.06,4616,CINF
2020-04-08 12:10:00,79.98,80.13,79.94,80.11,2567,CINF
2020-04-08 12:15:00,80.23,80.44,80.14,80.44,3970,CINF
2020-04-08 12:20:00,80.41,80.51,80.35,80.39,4740,CINF
2020-04-08 12:25:00,80.42,80.45,80.07,80.07,4092,CINF
2020-04-08 12:30:00,80.09,80.22,80.05,80.11,2809,CINF
2020-04-08 12:35:00,80.23,80.38,79.88,80.28,9906,CINF
2020-04-08 12:40:00,80.32,80.41,80.05,80.05,4000,CINF
2020-04-08 12:45:00,80.09,80.34,80.08,80.29,2837,CINF
2020-04-08 12:50:00,80.32,80.38,80.2,80.21,2157,CINF
2020-04-08 12:55:00,80.1,80.37,80.08,80.19,3416,CINF
2020-04-08 13:00:00,80.28,80.31,80.17,80.22,2922,CINF
2020-04-08 13:05:00,80.26,80.43,80.18,80.38,3591,CINF
2020-04-08 13:10:00,80.08,80.11,79.98,80.08,1842,CINF
2020-04-08 13:15:00,80.18,80.25,80.04,80.21,1878,CINF
2020-04-08 13:20:00,80.19,80.35,80.19,80.28,3743,CINF
2020-04-08 13:25:00,80.34,80.38,80.17,80.17,3301,CINF
2020-04-08 13:30:00,80.16,80.16,79.75,79.87,6703,CINF
2020-04-08 13:35:00,79.7,79.77,79.6,79.6,3830,CINF
2020-04-08 13:40:00,79.68,79.79,79.44,79.44,2312,CINF
2020-04-08 13:45:00,79.47,79.67,79.44,79.44,3062,CINF
2020-04-08 13:50:00,79.59,79.69,79.46,79.69,3141,CINF
2020-04-08 13:55:00,79.6,79.63,79.37,79.55,3525,CINF
2020-04-08 14:00:00,79.39,79.87,79.39,79.81,4042,CINF
2020-04-08 14:05:00,79.84,80.12,79.83,80.06,5647,CINF
2020-04-08 14:10:00,80.08,80.22,80.04,80.17,6026,CINF
2020-04-08 14:15:00,80.18,80.42,80.17,80.26,5808,CINF
2020-04-08 14:20:00,80.16,80.51,80.11,80.39,8794,CINF
2020-04-08 14:25:00,80.57,80.6,80.49,80.57,3247,CINF
2020-04-08 14:30:00,80.68,80.76,80.59,80.72,4707,CINF
2020-04-08 14:35:00,80.61,80.75,80.61,80.7,3369,CINF
2020-04-08 14:40:00,80.79,80.85,80.67,80.71,4694,CINF
2020-04-08 14:45:00,80.68,80.79,80.48,80.51,5279,CINF
2020-04-08 14:50:00,80.7,80.7,80.58,80.68,3715,CINF
2020-04-08 14:55:00,80.65,80.69,80.46,80.49,6689,CINF
2020-04-08 15:00:00,80.46,80.59,80.34,80.58,4894,CINF
2020-04-08 15:05:00,80.64,80.82,80.58,80.74,8587,CINF
2020-04-08 15:10:00,80.73,80.75,80.35,80.47,7071,CINF
2020-04-08 15:15:00,80.43,80.73,80.42,80.65,10125,CINF
2020-04-08 15:20:00,80.64,80.68,80.33,80.49,8202,CINF
2020-04-08 15:25:00,80.59,80.81,80.47,80.79,17801,CINF
2020-04-08 15:30:00,80.87,81.17,80.67,80.73,10403,CINF
2020-04-08 15:35:00,80.38,80.42,80.06,80.28,12349,CINF
2020-04-08 15:40:00,80.21,80.36,79.91,80.28,12890,CINF
2020-04-08 15:45:00,80.3,80.43,80.08,80.34,11704,CINF
2020-04-08 15:50:00,80.53,81.8,80.53,81.41,66071,CINF
2020-04-08 15:55:00,81.43,81.45,80.78,81.01,57537,CINF
2020-04-08 16:00:00,81.08,81.08,81.08,81.08,0,CINF
2020-04-08 16:15:00,81.08,81.08,81.08,81.08,0,CINF
2020-04-08 16:20:00,81.08,81.08,81.08,81.08,0,CINF
2020-04-08 16:25:00,81.08,81.08,81.08,81.08,0,CINF
2020-04-08 16:35:00,81.08,81.08,81.08,81.08,0,CINF
2020-04-09 09:30:00,82.79,83.28,82.73,83.03,16210,CINF
2020-04-09 09:35:00,82.86,83.51,82.86,83.43,8633,CINF
2020-04-09 09:40:00,83.79,83.9,83.38,83.52,16134,CINF
2020-04-09 09:45:00,83.71,84.17,83.7,83.82,10921,CINF
2020-04-09 09:50:00,84.02,84.02,83.48,83.81,16219,CINF
2020-04-09 09:55:00,83.7,83.86,83.63,83.72,18182,CINF
2020-04-09 10:00:00,83.85,83.85,83.36,83.51,15823,CINF
2020-04-09 10:05:00,83.43,83.51,82.98,83.26,16552,CINF
2020-04-09 10:10:00,83.51,84.01,83.49,83.84,18812,CINF
2020-04-09 10:15:00,84.1,84.25,83.34,83.44,6794,CINF
2020-04-09 10:20:00,83.47,83.47,82.95,83.15,9049,CINF
2020-04-09 10:25:00,83.1,83.84,83.1,83.53,14766,CINF
2020-04-09 10:30:00,83.58,83.58,83.06,83.41,9794,CINF
2020-04-09 10:35:00,83.52,83.67,83.18,83.47,12904,CINF
2020-04-09 10:40:00,83.57,83.62,82.88,82.99,11363,CINF
2020-04-09 10:45:00,83.03,83.22,82.94,82.98,12428,CINF
2020-04-09 10:50:00,82.87,82.88,82.39,82.39,9886,CINF
2020-04-09 10:55:00,82.52,82.88,82.34,82.44,13084,CINF
2020-04-09 11:00:00,82.42,82.42,81.93,82.04,6781,CINF
2020-04-09 11:05:00,82.03,82.08,81.65,81.98,8530,CINF
2020-04-09 11:10:00,82.03,82.14,81.92,82.01,16471,CINF
2020-04-09 11:15:00,82.05,82.08,81.8,81.84,4520,CINF
2020-04-09 11:20:00,81.84,82.03,81.73,81.9,7709,CINF
2020-04-09 11:25:00,81.9,82.23,81.79,82.21,4766,CINF
2020-04-09 11:30:00,82.2,82.37,81.93,82.01,12595,CINF
2020-04-09 11:35:00,82.03,82.37,81.93,82.37,4574,CINF
2020-04-09 11:40:00,82.4,82.48,82.14,82.29,8904,CINF
2020-04-09 11:45:00,82.34,82.54,82.25,82.43,8745,CINF
2020-04-09 11:50:00,82.38,82.56,82.17,82.45,8986,CINF
2020-04-09 11:55:00,82.47,82.71,82.33,82.57,6515,CINF
2020-04-09 12:00:00,82.68,82.72,82.55,82.72,5362,CINF
2020-04-09 12:05:00,82.77,82.77,82.46,82.56,15195,CINF
2020-04-09 12:10:00,82.74,82.89,82.56,82.87,7785,CINF
2020-04-09 12:15:00,82.78,83.12,82.72,83.12,5862,CINF
