Date,Open,High,Low,Close,Volume,Name
2020-04-07 08:55:00,18.35,18.35,18.35,18.35,0,COG
2020-04-07 09:05:00,18.36,18.75,18.36,18.75,0,COG
2020-04-07 09:30:00,18.45,18.52,17.96,18.21,158639,COG
2020-04-07 09:35:00,18.17,18.19,18.04,18.11,128805,COG
2020-04-07 09:40:00,18.11,18.31,18.1,18.3,81457,COG
2020-04-07 09:45:00,18.31,18.32,17.97,18.06,119819,COG
2020-04-07 09:50:00,18.03,18.23,17.96,18.2,99724,COG
2020-04-07 09:55:00,18.22,18.36,18.2,18.34,73041,COG
2020-04-07 10:00:00,18.33,18.35,18.24,18.3,66761,COG
2020-04-07 10:05:00,18.31,18.4,18.3,18.33,67511,COG
2020-04-07 10:10:00,18.34,18.39,18.27,18.32,130902,COG
2020-04-07 10:15:00,18.31,18.34,18.17,18.21,121072,COG
2020-04-07 10:20:00,18.19,18.27,18.08,18.09,73575,COG
2020-04-07 10:25:00,18.08,18.13,18.03,18.06,53697,COG
2020-04-07 10:30:00,18.05,18.21,18.03,18.19,70932,COG
2020-04-07 10:35:00,18.17,18.2,18.11,18.18,55776,COG
2020-04-07 10:40:00,18.18,18.18,18.09,18.12,38776,COG
2020-04-07 10:45:00,18.11,18.14,17.96,18.0,73065,COG
2020-04-07 10:50:00,18.0,18.1,17.98,18.09,58513,COG
2020-04-07 10:55:00,18.08,18.4,18.08,18.34,78271,COG
2020-04-07 11:00:00,18.33,18.33,18.11,18.15,74453,COG
2020-04-07 11:05:00,18.14,18.18,18.08,18.08,54412,COG
2020-04-07 11:10:00,18.1,18.24,18.09,18.23,49838,COG
2020-04-07 11:15:00,18.23,18.34,18.22,18.24,77320,COG
2020-04-07 11:20:00,18.24,18.43,18.23,18.39,69934,COG
2020-04-07 11:25:00,18.38,18.39,18.27,18.34,60037,COG
2020-04-07 11:30:00,18.34,18.42,18.33,18.4,37346,COG
2020-04-07 11:35:00,18.41,18.46,18.4,18.44,57815,COG
2020-04-07 11:40:00,18.45,18.71,18.42,18.68,174114,COG
2020-04-07 11:45:00,18.68,18.7,18.48,18.49,52884,COG
2020-04-07 11:50:00,18.49,18.5,18.34,18.39,50264,COG
2020-04-07 11:55:00,18.37,18.41,18.31,18.34,41799,COG
2020-04-07 12:00:00,18.34,18.47,18.33,18.47,42067,COG
2020-04-07 12:05:00,18.47,18.54,18.45,18.5,67907,COG
2020-04-07 12:10:00,18.51,18.51,18.42,18.47,75704,COG
2020-04-07 12:15:00,18.47,18.5,18.42,18.44,37510,COG
2020-04-07 12:20:00,18.44,18.44,18.37,18.37,33319,COG
2020-04-07 12:25:00,18.38,18.4,18.31,18.39,31227,COG
2020-04-07 12:30:00,18.39,18.42,18.35,18.38,38680,COG
2020-04-07 12:35:00,18.37,18.41,18.33,18.36,34083,COG
2020-04-07 12:40:00,18.36,18.41,18.34,18.4,42137,COG
2020-04-07 12:45:00,18.4,18.55,18.39,18.52,46357,COG
2020-04-07 12:50:00,18.51,18.62,18.5,18.6,105012,COG
2020-04-07 12:55:00,18.61,18.68,18.55,18.6,62515,COG
2020-04-07 13:00:00,18.6,18.63,18.57,18.58,52887,COG
2020-04-07 13:05:00,18.58,18.66,18.56,18.59,45923,COG
2020-04-07 13:10:00,18.59,18.6,18.51,18.56,62804,COG
2020-04-07 13:15:00,18.56,18.6,18.5,18.54,64614,COG
2020-04-07 13:20:00,18.53,18.54,18.41,18.54,84556,COG
2020-04-07 13:25:00,18.54,18.61,18.52,18.61,49743,COG
2020-04-07 13:30:00,18.61,18.67,18.59,18.67,57374,COG
2020-04-07 13:35:00,18.67,18.69,18.62,18.66,47098,COG
2020-04-07 13:40:00,18.66,18.74,18.64,18.67,88055,COG
2020-04-07 13:45:00,18.66,18.75,18.66,18.73,59664,COG
2020-04-07 13:50:00,18.73,18.76,18.68,18.73,51945,COG
2020-04-07 13:55:00,18.73,18.75,18.7,18.75,38743,COG
2020-04-07 14:00:00,18.74,18.74,18.64,18.66,82541,COG
2020-04-07 14:05:00,18.66,18.66,18.5,18.52,112908,COG
2020-04-07 14:10:00,18.52,18.57,18.47,18.52,89233,COG
2020-04-07 14:15:00,18.51,18.52,18.47,18.48,65260,COG
2020-04-07 14:20:00,18.48,18.51,18.44,18.46,80481,COG
2020-04-07 14:25:00,18.45,18.51,18.44,18.49,76511,COG
2020-04-07 14:30:00,18.49,18.59,18.46,18.55,86247,COG
2020-04-07 14:35:00,18.54,18.55,18.45,18.46,80646,COG
2020-04-07 14:40:00,18.46,18.47,18.4,18.43,93514,COG
2020-04-07 14:45:00,18.42,18.58,18.42,18.56,105068,COG
2020-04-07 14:50:00,18.55,18.64,18.54,18.61,146860,COG
2020-04-07 14:55:00,18.6,18.7,18.55,18.68,142175,COG
2020-04-07 15:00:00,18.69,18.87,18.66,18.83,131076,COG
2020-04-07 15:05:00,18.82,18.88,18.71,18.85,143389,COG
2020-04-07 15:10:00,18.85,18.93,18.8,18.91,131643,COG
2020-04-07 15:15:00,18.9,18.92,18.73,18.74,126882,COG
2020-04-07 15:20:00,18.75,18.75,18.56,18.58,97446,COG
2020-04-07 15:25:00,18.58,18.64,18.54,18.56,155973,COG
2020-04-07 15:30:00,18.56,18.67,18.51,18.67,148050,COG
2020-04-07 15:35:00,18.66,18.75,18.65,18.75,165260,COG
2020-04-07 15:40:00,18.75,18.78,18.64,18.67,114213,COG
2020-04-07 15:45:00,18.67,18.81,18.66,18.78,145376,COG
2020-04-07 15:50:00,18.78,18.81,18.46,18.55,325585,COG
2020-04-07 15:55:00,18.55,18.56,18.35,18.37,426300,COG
2020-04-07 16:00:00,18.38,18.38,18.38,18.38,0,COG
2020-04-07 16:15:00,18.38,18.38,18.38,18.38,0,COG
2020-04-07 16:20:00,18.38,18.38,18.38,18.38,0,COG
2020-04-07 16:25:00,18.38,18.38,18.38,18.38,0,COG
2020-04-07 16:30:00,18.38,18.38,18.38,18.38,0,COG
2020-04-07 16:35:00,18.38,18.38,18.38,18.38,0,COG
2020-04-07 16:50:00,18.38,18.38,18.38,18.38,0,COG
2020-04-07 17:10:00,18.49,18.49,18.49,18.49,0,COG
2020-04-08 09:30:00,18.62,18.63,18.44,18.6,101846,COG
2020-04-08 09:35:00,18.64,18.64,18.43,18.54,51718,COG
2020-04-08 09:40:00,18.58,18.66,18.49,18.49,54938,COG
2020-04-08 09:45:00,18.49,18.52,18.29,18.31,30869,COG
2020-04-08 09:50:00,18.33,18.45,18.33,18.42,23211,COG
2020-04-08 09:55:00,18.41,18.44,18.38,18.41,19928,COG
2020-04-08 10:00:00,18.42,18.43,18.3,18.3,23134,COG
2020-04-08 10:05:00,18.31,18.34,18.27,18.29,35296,COG
2020-04-08 10:10:00,18.28,18.32,18.19,18.23,21516,COG
2020-04-08 10:15:00,18.24,18.31,18.24,18.26,22117,COG
2020-04-08 10:20:00,18.26,18.28,18.21,18.21,16964,COG
2020-04-08 10:25:00,18.21,18.22,18.12,18.14,53845,COG
2020-04-08 10:30:00,18.12,18.14,18.06,18.11,54757,COG
2020-04-08 10:35:00,18.11,18.15,18.03,18.05,30829,COG
2020-04-08 10:40:00,18.06,18.09,17.98,18.04,52625,COG
2020-04-08 10:45:00,18.04,18.05,17.99,18.03,37139,COG
2020-04-08 10:50:00,18.04,18.05,17.99,18.03,26144,COG
2020-04-08 10:55:00,18.03,18.05,17.97,18.01,27938,COG
2020-04-08 11:00:00,18.01,18.05,17.98,17.99,80486,COG
2020-04-08 11:05:00,17.99,18.01,17.85,17.91,68377,COG
2020-04-08 11:10:00,17.91,18.07,17.91,18.03,82609,COG
2020-04-08 11:15:00,18.03,18.03,17.89,17.94,30584,COG
2020-04-08 11:20:00,17.94,18.01,17.94,18.0,31908,COG
2020-04-08 11:25:00,18.0,18.14,17.99,18.04,61752,COG
2020-04-08 11:30:00,18.03,18.04,17.96,18.03,36622,COG
2020-04-08 11:35:00,18.02,18.1,18.01,18.1,47254,COG
2020-04-08 11:40:00,18.1,18.19,18.08,18.17,43327,COG
2020-04-08 11:45:00,18.18,18.25,18.12,18.12,29862,COG
2020-04-08 11:50:00,18.11,18.15,18.08,18.12,38758,COG
2020-04-08 11:55:00,18.13,18.14,18.07,18.07,27115,COG
2020-04-08 12:00:00,18.08,18.16,18.06,18.13,47411,COG
2020-04-08 12:05:00,18.14,18.15,18.09,18.1,24524,COG
2020-04-08 12:10:00,18.09,18.14,18.07,18.14,28517,COG
2020-04-08 12:15:00,18.13,18.2,18.12,18.19,22209,COG
2020-04-08 12:20:00,18.2,18.29,18.2,18.25,35880,COG
2020-04-08 12:25:00,18.25,18.28,18.17,18.24,136960,COG
2020-04-08 12:30:00,18.25,18.25,18.17,18.18,36638,COG
2020-04-08 12:35:00,18.18,18.2,18.08,18.17,66843,COG
2020-04-08 12:40:00,18.18,18.24,18.13,18.23,32033,COG
2020-04-08 12:45:00,18.23,18.31,18.2,18.27,34662,COG
2020-04-08 12:50:00,18.28,18.32,18.22,18.25,33826,COG
2020-04-08 12:55:00,18.24,18.25,18.13,18.15,34419,COG
2020-04-08 13:00:00,18.16,18.17,18.1,18.13,66488,COG
2020-04-08 13:05:00,18.11,18.15,18.08,18.11,44424,COG
2020-04-08 13:10:00,18.11,18.15,18.08,18.12,39043,COG
2020-04-08 13:15:00,18.13,18.27,18.13,18.26,53367,COG
2020-04-08 13:20:00,18.26,18.34,18.21,18.32,37500,COG
2020-04-08 13:25:00,18.32,18.39,18.31,18.38,50102,COG
2020-04-08 13:30:00,18.4,18.43,18.32,18.33,32469,COG
2020-04-08 13:35:00,18.34,18.36,18.3,18.31,34076,COG
2020-04-08 13:40:00,18.31,18.34,18.3,18.34,22568,COG
2020-04-08 13:45:00,18.34,18.46,18.34,18.42,44508,COG
2020-04-08 13:50:00,18.43,18.46,18.41,18.45,50282,COG
2020-04-08 13:55:00,18.44,18.44,18.36,18.38,41613,COG
2020-04-08 14:00:00,18.39,18.48,18.38,18.45,24270,COG
2020-04-08 14:05:00,18.45,18.51,18.44,18.5,28517,COG
2020-04-08 14:10:00,18.5,18.56,18.49,18.55,36705,COG
2020-04-08 14:15:00,18.56,18.68,18.54,18.59,60043,COG
2020-04-08 14:20:00,18.59,18.59,18.52,18.56,48431,COG
2020-04-08 14:25:00,18.55,18.61,18.52,18.61,50449,COG
2020-04-08 14:30:00,18.61,18.77,18.6,18.75,83492,COG
2020-04-08 14:35:00,18.74,18.76,18.68,18.69,65221,COG
2020-04-08 14:40:00,18.7,18.77,18.7,18.74,37043,COG
2020-04-08 14:45:00,18.73,18.76,18.65,18.67,40449,COG
2020-04-08 14:50:00,18.67,18.75,18.67,18.75,38204,COG
2020-04-08 14:55:00,18.74,18.8,18.72,18.79,109058,COG
2020-04-08 15:00:00,18.79,18.86,18.76,18.86,45822,COG
2020-04-08 15:05:00,18.87,18.9,18.83,18.84,66224,COG
2020-04-08 15:10:00,18.83,18.88,18.83,18.84,65709,COG
2020-04-08 15:15:00,18.83,18.88,18.83,18.84,46277,COG
2020-04-08 15:20:00,18.85,18.87,18.8,18.86,76926,COG
2020-04-08 15:25:00,18.86,18.92,18.86,18.9,64887,COG
2020-04-08 15:30:00,18.91,19.04,18.9,19.01,102832,COG
2020-04-08 15:35:00,18.99,19.02,18.96,18.97,136232,COG
2020-04-08 15:40:00,18.98,19.01,18.9,18.95,109143,COG
2020-04-08 15:45:00,18.95,19.0,18.9,18.96,95666,COG
2020-04-08 15:50:00,18.97,19.16,18.97,19.14,177017,COG
2020-04-08 15:55:00,19.14,19.27,19.03,19.25,494474,COG
2020-04-08 16:00:00,19.19,19.19,19.19,19.19,0,COG
2020-04-08 16:15:00,19.19,19.19,19.19,19.19,0,COG
2020-04-08 16:20:00,19.19,19.19,19.19,19.19,0,COG
2020-04-08 16:25:00,19.19,19.19,19.19,19.19,0,COG
2020-04-08 16:35:00,19.19,19.19,18.63,18.63,0,COG
2020-04-08 17:20:00,19.19,19.19,19.19,19.19,0,COG
2020-04-08 17:30:00,19.18,19.18,19.18,19.18,0,COG
2020-04-08 17:50:00,19.19,19.19,19.19,19.19,0,COG
2020-04-09 04:50:00,19.1,19.1,19.1,19.1,0,COG
2020-04-09 05:15:00,19.1,19.1,19.1,19.1,0,COG
2020-04-09 08:55:00,19.0,19.0,19.0,19.0,0,COG
2020-04-09 09:05:00,19.0,19.0,19.0,19.0,0,COG
2020-04-09 09:10:00,19.0,19.0,19.0,19.0,0,COG
2020-04-09 09:15:00,18.9,18.9,18.9,18.9,0,COG
2020-04-09 09:20:00,18.9,18.9,18.8,18.8,0,COG
2020-04-09 09:30:00,19.0,19.35,18.96,19.15,137694,COG
2020-04-09 09:35:00,19.17,19.32,19.03,19.29,71968,COG
2020-04-09 09:40:00,19.3,19.43,19.3,19.34,69420,COG
2020-04-09 09:45:00,19.34,19.36,19.23,19.23,37151,COG
2020-04-09 09:50:00,19.24,19.28,19.19,19.21,50809,COG
2020-04-09 09:55:00,19.19,19.19,19.04,19.06,48327,COG
2020-04-09 10:00:00,19.08,19.08,18.97,19.0,48822,COG
2020-04-09 10:05:00,18.99,19.12,18.94,19.06,76423,COG
2020-04-09 10:10:00,19.06,19.23,19.05,19.23,52854,COG
2020-04-09 10:15:00,19.25,19.27,19.1,19.12,47808,COG
2020-04-09 10:20:00,19.13,19.36,19.11,19.33,98431,COG
2020-04-09 10:25:00,19.33,19.47,19.21,19.34,112941,COG
2020-04-09 10:30:00,19.34,19.58,19.25,19.56,104868,COG
2020-04-09 10:35:00,19.57,19.63,19.47,19.61,98178,COG
