Date,Open,High,Low,Close,Volume,Name
2020-04-07 08:20:00,187.63,187.63,187.63,187.63,0,CTAS
2020-04-07 08:35:00,187.77,189.1,187.77,189.1,0,CTAS
2020-04-07 08:40:00,189.2,189.2,189.2,189.2,0,CTAS
2020-04-07 09:00:00,189.0,189.0,189.0,189.0,0,CTAS
2020-04-07 09:20:00,179.49,179.49,179.49,179.49,0,CTAS
2020-04-07 09:25:00,188.5,188.5,179.49,179.49,0,CTAS
2020-04-07 09:30:00,190.78,192.99,188.79,190.18,45204,CTAS
2020-04-07 09:35:00,190.4,191.47,188.79,189.74,30101,CTAS
2020-04-07 09:40:00,189.79,190.67,188.68,190.3,18524,CTAS
2020-04-07 09:45:00,190.87,191.63,190.21,190.7,17609,CTAS
2020-04-07 09:50:00,190.86,192.33,190.86,192.02,21180,CTAS
2020-04-07 09:55:00,192.03,192.63,191.58,192.63,15510,CTAS
2020-04-07 10:00:00,192.6,193.38,192.27,192.44,14407,CTAS
2020-04-07 10:05:00,192.41,192.87,191.4,191.76,8807,CTAS
2020-04-07 10:10:00,191.42,192.02,190.34,190.84,18264,CTAS
2020-04-07 10:15:00,190.73,190.93,190.18,190.62,5641,CTAS
2020-04-07 10:20:00,190.79,190.97,188.18,189.0,12967,CTAS
2020-04-07 10:25:00,188.82,189.05,187.04,187.63,21645,CTAS
2020-04-07 10:30:00,187.59,188.57,186.49,188.3,23563,CTAS
2020-04-07 10:35:00,188.11,188.58,187.77,188.49,16342,CTAS
2020-04-07 10:40:00,188.37,188.37,187.71,188.02,12363,CTAS
2020-04-07 10:45:00,188.23,188.58,187.91,188.29,34508,CTAS
2020-04-07 10:50:00,188.15,188.32,187.59,188.05,20943,CTAS
2020-04-07 10:55:00,188.23,188.23,187.37,188.22,22068,CTAS
2020-04-07 11:00:00,188.2,189.09,188.01,189.09,19439,CTAS
2020-04-07 11:05:00,188.78,189.36,188.68,189.08,5251,CTAS
2020-04-07 11:10:00,188.7,188.98,188.38,188.81,6577,CTAS
2020-04-07 11:15:00,188.84,189.93,188.84,189.1,14582,CTAS
2020-04-07 11:20:00,189.18,189.52,188.37,189.32,16641,CTAS
2020-04-07 11:25:00,189.34,189.34,188.32,188.85,7250,CTAS
2020-04-07 11:30:00,189.02,189.74,189.02,189.27,8413,CTAS
2020-04-07 11:35:00,189.2,190.87,189.0,190.87,17451,CTAS
2020-04-07 11:40:00,190.99,191.23,190.79,190.99,21887,CTAS
2020-04-07 11:45:00,191.08,191.09,190.18,190.46,24478,CTAS
2020-04-07 11:50:00,190.36,190.36,189.27,189.47,4630,CTAS
2020-04-07 11:55:00,189.24,190.47,189.24,189.88,34245,CTAS
2020-04-07 12:00:00,189.94,191.71,189.94,191.69,24777,CTAS
2020-04-07 12:05:00,191.73,193.18,191.49,193.18,20229,CTAS
2020-04-07 12:10:00,192.86,194.09,192.59,194.08,34875,CTAS
2020-04-07 12:15:00,194.25,195.33,193.79,195.33,32431,CTAS
2020-04-07 12:20:00,194.88,195.26,193.53,193.75,19183,CTAS
2020-04-07 12:25:00,193.56,194.31,193.19,194.31,13616,CTAS
2020-04-07 12:30:00,193.95,194.26,193.07,193.88,20657,CTAS
2020-04-07 12:35:00,193.68,194.14,193.07,193.79,19748,CTAS
2020-04-07 12:40:00,193.79,194.3,193.48,194.13,16883,CTAS
2020-04-07 12:45:00,194.12,194.56,193.72,194.44,13742,CTAS
2020-04-07 12:50:00,194.67,194.67,193.79,193.8,5719,CTAS
2020-04-07 12:55:00,193.57,193.88,193.16,193.28,15237,CTAS
2020-04-07 13:00:00,193.41,193.95,193.29,193.75,14042,CTAS
2020-04-07 13:05:00,193.73,193.73,193.18,193.18,6494,CTAS
2020-04-07 13:10:00,193.17,193.52,192.86,193.23,8480,CTAS
2020-04-07 13:15:00,193.42,193.42,192.72,193.28,10204,CTAS
2020-04-07 13:20:00,193.16,193.16,192.67,192.81,7281,CTAS
2020-04-07 13:25:00,192.71,193.04,192.34,192.71,12097,CTAS
2020-04-07 13:30:00,192.78,193.02,192.18,192.18,7017,CTAS
2020-04-07 13:35:00,192.18,192.29,191.88,192.06,6290,CTAS
2020-04-07 13:40:00,191.9,192.34,191.74,191.91,8674,CTAS
2020-04-07 13:45:00,191.8,192.36,191.8,191.97,10437,CTAS
