Date,Open,High,Low,Close,Volume,Name
2020-04-07 09:25:00,84.73,84.73,84.73,84.73,0,DOV
2020-04-07 09:30:00,88.96,88.96,88.07,88.07,33428,DOV
2020-04-07 09:35:00,87.98,88.28,87.54,87.69,22433,DOV
2020-04-07 09:40:00,87.27,88.36,87.27,87.67,7622,DOV
2020-04-07 09:45:00,88.07,88.7,87.94,87.94,5904,DOV
2020-04-07 09:50:00,88.31,89.29,87.94,89.06,5411,DOV
2020-04-07 09:55:00,89.05,89.44,88.9,89.28,4683,DOV
2020-04-07 10:00:00,89.38,89.94,88.93,89.03,10922,DOV
2020-04-07 10:05:00,89.01,89.81,88.43,88.43,16456,DOV
2020-04-07 10:10:00,88.43,88.55,87.65,87.65,21203,DOV
2020-04-07 10:15:00,87.67,87.86,87.11,87.77,15503,DOV
2020-04-07 10:20:00,87.85,88.06,87.12,87.17,16999,DOV
2020-04-07 10:25:00,87.25,87.68,86.91,87.18,11592,DOV
2020-04-07 10:30:00,87.24,88.16,87.23,87.94,8763,DOV
2020-04-07 10:35:00,87.86,88.14,87.63,87.93,13809,DOV
2020-04-07 10:40:00,87.91,88.12,87.6,87.72,11895,DOV
2020-04-07 10:45:00,87.65,88.04,87.15,87.15,11713,DOV
2020-04-07 10:50:00,87.21,87.65,87.05,87.07,14187,DOV
2020-04-07 10:55:00,87.38,87.72,87.2,87.32,17455,DOV
2020-04-07 11:00:00,87.31,87.48,87.01,87.32,9344,DOV
2020-04-07 11:05:00,87.49,87.83,87.49,87.75,6804,DOV
2020-04-07 11:10:00,87.87,87.99,87.61,87.86,9038,DOV
2020-04-07 11:15:00,88.0,88.26,87.79,87.79,11354,DOV
2020-04-07 11:20:00,87.76,87.88,87.49,87.83,10197,DOV
2020-04-07 11:25:00,87.7,87.94,87.43,87.82,7840,DOV
2020-04-07 11:30:00,87.85,88.07,87.65,87.78,16435,DOV
2020-04-07 11:35:00,87.83,88.36,87.6,88.36,22161,DOV
2020-04-07 11:40:00,88.45,88.68,88.17,88.46,5826,DOV
2020-04-07 11:45:00,88.52,88.53,88.11,88.2,7598,DOV
2020-04-07 11:50:00,88.13,88.18,87.82,87.9,6705,DOV
2020-04-07 11:55:00,87.93,88.06,87.62,87.89,11588,DOV
2020-04-07 12:00:00,88.03,88.17,87.85,88.03,27271,DOV
2020-04-07 12:05:00,88.18,88.82,88.16,88.8,38020,DOV
2020-04-07 12:10:00,88.7,88.84,88.45,88.45,5959,DOV
2020-04-07 12:15:00,88.61,88.91,88.58,88.72,9054,DOV
2020-04-07 12:20:00,88.82,88.9,88.39,88.41,8135,DOV
2020-04-07 12:25:00,88.4,88.56,88.38,88.5,2521,DOV
2020-04-07 12:30:00,88.66,88.67,88.28,88.31,19513,DOV
2020-04-07 12:35:00,88.47,88.74,88.29,88.48,5611,DOV
2020-04-07 12:40:00,88.67,89.0,88.61,88.87,8469,DOV
2020-04-07 12:45:00,88.95,89.18,88.89,89.13,7235,DOV
2020-04-07 12:50:00,89.11,89.22,88.91,88.92,5241,DOV
2020-04-07 12:55:00,89.01,89.21,88.77,88.88,10101,DOV
2020-04-07 13:00:00,89.07,89.09,88.86,88.92,6716,DOV
2020-04-07 13:05:00,88.93,89.28,88.82,88.82,10573,DOV
2020-04-07 13:10:00,88.84,88.97,88.64,88.72,6781,DOV
2020-04-07 13:15:00,88.77,88.79,88.44,88.44,6156,DOV
2020-04-07 13:20:00,88.51,88.62,88.28,88.53,7938,DOV
2020-04-07 13:25:00,88.55,88.55,88.31,88.53,7539,DOV
2020-04-07 13:30:00,88.42,88.59,88.39,88.56,5286,DOV
2020-04-07 13:35:00,88.57,88.58,88.34,88.42,7292,DOV
2020-04-07 13:40:00,88.33,88.63,88.24,88.31,8922,DOV
2020-04-07 13:45:00,88.27,88.47,88.26,88.3,9856,DOV
2020-04-07 13:50:00,88.26,88.27,87.85,87.91,8222,DOV
2020-04-07 13:55:00,87.9,88.08,87.68,87.8,6750,DOV
2020-04-07 14:00:00,87.74,87.77,87.44,87.44,8966,DOV
2020-04-07 14:05:00,87.38,87.51,87.12,87.51,6802,DOV
2020-04-07 14:10:00,87.56,87.86,87.49,87.71,6257,DOV
2020-04-07 14:15:00,87.75,87.8,87.24,87.25,9290,DOV
2020-04-07 14:20:00,87.29,87.69,87.17,87.48,7435,DOV
2020-04-07 14:25:00,87.56,87.76,87.49,87.56,9847,DOV
2020-04-07 14:30:00,87.49,87.81,87.47,87.53,12164,DOV
2020-04-07 14:35:00,87.4,87.49,87.1,87.13,13240,DOV
2020-04-07 14:40:00,87.09,87.09,86.41,86.53,9424,DOV
2020-04-07 14:45:00,86.66,86.76,86.53,86.64,8731,DOV
2020-04-07 14:50:00,86.6,86.6,85.96,86.0,12334,DOV
2020-04-07 14:55:00,86.07,86.28,85.88,86.15,14046,DOV
2020-04-07 15:00:00,86.27,86.99,86.27,86.91,12534,DOV
2020-04-07 15:05:00,86.86,87.24,86.6,87.24,15904,DOV
2020-04-07 15:10:00,87.1,87.51,86.99,87.32,12923,DOV
2020-04-07 15:15:00,87.28,87.4,86.63,86.73,14908,DOV
2020-04-07 15:20:00,86.72,86.72,85.65,85.65,11805,DOV
2020-04-07 15:25:00,85.84,86.47,85.76,85.96,23221,DOV
2020-04-07 15:30:00,85.99,86.27,85.69,86.11,14180,DOV
2020-04-07 15:35:00,86.14,86.47,86.0,86.35,16408,DOV
2020-04-07 15:40:00,86.44,86.89,86.36,86.62,18409,DOV
2020-04-07 15:45:00,86.71,87.35,86.65,87.33,26134,DOV
2020-04-07 15:50:00,87.23,87.69,85.96,86.33,50361,DOV
2020-04-07 15:55:00,86.49,86.54,85.07,85.45,200657,DOV
2020-04-07 16:00:00,85.44,85.51,85.44,85.51,0,DOV
2020-04-07 16:15:00,85.51,87.03,85.51,87.03,0,DOV
2020-04-07 16:20:00,85.51,85.51,85.51,85.51,0,DOV
2020-04-07 16:35:00,85.51,85.51,85.51,85.51,0,DOV
2020-04-08 09:30:00,86.32,86.32,85.93,86.21,9675,DOV
2020-04-08 09:35:00,86.48,86.99,85.84,85.84,5447,DOV
2020-04-08 09:40:00,86.6,86.86,86.02,86.63,15039,DOV
2020-04-08 09:45:00,86.85,86.85,86.06,86.06,2401,DOV
