Date,Open,High,Low,Close,Volume,Name
2020-04-07 07:15:00,9.3,9.3,9.0,9.0,0,DVN
2020-04-07 07:20:00,9.2,9.2,9.2,9.2,0,DVN
2020-04-07 07:35:00,9.45,9.45,9.35,9.35,0,DVN
2020-04-07 07:45:00,9.21,9.25,9.21,9.25,0,DVN
2020-04-07 07:50:00,9.25,9.42,9.25,9.42,0,DVN
2020-04-07 08:00:00,9.25,9.25,9.25,9.25,0,DVN
2020-04-07 08:05:00,9.18,9.18,9.18,9.18,0,DVN
2020-04-07 08:10:00,9.25,9.25,9.25,9.25,0,DVN
2020-04-07 08:15:00,9.18,9.45,9.18,9.25,0,DVN
2020-04-07 08:20:00,9.25,9.25,9.25,9.25,0,DVN
2020-04-07 08:25:00,9.25,9.25,9.25,9.25,0,DVN
2020-04-07 08:35:00,9.26,9.26,9.26,9.26,0,DVN
2020-04-07 08:40:00,9.26,9.34,9.26,9.34,0,DVN
2020-04-07 08:50:00,9.3,9.3,9.3,9.3,0,DVN
2020-04-07 08:55:00,9.34,9.34,9.34,9.34,0,DVN
2020-04-07 09:00:00,9.34,9.38,9.31,9.38,0,DVN
2020-04-07 09:05:00,9.38,9.38,9.38,9.38,0,DVN
2020-04-07 09:10:00,9.28,9.32,9.28,9.32,0,DVN
2020-04-07 09:15:00,9.27,9.27,9.26,9.26,0,DVN
2020-04-07 09:20:00,9.3,9.3,9.26,9.28,0,DVN
2020-04-07 09:25:00,9.3,9.39,9.3,9.39,0,DVN
2020-04-07 09:30:00,9.59,9.63,9.28,9.32,479343,DVN
2020-04-07 09:35:00,9.32,9.46,9.25,9.26,262567,DVN
2020-04-07 09:40:00,9.26,9.47,9.22,9.46,213738,DVN
2020-04-07 09:45:00,9.47,9.67,9.43,9.63,222536,DVN
2020-04-07 09:50:00,9.63,9.89,9.57,9.77,248874,DVN
2020-04-07 09:55:00,9.79,9.96,9.72,9.94,230959,DVN
2020-04-07 10:00:00,9.94,10.08,9.81,9.81,316735,DVN
2020-04-07 10:05:00,9.82,9.92,9.74,9.75,239668,DVN
2020-04-07 10:10:00,9.75,9.84,9.51,9.53,303645,DVN
2020-04-07 10:15:00,9.53,9.55,9.42,9.48,315096,DVN
2020-04-07 10:20:00,9.48,9.63,9.43,9.45,223159,DVN
2020-04-07 10:25:00,9.45,9.54,9.41,9.44,174396,DVN
2020-04-07 10:30:00,9.44,9.66,9.42,9.64,134926,DVN
2020-04-07 10:35:00,9.64,9.65,9.51,9.55,158921,DVN
2020-04-07 10:40:00,9.56,9.56,9.43,9.44,79744,DVN
2020-04-07 10:45:00,9.44,9.48,9.44,9.47,364671,DVN
2020-04-07 10:50:00,9.47,9.49,9.27,9.3,511230,DVN
2020-04-07 10:55:00,9.31,9.45,9.24,9.43,154610,DVN
2020-04-07 11:00:00,9.42,9.61,9.41,9.6,116970,DVN
2020-04-07 11:05:00,9.61,9.73,9.59,9.6,142688,DVN
2020-04-07 11:10:00,9.6,9.66,9.57,9.65,98447,DVN
2020-04-07 11:15:00,9.65,9.75,9.6,9.6,92761,DVN
2020-04-07 11:20:00,9.6,9.61,9.47,9.56,157460,DVN
2020-04-07 11:25:00,9.55,9.66,9.48,9.64,155104,DVN
2020-04-07 11:30:00,9.63,9.65,9.55,9.58,100432,DVN
2020-04-07 11:35:00,9.58,9.64,9.54,9.63,66864,DVN
2020-04-07 11:40:00,9.64,9.69,9.58,9.65,62736,DVN
2020-04-07 11:45:00,9.66,9.68,9.6,9.61,76285,DVN
2020-04-07 11:50:00,9.62,9.63,9.53,9.6,69881,DVN
2020-04-07 11:55:00,9.59,9.61,9.52,9.56,91798,DVN
2020-04-07 12:00:00,9.56,9.64,9.56,9.62,73899,DVN
2020-04-07 12:05:00,9.62,9.69,9.62,9.65,73166,DVN
2020-04-07 12:10:00,9.65,9.72,9.61,9.69,107725,DVN
2020-04-07 12:15:00,9.7,9.74,9.7,9.73,81458,DVN
2020-04-07 12:20:00,9.72,9.72,9.61,9.62,71145,DVN
2020-04-07 12:25:00,9.62,9.64,9.53,9.58,84047,DVN
2020-04-07 12:30:00,9.59,9.62,9.52,9.55,92498,DVN
2020-04-07 12:35:00,9.55,9.56,9.5,9.51,88994,DVN
