Date,Open,High,Low,Close,Volume,Name
2020-04-07 04:45:00,7.0,7.0,7.0,7.0,0,GPS
2020-04-07 05:00:00,6.56,6.56,6.56,6.56,0,GPS
2020-04-07 06:50:00,7.27,7.29,7.27,7.29,0,GPS
2020-04-07 07:15:00,7.0,7.0,7.0,7.0,0,GPS
2020-04-07 07:20:00,7.23,7.24,7.02,7.02,0,GPS
2020-04-07 07:25:00,7.0,7.0,7.0,7.0,0,GPS
2020-04-07 07:30:00,7.05,7.2,7.05,7.2,0,GPS
2020-04-07 07:40:00,7.15,7.15,7.15,7.15,0,GPS
2020-04-07 07:55:00,7.24,7.24,7.24,7.24,0,GPS
2020-04-07 08:00:00,7.22,7.22,7.22,7.22,0,GPS
2020-04-07 08:15:00,7.02,7.24,7.0,7.2,0,GPS
2020-04-07 08:20:00,7.2,7.22,7.2,7.22,0,GPS
2020-04-07 08:25:00,7.19,7.19,7.15,7.15,0,GPS
2020-04-07 08:30:00,7.17,7.2,7.17,7.2,0,GPS
2020-04-07 08:35:00,7.2,7.2,7.19,7.19,0,GPS
2020-04-07 08:45:00,7.19,7.23,7.17,7.23,0,GPS
2020-04-07 08:50:00,7.16,7.16,7.16,7.16,0,GPS
2020-04-07 08:55:00,7.27,7.3,7.27,7.3,0,GPS
2020-04-07 09:00:00,7.28,7.3,7.28,7.3,0,GPS
2020-04-07 09:05:00,7.3,7.3,7.26,7.26,0,GPS
2020-04-07 09:10:00,7.26,7.26,7.18,7.18,0,GPS
2020-04-07 09:15:00,7.2,7.24,7.16,7.24,0,GPS
2020-04-07 09:20:00,7.24,7.24,7.16,7.16,0,GPS
2020-04-07 09:25:00,7.16,7.19,7.16,7.19,0,GPS
2020-04-07 09:30:00,7.23,7.6,7.21,7.6,408279,GPS
2020-04-07 09:35:00,7.57,7.86,7.31,7.34,591975,GPS
2020-04-07 09:40:00,7.34,7.49,7.28,7.43,465370,GPS
2020-04-07 09:45:00,7.43,7.54,7.37,7.39,204014,GPS
2020-04-07 09:50:00,7.39,7.7,7.36,7.67,211548,GPS
2020-04-07 09:55:00,7.66,7.74,7.54,7.64,244009,GPS
2020-04-07 10:00:00,7.65,7.72,7.56,7.56,199355,GPS
2020-04-07 10:05:00,7.57,7.66,7.49,7.51,299751,GPS
2020-04-07 10:10:00,7.51,7.6,7.34,7.37,273390,GPS
2020-04-07 10:15:00,7.37,7.38,7.26,7.37,213401,GPS
2020-04-07 10:20:00,7.38,7.46,7.34,7.45,296660,GPS
2020-04-07 10:25:00,7.44,7.53,7.4,7.43,200499,GPS
2020-04-07 10:30:00,7.43,7.5,7.41,7.46,222859,GPS
2020-04-07 10:35:00,7.46,7.47,7.33,7.41,561665,GPS
2020-04-07 10:40:00,7.4,7.45,7.31,7.31,165987,GPS
2020-04-07 10:45:00,7.32,7.36,7.02,7.05,360041,GPS
2020-04-07 10:50:00,7.05,7.14,7.01,7.03,216591,GPS
2020-04-07 10:55:00,7.04,7.18,7.02,7.16,178107,GPS
2020-04-07 11:00:00,7.15,7.24,7.14,7.23,611575,GPS
2020-04-07 11:05:00,7.22,7.28,7.17,7.2,436550,GPS
2020-04-07 11:10:00,7.2,7.29,7.17,7.27,262591,GPS
2020-04-07 11:15:00,7.28,7.39,7.28,7.32,253972,GPS
2020-04-07 11:20:00,7.31,7.31,7.16,7.26,299670,GPS
2020-04-07 11:25:00,7.25,7.33,7.2,7.27,247186,GPS
2020-04-07 11:30:00,7.26,7.35,7.26,7.34,130798,GPS
2020-04-07 11:35:00,7.33,7.4,7.32,7.39,130555,GPS
2020-04-07 11:40:00,7.4,7.47,7.38,7.43,204366,GPS
2020-04-07 11:45:00,7.42,7.52,7.4,7.41,172024,GPS
2020-04-07 11:50:00,7.42,7.45,7.37,7.42,166281,GPS
2020-04-07 11:55:00,7.41,7.45,7.35,7.39,118831,GPS
2020-04-07 12:00:00,7.39,7.41,7.31,7.35,149200,GPS
2020-04-07 12:05:00,7.35,7.46,7.34,7.39,226731,GPS
2020-04-07 12:10:00,7.39,7.4,7.34,7.39,101140,GPS
2020-04-07 12:15:00,7.39,7.46,7.37,7.45,122158,GPS
2020-04-07 12:20:00,7.45,7.49,7.44,7.45,137907,GPS
2020-04-07 12:25:00,7.46,7.5,7.45,7.47,124826,GPS
2020-04-07 12:30:00,7.48,7.49,7.4,7.41,238482,GPS
2020-04-07 12:35:00,7.41,7.49,7.38,7.39,155512,GPS
2020-04-07 12:40:00,7.39,7.41,7.34,7.35,115569,GPS
2020-04-07 12:45:00,7.36,7.38,7.31,7.36,126713,GPS
2020-04-07 12:50:00,7.36,7.42,7.33,7.38,139454,GPS
2020-04-07 12:55:00,7.37,7.41,7.36,7.38,101006,GPS
2020-04-07 13:00:00,7.39,7.41,7.32,7.34,78282,GPS
2020-04-07 13:05:00,7.34,7.36,7.28,7.31,84243,GPS
2020-04-07 13:10:00,7.31,7.31,7.21,7.24,143051,GPS
