Date,Open,High,Low,Close,Volume,Name
2020-04-07 04:25:00,162.4,162.4,162.4,162.4,0,GS
2020-04-07 04:40:00,163.0,163.0,163.0,163.0,0,GS
2020-04-07 04:45:00,162.42,162.42,162.42,162.42,0,GS
2020-04-07 05:50:00,163.5,163.5,163.5,163.5,0,GS
2020-04-07 06:00:00,163.11,163.11,163.11,163.11,0,GS
2020-04-07 06:15:00,163.5,163.5,163.5,163.5,0,GS
2020-04-07 06:45:00,164.0,164.0,164.0,164.0,0,GS
2020-04-07 06:50:00,163.95,163.95,163.95,163.95,0,GS
2020-04-07 07:15:00,165.44,165.44,165.44,165.44,0,GS
2020-04-07 07:20:00,164.89,164.89,164.45,164.45,0,GS
2020-04-07 07:25:00,165.0,165.0,165.0,165.0,0,GS
2020-04-07 07:40:00,164.89,165.13,164.89,165.13,0,GS
2020-04-07 07:45:00,165.0,165.0,165.0,165.0,0,GS
2020-04-07 07:50:00,165.0,165.0,165.0,165.0,0,GS
2020-04-07 07:55:00,164.53,164.53,164.53,164.53,0,GS
2020-04-07 08:05:00,164.53,164.73,164.53,164.73,0,GS
2020-04-07 08:15:00,163.67,165.0,163.67,165.0,0,GS
2020-04-07 08:20:00,164.95,164.95,164.5,164.5,0,GS
2020-04-07 08:25:00,164.5,164.98,164.5,164.98,0,GS
2020-04-07 08:30:00,164.98,165.02,164.5,164.5,0,GS
2020-04-07 08:35:00,164.5,164.5,164.5,164.5,0,GS
2020-04-07 08:45:00,164.51,164.98,164.11,164.98,0,GS
2020-04-07 08:50:00,165.1,165.1,165.1,165.1,0,GS
2020-04-07 08:55:00,164.99,165.07,164.4,164.4,0,GS
2020-04-07 09:05:00,165.6,165.68,165.0,165.14,0,GS
2020-04-07 09:10:00,165.01,165.8,165.01,165.8,0,GS
2020-04-07 09:15:00,165.8,165.8,165.76,165.76,0,GS
2020-04-07 09:20:00,165.01,165.04,158.23,158.23,0,GS
2020-04-07 09:25:00,165.69,165.7,165.04,165.04,0,GS
2020-04-07 09:30:00,166.0,166.43,165.1,165.28,283355,GS
2020-04-07 09:35:00,165.26,165.7,164.55,164.62,88108,GS
2020-04-07 09:40:00,164.54,165.46,164.42,165.3,88936,GS
2020-04-07 09:45:00,165.39,166.28,165.22,166.14,71832,GS
2020-04-07 09:50:00,166.23,167.33,166.17,167.0,115144,GS
2020-04-07 09:55:00,167.1,167.33,166.63,166.97,54012,GS
2020-04-07 10:00:00,167.02,167.3,166.27,166.56,54929,GS
2020-04-07 10:05:00,166.57,166.85,165.54,165.67,67757,GS
2020-04-07 10:10:00,165.68,166.09,164.88,165.07,93225,GS
2020-04-07 10:15:00,165.08,165.08,163.57,163.91,76981,GS
2020-04-07 10:20:00,163.88,164.67,162.81,163.08,51534,GS
2020-04-07 10:25:00,162.99,163.79,162.74,162.98,45343,GS
2020-04-07 10:30:00,162.96,164.31,162.83,164.15,29181,GS
2020-04-07 10:35:00,164.0,164.45,163.6,164.33,30530,GS
2020-04-07 10:40:00,164.35,164.6,163.83,163.87,32485,GS
2020-04-07 10:45:00,163.9,164.54,162.65,163.15,49197,GS
2020-04-07 10:50:00,163.34,163.58,162.45,162.49,58276,GS
2020-04-07 10:55:00,162.56,163.76,162.56,163.39,26553,GS
2020-04-07 11:00:00,163.23,163.65,162.99,163.64,27032,GS
2020-04-07 11:05:00,163.64,164.84,163.5,164.69,31080,GS
2020-04-07 11:10:00,164.78,165.06,164.4,164.57,21936,GS
2020-04-07 11:15:00,164.66,165.32,164.57,164.65,31974,GS
2020-04-07 11:20:00,164.59,164.67,163.48,164.08,34171,GS
2020-04-07 11:25:00,164.2,164.81,163.75,164.59,18507,GS
2020-04-07 11:30:00,164.5,165.25,164.48,165.09,18112,GS
2020-04-07 11:35:00,165.14,165.93,165.05,165.92,34350,GS
2020-04-07 11:40:00,165.93,166.7,165.83,166.24,40893,GS
2020-04-07 11:45:00,166.3,166.5,165.6,165.89,40477,GS
2020-04-07 11:50:00,165.92,166.55,165.62,166.32,40638,GS
2020-04-07 11:55:00,166.21,166.77,165.96,166.49,41088,GS
2020-04-07 12:00:00,166.56,167.22,166.48,167.19,62354,GS
