Date,Open,High,Low,Close,Volume,Name
2020-04-07 06:35:00,242.26,242.26,242.26,242.26,0,INTU
2020-04-07 07:15:00,246.12,246.12,246.12,246.12,0,INTU
2020-04-07 08:15:00,248.98,248.98,248.98,248.98,0,INTU
2020-04-07 09:30:00,247.23,248.98,245.09,245.45,56237,INTU
2020-04-07 09:35:00,245.1,245.44,242.96,243.04,24814,INTU
2020-04-07 09:40:00,243.14,245.28,242.85,244.53,14867,INTU
2020-04-07 09:45:00,244.96,245.34,244.09,244.17,13655,INTU
2020-04-07 09:50:00,244.13,245.89,244.12,244.95,23286,INTU
2020-04-07 09:55:00,244.8,245.82,244.61,245.31,14306,INTU
2020-04-07 10:00:00,245.28,246.01,244.35,244.86,17980,INTU
2020-04-07 10:05:00,244.9,245.47,244.75,244.95,13385,INTU
2020-04-07 10:10:00,245.15,245.49,244.36,245.01,21509,INTU
2020-04-07 10:15:00,244.73,245.4,244.29,245.4,14545,INTU
2020-04-07 10:20:00,245.43,245.54,244.16,244.25,26851,INTU
2020-04-07 10:25:00,244.25,244.7,243.37,243.51,23700,INTU
2020-04-07 10:30:00,243.34,244.7,242.55,244.51,14862,INTU
2020-04-07 10:35:00,244.39,244.39,243.13,243.71,11337,INTU
2020-04-07 10:40:00,243.64,243.91,242.99,243.26,15505,INTU
2020-04-07 10:45:00,243.42,243.6,242.52,242.84,16545,INTU
2020-04-07 10:50:00,242.76,243.41,242.56,243.12,23043,INTU
2020-04-07 10:55:00,243.0,244.31,243.0,243.52,13292,INTU
2020-04-07 11:00:00,243.36,243.39,241.98,242.2,20067,INTU
2020-04-07 11:05:00,242.23,242.85,241.19,242.37,14510,INTU
2020-04-07 11:10:00,242.26,242.34,241.23,242.1,9819,INTU
2020-04-07 11:15:00,241.95,242.56,241.79,241.79,7834,INTU
2020-04-07 11:20:00,241.8,243.33,241.32,243.33,10901,INTU
2020-04-07 11:25:00,243.44,243.86,242.65,243.7,11122,INTU
2020-04-07 11:30:00,243.39,244.54,243.39,243.7,8769,INTU
2020-04-07 11:35:00,243.74,245.41,243.74,245.01,15927,INTU
2020-04-07 11:40:00,245.01,245.45,244.12,244.43,8565,INTU
2020-04-07 11:45:00,244.47,245.0,244.37,244.37,5375,INTU
2020-04-07 11:50:00,244.31,244.52,243.82,243.97,14352,INTU
2020-04-07 11:55:00,243.96,244.16,242.67,243.0,21058,INTU
2020-04-07 12:00:00,243.0,244.29,242.87,244.29,10223,INTU
2020-04-07 12:05:00,244.51,245.38,244.51,245.29,12112,INTU
2020-04-07 12:10:00,245.29,245.29,244.65,244.95,8244,INTU
2020-04-07 12:15:00,244.94,245.86,244.71,245.26,13817,INTU
2020-04-07 12:20:00,245.1,245.74,244.61,244.61,6842,INTU
2020-04-07 12:25:00,244.37,244.82,244.11,244.72,17942,INTU
2020-04-07 12:30:00,244.57,244.65,243.47,243.47,14209,INTU
2020-04-07 12:35:00,243.67,243.81,242.86,243.4,15216,INTU
2020-04-07 12:40:00,243.47,244.26,243.26,244.16,9359,INTU
2020-04-07 12:45:00,244.09,244.76,244.09,244.46,6400,INTU
2020-04-07 12:50:00,244.6,244.6,243.65,243.9,5194,INTU
2020-04-07 12:55:00,243.93,244.5,243.73,243.73,7743,INTU
2020-04-07 13:00:00,244.04,244.6,243.91,244.26,6514,INTU
2020-04-07 13:05:00,244.1,244.38,243.51,243.55,4698,INTU
2020-04-07 13:10:00,243.64,244.18,243.38,244.04,7027,INTU
2020-04-07 13:15:00,244.03,244.03,243.09,243.29,6546,INTU
2020-04-07 13:20:00,243.34,243.55,243.0,243.53,10307,INTU
2020-04-07 13:25:00,243.21,243.32,242.8,243.09,15566,INTU
2020-04-07 13:30:00,242.82,242.99,242.5,242.5,7411,INTU
2020-04-07 13:35:00,242.61,242.68,242.22,242.61,10322,INTU
2020-04-07 13:40:00,242.48,243.04,242.22,242.55,9376,INTU
2020-04-07 13:45:00,242.53,243.14,242.53,242.67,8009,INTU
2020-04-07 13:50:00,242.69,242.76,242.29,242.75,8362,INTU
2020-04-07 13:55:00,242.59,242.81,242.36,242.62,9296,INTU
2020-04-07 14:00:00,242.62,242.63,242.21,242.31,10788,INTU
2020-04-07 14:05:00,242.29,242.29,241.17,241.49,13627,INTU
2020-04-07 14:10:00,241.31,241.9,241.22,241.23,11901,INTU
2020-04-07 14:15:00,241.29,241.55,240.59,240.71,12571,INTU
2020-04-07 14:20:00,240.68,241.87,240.49,241.53,13748,INTU
2020-04-07 14:25:00,241.93,242.13,241.32,241.37,10124,INTU
2020-04-07 14:30:00,241.27,241.7,241.11,241.31,10176,INTU
2020-04-07 14:35:00,241.15,241.26,240.4,240.49,13625,INTU
2020-04-07 14:40:00,240.49,240.68,239.62,239.71,16317,INTU
2020-04-07 14:45:00,239.87,240.34,239.72,239.78,13810,INTU
2020-04-07 14:50:00,239.8,239.9,239.15,239.36,16505,INTU
2020-04-07 14:55:00,239.34,239.9,239.13,239.72,18059,INTU
2020-04-07 15:00:00,239.58,240.86,239.55,240.7,11836,INTU
2020-04-07 15:05:00,240.67,241.83,240.42,241.83,21209,INTU
2020-04-07 15:10:00,241.96,242.34,241.73,242.13,12345,INTU
2020-04-07 15:15:00,242.13,242.54,240.89,241.01,13728,INTU
2020-04-07 15:20:00,240.96,241.0,240.29,240.38,16958,INTU
2020-04-07 15:25:00,240.49,241.31,240.27,240.29,14818,INTU
2020-04-07 15:30:00,240.53,241.51,239.96,241.37,17343,INTU
2020-04-07 15:35:00,241.41,241.91,240.92,241.85,16685,INTU
2020-04-07 15:40:00,241.83,242.38,241.21,241.38,21781,INTU
2020-04-07 15:45:00,241.5,242.45,241.3,242.08,27692,INTU
2020-04-07 15:50:00,242.47,242.48,239.02,240.57,81696,INTU
2020-04-07 15:55:00,240.6,240.86,239.39,239.76,108281,INTU
2020-04-07 16:00:00,239.76,239.76,239.76,239.76,0,INTU
2020-04-07 16:15:00,239.76,239.76,239.76,239.76,0,INTU
2020-04-07 16:20:00,239.76,242.91,239.76,242.22,0,INTU
2020-04-07 16:25:00,239.76,242.41,239.76,242.41,0,INTU
