Date,Open,High,Low,Close,Volume,Name
2020-04-07 08:15:00,55.0,55.0,55.0,55.0,0,OMC
2020-04-07 09:30:00,56.45,56.45,55.78,56.39,74502,OMC
2020-04-07 09:35:00,56.34,56.75,55.83,55.83,36212,OMC
2020-04-07 09:40:00,55.71,56.06,55.71,55.91,37923,OMC
2020-04-07 09:45:00,56.0,56.58,55.91,55.98,71851,OMC
2020-04-07 09:50:00,55.88,56.34,55.88,56.2,131925,OMC
2020-04-07 09:55:00,56.22,56.31,55.91,56.27,54857,OMC
2020-04-07 10:00:00,56.3,56.44,56.12,56.35,34680,OMC
2020-04-07 10:05:00,56.35,56.57,56.3,56.36,47032,OMC
2020-04-07 10:10:00,56.34,56.63,56.25,56.43,43383,OMC
2020-04-07 10:15:00,56.33,56.42,55.18,55.7,52736,OMC
2020-04-07 10:20:00,55.75,55.85,55.3,55.46,29509,OMC
2020-04-07 10:25:00,55.44,55.68,55.12,55.34,28628,OMC
2020-04-07 10:30:00,55.39,55.96,55.32,55.55,31870,OMC
2020-04-07 10:35:00,55.59,55.79,55.47,55.47,40182,OMC
2020-04-07 10:40:00,55.47,55.5,55.25,55.25,16180,OMC
2020-04-07 10:45:00,55.28,55.38,54.59,54.59,17701,OMC
2020-04-07 10:50:00,54.69,54.8,54.19,54.3,33837,OMC
2020-04-07 10:55:00,54.29,54.67,54.27,54.63,38018,OMC
2020-04-07 11:00:00,54.63,54.8,54.44,54.75,68941,OMC
2020-04-07 11:05:00,54.78,55.22,54.74,55.2,25716,OMC
2020-04-07 11:10:00,55.29,55.35,55.03,55.12,19688,OMC
2020-04-07 11:15:00,55.19,55.33,55.06,55.1,23320,OMC
2020-04-07 11:20:00,55.1,55.14,54.74,55.08,33822,OMC
2020-04-07 11:25:00,55.09,55.51,55.04,55.33,26331,OMC
2020-04-07 11:30:00,55.28,55.87,55.28,55.71,42632,OMC
2020-04-07 11:35:00,55.71,55.88,55.67,55.8,18458,OMC
2020-04-07 11:40:00,55.68,56.25,55.68,56.01,19143,OMC
2020-04-07 11:45:00,56.0,56.07,55.55,55.57,42261,OMC
2020-04-07 11:50:00,55.55,55.58,55.35,55.47,18088,OMC
2020-04-07 11:55:00,55.41,55.57,55.24,55.28,21078,OMC
2020-04-07 12:00:00,55.31,55.6,55.31,55.58,16812,OMC
2020-04-07 12:05:00,55.58,56.03,55.57,55.81,30824,OMC
2020-04-07 12:10:00,55.9,55.96,55.63,55.86,15022,OMC
2020-04-07 12:15:00,55.85,56.13,55.85,56.11,18018,OMC
2020-04-07 12:20:00,56.08,56.17,55.96,56.0,12643,OMC
2020-04-07 12:25:00,56.02,56.08,55.93,56.03,13989,OMC
2020-04-07 12:30:00,56.08,56.12,55.77,55.86,14237,OMC
2020-04-07 12:35:00,55.83,55.91,55.66,55.81,18321,OMC
2020-04-07 12:40:00,55.86,55.93,55.7,55.9,16037,OMC
2020-04-07 12:45:00,55.9,56.13,55.9,56.13,14517,OMC
2020-04-07 12:50:00,56.08,56.13,55.84,55.88,22272,OMC
2020-04-07 12:55:00,55.88,55.96,55.76,55.91,19990,OMC
2020-04-07 13:00:00,55.93,56.0,55.84,55.84,14579,OMC
2020-04-07 13:05:00,55.91,56.0,55.66,55.69,13206,OMC
2020-04-07 13:10:00,55.67,55.67,55.41,55.59,13105,OMC
2020-04-07 13:15:00,55.52,55.54,55.2,55.26,13695,OMC
2020-04-07 13:20:00,55.27,55.3,54.85,54.95,36975,OMC
2020-04-07 13:25:00,54.94,55.18,54.87,55.12,15627,OMC
2020-04-07 13:30:00,55.12,55.2,55.02,55.17,20931,OMC
2020-04-07 13:35:00,55.17,55.19,55.02,55.02,21272,OMC
2020-04-07 13:40:00,54.98,55.33,54.91,55.17,16497,OMC
2020-04-07 13:45:00,55.15,55.22,54.99,55.05,17500,OMC
2020-04-07 13:50:00,55.05,55.15,54.9,55.02,13486,OMC
2020-04-07 13:55:00,55.05,55.39,55.03,55.3,16609,OMC
2020-04-07 14:00:00,55.3,55.34,55.21,55.23,13332,OMC
2020-04-07 14:05:00,55.22,55.22,54.94,55.14,24243,OMC
2020-04-07 14:10:00,55.15,55.32,55.15,55.3,14257,OMC
2020-04-07 14:15:00,55.29,55.31,54.94,54.94,15570,OMC
2020-04-07 14:20:00,54.98,55.31,54.96,55.18,15469,OMC
2020-04-07 14:25:00,55.14,55.41,55.1,55.3,16553,OMC
2020-04-07 14:30:00,55.3,55.39,55.17,55.3,13300,OMC
2020-04-07 14:35:00,55.23,55.3,55.12,55.15,13650,OMC
2020-04-07 14:40:00,55.15,55.19,54.9,54.94,13579,OMC
2020-04-07 14:45:00,54.97,55.04,54.76,54.81,24153,OMC
2020-04-07 14:50:00,54.77,54.8,54.31,54.32,39426,OMC
2020-04-07 14:55:00,54.33,54.51,54.19,54.44,35505,OMC
2020-04-07 15:00:00,54.44,54.77,54.44,54.6,27163,OMC
2020-04-07 15:05:00,54.56,54.77,54.53,54.74,30007,OMC
2020-04-07 15:10:00,54.74,54.96,54.63,54.85,48160,OMC
2020-04-07 15:15:00,54.9,54.93,54.53,54.53,32583,OMC
2020-04-07 15:20:00,54.57,54.61,54.24,54.29,23369,OMC
2020-04-07 15:25:00,54.29,54.65,54.29,54.36,29134,OMC
2020-04-07 15:30:00,54.33,54.56,54.28,54.5,77507,OMC
2020-04-07 15:35:00,54.49,54.63,54.37,54.57,63800,OMC
2020-04-07 15:40:00,54.58,54.76,54.53,54.72,41913,OMC
2020-04-07 15:45:00,54.69,55.01,54.66,55.0,77518,OMC
2020-04-07 15:50:00,54.97,54.99,54.23,54.35,99021,OMC
2020-04-07 15:55:00,54.39,54.51,54.22,54.25,122476,OMC
2020-04-07 16:00:00,54.26,54.26,54.26,54.26,0,OMC
2020-04-07 16:15:00,54.26,54.26,54.26,54.26,0,OMC
2020-04-07 16:20:00,55.2,55.2,55.2,55.2,0,OMC
2020-04-07 16:35:00,54.26,54.26,54.26,54.26,0,OMC
2020-04-08 09:30:00,54.74,54.85,54.15,54.3,34681,OMC
2020-04-08 09:35:00,54.42,54.53,53.72,54.07,31850,OMC
2020-04-08 09:40:00,54.1,54.16,53.86,53.88,26519,OMC
2020-04-08 09:45:00,53.88,54.05,53.52,53.57,49885,OMC
2020-04-08 09:50:00,53.57,53.79,53.42,53.57,30546,OMC
2020-04-08 09:55:00,53.58,53.7,53.42,53.43,17014,OMC
2020-04-08 10:00:00,53.42,53.76,53.42,53.56,11853,OMC
2020-04-08 10:05:00,53.59,53.63,53.21,53.27,14004,OMC
2020-04-08 10:10:00,53.31,53.82,53.31,53.82,14674,OMC
2020-04-08 10:15:00,53.82,53.85,53.63,53.85,19357,OMC
2020-04-08 10:20:00,53.74,53.77,53.38,53.38,14786,OMC
2020-04-08 10:25:00,53.37,53.45,53.0,53.09,64151,OMC
2020-04-08 10:30:00,53.12,53.36,52.9,53.22,26721,OMC
2020-04-08 10:35:00,53.28,53.44,53.17,53.17,17359,OMC
2020-04-08 10:40:00,53.2,53.48,53.17,53.46,37514,OMC
2020-04-08 10:45:00,53.49,53.74,53.38,53.52,16218,OMC
2020-04-08 10:50:00,53.64,53.76,53.59,53.61,17011,OMC
2020-04-08 10:55:00,53.62,53.68,53.45,53.66,46192,OMC
2020-04-08 11:00:00,53.63,53.69,53.47,53.56,41829,OMC
2020-04-08 11:05:00,53.57,53.74,53.55,53.73,19338,OMC
2020-04-08 11:10:00,53.72,53.76,53.59,53.7,23310,OMC
2020-04-08 11:15:00,53.7,53.78,53.64,53.71,17107,OMC
2020-04-08 11:20:00,53.74,54.04,53.74,54.04,18821,OMC
2020-04-08 11:25:00,54.05,54.42,54.01,54.38,15898,OMC
2020-04-08 11:30:00,54.41,54.5,54.22,54.28,25726,OMC
2020-04-08 11:35:00,54.24,54.41,54.18,54.35,16995,OMC
2020-04-08 11:40:00,54.4,54.4,54.19,54.22,11815,OMC
2020-04-08 11:45:00,54.22,54.35,54.1,54.21,21737,OMC
2020-04-08 11:50:00,54.21,54.21,54.04,54.17,27536,OMC
2020-04-08 11:55:00,54.19,54.4,54.12,54.22,18294,OMC
2020-04-08 12:00:00,54.22,54.23,53.92,54.06,10223,OMC
2020-04-08 12:05:00,54.02,54.1,53.92,54.02,9447,OMC
2020-04-08 12:10:00,54.07,54.09,53.9,54.01,15183,OMC
2020-04-08 12:15:00,54.05,54.21,54.05,54.21,13681,OMC
2020-04-08 12:20:00,54.19,54.48,54.18,54.38,30934,OMC
2020-04-08 12:25:00,54.35,54.38,54.06,54.13,27985,OMC
2020-04-08 12:30:00,54.13,54.28,53.88,53.89,22912,OMC
2020-04-08 12:35:00,53.9,54.23,53.86,54.23,19057,OMC
2020-04-08 12:40:00,54.18,54.28,54.16,54.27,6950,OMC
2020-04-08 12:45:00,54.24,54.46,54.22,54.29,9798,OMC
2020-04-08 12:50:00,54.3,54.34,54.02,54.18,17654,OMC
2020-04-08 12:55:00,54.19,54.19,54.08,54.11,10014,OMC
2020-04-08 13:00:00,54.12,54.17,53.91,54.01,10919,OMC
2020-04-08 13:05:00,53.97,54.1,53.9,53.9,10332,OMC
2020-04-08 13:10:00,53.88,54.11,53.85,54.11,9316,OMC
2020-04-08 13:15:00,54.13,54.13,53.98,54.11,10080,OMC
2020-04-08 13:20:00,54.17,54.32,54.15,54.3,25213,OMC
2020-04-08 13:25:00,54.3,54.42,54.27,54.27,16882,OMC
2020-04-08 13:30:00,54.28,54.33,54.06,54.1,16564,OMC
2020-04-08 13:35:00,54.08,54.08,53.92,53.97,8188,OMC
2020-04-08 13:40:00,53.97,54.02,53.91,53.97,11630,OMC
2020-04-08 13:45:00,54.02,54.17,54.01,54.01,18425,OMC
2020-04-08 13:50:00,54.02,54.11,53.99,54.1,10905,OMC
2020-04-08 13:55:00,54.08,54.08,53.82,53.93,14680,OMC
2020-04-08 14:00:00,53.97,54.2,53.9,54.1,15822,OMC
2020-04-08 14:05:00,54.15,54.19,54.03,54.19,13170,OMC
2020-04-08 14:10:00,54.17,54.21,53.98,54.03,14417,OMC
2020-04-08 14:15:00,54.16,54.26,54.15,54.22,11843,OMC
2020-04-08 14:20:00,54.26,54.43,54.1,54.4,18420,OMC
2020-04-08 14:25:00,54.4,54.57,54.3,54.3,13515,OMC
2020-04-08 14:30:00,54.34,54.46,54.27,54.35,45170,OMC
2020-04-08 14:35:00,54.3,54.34,54.19,54.2,29339,OMC
2020-04-08 14:40:00,54.18,54.34,54.18,54.24,35806,OMC
2020-04-08 14:45:00,54.24,54.26,53.88,53.89,28263,OMC
2020-04-08 14:50:00,53.89,54.01,53.87,53.92,24971,OMC
2020-04-08 14:55:00,53.94,54.03,53.89,54.01,21138,OMC
2020-04-08 15:00:00,54.0,54.11,53.91,54.11,30791,OMC
2020-04-08 15:05:00,54.1,54.13,54.05,54.1,23812,OMC
2020-04-08 15:10:00,54.1,54.29,54.01,54.29,53065,OMC
2020-04-08 15:15:00,54.3,54.57,54.3,54.49,40840,OMC
2020-04-08 15:20:00,54.49,54.51,54.09,54.2,37851,OMC
2020-04-08 15:25:00,54.25,54.33,54.23,54.28,32424,OMC
2020-04-08 15:30:00,54.29,54.49,54.22,54.28,34024,OMC
2020-04-08 15:35:00,54.15,54.15,53.99,54.15,45352,OMC
2020-04-08 15:40:00,54.17,54.17,53.94,54.05,53377,OMC
2020-04-08 15:45:00,54.03,54.45,53.95,54.44,53533,OMC
2020-04-08 15:50:00,54.46,55.09,54.46,55.06,142903,OMC
2020-04-08 15:55:00,55.05,55.06,54.61,54.65,204710,OMC
2020-04-08 16:00:00,54.67,54.67,54.67,54.67,0,OMC
2020-04-08 16:15:00,54.67,54.67,54.2,54.2,0,OMC
2020-04-08 16:20:00,54.67,54.67,54.67,54.67,0,OMC
2020-04-08 16:25:00,54.67,54.67,54.67,54.67,0,OMC
2020-04-08 16:35:00,54.67,54.67,54.67,54.67,0,OMC
2020-04-09 09:30:00,55.68,56.01,55.45,55.71,24869,OMC
2020-04-09 09:35:00,55.68,56.12,55.51,56.0,21358,OMC
2020-04-09 09:40:00,56.0,56.19,55.72,56.02,24222,OMC
2020-04-09 09:45:00,56.0,56.63,55.91,56.4,47020,OMC
2020-04-09 09:50:00,56.42,56.94,56.32,56.75,22752,OMC
2020-04-09 09:55:00,56.78,56.84,56.44,56.47,29052,OMC
2020-04-09 10:00:00,56.54,56.79,56.4,56.54,27219,OMC
2020-04-09 10:05:00,56.49,56.66,56.38,56.45,25962,OMC
2020-04-09 10:10:00,56.49,56.74,56.45,56.59,36189,OMC
2020-04-09 10:15:00,56.53,56.57,56.34,56.34,20470,OMC
2020-04-09 10:20:00,56.32,56.51,56.22,56.5,27667,OMC
2020-04-09 10:25:00,56.48,56.78,56.45,56.63,24131,OMC
2020-04-09 10:30:00,56.65,56.71,56.35,56.59,52897,OMC
2020-04-09 10:35:00,56.64,56.83,56.56,56.75,42258,OMC
2020-04-09 10:40:00,56.8,56.82,56.48,56.64,34182,OMC
2020-04-09 10:45:00,56.66,56.78,56.55,56.67,18267,OMC
2020-04-09 10:50:00,56.66,56.71,56.48,56.51,19693,OMC
2020-04-09 10:55:00,56.53,56.55,56.47,56.51,40894,OMC
2020-04-09 11:00:00,56.51,56.54,56.36,56.4,18578,OMC
2020-04-09 11:05:00,56.41,56.51,56.2,56.47,17348,OMC
2020-04-09 11:10:00,56.5,56.51,56.31,56.42,12500,OMC
2020-04-09 11:15:00,56.47,56.53,56.37,56.39,14527,OMC
2020-04-09 11:20:00,56.47,56.53,56.31,56.38,17351,OMC
2020-04-09 11:25:00,56.4,56.53,56.33,56.5,29742,OMC
2020-04-09 11:30:00,56.48,56.52,56.42,56.5,28593,OMC
2020-04-09 11:35:00,56.5,56.67,56.39,56.59,40241,OMC
2020-04-09 11:40:00,56.6,56.64,56.51,56.59,19463,OMC
2020-04-09 11:45:00,56.62,56.72,56.58,56.7,25280,OMC
2020-04-09 11:50:00,56.7,56.85,56.69,56.82,34056,OMC
2020-04-09 11:55:00,56.79,57.48,56.77,57.48,67519,OMC
2020-04-09 12:00:00,57.47,57.51,57.24,57.34,38618,OMC
2020-04-09 12:05:00,57.3,57.56,57.22,57.49,20794,OMC
2020-04-09 12:10:00,57.5,57.66,57.48,57.51,20855,OMC
2020-04-09 12:15:00,57.49,57.54,57.4,57.5,30303,OMC
2020-04-09 12:20:00,57.5,57.51,57.42,57.48,20908,OMC
2020-04-09 12:25:00,57.46,57.5,57.38,57.39,24729,OMC
2020-04-09 12:30:00,57.39,57.53,57.39,57.52,16194,OMC
2020-04-09 12:35:00,57.49,57.51,57.43,57.48,19637,OMC
2020-04-09 12:40:00,57.5,57.52,57.44,57.49,25108,OMC
2020-04-09 12:45:00,57.48,57.5,57.34,57.34,17634,OMC
2020-04-09 12:50:00,57.28,57.51,57.26,57.5,14295,OMC
2020-04-09 12:55:00,57.47,57.62,57.44,57.44,38739,OMC
2020-04-09 13:00:00,57.46,57.52,57.36,57.38,17877,OMC
2020-04-09 13:05:00,57.36,57.5,57.36,57.5,13166,OMC
2020-04-09 13:10:00,57.49,57.53,57.35,57.49,16951,OMC
2020-04-09 13:15:00,57.5,57.53,57.42,57.5,17627,OMC
2020-04-09 13:20:00,57.49,57.52,57.42,57.42,20941,OMC
2020-04-09 13:25:00,57.42,57.51,57.31,57.5,29408,OMC
2020-04-09 13:30:00,57.5,57.5,57.31,57.42,21388,OMC
2020-04-09 13:35:00,57.42,57.43,57.1,57.1,28662,OMC
2020-04-09 13:40:00,57.13,57.14,56.84,56.87,28391,OMC
2020-04-09 13:45:00,56.87,57.1,56.87,57.1,18843,OMC
2020-04-09 13:50:00,57.11,57.21,57.04,57.18,17668,OMC
2020-04-09 13:55:00,57.19,57.23,57.0,57.22,21018,OMC
