Date,Open,High,Low,Close,Volume,Name
2020-04-07 09:25:00,37.2,37.2,37.2,37.2,0,ROL
2020-04-07 09:30:00,37.44,37.74,37.25,37.4,43267,ROL
2020-04-07 09:35:00,37.36,37.38,36.84,36.95,22588,ROL
2020-04-07 09:40:00,36.99,37.37,36.95,37.21,14317,ROL
2020-04-07 09:45:00,37.27,37.5,36.96,36.96,6654,ROL
2020-04-07 09:50:00,36.95,37.23,36.93,37.11,10936,ROL
2020-04-07 09:55:00,37.11,37.21,37.08,37.08,9155,ROL
2020-04-07 10:00:00,37.17,37.23,36.86,36.89,8962,ROL
2020-04-07 10:05:00,36.88,37.18,36.88,37.02,12432,ROL
2020-04-07 10:10:00,37.14,37.14,36.88,36.96,9694,ROL
2020-04-07 10:15:00,36.89,37.04,36.85,36.89,9743,ROL
2020-04-07 10:20:00,36.96,37.08,36.95,36.95,8468,ROL
2020-04-07 10:25:00,36.91,37.1,36.89,36.89,11105,ROL
2020-04-07 10:30:00,36.91,37.12,36.91,37.12,10738,ROL
2020-04-07 10:35:00,37.08,37.14,36.87,37.01,14924,ROL
2020-04-07 10:40:00,36.97,37.12,36.9,36.98,8666,ROL
2020-04-07 10:45:00,36.97,37.08,36.86,37.01,7357,ROL
2020-04-07 10:50:00,37.06,37.2,36.99,37.02,13694,ROL
2020-04-07 10:55:00,36.99,37.06,36.94,37.02,11333,ROL
2020-04-07 11:00:00,37.0,37.05,36.88,36.96,11648,ROL
2020-04-07 11:05:00,36.93,36.98,36.81,36.94,12295,ROL
2020-04-07 11:10:00,36.96,37.17,36.96,37.14,10697,ROL
2020-04-07 11:15:00,37.17,37.28,37.17,37.21,9962,ROL
2020-04-07 11:20:00,37.17,37.38,37.16,37.37,14855,ROL
2020-04-07 11:25:00,37.37,37.37,36.91,36.93,23613,ROL
2020-04-07 11:30:00,36.89,37.02,36.85,36.9,7603,ROL
2020-04-07 11:35:00,36.95,37.05,36.95,36.99,14156,ROL
2020-04-07 11:40:00,37.02,37.12,36.99,37.11,13590,ROL
2020-04-07 11:45:00,37.1,37.15,37.01,37.04,10742,ROL
2020-04-07 11:50:00,37.04,37.04,36.92,37.01,7571,ROL
2020-04-07 11:55:00,37.0,37.0,36.87,36.94,7771,ROL
2020-04-07 12:00:00,36.94,37.02,36.92,37.02,5640,ROL
