Date,Open,High,Low,Close,Volume,Name
2020-04-07 04:15:00,56.1,56.1,56.1,56.1,0,STT
2020-04-07 06:15:00,57.4,57.4,57.4,57.4,0,STT
2020-04-07 09:20:00,55.55,55.55,55.55,55.55,0,STT
2020-04-07 09:30:00,58.64,59.12,58.35,58.55,54387,STT
2020-04-07 09:35:00,58.55,58.77,58.08,58.08,37265,STT
2020-04-07 09:40:00,58.05,58.48,57.73,58.47,39347,STT
2020-04-07 09:45:00,58.64,58.67,58.2,58.2,27126,STT
2020-04-07 09:50:00,58.33,58.38,58.18,58.34,26175,STT
2020-04-07 09:55:00,58.38,58.49,58.24,58.43,19321,STT
2020-04-07 10:00:00,58.49,58.51,58.12,58.28,44643,STT
2020-04-07 10:05:00,58.35,58.49,58.0,58.0,18129,STT
2020-04-07 10:10:00,58.0,58.19,57.68,57.81,27077,STT
2020-04-07 10:15:00,57.8,57.8,57.21,57.48,27680,STT
2020-04-07 10:20:00,57.48,57.68,56.82,56.82,21575,STT
2020-04-07 10:25:00,56.72,57.16,56.62,56.79,18953,STT
2020-04-07 10:30:00,56.72,57.22,56.72,57.07,25086,STT
2020-04-07 10:35:00,57.06,57.23,56.92,57.19,13495,STT
2020-04-07 10:40:00,57.17,57.42,57.09,57.27,19267,STT
2020-04-07 10:45:00,57.3,57.55,57.28,57.38,41156,STT
2020-04-07 10:50:00,57.43,57.51,57.26,57.35,34746,STT
2020-04-07 10:55:00,57.33,57.59,57.27,57.38,20242,STT
2020-04-07 11:00:00,57.35,57.52,57.27,57.52,21984,STT
2020-04-07 11:05:00,57.59,57.85,57.55,57.77,19958,STT
2020-04-07 11:10:00,57.8,57.92,57.71,57.9,15858,STT
2020-04-07 11:15:00,57.92,58.21,57.91,58.2,20760,STT
2020-04-07 11:20:00,58.15,58.25,57.82,57.99,19490,STT
2020-04-07 11:25:00,58.03,58.29,57.89,58.15,20128,STT
2020-04-07 11:30:00,58.15,58.38,58.1,58.2,17367,STT
2020-04-07 11:35:00,58.22,58.5,58.22,58.5,15262,STT
2020-04-07 11:40:00,58.52,58.52,58.33,58.34,21132,STT
2020-04-07 11:45:00,58.36,58.48,58.16,58.21,19423,STT
2020-04-07 11:50:00,58.22,58.23,57.94,58.12,15051,STT
2020-04-07 11:55:00,58.11,58.34,58.02,58.2,22522,STT
2020-04-07 12:00:00,58.22,58.36,58.18,58.28,20123,STT
