Date,Open,High,Low,Close,Volume,Name
2020-04-07 04:20:00,146.0,146.0,146.0,146.0,0,STZ
2020-04-07 07:15:00,147.0,147.0,147.0,147.0,0,STZ
2020-04-07 07:20:00,146.21,146.21,146.21,146.21,0,STZ
2020-04-07 07:45:00,147.05,147.05,147.05,147.05,0,STZ
2020-04-07 08:00:00,146.95,146.95,146.95,146.95,0,STZ
2020-04-07 08:05:00,147.92,147.92,147.92,147.92,0,STZ
2020-04-07 08:10:00,146.95,146.95,146.95,146.95,0,STZ
2020-04-07 08:15:00,147.0,148.0,146.5,148.0,0,STZ
2020-04-07 08:30:00,147.99,148.0,147.99,148.0,0,STZ
2020-04-07 08:40:00,142.26,149.0,142.26,149.0,0,STZ
2020-04-07 08:45:00,149.0,149.0,149.0,149.0,0,STZ
2020-04-07 09:00:00,149.0,149.0,149.0,149.0,0,STZ
2020-04-07 09:05:00,149.15,149.15,149.15,149.15,0,STZ
2020-04-07 09:20:00,149.95,149.98,142.26,142.26,0,STZ
2020-04-07 09:25:00,150.0,150.0,150.0,150.0,0,STZ
2020-04-07 09:30:00,156.49,162.99,156.2,157.02,218426,STZ
2020-04-07 09:35:00,157.28,159.75,155.2,155.2,56963,STZ
2020-04-07 09:40:00,155.55,156.16,154.15,155.34,70766,STZ
2020-04-07 09:45:00,155.01,155.43,153.2,153.66,48774,STZ
2020-04-07 09:50:00,153.62,155.29,153.27,153.27,55451,STZ
2020-04-07 09:55:00,153.49,154.48,153.16,154.25,38647,STZ
2020-04-07 10:00:00,154.44,154.44,152.75,153.05,40337,STZ
2020-04-07 10:05:00,152.91,153.04,152.38,152.64,42670,STZ
2020-04-07 10:10:00,152.71,153.1,152.12,152.26,68318,STZ
2020-04-07 10:15:00,152.2,152.69,151.24,152.41,32813,STZ
2020-04-07 10:20:00,152.5,153.01,151.02,151.71,21547,STZ
2020-04-07 10:25:00,151.6,152.58,151.59,152.44,22789,STZ
2020-04-07 10:30:00,152.58,153.32,152.29,152.98,27985,STZ
2020-04-07 10:35:00,152.95,153.19,152.4,152.83,20641,STZ
2020-04-07 10:40:00,152.67,153.32,151.9,152.74,19543,STZ
2020-04-07 10:45:00,152.51,152.66,151.1,151.1,18156,STZ
2020-04-07 10:50:00,151.28,151.28,149.7,150.12,50817,STZ
2020-04-07 10:55:00,150.24,151.2,150.12,150.43,13234,STZ
2020-04-07 11:00:00,150.42,150.6,149.61,150.25,19144,STZ
2020-04-07 11:05:00,150.39,152.04,150.11,152.04,20348,STZ
2020-04-07 11:10:00,152.11,153.11,151.62,152.96,21424,STZ
2020-04-07 11:15:00,152.87,153.77,152.87,153.6,31340,STZ
2020-04-07 11:20:00,153.5,154.61,153.33,153.85,29458,STZ
2020-04-07 11:25:00,153.82,154.99,153.57,154.47,25267,STZ
2020-04-07 11:30:00,154.43,155.3,154.22,154.92,45610,STZ
2020-04-07 11:35:00,154.85,155.98,154.83,155.72,17658,STZ
2020-04-07 11:40:00,155.73,155.82,154.62,154.62,21287,STZ
2020-04-07 11:45:00,154.78,154.81,153.99,154.63,17697,STZ
