Date,Open,High,Low,Close,Volume,Name
2020-04-07 09:15:00,200.62,200.62,200.62,200.62,0,VRSN
2020-04-07 09:25:00,195.86,195.86,195.85,195.85,0,VRSN
2020-04-07 09:30:00,199.45,199.69,198.13,198.85,29871,VRSN
2020-04-07 09:35:00,198.13,198.73,196.65,196.65,4318,VRSN
2020-04-07 09:40:00,197.0,199.94,197.0,198.5,10928,VRSN
2020-04-07 09:45:00,199.31,199.31,196.05,196.05,5567,VRSN
2020-04-07 09:50:00,196.68,198.39,196.63,198.14,6161,VRSN
2020-04-07 09:55:00,199.04,199.05,195.17,195.21,10329,VRSN
2020-04-07 10:00:00,195.18,196.56,194.22,195.51,14570,VRSN
2020-04-07 10:05:00,195.65,196.1,194.93,195.44,17849,VRSN
2020-04-07 10:10:00,195.45,196.49,194.73,194.73,8668,VRSN
2020-04-07 10:15:00,194.55,195.83,193.0,194.94,13915,VRSN
2020-04-07 10:20:00,195.49,195.49,194.26,194.26,2239,VRSN
2020-04-07 10:25:00,194.27,195.25,194.16,194.52,7879,VRSN
2020-04-07 10:30:00,194.65,195.5,194.6,195.18,12894,VRSN
2020-04-07 10:35:00,194.99,195.37,194.02,194.34,8020,VRSN
2020-04-07 10:40:00,193.99,194.27,193.54,193.54,7421,VRSN
2020-04-07 10:45:00,193.33,193.73,192.66,192.8,9749,VRSN
2020-04-07 10:50:00,192.83,193.41,192.3,192.3,6379,VRSN
2020-04-07 10:55:00,192.25,193.71,192.25,193.16,6017,VRSN
2020-04-07 11:00:00,192.69,192.81,192.16,192.46,5812,VRSN
2020-04-07 11:05:00,192.39,193.21,192.39,192.7,4582,VRSN
2020-04-07 11:10:00,193.0,193.27,192.92,193.27,4864,VRSN
2020-04-07 11:15:00,193.5,194.03,193.32,193.91,5870,VRSN
2020-04-07 11:20:00,193.58,194.6,193.39,194.08,8057,VRSN
2020-04-07 11:25:00,193.97,194.03,193.66,193.77,2744,VRSN
2020-04-07 11:30:00,194.01,195.01,194.01,194.35,4393,VRSN
2020-04-07 11:35:00,194.37,195.81,194.37,195.75,13157,VRSN
2020-04-07 11:40:00,195.75,196.15,195.6,196.15,10088,VRSN
2020-04-07 11:45:00,196.17,197.58,196.16,197.33,8733,VRSN
2020-04-07 11:50:00,197.39,197.57,196.1,196.36,7380,VRSN
2020-04-07 11:55:00,196.2,196.77,195.03,195.31,12892,VRSN
2020-04-07 12:00:00,195.56,196.11,195.46,195.71,11512,VRSN
2020-04-07 12:05:00,195.97,196.82,195.82,196.82,7911,VRSN
2020-04-07 12:10:00,196.6,197.16,196.36,196.44,7893,VRSN
2020-04-07 12:15:00,196.79,197.72,196.79,197.42,10432,VRSN
2020-04-07 12:20:00,197.62,198.32,197.55,197.71,11465,VRSN
2020-04-07 12:25:00,197.78,197.84,197.32,197.68,10282,VRSN
2020-04-07 12:30:00,197.49,197.65,196.77,196.87,3689,VRSN
2020-04-07 12:35:00,196.71,197.49,196.42,196.72,6294,VRSN
2020-04-07 12:40:00,196.76,197.51,196.76,197.18,5524,VRSN
2020-04-07 12:45:00,197.24,197.24,196.99,197.13,2987,VRSN
2020-04-07 12:50:00,196.94,196.98,196.68,196.98,4448,VRSN
2020-04-07 12:55:00,197.07,197.43,196.68,196.68,7546,VRSN
2020-04-07 13:00:00,196.75,197.36,196.65,196.86,5358,VRSN
2020-04-07 13:05:00,196.83,197.34,196.79,197.34,8240,VRSN
2020-04-07 13:10:00,197.09,197.57,196.89,197.27,6428,VRSN
2020-04-07 13:15:00,197.0,197.45,197.0,197.36,14220,VRSN
2020-04-07 13:20:00,197.31,197.51,196.91,197.26,5440,VRSN
2020-04-07 13:25:00,196.97,197.5,196.87,196.88,4113,VRSN
2020-04-07 13:30:00,196.85,197.01,196.7,196.8,4808,VRSN
2020-04-07 13:35:00,196.9,196.97,196.68,196.7,6750,VRSN
2020-04-07 13:40:00,196.72,197.24,196.72,196.78,5459,VRSN
2020-04-07 13:45:00,196.83,197.26,196.57,196.78,4109,VRSN
2020-04-07 13:50:00,196.78,196.94,196.68,196.94,4820,VRSN
2020-04-07 13:55:00,196.76,197.0,196.62,197.0,9051,VRSN
2020-04-07 14:00:00,196.94,197.0,196.4,196.67,5957,VRSN
2020-04-07 14:05:00,196.55,196.65,195.49,195.85,4545,VRSN
2020-04-07 14:10:00,195.84,195.93,195.28,195.28,4011,VRSN
2020-04-07 14:15:00,195.29,195.29,194.7,194.7,1622,VRSN
2020-04-07 14:20:00,195.04,195.52,194.88,195.43,6948,VRSN
2020-04-07 14:25:00,195.5,195.8,195.49,195.49,2823,VRSN
2020-04-07 14:30:00,195.01,195.01,194.55,194.8,1598,VRSN
2020-04-07 14:35:00,194.69,194.69,194.47,194.47,3863,VRSN
2020-04-07 14:40:00,193.49,193.77,193.03,193.03,2044,VRSN
2020-04-07 14:45:00,193.37,193.68,193.21,193.21,5748,VRSN
2020-04-07 14:50:00,193.2,193.23,192.39,192.39,3727,VRSN
2020-04-07 14:55:00,192.26,192.95,192.26,192.71,4512,VRSN
2020-04-07 15:00:00,192.72,193.41,192.61,193.14,4663,VRSN
2020-04-07 15:05:00,193.25,193.69,192.69,193.28,6003,VRSN
2020-04-07 15:10:00,193.48,194.3,193.48,194.11,4940,VRSN
2020-04-07 15:15:00,194.25,194.27,193.23,193.26,5346,VRSN
2020-04-07 15:20:00,193.0,193.53,192.46,192.46,4517,VRSN
2020-04-07 15:25:00,192.49,193.38,192.49,192.72,7145,VRSN
2020-04-07 15:30:00,192.51,193.34,192.13,193.34,8142,VRSN
2020-04-07 15:35:00,193.3,194.31,193.21,194.28,10548,VRSN
2020-04-07 15:40:00,194.09,194.53,194.09,194.3,6478,VRSN
2020-04-07 15:45:00,194.45,195.84,194.35,195.84,12859,VRSN
2020-04-07 15:50:00,195.12,195.62,191.23,192.09,41471,VRSN
2020-04-07 15:55:00,191.91,192.32,190.95,191.21,35908,VRSN
2020-04-07 16:00:00,190.95,190.95,190.95,190.95,0,VRSN
2020-04-07 16:15:00,190.95,190.95,190.95,190.95,0,VRSN
2020-04-07 16:20:00,194.21,194.21,194.21,194.21,0,VRSN
2020-04-07 16:35:00,190.95,190.95,190.95,190.95,0,VRSN
2020-04-07 17:10:00,193.86,193.86,193.86,193.86,0,VRSN
2020-04-08 09:25:00,192.11,192.11,192.11,192.11,0,VRSN
2020-04-08 09:30:00,194.35,194.35,191.49,192.08,8802,VRSN
2020-04-08 09:35:00,193.01,193.01,192.29,192.92,2309,VRSN
2020-04-08 09:40:00,193.59,193.6,192.31,192.31,2197,VRSN
2020-04-08 09:45:00,192.16,193.36,192.16,192.84,3408,VRSN
2020-04-08 09:50:00,192.75,193.32,192.75,193.02,1709,VRSN
2020-04-08 09:55:00,192.74,192.74,192.18,192.24,3151,VRSN
2020-04-08 10:00:00,192.65,193.17,191.76,191.76,4403,VRSN
2020-04-08 10:05:00,191.61,191.62,190.42,191.25,8708,VRSN
2020-04-08 10:10:00,191.54,192.23,190.9,190.9,6186,VRSN
2020-04-08 10:15:00,190.78,191.0,190.6,190.91,9774,VRSN
2020-04-08 10:20:00,190.82,190.97,190.49,190.82,4549,VRSN
2020-04-08 10:25:00,190.82,191.6,190.79,191.58,15118,VRSN
2020-04-08 10:30:00,191.6,191.6,191.17,191.25,3210,VRSN
2020-04-08 10:35:00,191.43,191.52,190.87,190.94,4708,VRSN
2020-04-08 10:40:00,191.3,191.31,189.78,189.8,8721,VRSN
2020-04-08 10:45:00,190.07,190.95,190.07,190.84,5594,VRSN
2020-04-08 10:50:00,191.26,191.75,191.11,191.69,3256,VRSN
2020-04-08 10:55:00,191.64,191.84,191.17,191.71,3553,VRSN
2020-04-08 11:00:00,191.68,192.05,191.51,191.61,5532,VRSN
2020-04-08 11:05:00,191.82,191.83,191.21,191.66,3939,VRSN
2020-04-08 11:10:00,191.59,192.13,191.59,191.82,10555,VRSN
2020-04-08 11:15:00,191.87,192.36,191.87,192.34,2596,VRSN
2020-04-08 11:20:00,192.32,193.19,192.24,192.84,4551,VRSN
2020-04-08 11:25:00,193.18,193.55,193.11,193.35,2794,VRSN
2020-04-08 11:30:00,193.21,193.43,192.6,193.1,3946,VRSN
2020-04-08 11:35:00,193.15,193.48,193.15,193.42,4146,VRSN
2020-04-08 11:40:00,193.2,193.23,192.99,192.99,3183,VRSN
2020-04-08 11:45:00,193.05,193.48,193.05,193.26,3686,VRSN
