Date,Open,High,Low,Close,Volume,Name
2017-08-10 09:00:00,94.99,94.99,94.99,94.99,0,ALL
2017-08-10 09:30:00,94.25,94.67,94.25,94.44,294833,ALL
2017-08-10 10:30:00,94.44,94.51,94.24,94.31,131629,ALL
2017-08-10 11:30:00,94.33,94.62,94.33,94.45,153691,ALL
2017-08-10 12:30:00,94.45,94.62,94.41,94.55,120610,ALL
2017-08-10 13:30:00,94.55,94.56,94.41,94.52,146832,ALL
2017-08-10 14:30:00,94.52,94.68,94.36,94.37,187954,ALL
2017-08-10 15:30:00,94.39,94.39,94.14,94.17,282196,ALL
2017-08-10 16:00:00,94.16,94.41,94.16,94.16,0,ALL
2017-08-10 17:00:00,94.15,94.15,94.15,94.15,0,ALL
2017-08-11 09:00:00,94.02,94.02,94.02,94.02,0,ALL
2017-08-11 09:30:00,94.27,94.4,94.15,94.26,227746,ALL
2017-08-11 10:30:00,94.28,94.34,94.17,94.23,182525,ALL
2017-08-11 11:30:00,94.25,94.42,94.19,94.2,85814,ALL
2017-08-11 12:30:00,94.22,94.28,94.14,94.17,92737,ALL
2017-08-11 13:30:00,94.15,94.18,93.99,94.1,97678,ALL
2017-08-11 14:30:00,94.09,94.11,93.91,93.95,157687,ALL
2017-08-11 15:30:00,93.96,94.09,93.94,93.98,178598,ALL
2017-08-11 16:00:00,93.95,94.23,93.95,94.23,0,ALL
2017-08-14 09:30:00,94.61,94.69,94.47,94.64,306850,ALL
2017-08-14 10:30:00,94.64,94.76,94.6,94.76,265919,ALL
2017-08-14 11:30:00,94.65,94.82,94.64,94.69,178143,ALL
2017-08-14 12:30:00,94.72,94.73,94.56,94.56,160903,ALL
2017-08-14 13:30:00,94.58,94.61,94.46,94.5,258496,ALL
2017-08-14 14:30:00,94.5,94.55,94.38,94.46,398033,ALL
2017-08-14 15:30:00,94.46,94.49,94.37,94.37,252942,ALL
2017-08-14 16:00:00,94.46,94.56,94.37,94.42,0,ALL
2017-08-15 09:30:00,94.63,94.81,94.29,94.39,570777,ALL
2017-08-15 10:30:00,94.4,94.41,94.24,94.37,549408,ALL
2017-08-15 11:30:00,94.36,94.4,94.12,94.24,357007,ALL
2017-08-15 12:30:00,94.23,94.31,94.18,94.3,242251,ALL
2017-08-15 13:30:00,94.23,94.41,94.23,94.41,233062,ALL
2017-08-15 14:30:00,94.33,94.51,94.32,94.49,274345,ALL
2017-08-15 15:30:00,94.48,94.5,94.35,94.39,200609,ALL
2017-08-15 16:00:00,94.44,94.72,94.34,94.38,0,ALL
2017-08-15 17:00:00,94.4,94.4,94.0,94.0,0,ALL
2017-08-15 18:00:00,94.37,94.37,94.37,94.37,0,ALL
2017-08-16 08:00:00,94.35,94.35,94.35,94.35,0,ALL
2017-08-16 09:30:00,94.73,95.25,94.71,94.76,292825,ALL
2017-08-16 10:30:00,94.74,94.95,94.63,94.64,249089,ALL
2017-08-16 11:30:00,94.67,94.73,94.47,94.73,267769,ALL
2017-08-16 12:30:00,94.75,94.76,94.55,94.62,174914,ALL
2017-08-16 13:30:00,94.65,94.65,94.46,94.51,217129,ALL
2017-08-16 14:30:00,94.5,94.61,94.43,94.56,212630,ALL
2017-08-16 15:30:00,94.56,94.56,94.31,94.36,345813,ALL
2017-08-16 16:00:00,94.38,94.7,94.38,94.38,0,ALL
2017-08-16 17:00:00,94.9,94.9,94.9,94.9,0,ALL
2017-08-17 09:30:00,94.29,94.48,94.06,94.16,438582,ALL
2017-08-17 10:30:00,94.13,94.29,93.99,94.15,918027,ALL
2017-08-17 11:30:00,94.25,94.29,93.91,93.96,258688,ALL
2017-08-17 12:30:00,93.98,94.01,93.7,93.8,397173,ALL
2017-08-17 13:30:00,93.85,93.9,93.68,93.83,417471,ALL
2017-08-17 14:30:00,93.76,93.86,93.64,93.67,362786,ALL
2017-08-17 15:30:00,93.65,93.69,93.27,93.35,390287,ALL
2017-08-17 16:00:00,93.68,93.74,93.27,93.33,611316,ALL
2017-08-17 18:00:00,93.33,93.33,93.33,93.33,0,ALL
2017-08-18 09:30:00,93.16,93.26,92.91,92.94,829163,ALL
2017-08-18 10:30:00,93.07,93.07,92.59,93.0,543199,ALL
2017-08-18 11:30:00,92.85,93.16,92.85,92.99,233729,ALL
2017-08-18 12:30:00,92.99,93.25,92.93,93.14,287398,ALL
2017-08-18 13:30:00,93.15,93.2,92.98,93.17,194464,ALL
2017-08-18 14:30:00,93.13,93.2,92.96,92.96,248983,ALL
2017-08-18 15:30:00,92.95,93.06,92.8,92.9,350575,ALL
2017-08-18 16:00:00,93.01,93.06,92.8,92.94,0,ALL
2017-08-21 09:30:00,92.96,92.96,92.3,92.42,321208,ALL
2017-08-21 10:30:00,92.46,92.65,92.34,92.5,290560,ALL
2017-08-21 11:30:00,92.58,92.79,92.45,92.79,232214,ALL
2017-08-21 12:30:00,92.67,92.91,92.67,92.87,168003,ALL
2017-08-21 13:30:00,92.83,92.9,92.72,92.75,443127,ALL
2017-08-21 14:30:00,92.73,92.79,92.6,92.71,575756,ALL
2017-08-21 15:30:00,92.72,92.86,92.69,92.75,455767,ALL
2017-08-21 16:00:00,92.63,92.86,92.62,92.72,0,ALL
2017-08-21 18:00:00,92.72,92.72,92.72,92.72,0,ALL
2017-08-22 09:30:00,93.11,93.29,93.0,93.16,301552,ALL
2017-08-22 10:30:00,93.05,93.31,93.05,93.31,280083,ALL
2017-08-22 11:30:00,93.23,93.55,93.23,93.37,423866,ALL
2017-08-22 12:30:00,93.51,93.52,93.18,93.33,257069,ALL
2017-08-22 13:30:00,93.27,93.36,93.27,93.3,290905,ALL
2017-08-22 14:30:00,93.29,93.63,93.28,93.6,536878,ALL
2017-08-22 15:30:00,93.58,93.81,93.56,93.77,400580,ALL
2017-08-22 16:00:00,93.54,93.81,93.53,93.77,0,ALL
2017-08-22 17:00:00,93.79,93.79,93.79,93.79,0,ALL
2017-08-23 09:00:00,93.77,93.77,93.77,93.77,0,ALL
2017-08-23 09:30:00,93.44,93.85,93.39,93.72,211356,ALL
2017-08-23 10:30:00,93.73,93.75,93.66,93.68,131976,ALL
2017-08-23 11:30:00,93.68,93.69,93.6,93.67,106558,ALL
2017-08-23 12:30:00,93.67,93.67,93.35,93.4,102857,ALL
2017-08-23 13:30:00,93.41,93.41,93.23,93.28,152274,ALL
2017-08-23 14:30:00,93.3,93.36,93.21,93.3,156921,ALL
2017-08-23 15:30:00,93.3,93.3,93.16,93.19,269577,ALL
2017-08-23 16:00:00,93.18,93.18,93.18,93.18,0,ALL
2017-08-23 17:00:00,93.18,93.18,93.18,93.18,0,ALL
2017-08-24 08:00:00,93.18,93.18,93.18,93.18,0,ALL
2017-08-24 09:30:00,93.49,93.49,92.82,93.16,203593,ALL
2017-08-24 10:30:00,93.17,93.42,92.94,92.98,182324,ALL
2017-08-24 11:30:00,93.03,93.19,92.82,93.13,173865,ALL
2017-08-24 12:30:00,93.12,93.16,93.01,93.07,121580,ALL
2017-08-24 13:30:00,93.07,93.07,92.32,92.33,332996,ALL
2017-08-24 14:30:00,92.34,92.6,91.52,91.52,820676,ALL
2017-08-24 15:30:00,91.5,91.71,91.41,91.52,632996,ALL
2017-08-24 16:00:00,91.54,91.73,91.54,91.55,0,ALL
2017-08-24 18:00:00,91.57,91.57,91.57,91.57,0,ALL
2017-08-25 06:00:00,91.54,91.54,91.54,91.54,0,ALL
2017-08-25 07:00:00,91.54,91.54,91.54,91.54,0,ALL
2017-08-25 08:00:00,91.35,91.35,91.35,91.35,0,ALL
2017-08-25 09:00:00,91.55,91.55,91.55,91.55,0,ALL
2017-08-25 09:30:00,91.72,92.0,91.57,91.82,372022,ALL
2017-08-25 10:30:00,91.87,91.87,91.48,91.48,366179,ALL
2017-08-25 11:30:00,91.54,91.72,91.47,91.7,376252,ALL
2017-08-25 12:30:00,91.71,92.02,91.65,91.93,313893,ALL
2017-08-25 13:30:00,91.94,92.27,91.9,91.99,335992,ALL
2017-08-25 14:30:00,92.0,92.17,91.89,92.17,321119,ALL
2017-08-25 15:30:00,92.17,92.17,91.91,92.01,360208,ALL
2017-08-25 16:00:00,92.02,92.03,91.86,92.03,0,ALL
2017-08-25 19:00:00,91.8,91.8,91.8,91.8,0,ALL
2017-08-28 07:00:00,91.6,91.6,91.6,91.6,0,ALL
2017-08-28 08:00:00,91.45,91.45,91.0,91.0,0,ALL
2017-08-28 09:00:00,91.0,91.06,90.3,90.46,0,ALL
2017-08-28 09:30:00,90.53,90.86,89.85,90.85,790352,ALL
2017-08-28 10:30:00,90.8,90.97,90.67,90.73,241728,ALL
2017-08-28 11:30:00,90.73,90.91,90.72,90.8,202173,ALL
2017-08-28 12:30:00,90.82,90.82,90.48,90.55,188810,ALL
2017-08-28 13:30:00,90.56,90.65,90.47,90.62,214521,ALL
2017-08-28 14:30:00,90.62,90.69,90.51,90.61,296911,ALL
2017-08-28 15:30:00,90.62,90.69,90.59,90.68,417917,ALL
2017-08-28 16:00:00,90.65,90.65,90.6,90.6,0,ALL
2017-08-28 17:00:00,90.45,90.45,90.45,90.45,0,ALL
2017-08-29 09:00:00,90.0,90.0,90.0,90.0,0,ALL
2017-08-29 09:30:00,89.99,91.09,89.99,90.91,396590,ALL
2017-08-29 10:30:00,90.92,91.05,90.66,90.66,212143,ALL
2017-08-29 11:30:00,90.62,90.76,90.58,90.73,140984,ALL
2017-08-29 12:30:00,90.74,91.01,90.74,90.99,147022,ALL
2017-08-29 13:30:00,91.0,91.0,90.72,90.74,152501,ALL
2017-08-29 14:30:00,90.74,90.8,90.67,90.74,218241,ALL
2017-08-29 15:30:00,90.72,90.86,90.58,90.8,355831,ALL
2017-08-29 16:00:00,90.82,90.82,90.78,90.82,0,ALL
2017-08-30 09:30:00,90.64,91.13,90.54,90.61,802090,ALL
2017-08-30 10:30:00,90.71,90.85,90.27,90.67,822641,ALL
2017-08-30 11:30:00,90.61,90.7,90.06,90.21,526060,ALL
2017-08-30 12:30:00,90.14,90.41,90.06,90.39,354838,ALL
2017-08-30 13:30:00,90.37,90.53,90.34,90.4,294956,ALL
2017-08-30 14:30:00,90.44,90.44,90.3,90.35,363712,ALL
2017-08-30 15:30:00,90.34,90.34,90.01,90.07,489050,ALL
2017-08-30 16:00:00,90.31,90.42,90.01,90.07,0,ALL
2017-08-30 17:00:00,90.08,90.08,90.08,90.08,0,ALL
2017-08-30 18:00:00,90.64,90.64,90.64,90.64,0,ALL
2017-08-31 08:00:00,89.95,89.95,89.95,89.95,0,ALL
2017-08-31 09:00:00,90.0,90.0,89.98,89.98,0,ALL
2017-08-31 09:30:00,90.38,90.45,90.13,90.23,413050,ALL
2017-08-31 10:30:00,90.24,90.41,90.07,90.32,276374,ALL
2017-08-31 11:30:00,90.3,90.41,90.21,90.41,276407,ALL
2017-08-31 12:30:00,90.4,90.4,90.19,90.24,223888,ALL
2017-08-31 13:30:00,90.23,90.26,90.06,90.14,254836,ALL
2017-08-31 14:30:00,90.14,90.37,90.07,90.35,326138,ALL
2017-08-31 15:30:00,90.35,90.62,90.28,90.49,536839,ALL
2017-08-31 16:00:00,90.5,90.51,90.35,90.5,0,ALL
2017-09-01 09:30:00,90.47,90.9,90.26,90.89,698981,ALL
2017-09-01 10:30:00,90.74,91.11,90.54,90.54,575626,ALL
2017-09-01 11:30:00,90.91,90.91,90.2,90.27,599539,ALL
2017-09-01 12:30:00,90.24,90.51,90.2,90.25,661603,ALL
2017-09-01 13:30:00,90.37,90.37,89.97,90.1,734543,ALL
