Date,Open,High,Low,Close,Volume,Name
2017-08-10 08:00:00,87.43,87.43,87.43,87.43,0,ATO
2017-08-10 09:30:00,87.26,87.71,87.06,87.06,36263,ATO
2017-08-10 10:30:00,87.09,87.25,87.01,87.14,14896,ATO
2017-08-10 11:30:00,87.14,87.38,87.1,87.36,19482,ATO
2017-08-10 12:30:00,87.36,87.69,87.34,87.67,19168,ATO
2017-08-10 13:30:00,87.64,87.79,87.46,87.79,14202,ATO
2017-08-10 14:30:00,87.78,87.86,87.57,87.63,26721,ATO
2017-08-10 15:30:00,87.65,87.82,87.58,87.66,55991,ATO
2017-08-10 16:00:00,87.67,87.67,87.67,87.67,0,ATO
2017-08-10 17:00:00,87.66,87.66,87.66,87.66,0,ATO
2017-08-11 09:00:00,87.3,87.3,87.25,87.28,0,ATO
2017-08-11 09:30:00,87.52,87.65,87.0,87.04,37571,ATO
2017-08-11 10:30:00,87.07,87.29,87.01,87.26,14217,ATO
2017-08-11 11:30:00,87.24,87.34,87.17,87.18,14770,ATO
2017-08-11 12:30:00,87.2,87.24,87.1,87.16,46323,ATO
2017-08-11 13:30:00,87.2,87.21,86.93,86.94,37914,ATO
2017-08-11 14:30:00,86.93,86.99,86.87,86.89,26584,ATO
2017-08-11 15:30:00,86.86,87.25,86.86,87.15,49986,ATO
2017-08-11 16:00:00,87.16,87.16,87.16,87.16,0,ATO
2017-08-14 09:30:00,87.35,87.6,87.32,87.46,32856,ATO
2017-08-14 10:30:00,87.52,87.78,87.5,87.78,27315,ATO
2017-08-14 11:30:00,87.72,87.84,87.69,87.72,17699,ATO
2017-08-14 12:30:00,87.72,87.75,87.66,87.68,32011,ATO
2017-08-14 13:30:00,87.67,87.67,87.49,87.62,19489,ATO
2017-08-14 14:30:00,87.69,87.77,87.65,87.74,19946,ATO
2017-08-14 15:30:00,87.76,87.79,87.67,87.72,38970,ATO
2017-08-14 16:00:00,87.74,87.74,87.65,87.74,0,ATO
2017-08-15 09:30:00,87.89,88.16,87.37,87.87,42754,ATO
2017-08-15 10:30:00,87.92,88.03,87.86,88.03,27469,ATO
2017-08-15 11:30:00,88.0,88.14,87.93,88.12,17426,ATO
2017-08-15 12:30:00,88.09,88.19,88.06,88.1,19091,ATO
2017-08-15 13:30:00,88.08,88.09,87.74,87.86,23142,ATO
2017-08-15 14:30:00,87.95,88.02,87.82,87.86,30434,ATO
2017-08-15 15:30:00,87.87,87.99,87.76,87.79,100258,ATO
2017-08-15 16:00:00,87.78,87.89,87.78,87.89,0,ATO
2017-08-15 17:00:00,87.77,87.77,87.77,87.77,0,ATO
2017-08-16 09:30:00,87.8,88.29,87.8,88.11,16007,ATO
2017-08-16 10:30:00,88.17,88.26,88.1,88.26,24407,ATO
2017-08-16 11:30:00,88.26,88.32,88.21,88.21,15206,ATO
2017-08-16 12:30:00,88.27,88.44,88.21,88.42,25225,ATO
2017-08-16 13:30:00,88.36,88.61,88.32,88.39,22603,ATO
2017-08-16 14:30:00,88.41,88.53,88.31,88.35,20223,ATO
2017-08-16 15:30:00,88.36,88.45,88.32,88.44,71524,ATO
2017-08-16 16:00:00,88.4,88.4,88.34,88.4,0,ATO
2017-08-17 09:30:00,87.69,88.04,87.57,87.97,32787,ATO
2017-08-17 10:30:00,87.93,87.93,87.56,87.82,12953,ATO
2017-08-17 11:30:00,87.77,87.77,87.61,87.68,18223,ATO
2017-08-17 12:30:00,87.67,87.83,87.66,87.77,19038,ATO
2017-08-17 13:30:00,87.75,87.79,87.64,87.74,22177,ATO
2017-08-17 14:30:00,87.72,87.78,87.67,87.68,28013,ATO
2017-08-17 15:30:00,87.67,87.73,87.45,87.45,122563,ATO
2017-08-17 16:00:00,87.46,87.72,87.45,87.45,0,ATO
2017-08-17 18:00:00,87.46,87.46,87.46,87.46,0,ATO
2017-08-18 09:30:00,87.31,87.32,86.87,87.07,41309,ATO
2017-08-18 10:30:00,87.1,87.14,86.83,86.91,29252,ATO
2017-08-18 11:30:00,86.97,87.18,86.97,87.15,27786,ATO
2017-08-18 12:30:00,87.17,87.45,87.17,87.37,35146,ATO
2017-08-18 13:30:00,87.4,87.43,87.17,87.24,29919,ATO
2017-08-18 14:30:00,87.24,87.35,87.17,87.27,32976,ATO
2017-08-18 15:30:00,87.27,87.31,87.11,87.11,45171,ATO
2017-08-18 16:00:00,87.12,87.12,87.12,87.12,0,ATO
2017-08-21 09:30:00,87.19,87.35,87.06,87.35,22486,ATO
2017-08-21 10:30:00,87.35,87.49,87.26,87.45,22023,ATO
2017-08-21 11:30:00,87.46,87.5,87.38,87.5,14340,ATO
2017-08-21 12:30:00,87.5,87.62,87.46,87.56,15674,ATO
2017-08-21 13:30:00,87.55,87.62,87.52,87.56,23166,ATO
2017-08-21 14:30:00,87.53,87.69,87.49,87.65,24703,ATO
2017-08-21 15:30:00,87.65,87.74,87.58,87.62,86169,ATO
2017-08-21 16:00:00,87.59,87.59,87.55,87.59,0,ATO
2017-08-22 09:30:00,87.55,87.83,87.29,87.83,19909,ATO
2017-08-22 10:30:00,87.87,87.99,87.78,87.81,9682,ATO
2017-08-22 11:30:00,87.78,87.88,87.76,87.79,12177,ATO
2017-08-22 12:30:00,87.75,88.13,87.73,87.93,47597,ATO
2017-08-22 13:30:00,87.96,88.12,87.93,88.07,29213,ATO
2017-08-22 14:30:00,88.11,88.17,88.03,88.11,17902,ATO
2017-08-22 15:30:00,88.12,88.19,88.02,88.19,39783,ATO
2017-08-22 16:00:00,88.18,88.18,88.0,88.18,0,ATO
2017-08-22 17:00:00,86.41,86.41,86.41,86.41,0,ATO
2017-08-23 09:00:00,88.18,88.2,88.18,88.2,0,ATO
2017-08-23 09:30:00,88.12,88.16,87.74,88.03,19004,ATO
2017-08-23 10:30:00,88.11,88.19,87.91,88.07,7184,ATO
