Date,Open,High,Low,Close,Volume,Name
2017-08-10 09:30:00,529.69,529.69,527.19,529.62,0,AZO
2017-08-10 10:30:00,529.96,532.67,529.24,531.65,37090,AZO
2017-08-10 11:30:00,532.7,533.45,529.32,531.17,49580,AZO
2017-08-10 12:30:00,530.49,530.73,527.59,529.38,27433,AZO
2017-08-10 13:30:00,529.08,529.23,526.04,528.72,33251,AZO
2017-08-10 14:30:00,529.18,529.89,526.5,527.32,42755,AZO
2017-08-10 15:30:00,527.03,527.08,525.51,525.51,45785,AZO
2017-08-10 16:00:00,525.52,528.77,525.27,525.52,0,AZO
2017-08-10 19:00:00,525.25,525.25,525.25,525.25,0,AZO
2017-08-11 09:00:00,527.0,527.0,523.1,523.1,0,AZO
2017-08-11 09:30:00,528.16,529.78,526.25,528.81,61044,AZO
2017-08-11 10:30:00,527.88,531.0,526.77,526.77,54630,AZO
2017-08-11 11:30:00,526.99,529.73,526.53,529.73,40590,AZO
2017-08-11 12:30:00,529.7,532.04,529.16,532.04,21561,AZO
2017-08-11 13:30:00,532.18,532.68,530.11,531.22,15800,AZO
2017-08-11 14:30:00,531.22,535.21,529.72,535.2,87453,AZO
2017-08-11 15:30:00,535.47,535.47,532.04,533.89,78477,AZO
2017-08-11 16:00:00,528.24,533.94,528.24,531.03,0,AZO
2017-08-14 04:00:00,532.99,532.99,532.99,532.99,0,AZO
2017-08-14 09:30:00,537.54,537.54,530.15,530.52,31515,AZO
2017-08-14 10:30:00,530.67,532.72,530.21,530.6,50771,AZO
2017-08-14 11:30:00,530.5,530.79,525.14,525.7,52872,AZO
2017-08-14 12:30:00,525.8,526.87,524.01,524.61,33735,AZO
2017-08-14 13:30:00,524.9,526.59,523.04,523.04,54944,AZO
2017-08-14 14:30:00,523.93,525.42,523.33,525.15,74134,AZO
2017-08-14 15:30:00,525.16,526.76,524.44,525.0,64460,AZO
2017-08-14 16:00:00,525.32,526.82,525.32,525.32,0,AZO
2017-08-14 18:00:00,524.43,524.43,524.43,524.43,0,AZO
2017-08-15 07:00:00,522.2,522.2,520.0,520.0,0,AZO
2017-08-15 08:00:00,516.0,516.0,496.1,496.11,0,AZO
2017-08-15 09:00:00,497.0,501.55,496.0,501.55,0,AZO
2017-08-15 09:30:00,503.69,510.27,498.57,508.14,214148,AZO
2017-08-15 10:30:00,507.61,515.97,506.66,513.55,140746,AZO
2017-08-15 11:30:00,514.24,517.84,511.02,511.02,110969,AZO
2017-08-15 12:30:00,511.79,513.16,509.86,511.56,69830,AZO
2017-08-15 13:30:00,511.61,518.0,509.46,517.85,80427,AZO
2017-08-15 14:30:00,518.74,519.0,514.28,515.25,86840,AZO
2017-08-15 15:30:00,515.33,517.0,515.09,516.56,100957,AZO
2017-08-15 16:00:00,516.13,516.13,515.36,516.13,0,AZO
2017-08-15 17:00:00,516.23,516.23,516.23,516.23,0,AZO
2017-08-16 08:00:00,518.7,518.7,518.7,518.7,0,AZO
2017-08-16 09:00:00,518.73,518.73,518.73,518.73,0,AZO
2017-08-16 09:30:00,520.05,523.64,517.33,522.01,67925,AZO
2017-08-16 10:30:00,521.83,523.75,519.99,523.34,102095,AZO
2017-08-16 11:30:00,523.12,526.49,521.47,521.72,90016,AZO
2017-08-16 12:30:00,521.53,524.93,520.0,523.99,65618,AZO
2017-08-16 13:30:00,524.38,528.14,523.79,526.09,66380,AZO
2017-08-16 14:30:00,524.16,526.1,522.92,524.74,66551,AZO
2017-08-16 15:30:00,524.59,525.31,524.08,524.45,63737,AZO
2017-08-16 16:00:00,524.59,524.76,523.37,524.76,0,AZO
2017-08-17 09:30:00,524.96,529.57,522.65,528.73,56361,AZO
2017-08-17 10:30:00,528.17,528.17,517.87,518.0,95920,AZO
2017-08-17 11:30:00,517.83,517.83,511.64,515.07,96830,AZO
2017-08-17 12:30:00,515.54,517.59,515.06,515.75,42363,AZO
2017-08-17 13:30:00,516.51,518.9,514.61,517.03,39269,AZO
2017-08-17 14:30:00,516.56,516.69,514.02,514.64,50911,AZO
2017-08-17 15:30:00,514.78,515.83,513.87,515.61,83260,AZO
2017-08-17 16:00:00,515.56,517.61,515.56,517.61,0,AZO
2017-08-17 18:00:00,515.56,515.56,515.56,515.56,0,AZO
2017-08-18 09:00:00,516.0,516.0,516.0,516.0,0,AZO
2017-08-18 09:30:00,512.21,512.97,506.18,507.52,152134,AZO
2017-08-18 10:30:00,507.01,507.42,499.1,502.53,139666,AZO
2017-08-18 11:30:00,502.09,502.63,499.74,502.29,85088,AZO
2017-08-18 12:30:00,502.21,503.33,499.65,501.84,71068,AZO
2017-08-18 13:30:00,501.77,505.5,501.59,505.05,63823,AZO
2017-08-18 14:30:00,505.01,510.28,505.01,509.68,101960,AZO
2017-08-18 15:30:00,509.74,510.53,509.16,510.44,90703,AZO
2017-08-18 16:00:00,510.19,510.29,505.81,510.29,0,AZO
2017-08-21 09:30:00,510.0,510.0,504.99,507.42,43444,AZO
2017-08-21 10:30:00,507.41,512.78,506.82,512.78,60108,AZO
2017-08-21 11:30:00,512.25,516.36,512.04,516.36,36617,AZO
2017-08-21 12:30:00,516.58,519.39,516.35,518.85,36431,AZO
2017-08-21 13:30:00,518.83,519.04,515.76,517.01,47978,AZO
2017-08-21 14:30:00,517.33,518.4,516.56,517.91,27004,AZO
2017-08-21 15:30:00,518.22,518.22,517.57,517.57,65518,AZO
2017-08-21 16:00:00,517.51,517.61,514.81,517.51,0,AZO
2017-08-21 18:00:00,517.51,517.51,517.51,517.51,0,AZO
2017-08-22 09:30:00,517.1,521.5,515.29,515.29,59453,AZO
2017-08-22 10:30:00,515.04,520.0,514.8,518.06,31981,AZO
2017-08-22 11:30:00,518.76,519.85,517.42,518.34,54772,AZO
2017-08-22 12:30:00,518.26,518.84,516.95,516.95,24007,AZO
2017-08-22 13:30:00,517.4,518.93,517.4,518.93,19034,AZO
2017-08-22 14:30:00,519.01,520.1,519.01,519.73,28135,AZO
2017-08-22 15:30:00,519.61,519.77,518.64,519.15,25709,AZO
2017-08-22 16:00:00,519.13,519.13,519.13,519.13,0,AZO
2017-08-22 17:00:00,519.23,519.23,519.23,519.23,0,AZO
2017-08-23 09:30:00,517.57,521.27,510.01,513.2,48262,AZO
2017-08-23 10:30:00,514.18,516.74,511.14,512.39,42695,AZO
2017-08-23 11:30:00,512.52,515.01,512.35,513.87,19880,AZO
2017-08-23 12:30:00,514.3,514.91,511.52,511.52,25363,AZO
2017-08-23 13:30:00,512.12,512.12,508.04,510.89,57056,AZO
2017-08-23 14:30:00,510.16,512.37,509.74,512.33,35439,AZO
2017-08-23 15:30:00,512.59,513.84,512.42,513.02,47926,AZO
2017-08-23 16:00:00,513.02,514.0,512.77,514.0,0,AZO
2017-08-24 09:30:00,514.3,516.0,512.6,513.84,48854,AZO
2017-08-24 10:30:00,514.77,516.18,512.44,515.24,45011,AZO
2017-08-24 11:30:00,515.7,516.7,515.0,516.09,55451,AZO
2017-08-24 12:30:00,516.09,517.78,515.73,517.15,38102,AZO
2017-08-24 13:30:00,517.26,518.61,515.57,515.6,96975,AZO
2017-08-24 14:30:00,515.59,515.64,511.52,511.52,82355,AZO
2017-08-24 15:30:00,511.52,512.35,511.01,511.45,37350,AZO
2017-08-24 16:00:00,511.63,514.91,511.0,511.64,0,AZO
2017-08-25 09:30:00,515.31,526.3,515.24,525.39,80547,AZO
2017-08-25 10:30:00,525.45,531.15,525.24,531.15,91173,AZO
2017-08-25 11:30:00,531.39,533.49,530.3,531.4,90076,AZO
2017-08-25 12:30:00,531.92,536.63,531.92,535.35,68372,AZO
2017-08-25 13:30:00,535.68,535.96,531.0,531.18,82044,AZO
2017-08-25 14:30:00,531.01,532.47,528.44,531.82,130425,AZO
2017-08-25 15:30:00,531.8,531.8,528.83,528.91,75930,AZO
2017-08-25 16:00:00,528.95,528.95,528.95,528.95,0,AZO
2017-08-28 09:30:00,530.0,530.0,522.18,525.32,27773,AZO
2017-08-28 10:30:00,525.06,528.27,523.84,527.0,42283,AZO
2017-08-28 11:30:00,526.81,527.38,524.48,525.36,50883,AZO
2017-08-28 12:30:00,524.94,525.7,523.61,524.5,17850,AZO
