Date,Open,High,Low,Close,Volume,Name
2017-08-10 09:00:00,53.61,53.61,53.61,53.61,0,BK
2017-08-10 09:30:00,53.49,53.68,52.51,52.75,1627592,BK
2017-08-10 10:30:00,52.75,52.92,52.2,52.3,1372455,BK
2017-08-10 11:30:00,52.3,52.52,52.28,52.3,801658,BK
2017-08-10 12:30:00,52.28,52.59,52.22,52.55,735439,BK
2017-08-10 13:30:00,52.56,52.57,52.35,52.5,801608,BK
2017-08-10 14:30:00,52.49,52.61,52.18,52.21,998116,BK
2017-08-10 15:30:00,52.22,52.24,51.91,51.95,1216669,BK
2017-08-10 16:00:00,51.95,52.53,51.95,51.95,0,BK
2017-08-10 17:00:00,51.94,51.94,51.94,51.94,0,BK
2017-08-11 09:00:00,51.94,51.95,51.94,51.94,0,BK
2017-08-11 09:30:00,52.22,52.66,52.2,52.51,1281907,BK
2017-08-11 10:30:00,52.53,52.68,52.35,52.36,951968,BK
2017-08-11 11:30:00,52.34,52.56,52.32,52.39,695786,BK
2017-08-11 12:30:00,52.38,52.53,52.33,52.39,408105,BK
2017-08-11 13:30:00,52.39,52.45,52.32,52.35,495954,BK
2017-08-11 14:30:00,52.33,52.33,52.1,52.24,787359,BK
2017-08-11 15:30:00,52.24,52.3,52.17,52.19,714733,BK
2017-08-11 16:00:00,52.19,52.39,51.75,52.19,0,BK
2017-08-11 17:00:00,52.19,52.19,52.19,52.19,0,BK
2017-08-14 09:00:00,52.5,52.7,52.5,52.7,0,BK
2017-08-14 09:30:00,52.73,53.13,52.73,52.9,892319,BK
2017-08-14 10:30:00,52.9,52.94,52.77,52.84,710045,BK
2017-08-14 11:30:00,52.85,52.89,52.68,52.69,692675,BK
2017-08-14 12:30:00,52.69,52.81,52.66,52.72,510605,BK
2017-08-14 13:30:00,52.7,52.84,52.69,52.8,499773,BK
2017-08-14 14:30:00,52.8,52.87,52.68,52.85,639494,BK
2017-08-14 15:30:00,52.85,52.93,52.8,52.81,888597,BK
2017-08-14 16:00:00,52.83,53.0,52.83,53.0,0,BK
2017-08-14 17:00:00,53.0,53.0,53.0,53.0,0,BK
2017-08-14 18:00:00,53.0,53.0,53.0,53.0,0,BK
2017-08-14 19:00:00,53.0,53.0,53.0,53.0,0,BK
2017-08-15 08:00:00,54.0,54.0,53.32,53.32,0,BK
2017-08-15 09:00:00,53.04,53.04,53.0,53.01,0,BK
2017-08-15 09:30:00,53.25,53.51,53.02,53.13,805577,BK
2017-08-15 10:30:00,53.11,53.11,52.96,53.06,438885,BK
2017-08-15 11:30:00,53.06,53.23,53.05,53.22,380937,BK
2017-08-15 12:30:00,53.22,53.22,53.06,53.18,285575,BK
2017-08-15 13:30:00,53.18,53.3,53.17,53.29,416281,BK
2017-08-15 14:30:00,53.29,53.33,53.26,53.27,648208,BK
2017-08-15 15:30:00,53.27,53.32,53.13,53.15,606300,BK
2017-08-15 16:00:00,53.15,53.21,52.83,53.0,0,BK
2017-08-15 17:00:00,53.16,53.16,53.16,53.16,0,BK
2017-08-16 07:00:00,52.06,52.06,52.06,52.06,0,BK
2017-08-16 09:30:00,53.28,53.42,53.2,53.29,671094,BK
2017-08-16 10:30:00,53.28,53.3,53.08,53.13,567029,BK
2017-08-16 11:30:00,53.13,53.21,53.09,53.1,425621,BK
2017-08-16 12:30:00,53.1,53.12,52.91,52.99,431948,BK
2017-08-16 13:30:00,53.0,53.0,52.68,52.72,780391,BK
2017-08-16 14:30:00,52.71,52.92,52.68,52.92,491965,BK
2017-08-16 15:30:00,52.92,52.94,52.8,52.87,696899,BK
2017-08-16 16:00:00,52.88,52.88,52.88,52.88,0,BK
2017-08-16 18:00:00,52.59,52.59,52.53,52.53,0,BK
2017-08-17 09:30:00,52.64,52.79,52.1,52.26,883070,BK
2017-08-17 10:30:00,52.28,52.55,52.23,52.43,651901,BK
